Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
22.07.,2020,Birmingham,Derby,1,3
22.07.,2020,Brentford,Barnsley,1,2
22.07.,2020,Bristol City,Preston,1,1
22.07.,2020,Cardiff,Hull,3,0
22.07.,2020,Leeds,Charlton,4,0
22.07.,2020,Luton,Blackburn,3,2
22.07.,2020,Millwall,Huddersfield,4,1
22.07.,2020,Nottingham,Stoke,1,4
22.07.,2020,Reading,Swansea,1,4
22.07.,2020,Sheffield Wed,Middlesbrough,1,2
22.07.,2020,West Brom,QPR,2,2
22.07.,2020,Wigan,Fulham,1,1
19.07.,2020,Barnsley,Nottingham,1,0
19.07.,2020,Derby,Leeds,1,3
18.07.,2020,Blackburn,Reading,4,3
18.07.,2020,Charlton,Wigan,2,2
18.07.,2020,Fulham,Sheffield Wed,5,3
18.07.,2020,Hull,Luton,0,1
18.07.,2020,Middlesbrough,Cardiff,1,3
18.07.,2020,Preston,Birmingham,2,0
18.07.,2020,QPR,Millwall,4,3
18.07.,2020,Stoke,Brentford,1,0
18.07.,2020,Swansea,Bristol City,1,0
17.07.,2020,Huddersfield,West Brom,2,1
16.07.,2020,Leeds,Barnsley,1,0
15.07.,2020,Birmingham,Charlton,1,1
15.07.,2020,Brentford,Preston,1,0
15.07.,2020,Bristol City,Stoke,1,1
15.07.,2020,Nottingham,Swansea,2,2
14.07.,2020,Cardiff,Derby,2,1
14.07.,2020,Luton,QPR,1,1
14.07.,2020,Millwall,Blackburn,1,0
14.07.,2020,Reading,Middlesbrough,1,2
14.07.,2020,Sheffield Wed,Huddersfield,0,0
14.07.,2020,West Brom,Fulham,0,0
14.07.,2020,Wigan,Hull,8,0
12.07.,2020,Stoke,Birmingham,2,0
12.07.,2020,Swansea,Leeds,0,1
11.07.,2020,Barnsley,Wigan,0,0
11.07.,2020,Blackburn,West Brom,1,1
11.07.,2020,Charlton,Reading,0,1
11.07.,2020,Derby,Brentford,1,3
11.07.,2020,Hull,Millwall,0,1
11.07.,2020,Middlesbrough,Bristol City,1,3
11.07.,2020,Preston,Nottingham,1,1
11.07.,2020,QPR,Sheffield Wed,0,3
10.07.,2020,Fulham,Cardiff,2,0
10.07.,2020,Huddersfield,Luton,0,2
09.07.,2020,Leeds,Stoke,5,0
08.07.,2020,Birmingham,Swansea,1,3
08.07.,2020,Bristol City,Hull,2,1
08.07.,2020,Millwall,Middlesbrough,0,2
08.07.,2020,Sheffield Wed,Preston,1,3
08.07.,2020,West Brom,Derby,2,0
08.07.,2020,Wigan,QPR,1,0
07.07.,2020,Brentford,Charlton,2,1
07.07.,2020,Cardiff,Blackburn,2,3
07.07.,2020,Luton,Barnsley,1,1
07.07.,2020,Nottingham,Fulham,0,1
07.07.,2020,Reading,Huddersfield,0,0
05.07.,2020,Middlesbrough,QPR,0,1
05.07.,2020,Swansea,Sheffield Wed,2,1
05.07.,2020,West Brom,Hull,4,2
04.07.,2020,Blackburn,Leeds,1,3
04.07.,2020,Brentford,Wigan,3,0
04.07.,2020,Bristol City,Cardiff,0,1
04.07.,2020,Derby,Nottingham,1,1
04.07.,2020,Fulham,Birmingham,1,0
04.07.,2020,Huddersfield,Preston,0,0
04.07.,2020,Luton,Reading,0,5
04.07.,2020,Stoke,Barnsley,4,0
03.07.,2020,Charlton,Millwall,0,1
02.07.,2020,Hull,Middlesbrough,2,1
01.07.,2020,Birmingham,Huddersfield,0,3
01.07.,2020,Nottingham,Bristol City,1,0
01.07.,2020,Preston,Derby,0,1
01.07.,2020,Sheffield Wed,West Brom,0,3
30.06.,2020,Barnsley,Blackburn,2,0
30.06.,2020,Cardiff,Charlton,0,0
30.06.,2020,Leeds,Luton,1,1
30.06.,2020,Millwall,Swansea,1,1
30.06.,2020,QPR,Fulham,1,2
30.06.,2020,Reading,Brentford,0,3
30.06.,2020,Wigan,Stoke,3,0
28.06.,2020,Bristol City,Sheffield Wed,1,2
28.06.,2020,Nottingham,Huddersfield,3,1
27.06.,2020,Barnsley,Millwall,0,0
27.06.,2020,Birmingham,Hull,3,3
27.06.,2020,Charlton,QPR,1,0
27.06.,2020,Derby,Reading,2,1
27.06.,2020,Leeds,Fulham,3,0
27.06.,2020,Preston,Cardiff,1,3
27.06.,2020,Stoke,Middlesbrough,0,2
27.06.,2020,Swansea,Luton,0,1
27.06.,2020,Wigan,Blackburn,2,0
26.06.,2020,Brentford,West Brom,1,0
21.06.,2020,Cardiff,Leeds,2,0
20.06.,2020,Blackburn,Bristol City,3,1
20.06.,2020,Fulham,Brentford,0,2
20.06.,2020,Huddersfield,Wigan,0,2
20.06.,2020,Hull,Charlton,0,1
20.06.,2020,Luton,Preston,1,1
20.06.,2020,Middlesbrough,Swansea,0,3
20.06.,2020,Millwall,Derby,2,3
20.06.,2020,QPR,Barnsley,0,1
20.06.,2020,Reading,Stoke,1,1
20.06.,2020,Sheffield Wed,Nottingham,1,1
20.06.,2020,West Brom,Birmingham,0,0
08.03.,2020,Derby,Blackburn,3,0
