Date,League,Home_Team,Away_Team,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5
3/8/2020,premier-league,Chelsea,Everton,1.01,10,1.14,4.3,1.62,2.1,2.65,1.4,4.9,1.1,9.5,1.02
3/8/2020,premier-league,Man Utd,Man City,1.01,10,1.12,4.5,1.58,2.2,2.5,1.44,4.6,1.12,9.5,1.02
3/9/2020,premier-league,Leicester,Aston Villa,1.01,12,1.08,5.5,1.44,2.5,2.15,1.58,3.8,1.18,7.25,1.04
6/19/2020,premier-league,Norwich,Southampton,1.01,10,1.15,4.1,1.64,2.05,2.65,1.4,5,1.1,9.5,1.01
6/20/2020,premier-league,Watford,Leicester,1.02,9.5,1.2,3.6,1.8,1.85,3.1,1.28,6,1.06,13,1.01
6/20/2020,premier-league,Bournemouth,Crystal Palace,1.04,8,1.3,2.95,2.1,1.62,3.8,1.18,8,1.03,18,1
6/20/2020,premier-league,Brighton,Arsenal,1.02,9.5,1.2,3.6,1.8,1.85,3.15,1.28,6.25,1.06,13,1.01
6/21/2020,premier-league,Newcastle,Sheff Utd,1.08,6,1.4,2.65,2.4,1.5,4.6,1.12,10,1.01,20,1.001
6/21/2020,premier-league,Aston Villa,Chelsea,1.01,10,1.12,4.5,1.54,2.2,2.45,1.44,4.5,1.12,9,1.02
6/22/2020,premier-league,Man City,Burnley,1.01,14,1.06,6.25,1.36,2.75,2,1.66,3.5,1.22,6.5,1.06
