Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
27.04.2019,2019,AFC Fylde,FC Halifax,0,2
27.04.2019,2019,Boreham Wood,Eastleigh,3,3
27.04.2019,2019,Bromley,Ebbsfleet,5,1
27.04.2019,2019,Dag & Red,Solihull Moors,1,1
27.04.2019,2019,Dover,Sutton,3,0
27.04.2019,2019,Gateshead,Barrow,0,2
27.04.2019,2019,Hartlepool,Salford,3,2
27.04.2019,2019,Havant & W,Barnet,0,2
27.04.2019,2019,Leyton Orient,Braintree,0,0
27.04.2019,2019,Maidenhead,Chesterfield,2,0
27.04.2019,2019,Maidstone,Aldershot,0,2
27.04.2019,2019,Wrexham,Harrogate,2,1
22.04.2019,2019,Aldershot,Havant & W,2,0
22.04.2019,2019,Barnet,Bromley,1,1
22.04.2019,2019,Barrow,Hartlepool,1,0
22.04.2019,2019,Braintree,Dag & Red,2,0
22.04.2019,2019,Chesterfield,Boreham Wood,3,2
22.04.2019,2019,Eastleigh,Maidenhead,2,0
22.04.2019,2019,Ebbsfleet,Dover,0,1
22.04.2019,2019,FC Halifax,Wrexham,2,1
22.04.2019,2019,Harrogate,Gateshead,2,0
22.04.2019,2019,Salford,AFC Fylde,0,1
22.04.2019,2019,Solihull Moors,Leyton Orient,0,0
22.04.2019,2019,Sutton,Maidstone,2,2
19.04.2019,2019,AFC Fylde,Barnet,1,0
19.04.2019,2019,Boreham Wood,Salford,2,3
19.04.2019,2019,Bromley,Solihull Moors,0,2
19.04.2019,2019,Dag & Red,Eastleigh,2,0
19.04.2019,2019,Dover,Aldershot,1,0
19.04.2019,2019,Gateshead,Chesterfield,1,0
19.04.2019,2019,Hartlepool,FC Halifax,2,1
19.04.2019,2019,Havant & W,Ebbsfleet,3,3
19.04.2019,2019,Leyton Orient,Harrogate,2,0
19.04.2019,2019,Maidenhead,Barrow,1,1
19.04.2019,2019,Maidstone,Braintree,0,2
19.04.2019,2019,Wrexham,Sutton,1,0
13.04.2019,2019,Aldershot,Hartlepool,1,1
13.04.2019,2019,Barnet,Wrexham,1,2
13.04.2019,2019,Barrow,Dover,2,3
13.04.2019,2019,Braintree,AFC Fylde,2,1
13.04.2019,2019,Chesterfield,Maidstone,4,1
13.04.2019,2019,Eastleigh,Gateshead,1,0
13.04.2019,2019,Ebbsfleet,Dag & Red,0,1
13.04.2019,2019,FC Halifax,Bromley,2,2
13.04.2019,2019,Harrogate,Boreham Wood,0,1
13.04.2019,2019,Salford,Maidenhead,3,0
13.04.2019,2019,Solihull Moors,Havant & W,3,2
13.04.2019,2019,Sutton,Leyton Orient,1,2
09.04.2019,2019,Gateshead,AFC Fylde,0,1
09.04.2019,2019,Leyton Orient,Eastleigh,3,2
09.04.2019,2019,Maidstone,Barnet,2,1
06.04.2019,2019,AFC Fylde,Eastleigh,4,2
06.04.2019,2019,Boreham Wood,Sutton,1,2
06.04.2019,2019,Bromley,Aldershot,2,2
06.04.2019,2019,Dag & Red,Barrow,0,0
06.04.2019,2019,Dover,Chesterfield,0,0
06.04.2019,2019,Gateshead,Ebbsfleet,1,1
06.04.2019,2019,Hartlepool,Solihull Moors,0,1
06.04.2019,2019,Havant & W,Harrogate,1,2
06.04.2019,2019,Leyton Orient,FC Halifax,2,2
06.04.2019,2019,Maidenhead,Barnet,0,1
06.04.2019,2019,Maidstone,Salford,0,2
06.04.2019,2019,Wrexham,Braintree,3,1
02.04.2019,2019,AFC Fylde,Dag & Red,1,1
02.04.2019,2019,Bromley,Leyton Orient,2,1
02.04.2019,2019,Eastleigh,Barnet,0,3
30.03.2019,2019,Aldershot,AFC Fylde,0,0
30.03.2019,2019,Barnet,Leyton Orient,0,0
30.03.2019,2019,Barrow,Boreham Wood,1,2
30.03.2019,2019,Braintree,Gateshead,2,0
30.03.2019,2019,Chesterfield,Dag & Red,2,0
30.03.2019,2019,Eastleigh,Hartlepool,3,2
30.03.2019,2019,Ebbsfleet,Wrexham,4,2
30.03.2019,2019,FC Halifax,Maidenhead,0,1
30.03.2019,2019,Harrogate,Maidstone,2,2
30.03.2019,2019,Salford,Bromley,2,1
30.03.2019,2019,Solihull Moors,Dover,2,2
