Date,League,Home_Team,Away_Team,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5
2020-09-19,league-two,Carlisle United,Southend United,1.04,10,1.28,3.4,1.83,1.87,3,1.33,5.5,1.11,0,0
2020-09-19,league-two,Colchester United,Bolton Wanderers,1.05,9,1.3,3.2,1.95,1.75,3.25,1.28,6,1.09,0,0
2020-09-19,league-two,Crawley Town,Scunthorpe United,1.05,9,1.3,3,1.95,1.75,3.4,1.28,6,1.09,0,0
2020-09-19,league-two,Exeter City,Port Vale,1.07,8,1.36,2.8,2.1,1.67,3.75,1.22,7,1.07,0,0
2020-09-19,league-two,Forest Green Rovers,Bradford City,1.07,7.5,1.38,2.75,2.2,1.62,3.9,1.22,7,1.06,0,0
2020-09-19,league-two,Grimsby Town,Salford City FC,1.06,9,1.33,3,2,1.75,3.4,1.28,6.5,1.09,0,0
2020-09-19,league-two,Harrogate Town FC,Walsall FC,1.06,8.5,1.33,2.9,2.05,1.67,3.6,1.25,6.5,1.08,0,0
2020-09-19,league-two,Leyton Orient,Mansfield Town,1.05,10,1.28,3.25,1.9,1.8,3.2,1.3,5.75,1.1,0,0
2020-09-19,league-two,Morecambe FC,Cambridge United,1.07,8,1.36,2.9,2.1,1.67,3.6,1.25,7,1.07,0,0
2020-09-19,league-two,Newport County AFC,Barrow AFC,1.07,8,1.36,2.8,2.15,1.62,3.75,1.22,7,1.07,0,0
2020-09-19,league-two,Stevenage FC,Oldham Athletic,1.06,8,1.36,2.9,2.1,1.67,3.6,1.25,6.5,1.07,0,0
2020-09-19,league-two,Tranmere Rovers,Cheltenham Town,1.05,9,1.3,3.2,1.95,1.75,3.25,1.28,6,1.09,0,0
