Date,League,Home_Team,Away_Team,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5
2020-09-21,premier-league,Aston Villa FC,Sheffield United FC,1.08,7.5,1.4,2.8,2.25,1.6,4,1.22,7.5,1.06,0,0
2020-09-21,premier-league,Wolverhampton Wanderers FC,Manchester City FC,1.03,14,1.2,4.25,1.67,2.15,2.6,1.47,4.5,1.18,0,0
2020-09-21,premier-league,Aston Villa FC,Sheffield United FC,1.08,7.5,1.4,2.8,2.25,1.6,4,1.22,7.5,1.06,0,0
2020-09-21,premier-league,Wolverhampton Wanderers FC,Manchester City FC,1.03,14,1.2,4.25,1.67,2.15,2.6,1.47,4.5,1.18,0,0
2020-09-20,premier-league,Southampton FC,Tottenham Hotspur FC,1.05,10,1.3,3.4,1.95,1.83,3.25,1.3,6,1.11,0,0
2020-09-20,premier-league,Newcastle United FC,Brighton & Hove Albion FC,1.08,7.5,1.4,2.7,2.3,1.57,4.25,1.2,8,1.06,0,0
2020-09-20,premier-league,Chelsea FC,Liverpool FC,1.02,16,1.18,4.75,1.57,2.3,2.4,1.53,4.25,1.2,0,0
2020-09-20,premier-league,Leicester City FC,Burnley FC,1.05,10,1.3,3.4,1.9,1.83,3.25,1.3,6,1.11,0,0
2020-09-20,premier-league,Southampton FC,Tottenham Hotspur FC,1.05,10,1.3,3.4,1.9,1.83,3.25,1.3,6,1.11,0,0
2020-09-20,premier-league,Newcastle United FC,Brighton & Hove Albion FC,1.08,7.5,1.4,2.7,2.3,1.57,4.25,1.2,8,1.06,0,0
2020-09-20,premier-league,Chelsea FC,Liverpool FC,1.02,16,1.18,4.75,1.57,2.3,2.4,1.53,4.25,1.2,0,0
2020-09-20,premier-league,Leicester City FC,Burnley FC,1.05,10,1.3,3.4,1.9,1.83,3.25,1.3,6,1.11,0,0
2020-09-19,premier-league,Everton FC,West Bromwich Albion,1.04,12,1.25,3.9,1.75,2,2.9,1.38,5.25,1.14,0,0
2020-09-19,premier-league,Leeds United,Fulham FC,1.05,10,1.28,3.4,1.87,1.87,3.2,1.33,5.75,1.11,0,0
2020-09-19,premier-league,Manchester United FC,Crystal Palace FC,1.03,14,1.2,4.25,1.67,2.15,2.6,1.47,4.5,1.18,0,0
2020-09-19,premier-league,Arsenal FC,West Ham United FC,1.02,15,1.18,4.5,1.6,2.25,2.45,1.5,4.25,1.2,0,0
2020-09-19,premier-league,Everton FC,West Bromwich Albion,1.04,12,1.25,3.9,1.75,2,2.9,1.38,5.25,1.14,0,0
2020-09-19,premier-league,Leeds United,Fulham FC,1.05,10,1.28,3.4,1.87,1.87,3.2,1.33,5.75,1.11,0,0
2020-09-19,premier-league,Manchester United FC,Crystal Palace FC,1.03,14,1.2,4.25,1.67,2.15,2.6,1.47,4.5,1.18,0,0
2020-09-19,premier-league,Arsenal FC,West Ham United FC,1.02,15,1.18,4.5,1.6,2.25,2.45,1.5,4.25,1.2,0,0
