Date,League,Home_Team,Away_Team,URL,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5
9/21/2020,premier-league,Wolverhampton Wanderers FC,Manchester City FC,https://www.playnow.com/sports/sports/event/10184185/wolverhampton-wanderers-fc-v-manchester-city-fc,1.03,14,1.22,4.25,1.67,2.1,2.65,1.44,4.75,1.16,0,0
9/21/2020,premier-league,Aston Villa FC,Sheffield United FC,https://www.playnow.com/sports/sports/event/10184182/aston-villa-fc-v-sheffield-united-fc,1.08,8,1.38,2.8,2.2,1.62,3.9,1.22,7.5,1.07,0,0
9/20/2020,premier-league,Leicester City FC,Burnley FC,https://www.playnow.com/sports/sports/event/10184189/leicester-city-fc-v-burnley-fc,1.05,10,1.28,3.5,1.87,1.87,3.2,1.33,5.75,1.11,0,0
9/20/2020,premier-league,Chelsea FC,Liverpool FC,https://www.playnow.com/sports/sports/event/10184187/chelsea-fc-v-liverpool-fc,1.03,15,1.18,4.5,1.6,2.25,2.45,1.5,4.25,1.2,0,0
9/20/2020,premier-league,Newcastle United FC,Brighton & Hove Albion FC,https://www.playnow.com/sports/sports/event/10184184/newcastle-united-fc-v-brighton-and-hove-albion-fc,1.09,7,1.44,2.65,2.35,1.57,4.25,1.2,8,1.05,0,0
9/20/2020,premier-league,Southampton FC,Tottenham Hotspur FC,https://www.playnow.com/sports/sports/event/10184191/southampton-fc-v-tottenham-hotspur-fc,1.05,10,1.3,3.4,1.95,1.83,3.25,1.3,6,1.1,0,0
9/19/2020,premier-league,Arsenal FC,West Ham United FC,https://www.playnow.com/sports/sports/event/10184186/arsenal-fc-v-west-ham-united-fc,1.02,15,1.18,4.5,1.6,2.25,2.45,1.5,4.25,1.2,0,0
9/19/2020,premier-league,Everton FC,West Bromwich Albion,https://www.playnow.com/sports/sports/event/10184188/everton-fc-v-west-bromwich-albion,1.04,12,1.25,3.75,1.8,1.95,2.9,1.38,5.25,1.13,0,0
9/19/2020,premier-league,Leeds United,Fulham FC,https://www.playnow.com/sports/sports/event/10184190/leeds-united-v-fulham-fc,1.05,10,1.28,3.4,1.87,1.87,3.2,1.33,5.75,1.11,0,0
9/19/2020,premier-league,Manchester United FC,Crystal Palace FC,https://www.playnow.com/sports/sports/event/10184183/manchester-united-fc-v-crystal-palace-fc,1.03,15,1.2,4.25,1.62,2.2,2.55,1.47,4.5,1.18,0,0
