Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
07.05.2005,2005,Blackpool,Barnsley,0,2
07.05.2005,2005,Bournemouth,Hartlepool,2,2
07.05.2005,2005,Brentford,Hull,2,1
07.05.2005,2005,Colchester,Torquay,2,1
07.05.2005,2005,Doncaster,Luton,3,3
07.05.2005,2005,MK Dons,Tranmere,2,1
07.05.2005,2005,Oldham,Bradford City,2,1
07.05.2005,2005,Port Vale,Peterborough,1,0
07.05.2005,2005,Sheffield Wed,Bristol City,2,3
07.05.2005,2005,Swindon,Chesterfield,1,1
07.05.2005,2005,Walsall,Stockport,3,0
07.05.2005,2005,Wrexham,Huddersfield,0,1
03.05.2005,2005,Wrexham,Brentford,1,2
30.04.2005,2005,Barnsley,Colchester,1,1
30.04.2005,2005,Bradford City,Bournemouth,4,2
30.04.2005,2005,Bristol City,Doncaster,2,2
30.04.2005,2005,Chesterfield,Oldham,1,0
30.04.2005,2005,Hartlepool,Walsall,1,3
30.04.2005,2005,Huddersfield,Swindon,4,0
30.04.2005,2005,Hull,Sheffield Wed,1,2
30.04.2005,2005,Luton,Brentford,4,2
30.04.2005,2005,Peterborough,MK Dons,0,3
30.04.2005,2005,Stockport,Wrexham,1,4
30.04.2005,2005,Torquay,Blackpool,2,0
29.04.2005,2005,Tranmere,Port Vale,1,0
26.04.2005,2005,Port Vale,Wrexham,0,2
23.04.2005,2005,Blackpool,Chesterfield,1,0
23.04.2005,2005,Bournemouth,Peterborough,0,1
23.04.2005,2005,Brentford,Huddersfield,0,1
23.04.2005,2005,Colchester,Bradford City,0,0
23.04.2005,2005,Doncaster,Hartlepool,2,0
23.04.2005,2005,MK Dons,Bristol City,1,2
23.04.2005,2005,Oldham,Torquay,1,2
23.04.2005,2005,Port Vale,Barnsley,5,0
23.04.2005,2005,Sheffield Wed,Stockport,0,0
23.04.2005,2005,Swindon,Tranmere,2,1
23.04.2005,2005,Walsall,Hull,3,0
23.04.2005,2005,Wrexham,Luton,1,2
16.04.2005,2005,Barnsley,Oldham,2,2
16.04.2005,2005,Bradford City,Brentford,4,1
16.04.2005,2005,Bristol City,Wrexham,1,0
16.04.2005,2005,Chesterfield,Bournemouth,2,3
16.04.2005,2005,Huddersfield,Colchester,2,2
16.04.2005,2005,Hull,Swindon,0,0
16.04.2005,2005,Luton,MK Dons,1,0
16.04.2005,2005,Peterborough,Walsall,0,2
16.04.2005,2005,Stockport,Doncaster,2,4
16.04.2005,2005,Torquay,Port Vale,1,0
16.04.2005,2005,Tranmere,Blackpool,0,0
15.04.2005,2005,Hartlepool,Sheffield Wed,3,0
13.04.2005,2005,Swindon,Bristol City,0,0
12.04.2005,2005,Stockport,Blackpool,0,1
12.04.2005,2005,Brentford,Tranmere,1,0
10.04.2005,2005,Bradford City,Hull,0,2
09.04.2005,2005,Blackpool,Peterborough,0,1
09.04.2005,2005,Bournemouth,Luton,0,1
09.04.2005,2005,Brentford,Bristol City,1,0
09.04.2005,2005,Colchester,Hartlepool,1,1
09.04.2005,2005,Huddersfield,Doncaster,3,1
09.04.2005,2005,Oldham,Sheffield Wed,1,1
09.04.2005,2005,Port Vale,Chesterfield,1,0
09.04.2005,2005,Swindon,Walsall,1,2
09.04.2005,2005,Torquay,MK Dons,1,0
08.04.2005,2005,Tranmere,Stockport,1,0
05.04.2005,2005,Barnsley,Wrexham,2,2
05.04.2005,2005,Bristol City,Bournemouth,0,2
05.04.2005,2005,Hartlepool,Peterborough,2,2
02.04.2005,2005,Bristol City,Port Vale,2,0
02.04.2005,2005,Chesterfield,Bradford City,0,0
02.04.2005,2005,Hartlepool,Swindon,3,0
02.04.2005,2005,Hull,Barnsley,2,1
02.04.2005,2005,Luton,Blackpool,1,0
02.04.2005,2005,MK Dons,Oldham,1,1
02.04.2005,2005,Peterborough,Huddersfield,1,2
02.04.2005,2005,Sheffield Wed,Tranmere,1,2
02.04.2005,2005,Stockport,Brentford,1,2
02.04.2005,2005,Walsall,Torquay,1,1
02.04.2005,2005,Wrexham,Bournemouth,1,2
01.04.2005,2005,Doncaster,Colchester,1,1
29.03.2005,2005,Huddersfield,Sheffield Wed,1,0
28.03.2005,2005,Barnsley,Walsall,3,2
28.03.2005,2005,Blackpool,Hartlepool,2,2
28.03.2005,2005,Bournemouth,MK Dons,0,1
28.03.2005,2005,Bradford City,Stockport,3,1
28.03.2005,2005,Brentford,Peterborough,0,0
28.03.2005,2005,Colchester,Chesterfield,1,0
28.03.2005,2005,Oldham,Hull,1,0
28.03.2005,2005,Torquay,Luton,1,4
28.03.2005,2005,Tranmere,Doncaster,2,4
26.03.2005,2005,Chesterfield,Tranmere,2,2
26.03.2005,2005,Hull,Port Vale,2,2
26.03.2005,2005,Sheffield Wed,Torquay,2,2
26.03.2005,2005,Walsall,Oldham,0,1
25.03.2005,2005,Hartlepool,Huddersfield,0,1
25.03.2005,2005,Luton,Barnsley,1,3
25.03.2005,2005,MK Dons,Swindon,1,1
25.03.2005,2005,Peterborough,Colchester,0,3
24.03.2005,2005,Doncaster,Bradford City,1,1
22.03.2005,2005,Blackpool,Brentford,2,1
19.03.2005,2005,Barnsley,MK Dons,1,1
19.03.2005,2005,Blackpool,Doncaster,1,1
