Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
Yesterday,2021,Carlisle,Southend,2,0
Yesterday,2021,Colchester,Bolton,2,0
Yesterday,2021,Crawley,Scunthorpe,1,0
Yesterday,2021,Exeter,Port Vale,0,2
Yesterday,2021,Forest Green,Bradford City,2,2
Yesterday,2021,Grimsby,Salford,0,4
Yesterday,2021,Harrogate,Walsall,2,2
Yesterday,2021,Leyton Orient,Mansfield,2,2
Yesterday,2021,Morecambe,Cambridge Utd,0,5
Yesterday,2021,Newport,Barrow,2,1
Yesterday,2021,Stevenage,Oldham,3,0
Yesterday,2021,Tranmere,Cheltenham,0,3
12.09.,2021,Barrow,Stevenage,1,1
12.09.,2021,Bolton,Forest Green,0,1
12.09.,2021,Bradford City,Colchester,0,0
12.09.,2021,Cambridge Utd,Carlisle,3,0
12.09.,2021,Cheltenham,Morecambe,1,2
12.09.,2021,Mansfield,Tranmere,0,0
12.09.,2021,Oldham,Leyton Orient,0,1
12.09.,2021,Port Vale,Crawley,2,0
12.09.,2021,Salford,Exeter,2,2
12.09.,2021,Scunthorpe,Newport,1,1
12.09.,2021,Southend,Harrogate,0,4
12.09.,2021,Walsall,Grimsby,1,0
