Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
28.04.2012,2012,Alfreton,Bath,2,1
28.04.2012,2012,Barrow,Newport,3,1
28.04.2012,2012,Darlington,Kettering,3,1
28.04.2012,2012,Ebbsfleet,Lincoln,2,3
28.04.2012,2012,Fleetwood,Luton,0,2
28.04.2012,2012,Gateshead,AFC Telford,3,0
28.04.2012,2012,Grimsby,Southport,0,1
28.04.2012,2012,Hayes & Yeading,Stockport,1,2
28.04.2012,2012,Kidderminster,Mansfield,0,3
28.04.2012,2012,Tamworth,Cambridge Utd,2,2
28.04.2012,2012,Wrexham,Braintree,5,1
28.04.2012,2012,York,Forest Green,1,0
24.04.2012,2012,Gateshead,Luton,0,0
24.04.2012,2012,Newport,Wrexham,0,1
21.04.2012,2012,AFC Telford,Grimsby,0,0
21.04.2012,2012,Bath,Gateshead,4,2
21.04.2012,2012,Braintree,York,0,1
21.04.2012,2012,Cambridge Utd,Fleetwood,2,0
21.04.2012,2012,Forest Green,Darlington,2,0
21.04.2012,2012,Kettering,Barrow,1,1
21.04.2012,2012,Lincoln,Hayes & Yeading,0,1
21.04.2012,2012,Luton,Kidderminster,1,0
21.04.2012,2012,Newport,Alfreton,1,0
21.04.2012,2012,Southport,Ebbsfleet,3,3
21.04.2012,2012,Stockport,Tamworth,2,0
20.04.2012,2012,Mansfield,Wrexham,2,0
17.04.2012,2012,AFC Telford,Tamworth,1,0
17.04.2012,2012,Cambridge Utd,York,0,1
17.04.2012,2012,Luton,Ebbsfleet,3,0
17.04.2012,2012,Newport,Darlington,0,0
14.04.2012,2012,Alfreton,Luton,0,0
14.04.2012,2012,Barrow,Cambridge Utd,1,3
14.04.2012,2012,Darlington,Bath,2,2
14.04.2012,2012,Ebbsfleet,AFC Telford,3,2
14.04.2012,2012,Gateshead,Forest Green,1,0
14.04.2012,2012,Hayes & Yeading,Mansfield,1,3
14.04.2012,2012,Kidderminster,Kettering,6,1
14.04.2012,2012,Stockport,Braintree,1,1
14.04.2012,2012,Tamworth,Southport,2,2
14.04.2012,2012,Wrexham,Grimsby,2,2
14.04.2012,2012,York,Newport,1,1
13.04.2012,2012,Fleetwood,Lincoln,2,2
10.04.2012,2012,Fleetwood,Wrexham,1,1
09.04.2012,2012,Alfreton,York,0,2
