Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
11.05.2003,2003,Birmingham,West Ham,2,2
11.05.2003,2003,Bolton,Middlesbrough,2,1
11.05.2003,2003,Charlton,Fulham,0,1
11.05.2003,2003,Chelsea,Liverpool,2,1
11.05.2003,2003,Everton,Manchester Utd,1,2
11.05.2003,2003,Leeds,Aston Villa,3,1
11.05.2003,2003,Manchester City,Southampton,0,1
11.05.2003,2003,Sunderland,Arsenal,0,4
11.05.2003,2003,Tottenham,Blackburn,0,4
11.05.2003,2003,West Brom,Newcastle,2,2
07.05.2003,2003,Arsenal,Southampton,6,1
04.05.2003,2003,Arsenal,Leeds,2,3
03.05.2003,2003,Aston Villa,Sunderland,1,0
03.05.2003,2003,Blackburn,West Brom,1,1
03.05.2003,2003,Fulham,Everton,2,0
03.05.2003,2003,Liverpool,Manchester City,1,2
03.05.2003,2003,Manchester Utd,Charlton,4,1
03.05.2003,2003,Middlesbrough,Tottenham,5,1
03.05.2003,2003,Newcastle,Birmingham,1,0
03.05.2003,2003,Southampton,Bolton,0,0
03.05.2003,2003,West Ham,Chelsea,1,0
27.04.2003,2003,Manchester City,West Ham,0,1
27.04.2003,2003,Tottenham,Manchester Utd,0,2
26.04.2003,2003,Birmingham,Middlesbrough,3,0
26.04.2003,2003,Bolton,Arsenal,2,2
26.04.2003,2003,Charlton,Southampton,2,1
26.04.2003,2003,Chelsea,Fulham,1,1
26.04.2003,2003,Everton,Aston Villa,2,1
26.04.2003,2003,Leeds,Blackburn,2,3
26.04.2003,2003,Sunderland,Newcastle,0,1
26.04.2003,2003,West Brom,Liverpool,0,6
22.04.2003,2003,Leeds,Fulham,2,0
21.04.2003,2003,Birmingham,Southampton,3,2
21.04.2003,2003,Blackburn,Bolton,0,0
21.04.2003,2003,Chelsea,Everton,4,1
21.04.2003,2003,Liverpool,Charlton,2,1
21.04.2003,2003,Manchester City,Sunderland,3,0
21.04.2003,2003,Newcastle,Aston Villa,1,1
21.04.2003,2003,West Brom,Tottenham,2,3
21.04.2003,2003,West Ham,Middlesbrough,1,0
19.04.2003,2003,Aston Villa,Chelsea,2,1
19.04.2003,2003,Bolton,West Ham,1,0
19.04.2003,2003,Charlton,Birmingham,0,2
19.04.2003,2003,Everton,Liverpool,1,2
19.04.2003,2003,Fulham,Newcastle,2,1
19.04.2003,2003,Manchester Utd,Blackburn,3,1
19.04.2003,2003,Middlesbrough,Arsenal,0,2
19.04.2003,2003,Southampton,Leeds,3,2
19.04.2003,2003,Sunderland,West Brom,1,2
18.04.2003,2003,Tottenham,Manchester City,0,2
16.04.2003,2003,Arsenal,Manchester Utd,2,2
12.04.2003,2003,Birmingham,Sunderland,2,0
12.04.2003,2003,Blackburn,Charlton,1,0
12.04.2003,2003,Chelsea,Bolton,1,0
12.04.2003,2003,Leeds,Tottenham,2,2
12.04.2003,2003,Liverpool,Fulham,2,0
12.04.2003,2003,Manchester City,Middlesbrough,0,0
12.04.2003,2003,Newcastle,Manchester Utd,2,6
12.04.2003,2003,West Brom,Everton,1,2
12.04.2003,2003,West Ham,Aston Villa,2,2
07.04.2003,2003,Fulham,Blackburn,0,4
06.04.2003,2003,Everton,Newcastle,2,1
05.04.2003,2003,Aston Villa,Arsenal,1,1
05.04.2003,2003,Bolton,Manchester City,2,0
05.04.2003,2003,Charlton,Leeds,1,6
05.04.2003,2003,Manchester Utd,Liverpool,4,0
05.04.2003,2003,Middlesbrough,West Brom,3,0
05.04.2003,2003,Southampton,West Ham,1,1
05.04.2003,2003,Sunderland,Chelsea,1,2
05.04.2003,2003,Tottenham,Birmingham,2,1
24.03.2003,2003,Bolton,Tottenham,1,0
23.03.2003,2003,Arsenal,Everton,2,1
23.03.2003,2003,Liverpool,Leeds,3,1
22.03.2003,2003,Birmingham,West Brom,1,0
22.03.2003,2003,Chelsea,Manchester City,5,0
22.03.2003,2003,Manchester Utd,Fulham,3,0
22.03.2003,2003,Middlesbrough,Charlton,1,1
22.03.2003,2003,Newcastle,Blackburn,5,1
22.03.2003,2003,Southampton,Aston Villa,2,2
22.03.2003,2003,West Ham,Sunderland,2,0
16.03.2003,2003,Manchester City,Birmingham,1,0
16.03.2003,2003,Tottenham,Liverpool,2,3
16.03.2003,2003,West Brom,Chelsea,0,2
15.03.2003,2003,Aston Villa,Manchester Utd,0,1
15.03.2003,2003,Blackburn,Arsenal,2,0
15.03.2003,2003,Charlton,Newcastle,0,2
15.03.2003,2003,Everton,West Ham,0,0
15.03.2003,2003,Fulham,Southampton,2,2
15.03.2003,2003,Leeds,Middlesbrough,2,3
15.03.2003,2003,Sunderland,Bolton,0,2
08.03.2003,2003,Liverpool,Bolton,2,0
05.03.2003,2003,Manchester Utd,Leeds,2,1
05.03.2003,2003,Middlesbrough,Newcastle,1,0
03.03.2003,2003,Aston Villa,Birmingham,0,2
02.03.2003,2003,Arsenal,Charlton,2,0
01.03.2003,2003,Blackburn,Manchester City,1,0
01.03.2003,2003,Fulham,Sunderland,1,0
01.03.2003,2003,Middlesbrough,Everton,1,1
01.03.2003,2003,Newcastle,Chelsea,2,1
01.03.2003,2003,Southampton,West Brom,1,0
01.03.2003,2003,West Ham,Tottenham,2,0
24.02.2003,2003,Tottenham,Fulham,1,1
23.02.2003,2003,Birmingham,Liverpool,2,1
23.02.2003,2003,West Brom,West Ham,1,2
22.02.2003,2003,Bolton,Manchester Utd,1,1
22.02.2003,2003,Charlton,Aston Villa,3,0
22.02.2003,2003,Chelsea,Blackburn,1,2
22.02.2003,2003,Everton,Southampton,2,1
22.02.2003,2003,Leeds,Newcastle,0,3
22.02.2003,2003,Manchester City,Arsenal,1,5
22.02.2003,2003,Sunderland,Middlesbrough,1,3
19.02.2003,2003,Fulham,West Brom,3,0
09.02.2003,2003,Manchester Utd,Manchester City,1,1
09.02.2003,2003,Newcastle,Arsenal,1,1
08.02.2003,2003,Birmingham,Chelsea,1,3
08.02.2003,2003,Blackburn,Southampton,1,0
08.02.2003,2003,Charlton,Everton,2,1
08.02.2003,2003,Fulham,Aston Villa,2,1
08.02.2003,2003,Leeds,West Ham,1,0
08.02.2003,2003,Liverpool,Middlesbrough,1,1
08.02.2003,2003,Tottenham,Sunderland,4,1
08.02.2003,2003,West Brom,Bolton,1,1
04.02.2003,2003,Birmingham,Manchester Utd,0,1
02.02.2003,2003,Aston Villa,Blackburn,3,0
02.02.2003,2003,West Ham,Liverpool,0,3
01.02.2003,2003,Arsenal,Fulham,2,1
01.02.2003,2003,Bolton,Birmingham,4,2
01.02.2003,2003,Chelsea,Tottenham,1,1
01.02.2003,2003,Everton,Leeds,2,0
01.02.2003,2003,Manchester City,West Brom,1,2
01.02.2003,2003,Southampton,Manchester Utd,0,2
01.02.2003,2003,Sunderland,Charlton,1,3
29.01.2003,2003,Liverpool,Arsenal,2,2
29.01.2003,2003,Manchester City,Fulham,4,1
29.01.2003,2003,Tottenham,Newcastle,0,1
29.01.2003,2003,West Brom,Charlton,0,1
29.01.2003,2003,West Ham,Blackburn,2,1
28.01.2003,2003,Bolton,Everton,1,2
28.01.2003,2003,Chelsea,Leeds,3,2
28.01.2003,2003,Middlesbrough,Aston Villa,2,5
28.01.2003,2003,Sunderland,Southampton,0,1
22.01.2003,2003,Charlton,West Ham,4,2
22.01.2003,2003,Newcastle,Bolton,1,0
19.01.2003,2003,Arsenal,West Ham,3,1
19.01.2003,2003,Fulham,Middlesbrough,1,0
18.01.2003,2003,Aston Villa,Tottenham,0,1
18.01.2003,2003,Blackburn,Birmingham,1,1
18.01.2003,2003,Charlton,Bolton,1,1
18.01.2003,2003,Everton,Sunderland,2,1
18.01.2003,2003,Leeds,West Brom,0,0
18.01.2003,2003,Manchester Utd,Chelsea,2,1
18.01.2003,2003,Newcastle,Manchester City,2,0
18.01.2003,2003,Southampton,Liverpool,0,1
12.01.2003,2003,Birmingham,Arsenal,0,4
12.01.2003,2003,Tottenham,Everton,4,3
11.01.2003,2003,Bolton,Fulham,0,0
11.01.2003,2003,Chelsea,Charlton,4,1
11.01.2003,2003,Liverpool,Aston Villa,1,1
11.01.2003,2003,Manchester City,Leeds,2,1
11.01.2003,2003,Middlesbrough,Southampton,2,2
11.01.2003,2003,Sunderland,Blackburn,0,0
11.01.2003,2003,West Brom,Manchester Utd,1,3
11.01.2003,2003,West Ham,Newcastle,2,2
01.01.2003,2003,Arsenal,Chelsea,3,2
01.01.2003,2003,Aston Villa,Bolton,2,0
01.01.2003,2003,Blackburn,Middlesbrough,1,0
01.01.2003,2003,Everton,Manchester City,2,2
01.01.2003,2003,Leeds,Birmingham,2,0
01.01.2003,2003,Manchester Utd,Sunderland,2,1
01.01.2003,2003,Newcastle,Liverpool,1,0
01.01.2003,2003,Southampton,Tottenham,1,0
29.12.2002,2003,Arsenal,Liverpool,1,1
29.12.2002,2003,Newcastle,Tottenham,2,1
28.12.2002,2003,Aston Villa,Middlesbrough,1,0
28.12.2002,2003,Blackburn,West Ham,2,2
28.12.2002,2003,Charlton,West Brom,1,0
28.12.2002,2003,Everton,Bolton,0,0
28.12.2002,2003,Fulham,Manchester City,0,1
28.12.2002,2003,Leeds,Chelsea,2,0
28.12.2002,2003,Manchester Utd,Birmingham,2,0
28.12.2002,2003,Southampton,Sunderland,2,1
26.12.2002,2003,Birmingham,Everton,1,1
26.12.2002,2003,Bolton,Newcastle,4,3
26.12.2002,2003,Chelsea,Southampton,0,0
26.12.2002,2003,Liverpool,Blackburn,1,1
26.12.2002,2003,Manchester City,Aston Villa,3,1
26.12.2002,2003,Middlesbrough,Manchester Utd,3,1
26.12.2002,2003,Sunderland,Leeds,1,2
26.12.2002,2003,Tottenham,Charlton,2,2
26.12.2002,2003,West Brom,Arsenal,1,2
26.12.2002,2003,West Ham,Fulham,1,1
23.12.2002,2003,Manchester City,Tottenham,2,3
22.12.2002,2003,Blackburn,Manchester Utd,1,0
22.12.2002,2003,Liverpool,Everton,0,0
21.12.2002,2003,Arsenal,Middlesbrough,2,0
21.12.2002,2003,Birmingham,Charlton,1,1
21.12.2002,2003,Chelsea,Aston Villa,2,0
21.12.2002,2003,Leeds,Southampton,1,1
