Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
27.04.2013,2013,Brentford,Doncaster,0,1
27.04.2013,2013,Bury,Yeovil,3,2
27.04.2013,2013,Carlisle,Colchester,0,2
27.04.2013,2013,Crawley,Hartlepool,2,2
27.04.2013,2013,Crewe,Walsall,2,0
27.04.2013,2013,Leyton Orient,Oldham,1,1
27.04.2013,2013,Notts Co,Coventry,2,2
27.04.2013,2013,Scunthorpe,Swindon,3,1
27.04.2013,2013,Sheffield Utd,Preston,0,0
27.04.2013,2013,Shrewsbury,Portsmouth,3,2
27.04.2013,2013,Stevenage,MK Dons,0,2
27.04.2013,2013,Tranmere,Bournemouth,0,0
23.04.2013,2013,Shrewsbury,Oldham,1,0
23.04.2013,2013,Crewe,Sheffield Utd,1,0
23.04.2013,2013,Crawley,Preston,1,0
20.04.2013,2013,Bournemouth,Carlisle,3,1
20.04.2013,2013,Colchester,Shrewsbury,0,0
20.04.2013,2013,Coventry,Leyton Orient,0,1
20.04.2013,2013,Doncaster,Notts Co,0,1
20.04.2013,2013,Hartlepool,Brentford,1,1
20.04.2013,2013,MK Dons,Scunthorpe,0,1
20.04.2013,2013,Oldham,Crawley,2,1
20.04.2013,2013,Portsmouth,Sheffield Utd,3,0
20.04.2013,2013,Preston,Tranmere,1,0
20.04.2013,2013,Swindon,Stevenage,3,0
20.04.2013,2013,Walsall,Bury,1,1
20.04.2013,2013,Yeovil,Crewe,1,0
16.04.2013,2013,Swindon,Crewe,4,1
16.04.2013,2013,Colchester,MK Dons,0,2
16.04.2013,2013,Sheffield Utd,Brentford,2,2
16.04.2013,2013,Bury,Scunthorpe,2,1
16.04.2013,2013,Oldham,Yeovil,1,0
13.04.2013,2013,Brentford,Portsmouth,3,2
13.04.2013,2013,Bury,Oldham,0,1
13.04.2013,2013,Carlisle,Preston,1,1
13.04.2013,2013,Crawley,Coventry,2,0
13.04.2013,2013,Crewe,Doncaster,1,2
13.04.2013,2013,Leyton Orient,MK Dons,2,0
13.04.2013,2013,Notts Co,Colchester,3,1
13.04.2013,2013,Scunthorpe,Walsall,1,1
13.04.2013,2013,Sheffield Utd,Swindon,2,0
13.04.2013,2013,Shrewsbury,Bournemouth,0,3
13.04.2013,2013,Stevenage,Yeovil,0,2
13.04.2013,2013,Tranmere,Hartlepool,0,1
10.04.2013,2013,Crewe,Brentford,0,2
09.04.2013,2013,Doncaster,Carlisle,0,2
09.04.2013,2013,Preston,Oldham,2,0
09.04.2013,2013,MK Dons,Swindon,2,0
09.04.2013,2013,Sheffield Utd,Crawley,0,2
06.04.2013,2013,Bournemouth,Notts Co,3,1
06.04.2013,2013,Colchester,Leyton Orient,2,1
06.04.2013,2013,Coventry,Brentford,1,1
06.04.2013,2013,Doncaster,Tranmere,1,0
06.04.2013,2013,Hartlepool,Bury,2,0
06.04.2013,2013,MK Dons,Crawley,0,0
06.04.2013,2013,Oldham,Carlisle,1,2
06.04.2013,2013,Portsmouth,Stevenage,0,0
06.04.2013,2013,Preston,Scunthorpe,3,0
06.04.2013,2013,Walsall,Sheffield Utd,1,1
06.04.2013,2013,Yeovil,Shrewsbury,2,1
01.04.2013,2013,Bournemouth,Scunthorpe,1,0
01.04.2013,2013,Crewe,Preston,1,0
01.04.2013,2013,Doncaster,Swindon,1,0
01.04.2013,2013,Leyton Orient,Bury,2,0
01.04.2013,2013,MK Dons,Brentford,2,0
01.04.2013,2013,Notts Co,Yeovil,1,2
01.04.2013,2013,Oldham,Colchester,1,1
01.04.2013,2013,Portsmouth,Tranmere,1,0
01.04.2013,2013,Sheffield Utd,Carlisle,0,0
01.04.2013,2013,Shrewsbury,Crawley,3,0
01.04.2013,2013,Stevenage,Hartlepool,1,0
01.04.2013,2013,Walsall,Coventry,4,0
29.03.2013,2013,Brentford,Notts Co,2,1
29.03.2013,2013,Bury,Crewe,2,2
29.03.2013,2013,Carlisle,Shrewsbury,2,2
29.03.2013,2013,Colchester,Bournemouth,0,1
29.03.2013,2013,Coventry,Doncaster,1,0
29.03.2013,2013,Crawley,Stevenage,1,1
29.03.2013,2013,Hartlepool,MK Dons,0,2
29.03.2013,2013,Preston,Portsmouth,1,1
29.03.2013,2013,Scunthorpe,Leyton Orient,2,1
29.03.2013,2013,Swindon,Oldham,1,1
29.03.2013,2013,Tranmere,Sheffield Utd,0,1
29.03.2013,2013,Yeovil,Walsall,0,0
26.03.2013,2013,Crawley,Crewe,2,0
24.03.2013,2013,Tranmere,Stevenage,3,1
23.03.2013,2013,Bournemouth,Bury,4,1
23.03.2013,2013,Carlisle,Yeovil,3,3
23.03.2013,2013,Hartlepool,Walsall,0,0
23.03.2013,2013,Portsmouth,Coventry,2,0
23.03.2013,2013,Preston,Leyton Orient,0,0
23.03.2013,2013,Scunthorpe,Doncaster,2,3
23.03.2013,2013,Swindon,Notts Co,0,0
19.03.2013,2013,Yeovil,Swindon,0,2
19.03.2013,2013,Oldham,Hartlepool,3,0
19.03.2013,2013,Bury,Stevenage,2,0
19.03.2013,2013,Crewe,MK Dons,2,1
16.03.2013,2013,Brentford,Preston,1,0
16.03.2013,2013,Bury,Colchester,1,2
16.03.2013,2013,Coventry,Hartlepool,1,0
16.03.2013,2013,Crewe,Shrewsbury,1,1
16.03.2013,2013,Doncaster,Portsmouth,1,1
16.03.2013,2013,Leyton Orient,Carlisle,4,1
16.03.2013,2013,MK Dons,Tranmere,3,0
16.03.2013,2013,Notts Co,Scunthorpe,1,0
16.03.2013,2013,Oldham,Bournemouth,0,1
16.03.2013,2013,Stevenage,Sheffield Utd,4,0
16.03.2013,2013,Walsall,Crawley,2,2
12.03.2013,2013,Brentford,Swindon,2,1
12.03.2013,2013,Coventry,Colchester,2,2
12.03.2013,2013,Leyton Orient,Portsmouth,1,0
12.03.2013,2013,MK Dons,Shrewsbury,2,3
12.03.2013,2013,Notts Co,Preston,0,1
12.03.2013,2013,Stevenage,Bournemouth,0,1
12.03.2013,2013,Walsall,Tranmere,2,0
12.03.2013,2013,Yeovil,Crawley,2,2
09.03.2013,2013,Bournemouth,Doncaster,1,2
09.03.2013,2013,Carlisle,Brentford,2,0
09.03.2013,2013,Colchester,Crewe,1,2
09.03.2013,2013,Crawley,Notts Co,0,0
09.03.2013,2013,Hartlepool,Yeovil,0,0
09.03.2013,2013,Portsmouth,Bury,2,0
09.03.2013,2013,Preston,Stevenage,2,0
09.03.2013,2013,Scunthorpe,Coventry,1,2
09.03.2013,2013,Sheffield Utd,MK Dons,0,0
09.03.2013,2013,Shrewsbury,Leyton Orient,0,2
09.03.2013,2013,Swindon,Walsall,2,2
09.03.2013,2013,Tranmere,Oldham,1,0
06.03.2013,2013,Notts Co,Leyton Orient,1,1
05.03.2013,2013,MK Dons,Doncaster,3,0
05.03.2013,2013,Stevenage,Brentford,1,0
05.03.2013,2013,Crawley,Carlisle,1,1
05.03.2013,2013,Hartlepool,Colchester,0,0
02.03.2013,2013,Brentford,Scunthorpe,1,0
02.03.2013,2013,Bury,Crawley,0,2
02.03.2013,2013,Coventry,Swindon,1,2
02.03.2013,2013,Crewe,Portsmouth,1,2
02.03.2013,2013,Doncaster,Hartlepool,3,0
02.03.2013,2013,Leyton Orient,Bournemouth,3,1
02.03.2013,2013,MK Dons,Preston,1,1
02.03.2013,2013,Notts Co,Carlisle,1,0
02.03.2013,2013,Oldham,Sheffield Utd,0,2
02.03.2013,2013,Stevenage,Colchester,0,2
02.03.2013,2013,Walsall,Shrewsbury,3,1
02.03.2013,2013,Yeovil,Tranmere,1,0
26.02.2013,2013,Bournemouth,Coventry,0,2
26.02.2013,2013,Carlisle,Walsall,0,3
26.02.2013,2013,Colchester,Yeovil,2,0
26.02.2013,2013,Crawley,Brentford,1,2
26.02.2013,2013,Hartlepool,Crewe,3,0
26.02.2013,2013,Portsmouth,MK Dons,1,1
26.02.2013,2013,Scunthorpe,Stevenage,1,0
26.02.2013,2013,Sheffield Utd,Leyton Orient,0,0
26.02.2013,2013,Shrewsbury,Doncaster,1,2
26.02.2013,2013,Swindon,Bury,0,1
26.02.2013,2013,Tranmere,Notts Co,1,1
23.02.2013,2013,Bournemouth,Sheffield Utd,0,1
23.02.2013,2013,Brentford,Walsall,0,0
23.02.2013,2013,Carlisle,MK Dons,1,1
23.02.2013,2013,Colchester,Tranmere,1,5
23.02.2013,2013,Coventry,Crewe,1,2
23.02.2013,2013,Doncaster,Yeovil,1,1
23.02.2013,2013,Leyton Orient,Crawley,0,1
23.02.2013,2013,Oldham,Portsmouth,1,0
23.02.2013,2013,Scunthorpe,Hartlepool,1,2
23.02.2013,2013,Shrewsbury,Stevenage,2,1
23.02.2013,2013,Swindon,Preston,1,1
22.02.2013,2013,Notts Co,Bury,4,1
19.02.2013,2013,Stevenage,Oldham,1,2
19.02.2013,2013,Tranmere,Swindon,1,3
18.02.2013,2013,Crawley,Doncaster,1,1
16.02.2013,2013,Bury,Coventry,0,2
16.02.2013,2013,Hartlepool,Leyton Orient,2,1
16.02.2013,2013,Portsmouth,Carlisle,1,1
16.02.2013,2013,Preston,Bournemouth,2,0
16.02.2013,2013,Sheffield Utd,Colchester,3,0
16.02.2013,2013,Walsall,Notts Co,1,1
16.02.2013,2013,Yeovil,Scunthorpe,3,0
15.02.2013,2013,Tranmere,Shrewsbury,0,2
12.02.2013,2013,Yeovil,Preston,3,1
12.02.2013,2013,Bury,Sheffield Utd,0,2
12.02.2013,2013,Brentford,Stevenage,2,0
12.02.2013,2013,Crewe,Bournemouth,1,2
12.02.2013,2013,Doncaster,MK Dons,0,0
12.02.2013,2013,Hartlepool,Portsmouth,0,0
12.02.2013,2013,Scunthorpe,Carlisle,3,1
09.02.2013,2013,Bournemouth,Portsmouth,2,0
09.02.2013,2013,Brentford,Bury,2,2
09.02.2013,2013,Carlisle,Stevenage,2,1
09.02.2013,2013,Colchester,Preston,1,0
09.02.2013,2013,Coventry,Yeovil,0,1
09.02.2013,2013,Doncaster,Walsall,1,2
09.02.2013,2013,Leyton Orient,Tranmere,2,1
09.02.2013,2013,Notts Co,Crewe,1,1
09.02.2013,2013,Oldham,MK Dons,3,1
