Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
04.05.2019,2019,Bury,Port Vale,1,1
04.05.2019,2019,Crawley,Tranmere,3,1
04.05.2019,2019,Forest Green,Exeter,0,0
04.05.2019,2019,Grimsby,Crewe,2,0
04.05.2019,2019,Lincoln,Colchester,0,3
04.05.2019,2019,Macclesfield,Cambridge Utd,1,1
04.05.2019,2019,MK Dons,Mansfield,1,0
04.05.2019,2019,Morecambe,Newport,1,1
04.05.2019,2019,Oldham,Northampton,2,5
04.05.2019,2019,Stevenage,Cheltenham,2,0
04.05.2019,2019,Swindon,Notts Co,3,1
04.05.2019,2019,Yeovil,Carlisle,0,0
30.04.2019,2019,Tranmere,Bury,1,1
30.04.2019,2019,Newport,Oldham,2,0
27.04.2019,2019,Cambridge Utd,Morecambe,1,2
27.04.2019,2019,Carlisle,Crawley,4,2
27.04.2019,2019,Cheltenham,Swindon,3,2
27.04.2019,2019,Colchester,MK Dons,2,0
27.04.2019,2019,Crewe,Forest Green,4,3
27.04.2019,2019,Exeter,Oldham,1,0
27.04.2019,2019,Mansfield,Stevenage,1,2
27.04.2019,2019,Newport,Lincoln,1,0
27.04.2019,2019,Northampton,Yeovil,2,2
27.04.2019,2019,Notts Co,Grimsby,2,1
27.04.2019,2019,Port Vale,Macclesfield,0,1
22.04.2019,2019,Bury,Northampton,3,1
22.04.2019,2019,Crawley,Notts Co,1,1
22.04.2019,2019,Forest Green,Cambridge Utd,2,1
22.04.2019,2019,Grimsby,Carlisle,1,0
22.04.2019,2019,Lincoln,Tranmere,0,0
22.04.2019,2019,Macclesfield,Newport,0,0
22.04.2019,2019,MK Dons,Port Vale,1,1
22.04.2019,2019,Morecambe,Cheltenham,4,0
22.04.2019,2019,Oldham,Mansfield,3,2
22.04.2019,2019,Stevenage,Exeter,1,1
22.04.2019,2019,Swindon,Crewe,1,2
22.04.2019,2019,Yeovil,Colchester,1,1
19.04.2019,2019,Cambridge Utd,Swindon,0,0
19.04.2019,2019,Carlisle,Lincoln,1,0
19.04.2019,2019,Cheltenham,Oldham,0,0
19.04.2019,2019,Colchester,Grimsby,1,0
19.04.2019,2019,Crewe,Yeovil,2,0
19.04.2019,2019,Exeter,Crawley,1,3
19.04.2019,2019,Mansfield,Morecambe,4,0
19.04.2019,2019,Newport,Bury,3,1
19.04.2019,2019,Northampton,Macclesfield,3,1
19.04.2019,2019,Notts Co,MK Dons,1,2
19.04.2019,2019,Port Vale,Stevenage,1,4
19.04.2019,2019,Tranmere,Forest Green,0,1
13.04.2019,2019,Bury,Colchester,2,0
13.04.2019,2019,Cambridge Utd,Newport,0,3
13.04.2019,2019,Crewe,Notts Co,3,0
13.04.2019,2019,Exeter,Port Vale,2,0
13.04.2019,2019,Forest Green,Macclesfield,2,0
13.04.2019,2019,Lincoln,Cheltenham,1,1
13.04.2019,2019,Morecambe,Grimsby,1,1
13.04.2019,2019,Northampton,Mansfield,1,1
13.04.2019,2019,Oldham,Swindon,2,2
13.04.2019,2019,Stevenage,Carlisle,3,0
13.04.2019,2019,Tranmere,MK Dons,2,1
13.04.2019,2019,Yeovil,Crawley,0,1
09.04.2019,2019,Macclesfield,Exeter,3,2
09.04.2019,2019,Newport,Swindon,0,0
06.04.2019,2019,Carlisle,Bury,3,2
06.04.2019,2019,Cheltenham,Exeter,1,1
06.04.2019,2019,Colchester,Oldham,0,2
06.04.2019,2019,Crawley,Forest Green,1,2
06.04.2019,2019,Grimsby,Stevenage,0,2
06.04.2019,2019,Macclesfield,Morecambe,1,1
06.04.2019,2019,Mansfield,Cambridge Utd,1,0
06.04.2019,2019,MK Dons,Lincoln,0,2
06.04.2019,2019,Newport,Tranmere,0,0
06.04.2019,2019,Notts Co,Northampton,2,2
06.04.2019,2019,Port Vale,Crewe,1,0
06.04.2019,2019,Swindon,Yeovil,1,1
02.04.2019,2019,Bury,Cambridge Utd,0,3
02.04.2019,2019,Oldham,Tranmere,2,0
30.03.2019,2019,Bury,Swindon,1,3
30.03.2019,2019,Cambridge Utd,Colchester,0,1
