Date,League,Home_Team,Away_Team,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5
6/20/2020,championship,Fulham,Brentford,1.03,8.5,1.22,3.4,1.9,1.76,3.4,1.24,6.75,1.05,15,1.01
6/20/2020,championship,West Brom,Birmingham,1.01,10,1.18,3.8,1.74,1.95,2.95,1.3,5.7,1.07,12,1.01
6/20/2020,championship,Blackburn,Bristol City,1.03,8.5,1.24,3.35,1.9,1.76,3.4,1.22,6.75,1.05,15,1.01
6/20/2020,championship,Huddersfield,Wigan,1.04,8,1.28,3.1,2,1.66,3.7,1.2,8,1.03,17,1.01
6/20/2020,championship,Hull,Charlton,1.02,9.5,1.2,3.5,1.85,1.8,3.2,1.24,6.25,1.06,13,1.01
6/20/2020,championship,Luton,Preston,1.03,8.5,1.22,3.45,1.85,1.8,3.25,1.24,6.5,1.05,14,1.01
6/20/2020,championship,Middlesbrough,Swansea,1.03,8.5,1.24,3.3,1.95,1.74,3.5,1.2,7.25,1.04,16,1.01
6/20/2020,championship,Millwall,Derby,1.04,8,1.28,3.15,2,1.68,3.6,1.2,7.5,1.04,17,1.01
6/20/2020,championship,QPR,Barnsley,1.01,10,1.14,4.3,1.64,2.05,2.7,1.4,5,1.1,10,1.01
6/20/2020,championship,Reading,Stoke,1.05,7,1.3,2.95,2.1,1.62,3.9,1.16,8,1.03,20,1
6/20/2020,championship,Sheff Wed,Nottm Forest,1.04,8,1.28,3.15,2,1.68,3.6,1.2,7.5,1.04,16,1.01
6/21/2020,championship,Cardiff,Leeds,1.02,9.5,1.22,3.4,1.85,1.8,3.35,1.24,6.5,1.05,15,1.01
