Date,League,Home_Team,Away_Team,URL,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5
2020-09-25,championship,AFC Bournemouth,Norwich City FC,https://www.playnow.com/sports/sports/event/10199993/afc-bournemouth-v-norwich-city-fc,1.05,10,1.28,3.2,1.9,1.83,3.2,1.3,5.75,1.1,0,0
2020-09-20,championship,Stoke City,Bristol City,https://www.playnow.com/sports/sports/event/10198977/stoke-city-v-bristol-city,1.06,8.5,1.33,2.9,2.05,1.7,3.5,1.25,6.5,1.08,0,0
2020-09-19,championship,Nottingham Forest,Cardiff City,https://www.playnow.com/sports/sports/event/10198901/nottingham-forest-v-cardiff-city,1.07,7.5,1.38,2.65,2.2,1.6,3.9,1.22,7,1.06,0,0
2020-09-19,championship,Blackburn Rovers,Wycombe Wanderers,https://www.playnow.com/sports/sports/event/10198909/blackburn-rovers-v-wycombe-wanderers,1.05,10,1.28,3.2,1.9,1.8,3.2,1.3,5.75,1.1,0,0
2020-09-19,championship,Brentford FC,Huddersfield Town,https://www.playnow.com/sports/sports/event/10198905/brentford-fc-v-huddersfield-town,1.05,9,1.3,3,1.95,1.75,3.4,1.28,6,1.09,0,0
2020-09-19,championship,Luton Town,Derby County,https://www.playnow.com/sports/sports/event/10198914/luton-town-v-derby-county,1.05,9,1.28,3.2,1.95,1.8,3.2,1.3,6,1.1,0,0
2020-09-19,championship,Middlesbrough FC,AFC Bournemouth,https://www.playnow.com/sports/sports/event/10198907/middlesbrough-fc-v-afc-bournemouth,1.06,8.5,1.33,2.8,2.05,1.67,3.6,1.25,6.5,1.07,0,0
2020-09-19,championship,Norwich City FC,Preston North End,https://www.playnow.com/sports/sports/event/10198929/norwich-city-fc-v-preston-north-end,1.05,9,1.3,3,1.95,1.75,3.4,1.28,6,1.09,0,0
2020-09-19,championship,Reading FC,Barnsley,https://www.playnow.com/sports/sports/event/10198910/reading-fc-v-barnsley,1.06,8.5,1.3,3,2,1.75,3.4,1.28,6.5,1.09,0,0
2020-09-19,championship,Rotherham United,Millwall FC,https://www.playnow.com/sports/sports/event/10198899/rotherham-united-v-millwall-fc,1.08,7,1.4,2.55,2.3,1.57,4,1.2,7.5,1.05,0,0
2020-09-19,championship,Sheffield Wednesday,Watford FC,https://www.playnow.com/sports/sports/event/10198904/sheffield-wednesday-v-watford-fc,1.08,7,1.4,2.55,2.25,1.57,4,1.2,7.5,1.05,0,0
2020-09-19,championship,Swansea City,Birmingham City,https://www.playnow.com/sports/sports/event/10198906/swansea-city-v-birmingham-city,1.07,8,1.36,2.75,2.1,1.62,3.6,1.25,7,1.07,0,0
