Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
04.11.2017,2017,Beijing Guoan,Changchun Yatai,1,2
04.11.2017,2017,Chongqing Lifan,Guangzhou R&F,0,2
04.11.2017,2017,Guangzhou Evergrande,Tianjin Tianhai,1,2
04.11.2017,2017,Liaoning,Shanghai Shenhua,1,4
04.11.2017,2017,Shandong Luneng,Hebei,5,4
04.11.2017,2017,Shanghai SIPG,Jiangsu Suning,2,3
04.11.2017,2017,Tianjin Teda,Henan Jianye,1,0
04.11.2017,2017,Yanbian,Guizhou Zhicheng,3,0
29.10.2017,2017,Changchun Yatai,Chongqing Lifan,3,1
29.10.2017,2017,Guangzhou R&F,Tianjin Teda,3,2
29.10.2017,2017,Guizhou Zhicheng,Shandong Luneng,3,0
29.10.2017,2017,Hebei,Guangzhou Evergrande,3,0
29.10.2017,2017,Henan Jianye,Shanghai SIPG,2,4
29.10.2017,2017,Jiangsu Suning,Beijing Guoan,1,0
29.10.2017,2017,Shanghai Shenhua,Yanbian,5,1
29.10.2017,2017,Tianjin Tianhai,Liaoning,4,1
25.10.2017,2017,Beijing Guoan,Chongqing Lifan,1,0
22.10.2017,2017,Changchun Yatai,Jiangsu Suning,3,1
22.10.2017,2017,Chongqing Lifan,Shanghai Shenhua,1,1
22.10.2017,2017,Guangzhou Evergrande,Guizhou Zhicheng,5,1
22.10.2017,2017,Shanghai SIPG,Guangzhou R&F,1,2
22.10.2017,2017,Tianjin Teda,Beijing Guoan,2,0
21.10.2017,2017,Tianjin Tianhai,Hebei,2,1
21.10.2017,2017,Yanbian,Henan Jianye,1,2
20.10.2017,2017,Shandong Luneng,Liaoning,3,1
15.10.2017,2017,Guangzhou R&F,Henan Jianye,3,2
15.10.2017,2017,Shanghai Shenhua,Tianjin Teda,1,2
14.10.2017,2017,Guizhou Zhicheng,Changchun Yatai,2,3
14.10.2017,2017,Hebei,Jiangsu Suning,3,2
14.10.2017,2017,Liaoning,Shanghai SIPG,3,3
14.10.2017,2017,Tianjin Tianhai,Shandong Luneng,0,0
13.10.2017,2017,Guangzhou Evergrande,Yanbian,4,3
28.09.2017,2017,Jiangsu Suning,Tianjin Tianhai,1,0
27.09.2017,2017,Tianjin Teda,Guizhou Zhicheng,3,1
24.09.2017,2017,Changchun Yatai,Hebei,0,0
24.09.2017,2017,Henan Jianye,Shandong Luneng,2,1
23.09.2017,2017,Jiangsu Suning,Guizhou Zhicheng,0,1
23.09.2017,2017,Shanghai Shenhua,Guangzhou R&F,3,1
23.09.2017,2017,Tianjin Teda,Tianjin Tianhai,4,1
23.09.2017,2017,Yanbian,Liaoning,1,0
22.09.2017,2017,Beijing Guoan,Shanghai SIPG,0,1
22.09.2017,2017,Chongqing Lifan,Guangzhou Evergrande,2,2
19.09.2017,2017,Shanghai Shenhua,Shandong Luneng,0,0
17.09.2017,2017,Guizhou Zhicheng,Henan Jianye,2,1
17.09.2017,2017,Jiangsu Suning,Guangzhou Evergrande,2,2
16.09.2017,2017,Guangzhou R&F,Beijing Guoan,2,1
16.09.2017,2017,Liaoning,Hebei,1,2
16.09.2017,2017,Shandong Luneng,Yanbian,1,1
16.09.2017,2017,Shanghai SIPG,Shanghai Shenhua,6,1
16.09.2017,2017,Tianjin Tianhai,Chongqing Lifan,2,1
15.09.2017,2017,Tianjin Teda,Changchun Yatai,1,5
10.09.2017,2017,Beijing Guoan,Yanbian,4,4
10.09.2017,2017,Chongqing Lifan,Liaoning,2,0
10.09.2017,2017,Hebei,Guangzhou R&F,2,1
