Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
21.04.2002,2002,Birmingham,Sheffield Utd,2,0
21.04.2002,2002,Burnley,Coventry,1,0
21.04.2002,2002,Crewe,Rotherham,2,0
21.04.2002,2002,Manchester City,Portsmouth,3,1
21.04.2002,2002,Millwall,Grimsby,3,1
21.04.2002,2002,Norwich,Stockport,2,0
21.04.2002,2002,Preston,Nottingham,2,1
21.04.2002,2002,Sheffield Wed,Wolves,2,2
21.04.2002,2002,Walsall,Bradford City,2,2
21.04.2002,2002,Watford,Gillingham,2,3
21.04.2002,2002,West Brom,Crystal Palace,2,0
21.04.2002,2002,Wimbledon FC,Barnsley,0,1
14.04.2002,2002,Wolves,Wimbledon FC,1,0
13.04.2002,2002,Barnsley,Norwich,0,2
13.04.2002,2002,Bradford City,West Brom,0,1
13.04.2002,2002,Crystal Palace,Preston,2,0
13.04.2002,2002,Gillingham,Manchester City,1,3
13.04.2002,2002,Grimsby,Burnley,3,1
13.04.2002,2002,Nottingham,Crewe,2,2
13.04.2002,2002,Portsmouth,Watford,0,1
13.04.2002,2002,Rotherham,Birmingham,2,2
13.04.2002,2002,Sheffield Utd,Walsall,0,1
13.04.2002,2002,Stockport,Sheffield Wed,3,1
12.04.2002,2002,Coventry,Millwall,0,1
10.04.2002,2002,Birmingham,Crewe,3,1
07.04.2002,2002,Birmingham,Portsmouth,1,1
07.04.2002,2002,Crewe,Crystal Palace,0,0
07.04.2002,2002,West Brom,Rotherham,1,1
06.04.2002,2002,Burnley,Gillingham,2,0
06.04.2002,2002,Manchester City,Barnsley,5,1
06.04.2002,2002,Norwich,Grimsby,1,1
06.04.2002,2002,Preston,Coventry,4,0
06.04.2002,2002,Sheffield Wed,Nottingham,0,2
06.04.2002,2002,Walsall,Stockport,1,0
06.04.2002,2002,Watford,Sheffield Utd,0,3
06.04.2002,2002,Wimbledon FC,Bradford City,1,2
05.04.2002,2002,Millwall,Wolves,1,0
04.04.2002,2002,Wimbledon FC,Crewe,2,0
01.04.2002,2002,Barnsley,Preston,2,1
01.04.2002,2002,Bradford City,Norwich,0,1
01.04.2002,2002,Coventry,West Brom,0,1
01.04.2002,2002,Crystal Palace,Birmingham,0,0
01.04.2002,2002,Gillingham,Crewe,1,0
01.04.2002,2002,Grimsby,Sheffield Wed,0,0
01.04.2002,2002,Nottingham,Walsall,2,3
01.04.2002,2002,Portsmouth,Burnley,1,1
01.04.2002,2002,Rotherham,Millwall,0,0
01.04.2002,2002,Sheffield Utd,Wimbledon FC,0,1
01.04.2002,2002,Stockport,Watford,2,1
01.04.2002,2002,Wolves,Manchester City,0,2
30.03.2002,2002,Birmingham,Grimsby,4,0
30.03.2002,2002,Burnley,Wolves,2,3
30.03.2002,2002,Crewe,Sheffield Utd,2,2
30.03.2002,2002,Manchester City,Nottingham,3,0
30.03.2002,2002,Millwall,Stockport,3,0
30.03.2002,2002,Norwich,Crystal Palace,2,1
30.03.2002,2002,Preston,Portsmouth,2,0
30.03.2002,2002,Walsall,Gillingham,1,1
30.03.2002,2002,West Brom,Barnsley,3,1
