Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
07.05.2006,2006,Arsenal,Wigan,4,2
07.05.2006,2006,Aston Villa,Sunderland,2,1
07.05.2006,2006,Blackburn,Manchester City,2,0
07.05.2006,2006,Bolton,Birmingham,1,0
07.05.2006,2006,Everton,West Brom,2,2
07.05.2006,2006,Fulham,Middlesbrough,1,0
07.05.2006,2006,Manchester Utd,Charlton,4,0
07.05.2006,2006,Newcastle,Chelsea,1,0
07.05.2006,2006,Portsmouth,Liverpool,1,3
07.05.2006,2006,West Ham,Tottenham,2,1
04.05.2006,2006,Manchester City,Arsenal,1,3
04.05.2006,2006,Sunderland,Fulham,2,1
03.05.2006,2006,Bolton,Middlesbrough,1,1
02.05.2006,2006,Blackburn,Chelsea,1,0
01.05.2006,2006,Sunderland,Arsenal,0,3
01.05.2006,2006,West Brom,West Ham,0,1
01.05.2006,2006,Manchester Utd,Middlesbrough,0,0
30.04.2006,2006,Tottenham,Bolton,1,0
29.04.2006,2006,Birmingham,Newcastle,0,0
29.04.2006,2006,Charlton,Blackburn,0,2
29.04.2006,2006,Chelsea,Manchester Utd,3,0
29.04.2006,2006,Liverpool,Aston Villa,3,1
29.04.2006,2006,Manchester City,Fulham,1,2
29.04.2006,2006,Middlesbrough,Everton,0,1
29.04.2006,2006,Wigan,Portsmouth,1,2
26.04.2006,2006,West Ham,Liverpool,1,2
25.04.2006,2006,Aston Villa,Manchester City,0,1
24.04.2006,2006,Fulham,Wigan,1,0
22.04.2006,2006,Arsenal,Tottenham,1,1
22.04.2006,2006,Bolton,Charlton,4,1
22.04.2006,2006,Everton,Birmingham,0,0
22.04.2006,2006,Newcastle,West Brom,3,0
22.04.2006,2006,Portsmouth,Sunderland,2,1
19.04.2006,2006,Birmingham,Blackburn,2,1
18.04.2006,2006,Wigan,Aston Villa,3,2
17.04.2006,2006,Charlton,Portsmouth,2,1
17.04.2006,2006,Chelsea,Everton,3,0
17.04.2006,2006,Middlesbrough,West Ham,2,0
17.04.2006,2006,Sunderland,Newcastle,1,4
17.04.2006,2006,Tottenham,Manchester Utd,1,2
17.04.2006,2006,West Brom,Bolton,0,0
16.04.2006,2006,Aston Villa,Birmingham,3,1
16.04.2006,2006,Blackburn,Liverpool,0,1
15.04.2006,2006,Arsenal,West Brom,3,1
15.04.2006,2006,Bolton,Chelsea,0,2
15.04.2006,2006,Everton,Tottenham,0,1
15.04.2006,2006,Fulham,Charlton,2,1
15.04.2006,2006,Newcastle,Wigan,3,1
15.04.2006,2006,Portsmouth,Middlesbrough,1,0
15.04.2006,2006,West Ham,Manchester City,1,0
14.04.2006,2006,Manchester Utd,Sunderland,0,0
12.04.2006,2006,Portsmouth,Arsenal,1,1
09.04.2006,2006,Aston Villa,West Brom,0,0
09.04.2006,2006,Chelsea,West Ham,4,1
09.04.2006,2006,Liverpool,Bolton,1,0
09.04.2006,2006,Manchester Utd,Arsenal,2,0
09.04.2006,2006,Middlesbrough,Newcastle,1,2
08.04.2006,2006,Charlton,Everton,0,0
08.04.2006,2006,Portsmouth,Blackburn,2,2
08.04.2006,2006,Tottenham,Manchester City,2,1
08.04.2006,2006,Wigan,Birmingham,1,1
04.04.2006,2006,Birmingham,Bolton,1,0
03.04.2006,2006,Blackburn,Wigan,1,1
02.04.2006,2006,Manchester City,Middlesbrough,0,1
02.04.2006,2006,West Ham,Charlton,0,0
01.04.2006,2006,Arsenal,Aston Villa,5,0
01.04.2006,2006,Birmingham,Chelsea,0,0
01.04.2006,2006,Bolton,Manchester Utd,1,2
01.04.2006,2006,Everton,Sunderland,2,2
01.04.2006,2006,Fulham,Portsmouth,1,3
01.04.2006,2006,Newcastle,Tottenham,3,1
01.04.2006,2006,West Brom,Liverpool,0,2
