Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
04.07.,2020,Chemnitzer,Hansa Rostock,4,2
04.07.,2020,Duisburg,Unterhaching,4,0
04.07.,2020,Jena,Grossaspach,1,0
04.07.,2020,Kaiserslautern,Bayern II,1,0
04.07.,2020,Magdeburg,Preussen Munster,2,2
04.07.,2020,Mannheim,Zwickau,0,0
04.07.,2020,Meppen,Braunschweig,4,3
04.07.,2020,Munich 1860,Ingolstadt,0,2
04.07.,2020,Uerdingen,Viktoria Koln,1,1
04.07.,2020,Wurzburger Kickers,Hallescher,2,2
01.07.,2020,Bayern II,Duisburg,2,2
01.07.,2020,Braunschweig,Mannheim,3,2
01.07.,2020,Grossaspach,Munich 1860,2,4
01.07.,2020,Hallescher,Kaiserslautern,1,1
01.07.,2020,Hansa Rostock,Uerdingen,1,0
01.07.,2020,Ingolstadt,Magdeburg,0,2
01.07.,2020,Preussen Munster,Meppen,0,3
01.07.,2020,Unterhaching,Jena,2,2
01.07.,2020,Viktoria Koln,Wurzburger Kickers,5,1
01.07.,2020,Zwickau,Chemnitzer,2,1
28.06.,2020,Magdeburg,Grossaspach,0,1
28.06.,2020,Meppen,Ingolstadt,0,2
27.06.,2020,Duisburg,Hallescher,2,2
27.06.,2020,Jena,Bayern II,1,2
27.06.,2020,Kaiserslautern,Viktoria Koln,3,0
27.06.,2020,Mannheim,Preussen Munster,0,0
27.06.,2020,Munich 1860,Unterhaching,3,0
27.06.,2020,Wurzburger Kickers,Hansa Rostock,3,1
27.06.,2020,Zwickau,Braunschweig,3,2
26.06.,2020,Uerdingen,Chemnitzer,1,1
24.06.,2020,Bayern II,Munich 1860,2,1
24.06.,2020,Grossaspach,Meppen,1,2
24.06.,2020,Hallescher,Jena,5,3
24.06.,2020,Ingolstadt,Mannheim,2,0
24.06.,2020,Preussen Munster,Zwickau,2,1
24.06.,2020,Unterhaching,Magdeburg,0,0
23.06.,2020,Chemnitzer,Braunschweig,1,2
23.06.,2020,Hansa Rostock,Kaiserslautern,1,1
23.06.,2020,Uerdingen,Wurzburger Kickers,1,2
