Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
01.12.2018,2018,Kashima,Sagan Tosu,0,0
01.12.2018,2018,Kashiwa,G-Osaka,4,2
01.12.2018,2018,Kawasaki Frontale,Iwata,2,1
01.12.2018,2018,Kobe,Vegalta Sendai,3,2
01.12.2018,2018,Nagoya,Shonan,2,2
01.12.2018,2018,Sapporo,Hiroshima,2,2
01.12.2018,2018,Urawa,FC Tokyo,3,2
01.12.2018,2018,V-Varen Nagasaki,Shimizu,4,4
01.12.2018,2018,Yokohama M.,C-Osaka,1,2
24.11.2018,2018,C-Osaka,Kashiwa,0,3
24.11.2018,2018,FC Tokyo,Kawasaki Frontale,0,2
24.11.2018,2018,G-Osaka,V-Varen Nagasaki,2,1
24.11.2018,2018,Hiroshima,Nagoya,1,2
24.11.2018,2018,Iwata,Sapporo,0,2
24.11.2018,2018,Sagan Tosu,Yokohama M.,2,1
24.11.2018,2018,Shimizu,Kobe,3,3
24.11.2018,2018,Shonan,Urawa,2,1
24.11.2018,2018,Vegalta Sendai,Kashima,0,3
10.11.2018,2018,C-Osaka,Kawasaki Frontale,2,1
10.11.2018,2018,FC Tokyo,Iwata,0,0
10.11.2018,2018,G-Osaka,Shonan,1,0
10.11.2018,2018,Hiroshima,Vegalta Sendai,0,1
10.11.2018,2018,Kobe,Sagan Tosu,0,0
10.11.2018,2018,Sapporo,Urawa,1,2
10.11.2018,2018,Shimizu,Nagoya,2,0
10.11.2018,2018,V-Varen Nagasaki,Yokohama M.,0,1
06.11.2018,2018,Kashiwa,Kashima,2,3
06.11.2018,2018,C-Osaka,Nagoya,0,1
04.11.2018,2018,Sagan Tosu,V-Varen Nagasaki,1,0
04.11.2018,2018,Sapporo,Vegalta Sendai,1,0
03.11.2018,2018,Iwata,Hiroshima,3,2
03.11.2018,2018,Kawasaki Frontale,Kashiwa,3,0
03.11.2018,2018,Nagoya,Kobe,1,2
03.11.2018,2018,Urawa,G-Osaka,1,3
03.11.2018,2018,Yokohama M.,FC Tokyo,0,1
02.11.2018,2018,Shonan,Shimizu,0,0
31.10.2018,2018,Kashima,C-Osaka,1,0
30.10.2018,2018,Iwata,Shonan,1,0
28.10.2018,2018,Nagoya,Sapporo,1,2
21.10.2018,2018,V-Varen Nagasaki,Iwata,0,0
20.10.2018,2018,FC Tokyo,C-Osaka,0,1
20.10.2018,2018,G-Osaka,Yokohama M.,2,1
20.10.2018,2018,Kawasaki Frontale,Kobe,5,3
20.10.2018,2018,Shimizu,Hiroshima,2,0
20.10.2018,2018,Shonan,Sapporo,2,2
20.10.2018,2018,Urawa,Kashima,3,1
20.10.2018,2018,Vegalta Sendai,Sagan Tosu,2,3
19.10.2018,2018,Kashiwa,Nagoya,0,1
07.10.2018,2018,Kashima,Kawasaki Frontale,0,0
07.10.2018,2018,Nagoya,FC Tokyo,1,2
07.10.2018,2018,Shimizu,Iwata,5,1
07.10.2018,2018,Vegalta Sendai,Urawa,1,1
06.10.2018,2018,C-Osaka,G-Osaka,0,1
06.10.2018,2018,Hiroshima,Kashiwa,0,3
06.10.2018,2018,Kobe,V-Varen Nagasaki,1,1
06.10.2018,2018,Sagan Tosu,Shonan,0,1
05.10.2018,2018,Yokohama M.,Sapporo,2,1
30.09.2018,2018,Urawa,Kashiwa,3,2
29.09.2018,2018,FC Tokyo,Shimizu,0,2
29.09.2018,2018,G-Osaka,Hiroshima,1,0
29.09.2018,2018,Kobe,Kashima,0,5
29.09.2018,2018,Sapporo,Sagan Tosu,2,1
29.09.2018,2018,V-Varen Nagasaki,Kawasaki Frontale,1,2
29.09.2018,2018,Yokohama M.,Vegalta Sendai,5,2
26.09.2018,2018,Shonan,Kawasaki Frontale,0,0
23.09.2018,2018,Sapporo,Kashima,0,2
23.09.2018,2018,Urawa,Kobe,4,0
22.09.2018,2018,Hiroshima,FC Tokyo,1,1
22.09.2018,2018,Iwata,Yokohama M.,1,2
22.09.2018,2018,Kashiwa,Sagan Tosu,1,1
22.09.2018,2018,Kawasaki Frontale,Nagoya,3,1
22.09.2018,2018,Shonan,C-Osaka,1,1
22.09.2018,2018,V-Varen Nagasaki,Vegalta Sendai,1,0
21.09.2018,2018,Shimizu,G-Osaka,1,2
16.09.2018,2018,Yokohama M.,Urawa,1,2
15.09.2018,2018,Kashiwa,Shimizu,2,3
15.09.2018,2018,Kawasaki Frontale,Sapporo,7,0
15.09.2018,2018,Kobe,G-Osaka,1,2
15.09.2018,2018,Nagoya,V-Varen Nagasaki,3,4
15.09.2018,2018,Sagan Tosu,Hiroshima,1,0
15.09.2018,2018,Vegalta Sendai,FC Tokyo,1,0
14.09.2018,2018,C-Osaka,Iwata,1,1
14.09.2018,2018,Kashima,Shonan,2,1
02.09.2018,2018,FC Tokyo,Sagan Tosu,0,0
01.09.2018,2018,G-Osaka,Kawasaki Frontale,2,0
01.09.2018,2018,Hiroshima,Kashima,3,1
01.09.2018,2018,Iwata,Nagoya,1,6
01.09.2018,2018,Sapporo,Kobe,3,1
01.09.2018,2018,Urawa,C-Osaka,1,2
01.09.2018,2018,Vegalta Sendai,Shimizu,2,1
01.09.2018,2018,Yokohama M.,Kashiwa,3,1
31.08.2018,2018,V-Varen Nagasaki,Shonan,1,3
29.08.2018,2018,Yokohama M.,Shimizu,1,2
26.08.2018,2018,Kobe,Yokohama M.,0,2
26.08.2018,2018,Nagoya,Urawa,4,1
26.08.2018,2018,Sagan Tosu,G-Osaka,3,0
26.08.2018,2018,Shonan,FC Tokyo,0,0
25.08.2018,2018,C-Osaka,Hiroshima,0,1
25.08.2018,2018,Kashiwa,V-Varen Nagasaki,5,1
25.08.2018,2018,Kawasaki Frontale,Vegalta Sendai,1,0
25.08.2018,2018,Shimizu,Sapporo,1,2
24.08.2018,2018,Kashima,Iwata,1,1
19.08.2018,2018,Hiroshima,Kawasaki Frontale,1,2
19.08.2018,2018,Iwata,Kashiwa,2,0
19.08.2018,2018,Kashima,Yokohama M.,1,0
19.08.2018,2018,Nagoya,Sagan Tosu,3,0
19.08.2018,2018,Sapporo,FC Tokyo,3,2
19.08.2018,2018,Shimizu,Urawa,3,3
19.08.2018,2018,Shonan,Kobe,0,2
19.08.2018,2018,Vegalta Sendai,G-Osaka,2,1
19.08.2018,2018,V-Varen Nagasaki,C-Osaka,0,2
15.08.2018,2018,C-Osaka,Shimizu,3,1
15.08.2018,2018,FC Tokyo,Kashiwa,0,1
15.08.2018,2018,G-Osaka,Sapporo,1,1
15.08.2018,2018,Kawasaki Frontale,Sagan Tosu,0,0
15.08.2018,2018,Kobe,Hiroshima,1,1
15.08.2018,2018,Urawa,Iwata,4,0
15.08.2018,2018,Vegalta Sendai,Shonan,4,1
15.08.2018,2018,V-Varen Nagasaki,Kashima,1,2
15.08.2018,2018,Yokohama M.,Nagoya,1,2
11.08.2018,2018,Hiroshima,V-Varen Nagasaki,2,0
11.08.2018,2018,Kashiwa,Vegalta Sendai,0,2
11.08.2018,2018,Kobe,Iwata,2,1
11.08.2018,2018,Nagoya,Kashima,4,2
11.08.2018,2018,Sagan Tosu,Urawa,1,0
11.08.2018,2018,Sapporo,C-Osaka,1,1
11.08.2018,2018,Shimizu,Kawasaki Frontale,1,2
11.08.2018,2018,Shonan,Yokohama M.,0,1
10.08.2018,2018,G-Osaka,FC Tokyo,2,1
05.08.2018,2018,FC Tokyo,Kobe,1,0
05.08.2018,2018,Hiroshima,Shonan,2,2
05.08.2018,2018,Iwata,Vegalta Sendai,3,2
05.08.2018,2018,Kashima,Shimizu,1,0
05.08.2018,2018,Kawasaki Frontale,Yokohama M.,2,0
05.08.2018,2018,Nagoya,G-Osaka,3,2
05.08.2018,2018,Sagan Tosu,C-Osaka,1,0
05.08.2018,2018,Sapporo,Kashiwa,1,2
05.08.2018,2018,Urawa,V-Varen Nagasaki,0,0
01.08.2018,2018,C-Osaka,Kobe,1,1
01.08.2018,2018,Iwata,G-Osaka,1,1
01.08.2018,2018,Kashima,FC Tokyo,1,2
01.08.2018,2018,Kashiwa,Shonan,0,2
01.08.2018,2018,Shimizu,Sagan Tosu,1,0
01.08.2018,2018,Urawa,Kawasaki Frontale,2,0
01.08.2018,2018,Vegalta Sendai,Nagoya,1,2
01.08.2018,2018,V-Varen Nagasaki,Sapporo,2,3
01.08.2018,2018,Yokohama M.,Hiroshima,1,4
28.07.2018,2018,G-Osaka,Kashima,1,1
28.07.2018,2018,Hiroshima,Urawa,1,4
28.07.2018,2018,Kobe,Kashiwa,1,0
28.07.2018,2018,Sagan Tosu,Iwata,0,0
28.07.2018,2018,Vegalta Sendai,C-Osaka,2,2
27.07.2018,2018,FC Tokyo,V-Varen Nagasaki,0,1
25.07.2018,2018,C-Osaka,Kashima,0,2
22.07.2018,2018,C-Osaka,Urawa,1,1
22.07.2018,2018,FC Tokyo,Yokohama M.,5,2
22.07.2018,2018,G-Osaka,Shimizu,1,2
22.07.2018,2018,Kashima,Kashiwa,6,2
22.07.2018,2018,Kawasaki Frontale,V-Varen Nagasaki,1,0
22.07.2018,2018,Kobe,Shonan,0,3
22.07.2018,2018,Nagoya,Hiroshima,0,0
22.07.2018,2018,Sagan Tosu,Vegalta Sendai,0,1
22.07.2018,2018,Sapporo,Iwata,0,0
18.07.2018,2018,Hiroshima,G-Osaka,4,0
18.07.2018,2018,Iwata,Kashima,3,3
18.07.2018,2018,Kashiwa,FC Tokyo,0,1
18.07.2018,2018,Sapporo,Kawasaki Frontale,1,2
18.07.2018,2018,Shimizu,C-Osaka,3,0
18.07.2018,2018,Shonan,Sagan Tosu,1,1
18.07.2018,2018,Urawa,Nagoya,3,1
18.07.2018,2018,Vegalta Sendai,Yokohama M.,2,8
18.07.2018,2018,V-Varen Nagasaki,Kobe,0,1
20.05.2018,2018,Hiroshima,C-Osaka,0,2
20.05.2018,2018,Kashima,Vegalta Sendai,1,2
20.05.2018,2018,Kawasaki Frontale,Shimizu,3,0
20.05.2018,2018,Kobe,Sapporo,4,0
20.05.2018,2018,Nagoya,Kashiwa,2,3
20.05.2018,2018,Sagan Tosu,FC Tokyo,0,0
19.05.2018,2018,G-Osaka,Urawa,0,0
19.05.2018,2018,Shonan,Iwata,1,0
19.05.2018,2018,Yokohama M.,V-Varen Nagasaki,5,2
13.05.2018,2018,FC Tokyo,Sapporo,0,0
13.05.2018,2018,Urawa,Sagan Tosu,0,0
12.05.2018,2018,Iwata,Kobe,0,2
12.05.2018,2018,Kashiwa,Kawasaki Frontale,1,2
12.05.2018,2018,Shimizu,Shonan,4,2
12.05.2018,2018,Vegalta Sendai,Hiroshima,1,3
12.05.2018,2018,V-Varen Nagasaki,Nagoya,3,0
12.05.2018,2018,Yokohama M.,G-Osaka,1,1
06.05.2018,2018,Hiroshima,Kobe,2,0
06.05.2018,2018,Sagan Tosu,Shimizu,3,1
06.05.2018,2018,Shonan,Vegalta Sendai,1,3
05.05.2018,2018,C-Osaka,V-Varen Nagasaki,3,1
05.05.2018,2018,Kashima,Urawa,1,0
05.05.2018,2018,Kashiwa,Iwata,1,2
05.05.2018,2018,Kawasaki Frontale,FC Tokyo,0,2
05.05.2018,2018,Nagoya,Yokohama M.,1,1
05.05.2018,2018,Sapporo,G-Osaka,2,0
02.05.2018,2018,G-Osaka,Vegalta Sendai,1,0
02.05.2018,2018,Hiroshima,Shimizu,2,0
02.05.2018,2018,Kashima,V-Varen Nagasaki,2,1
