Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
27.04.2007,2007,Cambuur,Almere City,4,1
27.04.2007,2007,Eindhoven FC,Apeldoorn,4,1
27.04.2007,2007,FC Emmen,Venlo,1,2
27.04.2007,2007,FC Volendam,Den Bosch,2,1
27.04.2007,2007,G.A. Eagles,Dordrecht,0,3
27.04.2007,2007,Graafschap,Maastricht,3,3
27.04.2007,2007,Haarlem,Zwolle,1,3
27.04.2007,2007,Oss,Helmond,1,3
27.04.2007,2007,Roosendaal,Telstar,3,1
27.04.2007,2007,Sittard,Veendam,0,2
20.04.2007,2007,Almere City,Haarlem,2,0
20.04.2007,2007,Apeldoorn,Sittard,1,2
20.04.2007,2007,Den Bosch,FC Emmen,3,0
20.04.2007,2007,Dordrecht,Roosendaal,0,4
20.04.2007,2007,Helmond,Eindhoven FC,2,2
20.04.2007,2007,Maastricht,G.A. Eagles,4,1
20.04.2007,2007,Telstar,Cambuur,0,1
20.04.2007,2007,Veendam,FC Volendam,0,4
20.04.2007,2007,Venlo,Oss,2,1
20.04.2007,2007,Zwolle,Graafschap,2,2
13.04.2007,2007,Apeldoorn,FC Emmen,0,3
13.04.2007,2007,Den Bosch,Almere City,3,0
13.04.2007,2007,Dordrecht,Zwolle,1,0
13.04.2007,2007,Graafschap,FC Volendam,4,2
13.04.2007,2007,Haarlem,Oss,1,1
13.04.2007,2007,Helmond,Telstar,2,1
13.04.2007,2007,Roosendaal,Eindhoven FC,0,2
13.04.2007,2007,Sittard,G.A. Eagles,0,2
13.04.2007,2007,Veendam,Cambuur,0,1
13.04.2007,2007,Venlo,Maastricht,0,0
06.04.2007,2007,Almere City,Dordrecht,2,5
06.04.2007,2007,Cambuur,Apeldoorn,1,1
06.04.2007,2007,Eindhoven FC,Venlo,0,5
06.04.2007,2007,FC Emmen,Veendam,4,0
06.04.2007,2007,FC Volendam,Haarlem,3,1
06.04.2007,2007,G.A. Eagles,Graafschap,3,1
06.04.2007,2007,Maastricht,Helmond,1,0
06.04.2007,2007,Oss,Roosendaal,2,0
06.04.2007,2007,Telstar,Den Bosch,3,1
06.04.2007,2007,Zwolle,Sittard,1,0
30.03.2007,2007,Almere City,G.A. Eagles,0,1
30.03.2007,2007,Apeldoorn,FC Volendam,0,1
30.03.2007,2007,Cambuur,Venlo,2,1
30.03.2007,2007,Den Bosch,Helmond,3,1
30.03.2007,2007,Dordrecht,Sittard,1,3
30.03.2007,2007,Eindhoven FC,Oss,1,1
30.03.2007,2007,Graafschap,FC Emmen,2,1
30.03.2007,2007,Haarlem,Maastricht,1,0
30.03.2007,2007,Roosendaal,Zwolle,3,0
30.03.2007,2007,Veendam,Telstar,2,1
25.03.2007,2007,Zwolle,Cambuur,2,0
23.03.2007,2007,FC Emmen,Almere City,2,1
23.03.2007,2007,G.A. Eagles,Haarlem,3,1
23.03.2007,2007,Graafschap,Apeldoorn,3,1
23.03.2007,2007,Helmond,Roosendaal,2,0
23.03.2007,2007,Maastricht,Eindhoven FC,2,2
23.03.2007,2007,Oss,FC Volendam,0,2
23.03.2007,2007,Sittard,Den Bosch,0,0
23.03.2007,2007,Telstar,Dordrecht,0,0
23.03.2007,2007,Venlo,Veendam,2,1
16.03.2007,2007,Almere City,Zwolle,2,7
16.03.2007,2007,Apeldoorn,Telstar,0,2
16.03.2007,2007,Cambuur,Helmond,0,0
16.03.2007,2007,Eindhoven FC,Sittard,0,2
16.03.2007,2007,FC Volendam,Roosendaal,1,1
16.03.2007,2007,G.A. Eagles,Venlo,0,1
16.03.2007,2007,Haarlem,Graafschap,0,3
16.03.2007,2007,Maastricht,Dordrecht,1,1
16.03.2007,2007,Oss,FC Emmen,4,0
16.03.2007,2007,Veendam,Den Bosch,0,2
09.03.2007,2007,Den Bosch,Cambuur,3,1
09.03.2007,2007,Dordrecht,Veendam,1,1
09.03.2007,2007,FC Emmen,Haarlem,1,1
09.03.2007,2007,FC Volendam,Eindhoven FC,1,3
09.03.2007,2007,Helmond,Apeldoorn,2,2
09.03.2007,2007,Roosendaal,G.A. Eagles,3,3
09.03.2007,2007,Sittard,Oss,2,1
09.03.2007,2007,Telstar,Almere City,2,0
