Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
16.05.1998,1998,Gijon,Dep. La Coruna,0,3
15.05.1998,1998,Ath Bilbao,Zaragoza,1,0
15.05.1998,1998,Barcelona,UD Salamanca,1,4
15.05.1998,1998,Celta Vigo,CP Merida,2,0
15.05.1998,1998,Compostela,R. Oviedo,1,0
15.05.1998,1998,Mallorca,Real Sociedad,0,1
15.05.1998,1998,Racing Santander,Atl. Madrid,0,1
15.05.1998,1998,Real Madrid,Betis,1,0
15.05.1998,1998,Tenerife,Valencia,3,2
15.05.1998,1998,Valladolid,Espanyol,0,0
10.05.1998,1998,Atl. Madrid,Barcelona,5,2
10.05.1998,1998,Betis,Racing Santander,0,2
10.05.1998,1998,CP Merida,Ath Bilbao,0,0
10.05.1998,1998,Dep. La Coruna,Compostela,2,6
10.05.1998,1998,Real Sociedad,Tenerife,1,1
10.05.1998,1998,R. Oviedo,Celta Vigo,3,1
10.05.1998,1998,UD Salamanca,Mallorca,1,1
10.05.1998,1998,Zaragoza,Valladolid,0,0
09.05.1998,1998,Espanyol,Real Madrid,1,0
09.05.1998,1998,Valencia,Gijon,2,2
04.05.1998,1998,Real Madrid,Zaragoza,0,2
03.05.1998,1998,Ath Bilbao,R. Oviedo,3,0
03.05.1998,1998,Barcelona,Betis,1,3
03.05.1998,1998,Celta Vigo,Compostela,3,3
03.05.1998,1998,Gijon,Real Sociedad,0,2
03.05.1998,1998,Mallorca,Atl. Madrid,2,1
03.05.1998,1998,Racing Santander,Espanyol,1,1
03.05.1998,1998,Tenerife,UD Salamanca,2,0
03.05.1998,1998,Valladolid,CP Merida,0,0
02.05.1998,1998,Dep. La Coruna,Valencia,1,2
27.04.1998,1998,Real Sociedad,Dep. La Coruna,1,1
26.04.1998,1998,Atl. Madrid,Tenerife,2,2
26.04.1998,1998,Celta Vigo,Ath Bilbao,1,1
26.04.1998,1998,Compostela,Valencia,3,1
26.04.1998,1998,CP Merida,Real Madrid,2,2
26.04.1998,1998,R. Oviedo,Valladolid,0,1
26.04.1998,1998,UD Salamanca,Gijon,4,0
26.04.1998,1998,Zaragoza,Racing Santander,2,0
25.04.1998,1998,Betis,Mallorca,2,1
25.04.1998,1998,Espanyol,Barcelona,1,1
19.04.1998,1998,Ath Bilbao,Compostela,2,0
19.04.1998,1998,Dep. La Coruna,UD Salamanca,1,0
19.04.1998,1998,Gijon,Atl. Madrid,2,3
19.04.1998,1998,Mallorca,Espanyol,2,2
19.04.1998,1998,Racing Santander,CP Merida,2,0
19.04.1998,1998,Real Madrid,R. Oviedo,5,1
19.04.1998,1998,Tenerife,Betis,3,1
19.04.1998,1998,Valladolid,Celta Vigo,0,0
18.04.1998,1998,Barcelona,Zaragoza,1,0
18.04.1998,1998,Valencia,Real Sociedad,3,2
13.04.1998,1998,Betis,Gijon,2,1
12.04.1998,1998,Ath Bilbao,Valladolid,2,0
12.04.1998,1998,Compostela,Real Sociedad,1,3
12.04.1998,1998,Espanyol,Tenerife,2,0
12.04.1998,1998,R. Oviedo,Racing Santander,0,1
12.04.1998,1998,UD Salamanca,Valencia,6,0
12.04.1998,1998,Zaragoza,Mallorca,2,3
11.04.1998,1998,Atl. Madrid,Dep. La Coruna,3,0
11.04.1998,1998,Celta Vigo,Real Madrid,2,1
11.04.1998,1998,CP Merida,Barcelona,1,2
07.04.1998,1998,Betis,Barcelona,0,2
05.04.1998,1998,Gijon,Espanyol,1,0
05.04.1998,1998,Mallorca,CP Merida,1,0
05.04.1998,1998,Racing Santander,Celta Vigo,2,1
05.04.1998,1998,Real Sociedad,UD Salamanca,1,1
05.04.1998,1998,Tenerife,Zaragoza,0,0
05.04.1998,1998,Valencia,Atl. Madrid,4,1
05.04.1998,1998,Valladolid,Compostela,4,1
04.04.1998,1998,Barcelona,R. Oviedo,2,1
04.04.1998,1998,Dep. La Coruna,Betis,2,0
04.04.1998,1998,Real Madrid,Ath Bilbao,0,0
29.03.1998,1998,Ath Bilbao,Racing Santander,4,3
29.03.1998,1998,Celta Vigo,Barcelona,3,1
29.03.1998,1998,Compostela,UD Salamanca,2,0
29.03.1998,1998,CP Merida,Tenerife,1,1
29.03.1998,1998,Espanyol,Dep. La Coruna,2,0
29.03.1998,1998,R. Oviedo,Mallorca,0,1
29.03.1998,1998,Zaragoza,Gijon,0,0
28.03.1998,1998,Atl. Madrid,Real Sociedad,2,2
28.03.1998,1998,Betis,Valencia,1,0
28.03.1998,1998,Valladolid,Real Madrid,1,1
22.03.1998,1998,Barcelona,Ath Bilbao,4,0
22.03.1998,1998,Dep. La Coruna,Zaragoza,2,1
22.03.1998,1998,Gijon,CP Merida,0,0
22.03.1998,1998,Mallorca,Celta Vigo,4,2
22.03.1998,1998,Racing Santander,Valladolid,1,2
22.03.1998,1998,Real Madrid,Compostela,2,1
22.03.1998,1998,Real Sociedad,Betis,2,0
22.03.1998,1998,Tenerife,R. Oviedo,1,0
22.03.1998,1998,Valencia,Espanyol,0,0
