Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
22.05.2011,2011,Eskisehirspor,Kasimpasa,4,0
22.05.2011,2011,Kardemir Karabuk,Trabzonspor,0,4
22.05.2011,2011,Sivasspor,Fenerbahce,3,4
21.05.2011,2011,Ankaragucu,Antalyaspor,2,3
21.05.2011,2011,Bucaspor,Kayserispor,3,3
21.05.2011,2011,Bursaspor,Genclerbirligi,1,0
21.05.2011,2011,Gaziantepspor,Besiktas,0,0
20.05.2011,2011,Basaksehir,Manisaspor,0,0
20.05.2011,2011,Galatasaray,Konyaspor,2,0
16.05.2011,2011,Besiktas,Eskisehirspor,3,1
15.05.2011,2011,Fenerbahce,Ankaragucu,6,0
15.05.2011,2011,Kasimpasa,Bursaspor,0,3
15.05.2011,2011,Kayserispor,Gaziantepspor,1,2
15.05.2011,2011,Trabzonspor,Basaksehir,3,1
14.05.2011,2011,Genclerbirligi,Galatasaray,2,3
14.05.2011,2011,Konyaspor,Sivasspor,1,1
14.05.2011,2011,Manisaspor,Bucaspor,4,2
13.05.2011,2011,Antalyaspor,Kardemir Karabuk,1,2
09.05.2011,2011,Galatasaray,Kasimpasa,3,1
08.05.2011,2011,Bucaspor,Trabzonspor,1,2
08.05.2011,2011,Genclerbirligi,Konyaspor,2,1
08.05.2011,2011,Kardemir Karabuk,Fenerbahce,0,1
08.05.2011,2011,Sivasspor,Ankaragucu,1,1
07.05.2011,2011,Basaksehir,Antalyaspor,1,1
07.05.2011,2011,Bursaspor,Besiktas,0,3 AWA.
07.05.2011,2011,Gaziantepspor,Manisaspor,1,0
06.05.2011,2011,Eskisehirspor,Kayserispor,1,2
02.05.2011,2011,Ankaragucu,Kardemir Karabuk,0,0
01.05.2011,2011,Fenerbahce,Basaksehir,2,0
01.05.2011,2011,Kayserispor,Bursaspor,1,0
01.05.2011,2011,Manisaspor,Eskisehirspor,3,1
01.05.2011,2011,Trabzonspor,Gaziantepspor,3,0
30.04.2011,2011,Antalyaspor,Bucaspor,3,3
30.04.2011,2011,Besiktas,Galatasaray,2,0
30.04.2011,2011,Kasimpasa,Konyaspor,2,2
29.04.2011,2011,Sivasspor,Genclerbirligi,1,1
25.04.2011,2011,Konyaspor,Besiktas,1,1
24.04.2011,2011,Basaksehir,Ankaragucu,1,4
24.04.2011,2011,Bucaspor,Fenerbahce,3,5
24.04.2011,2011,Gaziantepspor,Antalyaspor,2,1
24.04.2011,2011,Genclerbirligi,Kasimpasa,1,1
23.04.2011,2011,Bursaspor,Manisaspor,2,1
23.04.2011,2011,Galatasaray,Kayserispor,1,1
23.04.2011,2011,Kardemir Karabuk,Sivasspor,2,1
22.04.2011,2011,Eskisehirspor,Trabzonspor,0,0
18.04.2011,2011,Manisaspor,Galatasaray,2,3
17.04.2011,2011,Antalyaspor,Eskisehirspor,2,2
17.04.2011,2011,Kayserispor,Konyaspor,1,3
17.04.2011,2011,Sivasspor,Kasimpasa,1,1
17.04.2011,2011,Trabzonspor,Bursaspor,1,0
16.04.2011,2011,Ankaragucu,Bucaspor,5,3
16.04.2011,2011,Fenerbahce,Gaziantepspor,1,0
16.04.2011,2011,Kardemir Karabuk,Basaksehir,0,2
15.04.2011,2011,Besiktas,Genclerbirligi,2,2
11.04.2011,2011,Kasimpasa,Besiktas,0,1
10.04.2011,2011,Basaksehir,Sivasspor,1,2
10.04.2011,2011,Galatasaray,Trabzonspor,0,1
10.04.2011,2011,Gaziantepspor,Ankaragucu,3,2
10.04.2011,2011,Genclerbirligi,Kayserispor,4,1
09.04.2011,2011,Bucaspor,Kardemir Karabuk,2,1
09.04.2011,2011,Eskisehirspor,Fenerbahce,1,3
09.04.2011,2011,Konyaspor,Manisaspor,0,0
08.04.2011,2011,Bursaspor,Antalyaspor,2,3
04.04.2011,2011,Antalyaspor,Galatasaray,3,0
03.04.2011,2011,Basaksehir,Bucaspor,2,1
03.04.2011,2011,Fenerbahce,Bursaspor,0,0
03.04.2011,2011,Kayserispor,Kasimpasa,1,3
03.04.2011,2011,Manisaspor,Genclerbirligi,0,3
02.04.2011,2011,Ankaragucu,Eskisehirspor,2,2
02.04.2011,2011,Kardemir Karabuk,Gaziantepspor,3,2
02.04.2011,2011,Sivasspor,Besiktas,1,0
02.04.2011,2011,Trabzonspor,Konyaspor,1,0
21.03.2011,2011,Bursaspor,Ankaragucu,0,0
20.03.2011,2011,Bucaspor,Sivasspor,0,4
20.03.2011,2011,Eskisehirspor,Kardemir Karabuk,1,0
20.03.2011,2011,Genclerbirligi,Trabzonspor,1,2
19.03.2011,2011,Besiktas,Kayserispor,4,2
19.03.2011,2011,Gaziantepspor,Basaksehir,4,1
19.03.2011,2011,Kasimpasa,Manisaspor,1,0
19.03.2011,2011,Konyaspor,Antalyaspor,0,0
18.03.2011,2011,Galatasaray,Fenerbahce,1,2
13.03.2011,2011,Ankaragucu,Galatasaray,3,2
13.03.2011,2011,Antalyaspor,Genclerbirligi,0,0
13.03.2011,2011,Bucaspor,Gaziantepspor,2,1
13.03.2011,2011,Fenerbahce,Konyaspor,2,0
13.03.2011,2011,Sivasspor,Kayserispor,1,0
12.03.2011,2011,Basaksehir,Eskisehirspor,0,2
12.03.2011,2011,Kardemir Karabuk,Bursaspor,1,1
12.03.2011,2011,Trabzonspor,Kasimpasa,1,0
11.03.2011,2011,Manisaspor,Besiktas,0,0
07.03.2011,2011,Genclerbirligi,Fenerbahce,2,4
06.03.2011,2011,Besiktas,Trabzonspor,1,2
06.03.2011,2011,Bursaspor,Basaksehir,1,1
06.03.2011,2011,Eskisehirspor,Bucaspor,1,0
06.03.2011,2011,Kasimpasa,Antalyaspor,2,3
05.03.2011,2011,Galatasaray,Kardemir Karabuk,0,0
05.03.2011,2011,Gaziantepspor,Sivasspor,3,1
05.03.2011,2011,Konyaspor,Ankaragucu,0,2
04.03.2011,2011,Kayserispor,Manisaspor,1,2
28.02.2011,2011,Antalyaspor,Besiktas,0,2
27.02.2011,2011,Kardemir Karabuk,Konyaspor,2,1
27.02.2011,2011,Sivasspor,Manisaspor,4,2
27.02.2011,2011,Trabzonspor,Kayserispor,3,3
26.02.2011,2011,Ankaragucu,Genclerbirligi,2,4
26.02.2011,2011,Basaksehir,Galatasaray,3,1
26.02.2011,2011,Fenerbahce,Kasimpasa,2,0
26.02.2011,2011,Gaziantepspor,Eskisehirspor,2,1
25.02.2011,2011,Bucaspor,Bursaspor,0,2
21.02.2011,2011,Manisaspor,Trabzonspor,1,2
20.02.2011,2011,Besiktas,Fenerbahce,2,4
20.02.2011,2011,Kayserispor,Antalyaspor,2,0
20.02.2011,2011,Konyaspor,Basaksehir,0,0
19.02.2011,2011,Bursaspor,Gaziantepspor,1,4
19.02.2011,2011,Galatasaray,Bucaspor,1,0
19.02.2011,2011,Genclerbirligi,Kardemir Karabuk,2,3
19.02.2011,2011,Kasimpasa,Ankaragucu,2,1
18.02.2011,2011,Eskisehirspor,Sivasspor,2,1
14.02.2011,2011,Fenerbahce,Kayserispor,2,0
13.02.2011,2011,Ankaragucu,Besiktas,1,0
13.02.2011,2011,Antalyaspor,Manisaspor,1,4
13.02.2011,2011,Eskisehirspor,Bursaspor,1,1
13.02.2011,2011,Kardemir Karabuk,Kasimpasa,1,3
12.02.2011,2011,Basaksehir,Genclerbirligi,0,1
12.02.2011,2011,Bucaspor,Konyaspor,3,2
12.02.2011,2011,Gaziantepspor,Galatasaray,1,0
12.02.2011,2011,Sivasspor,Trabzonspor,2,3
06.02.2011,2011,Galatasaray,Eskisehirspor,4,2
06.02.2011,2011,Genclerbirligi,Bucaspor,1,0
06.02.2011,2011,Konyaspor,Gaziantepspor,0,2
06.02.2011,2011,Trabzonspor,Antalyaspor,0,0
05.02.2011,2011,Besiktas,Kardemir Karabuk,1,1
05.02.2011,2011,Kasimpasa,Basaksehir,1,3
05.02.2011,2011,Kayserispor,Ankaragucu,2,1
05.02.2011,2011,Manisaspor,Fenerbahce,1,3
04.02.2011,2011,Bursaspor,Sivasspor,2,1
31.01.2011,2011,Eskisehirspor,Konyaspor,1,0
30.01.2011,2011,Ankaragucu,Manisaspor,1,3
30.01.2011,2011,Basaksehir,Besiktas,2,1
30.01.2011,2011,Fenerbahce,Trabzonspor,2,0
30.01.2011,2011,Gaziantepspor,Genclerbirligi,1,1
29.01.2011,2011,Bucaspor,Kasimpasa,4,0
29.01.2011,2011,Bursaspor,Galatasaray,2,0
29.01.2011,2011,Kardemir Karabuk,Kayserispor,0,0
