Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
31.10.2015,2015,Beijing Guoan,Guangzhou Evergrande,0,2
31.10.2015,2015,Beijing Renhe,Changchun Yatai,2,2
31.10.2015,2015,Chongqing Lifan,Tianjin Teda,1,1
31.10.2015,2015,Henan Jianye,Guangzhou R&F,1,0
31.10.2015,2015,Shandong Luneng,Shijiazhuang,3,1
31.10.2015,2015,Shanghai Shenhua,Jiangsu Suning,3,1
31.10.2015,2015,Shanghai SIPG,Liaoning,2,1
31.10.2015,2015,Zhejiang Greentown,Shanghai Shenxin,4,2
25.10.2015,2015,Changchun Yatai,Shanghai SIPG,0,2
25.10.2015,2015,Guangzhou Evergrande,Shandong Luneng,2,2
25.10.2015,2015,Guangzhou R&F,Chongqing Lifan,2,0
25.10.2015,2015,Jiangsu Suning,Zhejiang Greentown,1,1
25.10.2015,2015,Liaoning,Shanghai Shenhua,1,0
25.10.2015,2015,Shanghai Shenxin,Henan Jianye,1,2
25.10.2015,2015,Shijiazhuang,Beijing Renhe,1,2
25.10.2015,2015,Tianjin Teda,Beijing Guoan,4,0
18.10.2015,2015,Chongqing Lifan,Shanghai Shenxin,2,0
18.10.2015,2015,Zhejiang Greentown,Liaoning,0,0
17.10.2015,2015,Beijing Guoan,Guangzhou R&F,2,0
17.10.2015,2015,Jiangsu Suning,Henan Jianye,1,1
17.10.2015,2015,Shandong Luneng,Beijing Renhe,5,2
17.10.2015,2015,Shanghai Shenhua,Changchun Yatai,3,0
17.10.2015,2015,Shanghai SIPG,Shijiazhuang,2,2
17.10.2015,2015,Tianjin Teda,Guangzhou Evergrande,0,2
27.09.2015,2015,Changchun Yatai,Zhejiang Greentown,1,0
27.09.2015,2015,Guangzhou R&F,Tianjin Teda,1,0
27.09.2015,2015,Jiangsu Suning,Chongqing Lifan,1,2
27.09.2015,2015,Liaoning,Henan Jianye,0,1
27.09.2015,2015,Shanghai Shenxin,Beijing Guoan,0,4
26.09.2015,2015,Beijing Renhe,Guangzhou Evergrande,2,3
26.09.2015,2015,Shandong Luneng,Shanghai SIPG,0,1
26.09.2015,2015,Shijiazhuang,Shanghai Shenhua,2,0
21.09.2015,2015,Guangzhou R&F,Guangzhou Evergrande,1,2
20.09.2015,2015,Beijing Guoan,Jiangsu Suning,1,0
20.09.2015,2015,Chongqing Lifan,Liaoning,1,1
20.09.2015,2015,Henan Jianye,Changchun Yatai,0,0
20.09.2015,2015,Shanghai Shenhua,Shandong Luneng,1,2
19.09.2015,2015,Shanghai SIPG,Beijing Renhe,3,1
19.09.2015,2015,Tianjin Teda,Shanghai Shenxin,4,1
19.09.2015,2015,Zhejiang Greentown,Shijiazhuang,1,1
16.09.2015,2015,Beijing Guoan,Changchun Yatai,3,1
14.09.2015,2015,Shandong Luneng,Zhejiang Greentown,2,1
13.09.2015,2015,Changchun Yatai,Chongqing Lifan,2,1
