Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
12.11.2020,2020,Guangzhou FC,Jiangsu Suning,1,2,1.82,3.37,4.43
11.11.2020,2020,Beijing Guoan,Shanghai Port,1,1,2.39,3.65,2.66
08.11.2020,2020,Jiangsu Suning,Guangzhou FC,0,0,3.86,3.23,1.99
07.11.2020,2020,Shanghai Port,Beijing Guoan,1,2,2.99,3.34,2.28
02.11.2020,2020,Guangzhou FC,Beijing Guoan,3,1,2.12,3.57,3.15
02.11.2020,2020,Shanghai Port,Jiangsu Suning,1,2 ET,2.73,2.99,2.70
29.10.2020,2020,Jiangsu Suning,Shanghai Port,1,1,3.23,3.17,2.25
28.10.2020,2020,Beijing Guoan,Guangzhou FC,0,0,2.65,3.70,2.37
24.10.2020,2020,Jiangsu Suning,Chongqing Liangjiang Athletic,1,0,1.89,3.34,4.10
23.10.2020,2020,Shanghai Port,Shanghai Shenhua,2,1 PEN.,1.38,4.54,7.73
22.10.2020,2020,Beijing Guoan,Shandong Taishan,2,1,1.88,3.69,3.69
21.10.2020,2020,Guangzhou FC,Hebei,5,0,1.38,5.02,6.64
19.10.2020,2020,Chongqing Liangjiang Athletic,Jiangsu Suning,1,1,3.89,3.34,1.94
18.10.2020,2020,Shanghai Shenhua,Shanghai Port,0,0,6.12,3.89,1.53
17.10.2020,2020,Shandong Taishan,Beijing Guoan,2,2,2.86,3.46,2.32
16.10.2020,2020,Hebei,Guangzhou FC,1,3,6.92,4.85,1.39
