Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
04.05.2003,2002,Bradford City,Portsmouth,0,5
04.05.2003,2002,Derby,Ipswich,1,4
04.05.2003,2002,Gillingham,Crystal Palace,2,1
04.05.2003,2002,Grimsby,Brighton,2,2
04.05.2003,2002,Millwall,Coventry,2,0
04.05.2003,2002,Norwich,Preston,2,0
04.05.2003,2002,Rotherham,Nottingham,2,2
04.05.2003,2002,Sheffield Wed,Walsall,2,1
04.05.2003,2002,Stoke,Reading,1,0
04.05.2003,2002,Watford,Sheffield Utd,2,0
04.05.2003,2002,Wimbledon FC,Burnley,2,1
04.05.2003,2002,Wolves,Leicester,1,1
30.04.2003,2002,Watford,Reading,0,3
29.04.2003,2002,Sheffield Utd,Bradford City,3,0
27.04.2003,2002,Leicester,Norwich,1,1
27.04.2003,2002,Portsmouth,Rotherham,3,2
26.04.2003,2002,Brighton,Watford,4,0
26.04.2003,2002,Burnley,Sheffield Wed,2,7
26.04.2003,2002,Coventry,Gillingham,0,0
26.04.2003,2002,Crystal Palace,Stoke,1,0
26.04.2003,2002,Ipswich,Wimbledon FC,1,5
26.04.2003,2002,Nottingham,Millwall,3,3
26.04.2003,2002,Preston,Bradford City,1,0
26.04.2003,2002,Reading,Grimsby,2,1
26.04.2003,2002,Sheffield Utd,Wolves,3,3
26.04.2003,2002,Walsall,Derby,3,2
21.04.2003,2002,Brighton,Sheffield Wed,1,1
21.04.2003,2002,Coventry,Stoke,0,1
21.04.2003,2002,Gillingham,Bradford City,1,0
21.04.2003,2002,Grimsby,Walsall,0,1
21.04.2003,2002,Millwall,Crystal Palace,3,2
21.04.2003,2002,Norwich,Wolves,0,3
21.04.2003,2002,Nottingham,Burnley,2,0
21.04.2003,2002,Portsmouth,Reading,3,0
21.04.2003,2002,Rotherham,Ipswich,2,1
21.04.2003,2002,Sheffield Utd,Leicester,2,1
21.04.2003,2002,Watford,Derby,2,0
21.04.2003,2002,Wimbledon FC,Preston,2,0
19.04.2003,2002,Bradford City,Watford,2,1
19.04.2003,2002,Burnley,Gillingham,2,0
19.04.2003,2002,Crystal Palace,Rotherham,0,0
19.04.2003,2002,Derby,Coventry,1,0
19.04.2003,2002,Leicester,Brighton,2,0
19.04.2003,2002,Preston,Sheffield Utd,2,0
19.04.2003,2002,Sheffield Wed,Grimsby,0,0
19.04.2003,2002,Stoke,Wimbledon FC,2,1
19.04.2003,2002,Walsall,Norwich,0,0
19.04.2003,2002,Wolves,Millwall,3,0
18.04.2003,2002,Ipswich,Portsmouth,3,0
18.04.2003,2002,Reading,Nottingham,1,0
16.04.2003,2002,Derby,Millwall,1,2
15.04.2003,2002,Portsmouth,Burnley,1,0
15.04.2003,2002,Reading,Preston,5,1
15.04.2003,2002,Walsall,Coventry,0,0
15.04.2003,2002,Sheffield Utd,Nottingham,1,0
12.04.2003,2002,Brighton,Preston,0,2
12.04.2003,2002,Coventry,Ipswich,2,4
12.04.2003,2002,Gillingham,Walsall,0,1
12.04.2003,2002,Grimsby,Crystal Palace,1,4
12.04.2003,2002,Millwall,Stoke,3,1
12.04.2003,2002,Norwich,Burnley,2,0
12.04.2003,2002,Portsmouth,Sheffield Wed,1,2
12.04.2003,2002,Rotherham,Leicester,1,1
12.04.2003,2002,Wimbledon FC,Derby,0,2
11.04.2003,2002,Nottingham,Wolves,2,2
09.04.2003,2002,Stoke,Rotherham,2,0
08.04.2003,2002,Grimsby,Wolves,0,1
08.04.2003,2002,Leicester,Nottingham,1,0
08.04.2003,2002,Crystal Palace,Watford,0,1
08.04.2003,2002,Burnley,Preston,2,0
07.04.2003,2002,Wimbledon FC,Sheffield Utd,1,0
05.04.2003,2002,Bradford City,Millwall,0,1
05.04.2003,2002,Burnley,Watford,4,7
05.04.2003,2002,Crystal Palace,Sheffield Utd,2,2
05.04.2003,2002,Derby,Norwich,2,1
05.04.2003,2002,Ipswich,Nottingham,3,4
05.04.2003,2002,Leicester,Grimsby,2,0
05.04.2003,2002,Preston,Coventry,2,2
05.04.2003,2002,Sheffield Wed,Wimbledon FC,4,2
05.04.2003,2002,Stoke,Gillingham,0,0
05.04.2003,2002,Walsall,Portsmouth,1,2
