Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
03.05.2014,2013,Barnsley,QPR,2,3,3.59,3.44,2.02
03.05.2014,2013,Blackburn,Wigan,4,3,2.12,3.39,3.34
03.05.2014,2013,Blackpool,Charlton,0,3,2.03,3.36,3.64
03.05.2014,2013,Bolton,Birmingham,2,2,2.22,3.51,3.06
03.05.2014,2013,Ipswich,Sheffield Wed,2,1,2.02,3.47,3.56
03.05.2014,2013,Leeds,Derby,1,1,3.11,3.45,2.21
03.05.2014,2013,Leicester,Doncaster,1,0,1.45,4.50,6.82
03.05.2014,2013,Millwall,Bournemouth,1,0,1.98,3.54,3.58
03.05.2014,2013,Nottingham,Brighton,1,2,3.57,3.51,2.01
03.05.2014,2013,Reading,Burnley,2,2,1.92,3.51,3.80
03.05.2014,2013,Watford,Huddersfield,1,4,1.98,3.57,3.58
03.05.2014,2013,Yeovil,Middlesbrough,1,4,3.12,3.43,2.21
29.04.2014,2013,Birmingham,Wigan,0,1,4.07,3.59,1.86
29.04.2014,2013,Charlton,Watford,3,1,2.20,3.38,3.21
26.04.2014,2013,Birmingham,Leeds,1,3,2.12,3.44,3.32
26.04.2014,2013,Bournemouth,Nottingham,4,1,2.13,3.53,3.21
26.04.2014,2013,Burnley,Ipswich,1,0,2.18,3.44,3.17
26.04.2014,2013,Charlton,Blackburn,1,3,3.00,3.25,2.35
26.04.2014,2013,Derby,Watford,4,2,1.69,3.90,4.65
26.04.2014,2013,Doncaster,Reading,1,3,3.36,3.40,2.11
26.04.2014,2013,Huddersfield,Leicester,0,2,3.38,3.47,2.08
26.04.2014,2013,Middlesbrough,Barnsley,3,1,2.06,3.43,3.46
26.04.2014,2013,QPR,Millwall,1,1,1.89,3.51,4.03
26.04.2014,2013,Sheffield Wed,Bolton,1,3,2.16,3.40,3.24
26.04.2014,2013,Wigan,Blackpool,0,2,1.46,4.29,6.92
25.04.2014,2013,Brighton,Yeovil,2,0,1.31,5.16,9.35
22.04.2014,2013,Bolton,Leicester,0,1,3.50,3.58,2.01
22.04.2014,2013,Reading,Middlesbrough,2,0,1.79,3.67,4.30
21.04.2014,2013,Birmingham,Blackburn,2,4,2.88,3.35,2.38
21.04.2014,2013,Brighton,Blackpool,1,1,1.43,4.29,7.68
21.04.2014,2013,Burnley,Wigan,2,0,2.40,3.24,2.94
21.04.2014,2013,Derby,Barnsley,2,1,1.47,4.33,6.70
21.04.2014,2013,Ipswich,Bournemouth,2,2,2.33,3.34,2.97
21.04.2014,2013,Leeds,Nottingham,0,2,2.71,3.30,2.54
21.04.2014,2013,Millwall,Doncaster,0,0,1.80,3.53,4.46
21.04.2014,2013,QPR,Watford,2,1,2.14,3.38,3.30
21.04.2014,2013,Sheffield Wed,Charlton,2,3,2.01,3.40,3.64
21.04.2014,2013,Yeovil,Huddersfield,1,2,2.58,3.29,2.67
19.04.2014,2013,Barnsley,Leeds,0,1,2.24,3.38,3.10
19.04.2014,2013,Leicester,QPR,1,0,1.76,3.68,4.48
19.04.2014,2013,Middlesbrough,Millwall,1,2,2.00,3.42,3.68
19.04.2014,2013,Nottingham,Birmingham,1,0,1.84,3.60,4.12
19.04.2014,2013,Watford,Ipswich,3,1,2.21,3.42,3.12
18.04.2014,2013,Blackburn,Yeovil,0,0,1.56,4.04,5.75
18.04.2014,2013,Blackpool,Burnley,0,1,4.22,3.47,1.84
18.04.2014,2013,Bournemouth,Sheffield Wed,2,4,1.68,3.79,4.89
18.04.2014,2013,Charlton,Bolton,0,0,2.59,3.25,2.68
18.04.2014,2013,Doncaster,Derby,0,2,4.71,3.67,1.73
18.04.2014,2013,Huddersfield,Brighton,1,1,3.13,3.31,2.24
18.04.2014,2013,Wigan,Reading,3,0,1.74,3.67,4.66
15.04.2014,2013,Charlton,Barnsley,1,2,2.06,3.36,3.56
14.04.2014,2013,Reading,Leicester,1,1,2.86,3.43,2.36
12.04.2014,2013,Bolton,Barnsley,1,0,1.77,3.56,4.56
12.04.2014,2013,Brighton,Charlton,3,0,1.61,3.70,5.73
12.04.2014,2013,Burnley,Middlesbrough,0,1,1.81,3.41,4.61
12.04.2014,2013,Derby,Huddersfield,3,1,1.63,3.77,5.47
12.04.2014,2013,Ipswich,Doncaster,2,1,1.70,3.63,4.97
12.04.2014,2013,Leeds,Blackpool,2,0,1.99,3.32,3.80
12.04.2014,2013,Millwall,Watford,2,2,2.77,3.32,2.47
12.04.2014,2013,QPR,Nottingham,5,2,2.00,3.33,3.80
12.04.2014,2013,Sheffield Wed,Blackburn,3,3,2.82,3.29,2.48
12.04.2014,2013,Yeovil,Bournemouth,1,1,3.54,3.44,2.02
08.04.2014,2013,Barnsley,Burnley,0,1,3.62,3.37,2.03
08.04.2014,2013,Blackburn,QPR,2,0,2.26,3.29,3.14
08.04.2014,2013,Blackpool,Derby,1,3,3.74,3.37,2.00
08.04.2014,2013,Bournemouth,Reading,3,1,2.06,3.38,3.56
08.04.2014,2013,Charlton,Yeovil,3,2,2.06,3.36,3.57
08.04.2014,2013,Doncaster,Bolton,1,2,3.17,3.27,2.26
08.04.2014,2013,Huddersfield,Ipswich,0,2,2.43,3.25,2.90
08.04.2014,2013,Leicester,Brighton,1,4,1.94,3.36,4.01
08.04.2014,2013,Middlesbrough,Birmingham,3,1,1.94,3.40,3.93
08.04.2014,2013,Nottingham,Sheffield Wed,3,3,1.85,3.48,4.23
08.04.2014,2013,Watford,Leeds,3,0,1.70,3.72,4.78
08.04.2014,2013,Wigan,Millwall,0,1,1.69,3.69,5.03
05.04.2014,2013,Barnsley,Brighton,0,0,3.65,3.34,2.05
05.04.2014,2013,Blackburn,Ipswich,2,0,2.17,3.32,3.28
05.04.2014,2013,Blackpool,Yeovil,1,2,2.00,3.39,3.72
05.04.2014,2013,Bournemouth,QPR,2,1,2.21,3.29,3.27
05.04.2014,2013,Charlton,Reading,0,1,2.76,3.22,2.55
05.04.2014,2013,Doncaster,Birmingham,1,3,2.58,3.23,2.72
05.04.2014,2013,Huddersfield,Bolton,0,1,2.34,3.29,3.01
05.04.2014,2013,Middlesbrough,Derby,1,0,2.69,3.25,2.59
05.04.2014,2013,Nottingham,Millwall,1,2,1.62,3.83,5.31
05.04.2014,2013,Watford,Burnley,1,1,2.11,3.31,3.49
05.04.2014,2013,Wigan,Leeds,1,0,1.49,4.14,6.50
04.04.2014,2013,Leicester,Sheffield Wed,2,1,1.44,4.33,7.22
01.04.2014,2013,Wigan,Leicester,2,2,2.46,3.27,2.84
01.04.2014,2013,Blackburn,Brighton,3,3,2.46,3.22,2.89
01.04.2014,2013,Leeds,Charlton,0,1,2.45,3.24,2.88
29.03.2014,2013,Birmingham,Bournemouth,2,4,2.95,3.28,2.37
29.03.2014,2013,Bolton,Wigan,1,1,2.77,3.26,2.52
29.03.2014,2013,Brighton,Middlesbrough,0,2,2.00,3.28,3.85
29.03.2014,2013,Burnley,Leicester,0,2,2.92,3.27,2.40
29.03.2014,2013,Derby,Charlton,3,0,1.54,3.88,6.39
29.03.2014,2013,Ipswich,Nottingham,1,1,2.21,3.27,3.25
29.03.2014,2013,Leeds,Doncaster,1,2,1.93,3.43,3.92
29.03.2014,2013,Millwall,Blackburn,2,2,2.81,3.26,2.48
29.03.2014,2013,QPR,Blackpool,1,1,1.59,3.74,6.03
29.03.2014,2013,Reading,Huddersfield,1,1,1.96,3.37,3.86
29.03.2014,2013,Sheffield Wed,Watford,1,4,2.30,3.18,3.16
29.03.2014,2013,Yeovil,Barnsley,1,4,1.87,3.66,3.89
25.03.2014,2013,Bolton,Blackpool,1,0,1.83,3.41,4.44
25.03.2014,2013,Bournemouth,Leeds,4,1,1.82,3.52,4.34
25.03.2014,2013,Burnley,Doncaster,2,0,1.47,4.20,6.86
25.03.2014,2013,Huddersfield,Middlesbrough,2,2,2.48,3.18,2.87
25.03.2014,2013,Ipswich,Derby,2,1,2.74,3.18,2.58
25.03.2014,2013,Leicester,Yeovil,1,1,1.28,5.51,9.78
25.03.2014,2013,Millwall,Birmingham,2,3,2.29,3.24,3.13
25.03.2014,2013,Nottingham,Charlton,0,1,1.73,3.59,4.81
25.03.2014,2013,QPR,Wigan,1,0,2.36,3.15,3.08
25.03.2014,2013,Reading,Barnsley,1,3,1.43,4.56,7.11
25.03.2014,2013,Sheffield Wed,Brighton,1,0,2.88,3.06,2.55
25.03.2014,2013,Watford,Blackburn,3,3,2.10,3.31,3.47
22.03.2014,2013,Barnsley,Bournemouth,0,1,3.25,3.28,2.21
22.03.2014,2013,Birmingham,Reading,1,2,2.91,3.25,2.42
22.03.2014,2013,Blackburn,Leicester,1,1,3.76,3.39,1.98
22.03.2014,2013,Blackpool,Huddersfield,1,0,2.68,3.12,2.69
22.03.2014,2013,Brighton,Ipswich,0,2,1.96,3.28,4.02
22.03.2014,2013,Charlton,Burnley,0,3,2.90,3.11,2.51
22.03.2014,2013,Derby,Nottingham,5,0,2.07,3.30,3.59
