Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
05.05.2001,2000,Bury,Brentford,1,3
05.05.2001,2000,Luton,Port Vale,1,1
05.05.2001,2000,Millwall,Oldham,5,0
05.05.2001,2000,Northampton,Walsall,0,3
05.05.2001,2000,Notts Co,Oxford Utd,2,1
05.05.2001,2000,Peterborough,Rotherham,1,1
05.05.2001,2000,Reading,Bournemouth,3,3
05.05.2001,2000,Stoke,Swindon,4,1
05.05.2001,2000,Swansea,Cambridge Utd,1,1
05.05.2001,2000,Wigan,Bristol City,0,0
05.05.2001,2000,Wycombe,Colchester,1,1
04.05.2001,2000,Bristol Rovers,Wrexham,4,0
03.05.2001,2000,Notts Co,Colchester,2,2
03.05.2001,2000,Port Vale,Walsall,0,2
03.05.2001,2000,Brentford,Luton,2,2
02.05.2001,2000,Bristol Rovers,Wycombe,1,2
01.05.2001,2000,Cambridge Utd,Colchester,2,1
01.05.2001,2000,Oxford Utd,Port Vale,1,1
01.05.2001,2000,Swansea,Brentford,6,0
30.04.2001,2000,Bristol Rovers,Port Vale,0,3
28.04.2001,2000,Bournemouth,Northampton,2,0
28.04.2001,2000,Bristol City,Luton,3,1
28.04.2001,2000,Bury,Wycombe,1,1
28.04.2001,2000,Cambridge Utd,Wigan,1,2
28.04.2001,2000,Colchester,Reading,2,1
28.04.2001,2000,Oldham,Stoke,1,2
28.04.2001,2000,Oxford Utd,Swansea,3,1
28.04.2001,2000,Port Vale,Notts Co,2,3
28.04.2001,2000,Rotherham,Brentford,2,1
28.04.2001,2000,Swindon,Peterborough,2,1
28.04.2001,2000,Walsall,Bristol Rovers,2,1
28.04.2001,2000,Wrexham,Millwall,1,1
26.04.2001,2000,Northampton,Port Vale,0,2
26.04.2001,2000,Notts Co,Wycombe,0,2
25.04.2001,2000,Brentford,Cambridge Utd,2,2
24.04.2001,2000,Swansea,Wrexham,0,1
24.04.2001,2000,Peterborough,Walsall,2,0
24.04.2001,2000,Luton,Rotherham,0,1
23.04.2001,2000,Bournemouth,Wycombe,2,0
21.04.2001,2000,Bristol Rovers,Oxford Utd,6,2
21.04.2001,2000,Luton,Bury,1,2
21.04.2001,2000,Northampton,Colchester,2,0
21.04.2001,2000,Notts Co,Bristol City,2,1
21.04.2001,2000,Peterborough,Bournemouth,1,2
21.04.2001,2000,Reading,Walsall,2,2
21.04.2001,2000,Stoke,Wrexham,3,1
21.04.2001,2000,Swansea,Oldham,1,2
21.04.2001,2000,Wigan,Rotherham,0,2
21.04.2001,2000,Wycombe,Swindon,0,0
17.04.2001,2000,Bournemouth,Stoke,1,0
17.04.2001,2000,Cambridge Utd,Millwall,1,5
17.04.2001,2000,Colchester,Peterborough,2,2
17.04.2001,2000,Oxford Utd,Reading,0,2
17.04.2001,2000,Walsall,Brentford,3,2
16.04.2001,2000,Bristol City,Wycombe,1,2
16.04.2001,2000,Bury,Wigan,0,1
16.04.2001,2000,Oldham,Bristol Rovers,1,0
16.04.2001,2000,Port Vale,Swansea,1,0
16.04.2001,2000,Rotherham,Northampton,1,0
16.04.2001,2000,Swindon,Notts Co,1,2
16.04.2001,2000,Wrexham,Luton,3,1
14.04.2001,2000,Brentford,Port Vale,1,1
14.04.2001,2000,Bristol Rovers,Colchester,2,0
14.04.2001,2000,Luton,Oldham,0,0
14.04.2001,2000,Millwall,Swindon,1,0
14.04.2001,2000,Notts Co,Bournemouth,0,2
14.04.2001,2000,Peterborough,Bristol City,2,1
14.04.2001,2000,Reading,Bury,4,1
14.04.2001,2000,Stoke,Walsall,0,0
14.04.2001,2000,Swansea,Rotherham,0,0
14.04.2001,2000,Wigan,Oxford Utd,3,2
14.04.2001,2000,Wycombe,Wrexham,1,1
13.04.2001,2000,Northampton,Cambridge Utd,0,2
11.04.2001,2000,Millwall,Port Vale,1,0
11.04.2001,2000,Bristol Rovers,Peterborough,1,2
10.04.2001,2000,Luton,Oxford Utd,1,1
10.04.2001,2000,Swansea,Wycombe,3,1
10.04.2001,2000,Wrexham,Notts Co,1,1
10.04.2001,2000,Brentford,Swindon,0,1
