Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
09.05.2021,2020,Blackpool,Bristol Rovers,1,0,1.68,3.92,4.80
09.05.2021,2020,Charlton,Hull,1,0,2.30,3.60,2.87
09.05.2021,2020,Crewe,Shrewsbury,3,2,2.19,3.44,3.20
09.05.2021,2020,Doncaster,Peterborough,1,4,3.29,3.81,2.02
09.05.2021,2020,Gillingham,Plymouth,1,0,1.83,3.89,3.88
09.05.2021,2020,Ipswich,Fleetwood,3,1,2.51,3.25,2.82
09.05.2021,2020,Lincoln,AFC Wimbledon,0,0,1.95,3.70,3.59
09.05.2021,2020,MK Dons,Rochdale,0,3,1.69,4.04,4.52
09.05.2021,2020,Oxford Utd,Burton,4,0,1.54,4.39,5.47
09.05.2021,2020,Portsmouth,Accrington,0,1,1.55,4.26,5.43
09.05.2021,2020,Sunderland,Northampton,1,1,1.45,4.44,6.75
09.05.2021,2020,Wigan,Swindon,3,4,1.72,3.98,4.39
04.05.2021,2020,Charlton,Lincoln,3,1,1.99,3.43,3.67
04.05.2021,2020,Blackpool,Doncaster,2,0,1.62,3.82,5.41
04.05.2021,2020,Shrewsbury,Ipswich,0,0,2.64,3.00,2.84
01.05.2021,2020,Accrington,Charlton,1,1,3.62,3.60,1.97
01.05.2021,2020,AFC Wimbledon,Portsmouth,1,3,2.87,3.35,2.41
01.05.2021,2020,Bristol Rovers,Crewe,0,1,3.12,3.53,2.19
01.05.2021,2020,Burton,Gillingham,1,1,2.38,3.44,2.85
01.05.2021,2020,Fleetwood,MK Dons,1,1,3.11,3.44,2.23
01.05.2021,2020,Hull,Wigan,3,1,1.72,3.61,4.92
01.05.2021,2020,Northampton,Blackpool,0,3,3.53,3.07,2.21
01.05.2021,2020,Peterborough,Lincoln,3,3,2.00,3.48,3.63
01.05.2021,2020,Plymouth,Sunderland,1,3,6.11,4.16,1.52
01.05.2021,2020,Rochdale,Doncaster,1,2,1.85,3.66,4.03
01.05.2021,2020,Shrewsbury,Oxford Utd,2,3,4.46,3.48,1.81
01.05.2021,2020,Swindon,Ipswich,1,2,3.28,3.34,2.19
27.04.2021,2020,Burton,Fleetwood,5,2,2.67,3.05,2.76
27.04.2021,2020,Charlton,Crewe,2,2,1.60,3.94,5.35
27.04.2021,2020,AFC Wimbledon,Rochdale,3,3,2.05,3.43,3.52
27.04.2021,2020,Shrewsbury,Lincoln,0,1,4.34,3.33,1.88
27.04.2021,2020,Accrington,Portsmouth,3,3,3.47,3.54,2.02
27.04.2021,2020,Peterborough,Doncaster,2,2,1.43,4.48,7.22
27.04.2021,2020,Sunderland,Blackpool,0,1,2.21,3.10,3.46
24.04.2021,2020,Blackpool,Shrewsbury,0,1,1.88,3.25,4.52
24.04.2021,2020,Charlton,Peterborough,0,1,2.93,3.17,2.48
24.04.2021,2020,Crewe,Rochdale,1,1,2.81,3.25,2.48
24.04.2021,2020,Doncaster,Fleetwood,0,1,2.81,3.18,2.55
24.04.2021,2020,Gillingham,Northampton,2,2,2.12,3.24,3.54
24.04.2021,2020,Ipswich,AFC Wimbledon,0,0,2.96,3.10,2.48
24.04.2021,2020,Lincoln,Hull,1,2,3.21,3.23,2.28
24.04.2021,2020,MK Dons,Swindon,5,0,1.59,4.08,5.37
24.04.2021,2020,Oxford Utd,Plymouth,3,1,1.52,4.27,5.82
24.04.2021,2020,Portsmouth,Bristol Rovers,1,0,1.55,4.08,5.81
24.04.2021,2020,Sunderland,Accrington,3,3,1.57,3.98,5.71
24.04.2021,2020,Wigan,Burton,1,1,2.15,3.29,3.39
20.04.2021,2020,Accrington,Doncaster,2,1,2.59,3.36,2.66
20.04.2021,2020,AFC Wimbledon,Oxford Utd,2,1,2.97,3.42,2.32
20.04.2021,2020,Bristol Rovers,MK Dons,0,2,2.69,3.38,2.53
20.04.2021,2020,Burton,Lincoln,0,1,3.03,3.29,2.34
20.04.2021,2020,Fleetwood,Crewe,0,2,2.23,3.29,3.25
20.04.2021,2020,Hull,Sunderland,2,2,2.17,3.21,3.45
20.04.2021,2020,Northampton,Ipswich,3,0,3.16,2.98,2.44
20.04.2021,2020,Peterborough,Gillingham,0,1,1.54,4.14,5.83
20.04.2021,2020,Plymouth,Charlton,0,6,4.17,3.74,1.80
20.04.2021,2020,Rochdale,Blackpool,1,0,3.70,3.24,2.07
20.04.2021,2020,Shrewsbury,Wigan,1,2,2.75,2.87,2.86
20.04.2021,2020,Swindon,Portsmouth,3,1,4.84,3.81,1.68
17.04.2021,2020,AFC Wimbledon,Swindon,4,1,1.91,3.46,3.97
17.04.2021,2020,Blackpool,Sunderland,1,0,2.88,3.04,2.59
17.04.2021,2020,Bristol Rovers,Lincoln,0,1,3.35,3.36,2.14
17.04.2021,2020,Burton,Plymouth,1,1,2.04,3.50,3.51
