Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
03.05.2003,2002,Bury,Wrexham,0,3
03.05.2003,2002,Cambridge Utd,Boston Utd,1,2
03.05.2003,2002,Carlisle,Bournemouth,0,2
03.05.2003,2002,Darlington,Leyton Orient,2,2
03.05.2003,2002,Exeter,Southend,1,0
03.05.2003,2002,Kidderminster,Bristol Rovers,1,1
03.05.2003,2002,Lincoln,Torquay,1,1
03.05.2003,2002,Macclesfield,Rochdale,3,2
03.05.2003,2002,Oxford Utd,York City,2,0
03.05.2003,2002,Rushden,Hartlepool,1,1
03.05.2003,2002,Shrewsbury,Scunthorpe,1,2
03.05.2003,2002,Swansea,Hull,4,2
29.04.2003,2002,Leyton Orient,Wrexham,0,1
29.04.2003,2002,Rochdale,Hull,2,1
29.04.2003,2002,Shrewsbury,Carlisle,2,3
26.04.2003,2002,Boston Utd,Macclesfield,2,1
26.04.2003,2002,Bournemouth,Lincoln,0,1
26.04.2003,2002,Bristol Rovers,Darlington,2,1
26.04.2003,2002,Hartlepool,Shrewsbury,3,0
26.04.2003,2002,Hull,Kidderminster,4,1
26.04.2003,2002,Leyton Orient,Rushden,0,0
26.04.2003,2002,Rochdale,Swansea,1,2
26.04.2003,2002,Scunthorpe,Oxford Utd,2,0
26.04.2003,2002,Southend,Bury,1,2
26.04.2003,2002,Torquay,Carlisle,2,3
26.04.2003,2002,Wrexham,Cambridge Utd,5,0
26.04.2003,2002,York City,Exeter,0,2
22.04.2003,2002,Cambridge Utd,Lincoln,0,0
21.04.2003,2002,Boston Utd,Southend,1,0
21.04.2003,2002,Bournemouth,Shrewsbury,2,1
21.04.2003,2002,Bury,Scunthorpe,0,0
21.04.2003,2002,Darlington,Hull,2,0
21.04.2003,2002,Hartlepool,Rochdale,2,2
21.04.2003,2002,Oxford Utd,Bristol Rovers,0,1
21.04.2003,2002,Rushden,Macclesfield,3,0
21.04.2003,2002,Swansea,Exeter,0,1
21.04.2003,2002,Torquay,Leyton Orient,2,2
21.04.2003,2002,Wrexham,Carlisle,6,1
21.04.2003,2002,York City,Kidderminster,0,0
19.04.2003,2002,Bristol Rovers,Cambridge Utd,3,1
19.04.2003,2002,Carlisle,Rushden,1,2
19.04.2003,2002,Exeter,Oxford Utd,2,2
19.04.2003,2002,Hull,Bournemouth,3,1
19.04.2003,2002,Kidderminster,Wrexham,0,2
19.04.2003,2002,Leyton Orient,Swansea,3,1
19.04.2003,2002,Lincoln,York City,1,0
19.04.2003,2002,Macclesfield,Darlington,1,0
19.04.2003,2002,Scunthorpe,Hartlepool,4,0
19.04.2003,2002,Shrewsbury,Boston Utd,1,2
19.04.2003,2002,Southend,Torquay,3,0
18.04.2003,2002,Rochdale,Bury,1,2
15.04.2003,2002,Carlisle,York City,1,1
15.04.2003,2002,Rochdale,Kidderminster,0,1
15.04.2003,2002,Shrewsbury,Macclesfield,2,3
12.04.2003,2002,Boston Utd,Hull,0,1
12.04.2003,2002,Bournemouth,Southend,1,0
12.04.2003,2002,Bury,Carlisle,1,1
12.04.2003,2002,Cambridge Utd,Exeter,2,1
12.04.2003,2002,Darlington,Shrewsbury,5,1
12.04.2003,2002,Hartlepool,Leyton Orient,4,1
12.04.2003,2002,Oxford Utd,Kidderminster,2,1
12.04.2003,2002,Rushden,Lincoln,1,0
12.04.2003,2002,Swansea,Scunthorpe,1,1
12.04.2003,2002,Torquay,Macclesfield,2,2
12.04.2003,2002,Wrexham,Bristol Rovers,3,2
12.04.2003,2002,York City,Rochdale,2,2
09.04.2003,2002,Shrewsbury,Wrexham,1,2
08.04.2003,2002,Rochdale,Bristol Rovers,1,1
05.04.2003,2002,Bristol Rovers,Rushden,1,2
05.04.2003,2002,Exeter,Bury,1,2
05.04.2003,2002,Hull,Wrexham,1,2
05.04.2003,2002,Kidderminster,Hartlepool,2,2
05.04.2003,2002,Leyton Orient,Boston Utd,3,2
05.04.2003,2002,Lincoln,Oxford Utd,0,1
05.04.2003,2002,Macclesfield,Cambridge Utd,1,1
05.04.2003,2002,Rochdale,Torquay,0,2
05.04.2003,2002,Scunthorpe,Bournemouth,0,2
05.04.2003,2002,Shrewsbury,Swansea,0,0
05.04.2003,2002,Southend,Darlington,2,0
02.04.2003,2002,Boston Utd,Wrexham,3,3
01.04.2003,2002,Oxford Utd,Carlisle,0,0
29.03.2003,2002,Cambridge Utd,Scunthorpe,1,1
29.03.2003,2002,Darlington,Bury,3,1
29.03.2003,2002,Hartlepool,Bournemouth,0,0
29.03.2003,2002,Lincoln,Bristol Rovers,2,1
29.03.2003,2002,Macclesfield,Kidderminster,2,0
29.03.2003,2002,Rushden,Exeter,1,0
29.03.2003,2002,Torquay,Boston Utd,1,1
29.03.2003,2002,York City,Southend,2,0
28.03.2003,2002,Swansea,Oxford Utd,3,2
25.03.2003,2002,Shrewsbury,Torquay,2,3
25.03.2003,2002,Bury,Oxford Utd,1,1
25.03.2003,2002,Lincoln,Kidderminster,1,0
25.03.2003,2002,Cambridge Utd,Bournemouth,2,1
24.03.2003,2002,Rushden,Rochdale,3,3
22.03.2003,2002,Boston Utd,Rushden,1,1
22.03.2003,2002,Bournemouth,Torquay,1,1
22.03.2003,2002,Bristol Rovers,Hartlepool,1,0
22.03.2003,2002,Bury,Lincoln,2,0
22.03.2003,2002,Carlisle,Cambridge Utd,0,1
22.03.2003,2002,Exeter,Rochdale,1,1
22.03.2003,2002,Hull,Shrewsbury,2,0
22.03.2003,2002,Kidderminster,Swansea,2,2
22.03.2003,2002,Oxford Utd,Macclesfield,0,1
22.03.2003,2002,Scunthorpe,Darlington,0,1
22.03.2003,2002,Southend,Leyton Orient,1,0
22.03.2003,2002,Wrexham,York City,1,1
19.03.2003,2002,Boston Utd,Darlington,1,0
18.03.2003,2002,Bournemouth,Leyton Orient,3,1
18.03.2003,2002,Bristol Rovers,York City,0,1
18.03.2003,2002,Bury,Rushden,0,1
18.03.2003,2002,Carlisle,Macclesfield,1,0
18.03.2003,2002,Exeter,Lincoln,2,0
18.03.2003,2002,Hull,Torquay,1,1
18.03.2003,2002,Kidderminster,Shrewsbury,2,2
18.03.2003,2002,Oxford Utd,Cambridge Utd,1,1
18.03.2003,2002,Scunthorpe,Rochdale,3,1
18.03.2003,2002,Southend,Swansea,0,2
18.03.2003,2002,Wrexham,Hartlepool,2,0
15.03.2003,2002,Cambridge Utd,Kidderminster,0,2
15.03.2003,2002,Darlington,Exeter,2,2
15.03.2003,2002,Hartlepool,Southend,2,1
15.03.2003,2002,Leyton Orient,Bristol Rovers,1,2
15.03.2003,2002,Lincoln,Wrexham,1,1
15.03.2003,2002,Macclesfield,Bury,0,0
15.03.2003,2002,Rochdale,Boston Utd,1,0
15.03.2003,2002,Rushden,Hull,4,2
15.03.2003,2002,Shrewsbury,Oxford Utd,1,2
15.03.2003,2002,Swansea,Carlisle,1,2
15.03.2003,2002,Torquay,Scunthorpe,1,1
15.03.2003,2002,York City,Bournemouth,1,0
11.03.2003,2002,Carlisle,Scunthorpe,1,2
11.03.2003,2002,Darlington,Cambridge Utd,1,2
11.03.2003,2002,Rochdale,Bournemouth,1,1
11.03.2003,2002,Macclesfield,Leyton Orient,3,1
11.03.2003,2002,Wrexham,Shrewsbury,3,3
08.03.2003,2002,Boston Utd,Carlisle,0,0
08.03.2003,2002,Bournemouth,Darlington,2,0
08.03.2003,2002,Bristol Rovers,Shrewsbury,0,0
