Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
05.05.2012,2011,Accrington,Crawley,0,1,4.95,3.80,1.63
05.05.2012,2011,AFC Wimbledon,Shrewsbury,3,1,3.26,3.34,2.11
05.05.2012,2011,Bradford City,Swindon,0,0,3.20,3.36,2.13
05.05.2012,2011,Burton,Barnet,1,2,3.13,3.39,2.16
05.05.2012,2011,Crewe,Aldershot,2,2,1.73,3.51,4.62
05.05.2012,2011,Dag & Red,Bristol Rovers,4,0,2.41,3.31,2.77
05.05.2012,2011,Gillingham,Morecambe,2,0,1.84,3.55,3.92
05.05.2012,2011,Hereford,Torquay,3,2,3.08,3.43,2.15
05.05.2012,2011,Plymouth,Cheltenham,1,2,2.33,3.28,2.89
05.05.2012,2011,Port Vale,Oxford Utd,3,0,3.07,3.23,2.25
05.05.2012,2011,Rotherham,Northampton,1,0,1.73,3.60,4.42
05.05.2012,2011,Southend,Macclesfield,2,0,1.23,5.35,11.56
28.04.2012,2011,Aldershot,Rotherham,2,2,2.37,3.27,2.82
28.04.2012,2011,Barnet,AFC Wimbledon,4,0,1.95,3.40,3.68
28.04.2012,2011,Bristol Rovers,Accrington,5,1,2.04,3.36,3.44
28.04.2012,2011,Cheltenham,Bradford City,3,1,NA,1.71,4.55
28.04.2012,2011,Crawley,Hereford,0,3,1.35,4.65,8.24
28.04.2012,2011,Macclesfield,Burton,0,2,1.87,3.51,3.85
28.04.2012,2011,Morecambe,Plymouth,2,2,2.12,3.28,3.31
28.04.2012,2011,Northampton,Gillingham,1,1,3.24,3.33,2.12
28.04.2012,2011,Oxford Utd,Southend,0,2,2.19,3.30,3.12
28.04.2012,2011,Shrewsbury,Dag & Red,1,0,1.42,4.24,7.39
28.04.2012,2011,Swindon,Port Vale,5,0,1.51,3.95,6.16
28.04.2012,2011,Torquay,Crewe,1,1,2.13,3.33,3.23
21.04.2012,2011,Accrington,Shrewsbury,1,1,4.01,3.54,1.83
21.04.2012,2011,AFC Wimbledon,Torquay,2,0,3.48,3.45,1.99
21.04.2012,2011,Bradford City,Macclesfield,1,0,1.81,3.48,4.21
21.04.2012,2011,Burton,Aldershot,0,4,2.80,3.26,2.42
21.04.2012,2011,Crewe,Cheltenham,1,0,1.98,3.40,3.56
21.04.2012,2011,Dag & Red,Crawley,1,1,4.13,3.50,1.81
21.04.2012,2011,Gillingham,Swindon,3,1,2.93,3.31,2.29
21.04.2012,2011,Hereford,Northampton,0,0,2.30,3.29,2.92
21.04.2012,2011,Plymouth,Oxford Utd,1,1,2.78,3.24,2.44
21.04.2012,2011,Port Vale,Bristol Rovers,1,0,2.11,3.33,3.27
21.04.2012,2011,Rotherham,Morecambe,3,2,1.74,3.54,4.54
20.04.2012,2011,Southend,Barnet,3,0,1.66,3.76,4.74
17.04.2012,2011,Aldershot,Swindon,2,1,4.09,3.38,1.86
17.04.2012,2011,Crawley,Northampton,3,1,1.43,4.24,7.03
17.04.2012,2011,Shrewsbury,Port Vale,1,0,1.52,3.95,6.06
14.04.2012,2011,Aldershot,Dag & Red,1,1,2.17,3.24,3.22
14.04.2012,2011,Bristol Rovers,Burton,7,1,1.97,3.36,3.65
14.04.2012,2011,Cheltenham,Accrington,1,1,1.70,3.61,4.62
14.04.2012,2011,Crawley,AFC Wimbledon,4,1,1.42,4.25,7.08
14.04.2012,2011,Macclesfield,Crewe,2,2,3.82,3.39,1.91
14.04.2012,2011,Morecambe,Port Vale,0,0,2.44,3.29,2.72
14.04.2012,2011,Northampton,Bradford City,1,3,2.29,3.27,2.97
14.04.2012,2011,Oxford Utd,Gillingham,0,0,2.03,3.35,3.47
14.04.2012,2011,Shrewsbury,Rotherham,3,1,1.89,3.34,3.96
14.04.2012,2011,Swindon,Plymouth,1,0,1.46,4.06,6.83
14.04.2012,2011,Torquay,Southend,0,0,2.12,3.32,3.27
13.04.2012,2011,Barnet,Hereford,1,1,2.01,3.36,3.53
09.04.2012,2011,Accrington,Hereford,2,1,2.07,3.32,3.38
09.04.2012,2011,Barnet,Crawley,1,2,4.21,3.52,1.79
09.04.2012,2011,Burton,Morecambe,3,2,2.42,3.28,2.76
09.04.2012,2011,Crewe,Bristol Rovers,3,0,1.84,3.58,3.90
09.04.2012,2011,Gillingham,Dag & Red,1,2,1.84,3.51,3.99
09.04.2012,2011,Oxford Utd,Torquay,2,2,2.40,3.17,2.86
09.04.2012,2011,Plymouth,Aldershot,1,0,2.16,3.17,3.33
09.04.2012,2011,Port Vale,Macclesfield,1,0,1.84,3.39,4.19
09.04.2012,2011,Rotherham,Cheltenham,1,0,2.22,3.27,3.11
09.04.2012,2011,Shrewsbury,Bradford City,1,0,1.58,3.80,5.42
09.04.2012,2011,Southend,AFC Wimbledon,2,0,1.70,3.58,4.70
09.04.2012,2011,Swindon,Northampton,1,0,1.54,3.84,5.89
06.04.2012,2011,AFC Wimbledon,Rotherham,1,2,2.60,3.26,2.57
06.04.2012,2011,Aldershot,Port Vale,1,2,2.02,3.28,3.61
06.04.2012,2011,Bradford City,Southend,2,0,2.84,3.29,2.37
06.04.2012,2011,Bristol Rovers,Gillingham,2,2,2.41,3.30,2.77
06.04.2012,2011,Cheltenham,Barnet,2,0,1.84,3.46,4.09
06.04.2012,2011,Crawley,Crewe,1,1,1.63,3.83,4.93
06.04.2012,2011,Dag & Red,Burton,1,1,1.92,3.40,3.80
06.04.2012,2011,Hereford,Plymouth,1,1,2.64,3.16,2.60
06.04.2012,2011,Macclesfield,Shrewsbury,1,3,4.40,3.46,1.78
06.04.2012,2011,Morecambe,Swindon,0,1,3.83,3.32,1.95
06.04.2012,2011,Northampton,Oxford Utd,2,1,2.94,3.27,2.32
06.04.2012,2011,Torquay,Accrington,1,0,1.62,3.73,5.15
