Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
08.05.2010,2009,Braunschweig,Erfurt,1,1
08.05.2010,2009,Burghausen,VfL Osnabruck,0,1
08.05.2010,2009,Holstein Kiel,Dortmund II,4,3
08.05.2010,2009,Ingolstadt,Sandhausen,1,1
08.05.2010,2009,Jena,Stuttgart II,1,2
08.05.2010,2009,Offenbach,Bayern II,4,1
08.05.2010,2009,Regensburg,Heidenheim,2,2
08.05.2010,2009,SG Dynamo Dresden,Wuppertaler,3,2
08.05.2010,2009,Unterhaching,Wehen,4,3
08.05.2010,2009,Werder Bremen II,Aue,2,1
30.04.2010,2009,Aue,Braunschweig,2,1
30.04.2010,2009,Bayern II,Werder Bremen II,2,1
30.04.2010,2009,Dortmund II,Regensburg,2,0
30.04.2010,2009,Erfurt,Burghausen,1,1
30.04.2010,2009,Heidenheim,SG Dynamo Dresden,3,0
30.04.2010,2009,Sandhausen,Offenbach,1,1
30.04.2010,2009,Stuttgart II,Unterhaching,3,1
30.04.2010,2009,VfL Osnabruck,Holstein Kiel,3,1
30.04.2010,2009,Wehen,Ingolstadt,1,5
30.04.2010,2009,Wuppertaler,Jena,1,1
27.04.2010,2009,Aue,Wehen,2,2
27.04.2010,2009,Bayern II,Sandhausen,2,2
27.04.2010,2009,Burghausen,Jena,2,3
27.04.2010,2009,Holstein Kiel,SG Dynamo Dresden,1,0
27.04.2010,2009,Wuppertaler,Erfurt,0,3
25.04.2010,2009,Ingolstadt,Stuttgart II,1,1
24.04.2010,2009,Braunschweig,Bayern II,3,1
24.04.2010,2009,Burghausen,Aue,0,2
24.04.2010,2009,Dortmund II,VfL Osnabruck,1,2
24.04.2010,2009,Holstein Kiel,Erfurt,1,2
24.04.2010,2009,Jena,Heidenheim,1,2
24.04.2010,2009,SG Dynamo Dresden,Regensburg,0,2
24.04.2010,2009,Unterhaching,Wuppertaler,1,0
24.04.2010,2009,Werder Bremen II,Sandhausen,3,0
23.04.2010,2009,Offenbach,Wehen,3,0
21.04.2010,2009,Dortmund II,Heidenheim,1,1
21.04.2010,2009,Holstein Kiel,Braunschweig,1,1
21.04.2010,2009,Stuttgart II,Wuppertaler,1,3
20.04.2010,2009,Werder Bremen II,Regensburg,4,1
20.04.2010,2009,Bayern II,Jena,0,0
18.04.2010,2009,Erfurt,Dortmund II,1,0
18.04.2010,2009,Stuttgart II,Offenbach,2,0
17.04.2010,2009,Aue,Holstein Kiel,3,1
17.04.2010,2009,Bayern II,Burghausen,2,0
17.04.2010,2009,Heidenheim,Unterhaching,2,4
17.04.2010,2009,Regensburg,VfL Osnabruck,2,2
17.04.2010,2009,Sandhausen,Braunschweig,1,1
17.04.2010,2009,SG Dynamo Dresden,Jena,0,3
17.04.2010,2009,Wehen,Werder Bremen II,2,0
17.04.2010,2009,Wuppertaler,Ingolstadt,0,2
14.04.2010,2009,Braunschweig,Wehen,3,1
14.04.2010,2009,Burghausen,Sandhausen,5,2
14.04.2010,2009,Dortmund II,Aue,1,3
14.04.2010,2009,Ingolstadt,Heidenheim,4,3
14.04.2010,2009,Offenbach,Wuppertaler,0,1
14.04.2010,2009,VfL Osnabruck,Erfurt,3,1
13.04.2010,2009,Holstein Kiel,Bayern II,2,2
13.04.2010,2009,Jena,Regensburg,3,1
13.04.2010,2009,Unterhaching,SG Dynamo Dresden,0,0
13.04.2010,2009,Werder Bremen II,Stuttgart II,0,3
10.04.2010,2009,Aue,VfL Osnabruck,3,0
10.04.2010,2009,Bayern II,Dortmund II,3,0
10.04.2010,2009,Heidenheim,Offenbach,0,2
10.04.2010,2009,Jena,Unterhaching,1,1
10.04.2010,2009,Regensburg,Erfurt,0,2
10.04.2010,2009,Sandhausen,Holstein Kiel,1,1
10.04.2010,2009,SG Dynamo Dresden,Ingolstadt,2,0
10.04.2010,2009,Stuttgart II,Braunschweig,1,2
10.04.2010,2009,Wehen,Burghausen,3,1
10.04.2010,2009,Wuppertaler,Werder Bremen II,1,1
07.04.2010,2009,SG Dynamo Dresden,Dortmund II,3,2
07.04.2010,2009,Stuttgart II,Aue,1,2
07.04.2010,2009,Unterhaching,Burghausen,1,1
07.04.2010,2009,Regensburg,Wehen,0,3
07.04.2010,2009,Werder Bremen II,Braunschweig,0,3
06.04.2010,2009,Bayern II,Ingolstadt,1,0
04.04.2010,2009,Dortmund II,Sandhausen,2,1
04.04.2010,2009,Offenbach,SG Dynamo Dresden,1,0
03.04.2010,2009,Braunschweig,Wuppertaler,3,0
03.04.2010,2009,Burghausen,Stuttgart II,3,0
03.04.2010,2009,Erfurt,Aue,0,0
03.04.2010,2009,Holstein Kiel,Wehen,1,1
03.04.2010,2009,Ingolstadt,Jena,2,2
03.04.2010,2009,Unterhaching,Regensburg,2,0
03.04.2010,2009,VfL Osnabruck,Bayern II,4,1
03.04.2010,2009,Werder Bremen II,Heidenheim,1,1
31.03.2010,2009,Bayern II,Erfurt,1,0
31.03.2010,2009,Jena,Offenbach,0,0
31.03.2010,2009,Sandhausen,VfL Osnabruck,3,2
31.03.2010,2009,SG Dynamo Dresden,Werder Bremen II,1,0
31.03.2010,2009,Stuttgart II,Holstein Kiel,1,0
31.03.2010,2009,Wehen,Dortmund II,2,0
31.03.2010,2009,Wuppertaler,Burghausen,1,2
30.03.2010,2009,Heidenheim,Braunschweig,0,1
30.03.2010,2009,Regensburg,Aue,2,1
30.03.2010,2009,Unterhaching,Ingolstadt,1,2
28.03.2010,2009,Holstein Kiel,Wuppertaler,1,1
28.03.2010,2009,Werder Bremen II,Jena,1,2
27.03.2010,2009,Aue,Bayern II,2,0
27.03.2010,2009,Braunschweig,SG Dynamo Dresden,0,1
27.03.2010,2009,Burghausen,Heidenheim,1,3
27.03.2010,2009,Dortmund II,Stuttgart II,1,2
27.03.2010,2009,Erfurt,Sandhausen,1,0
27.03.2010,2009,Ingolstadt,Regensburg,2,2
27.03.2010,2009,Offenbach,Unterhaching,1,3
27.03.2010,2009,VfL Osnabruck,Wehen,0,0
