Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
23.05.2015,2014,SG Dynamo Dresden,Hansa Rostock,2,1,2.38,3.37,2.71
23.05.2015,2014,Energie Cottbus,Stuttgart II,2,3,1.89,3.52,3.71
23.05.2015,2014,Erfurt,Unterhaching,1,0,3.07,3.63,2.06
23.05.2015,2014,Holstein Kiel,Stutt. Kickers,0,2,1.97,3.44,3.50
23.05.2015,2014,Mainz II,Chemnitzer,1,1,1.97,3.39,3.58
23.05.2015,2014,Preussen Munster,Dortmund II,1,2,1.90,3.52,3.62
23.05.2015,2014,Regensburg,Fortuna Koln,4,0,2.21,3.42,2.95
23.05.2015,2014,Grossaspach,Arminia Bielefeld,0,1,3.37,3.51,1.98
23.05.2015,2014,VfL Osnabruck,Hallescher,2,0,2.09,3.51,3.10
23.05.2015,2014,Wehen,Duisburg,1,0,2.37,3.37,2.74
16.05.2015,2014,Arminia Bielefeld,Regensburg,2,2,1.17,6.58,13.35
16.05.2015,2014,Chemnitzer,Grossaspach,2,0,1.86,3.49,3.85
16.05.2015,2014,Dortmund II,SG Dynamo Dresden,2,3,1.97,3.44,3.48
16.05.2015,2014,Duisburg,Holstein Kiel,3,1,2.07,3.31,3.37
16.05.2015,2014,Fortuna Koln,Wehen,2,1,2.28,3.27,2.92
16.05.2015,2014,Hallescher,Mainz II,1,2,2.38,3.32,2.74
16.05.2015,2014,Hansa Rostock,Energie Cottbus,0,1,1.87,3.53,3.74
16.05.2015,2014,Stutt. Kickers,Erfurt,0,0,1.56,3.88,5.43
16.05.2015,2014,Unterhaching,Preussen Munster,1,0,2.05,3.50,3.20
16.05.2015,2014,Stuttgart II,VfL Osnabruck,0,0,2.33,3.27,2.87
10.05.2015,2014,Erfurt,Duisburg,0,2,4.57,3.72,1.68
10.05.2015,2014,Grossaspach,Hallescher,2,1,2.50,3.21,2.67
09.05.2015,2014,SG Dynamo Dresden,Unterhaching,5,1,1.97,3.40,3.55
09.05.2015,2014,Energie Cottbus,Dortmund II,0,3,2.02,3.41,3.35
09.05.2015,2014,Holstein Kiel,Fortuna Koln,4,0,1.49,3.86,6.49
09.05.2015,2014,Mainz II,VfL Osnabruck,1,1,1.98,3.31,3.59
09.05.2015,2014,Preussen Munster,Stutt. Kickers,2,3,2.26,3.27,3.00
09.05.2015,2014,Regensburg,Chemnitzer,0,1,3.01,3.29,2.22
09.05.2015,2014,Wehen,Arminia Bielefeld,1,1,3.78,3.41,1.91
08.05.2015,2014,Stuttgart II,Hansa Rostock,3,2,2.40,3.15,2.85
03.05.2015,2014,Dortmund II,Stuttgart II,2,0,2.11,3.23,3.31
03.05.2015,2014,Duisburg,Preussen Munster,2,1,1.73,3.53,4.48
03.05.2015,2014,VfL Osnabruck,Hansa Rostock,1,0,1.94,3.38,3.66
02.05.2015,2014,Arminia Bielefeld,Holstein Kiel,2,2,1.99,3.27,3.62
02.05.2015,2014,Chemnitzer,Wehen,2,1,1.82,3.42,4.14
02.05.2015,2014,Fortuna Koln,Erfurt,2,2,2.09,3.24,3.33
