Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
17.05.2008,2007,Bayer Leverkusen,Werder Bremen,0,1,2.70,3.29,2.44
17.05.2008,2007,Bayern Munich,Hertha Berlin,4,1,1.36,4.49,8.15
17.05.2008,2007,Bochum,Hansa Rostock,1,2,1.54,3.90,5.63
17.05.2008,2007,Dortmund,Wolfsburg,2,4,3.10,3.45,2.12
17.05.2008,2007,Eintracht Frankfurt,Duisburg,4,2,1.60,3.76,5.23
17.05.2008,2007,Hamburger SV,Karlsruher SC,7,0,1.32,4.73,8.84
17.05.2008,2007,Hannover,Energie Cottbus,4,0,1.65,3.62,4.99
17.05.2008,2007,Nurnberg,Schalke,0,2,2.38,3.67,2.56
17.05.2008,2007,Stuttgart,Arminia Bielefeld,2,2,1.53,4.11,5.43
10.05.2008,2007,Arminia Bielefeld,Dortmund,2,2,1.80,3.51,4.19
10.05.2008,2007,Duisburg,Bayern Munich,2,3,3.50,3.45,1.96
10.05.2008,2007,Energie Cottbus,Hamburger SV,2,0,3.10,3.24,2.22
10.05.2008,2007,Hansa Rostock,Bayer Leverkusen,1,2,4.09,3.45,1.83
10.05.2008,2007,Hertha Berlin,Nurnberg,1,0,2.93,3.32,2.28
10.05.2008,2007,Karlsruher SC,Bochum,1,3,1.95,3.37,3.63
10.05.2008,2007,Schalke,Eintracht Frankfurt,1,0,1.28,5.03,9.83
10.05.2008,2007,Werder Bremen,Hannover,6,1,1.35,4.49,8.03
10.05.2008,2007,Wolfsburg,Stuttgart,4,0,2.40,3.30,2.74
07.05.2008,2007,Bayer Leverkusen,Hertha Berlin,1,2,1.49,3.85,6.42
07.05.2008,2007,Bayern Munich,Arminia Bielefeld,2,0,1.38,4.29,8.00
07.05.2008,2007,Eintracht Frankfurt,Wolfsburg,2,3,2.34,3.23,2.90
07.05.2008,2007,Hamburger SV,Werder Bremen,0,1,2.41,3.20,2.79
07.05.2008,2007,Nurnberg,Duisburg,2,0,1.67,3.59,4.70
06.05.2008,2007,Bochum,Schalke,0,3,4.25,3.40,1.84
06.05.2008,2007,Dortmund,Stuttgart,3,2,3.07,3.30,2.23
06.05.2008,2007,Hannover,Hansa Rostock,3,0,1.81,3.52,4.12
06.05.2008,2007,Karlsruher SC,Energie Cottbus,1,1,2.17,3.29,3.16
04.05.2008,2007,Duisburg,Bayer Leverkusen,3,2,3.17,3.30,2.17
04.05.2008,2007,Wolfsburg,Bayern Munich,0,0,3.16,3.27,2.18
03.05.2008,2007,Arminia Bielefeld,Bochum,2,0,1.82,3.39,4.25
03.05.2008,2007,Hansa Rostock,Hamburger SV,1,3,3.38,3.28,2.09
03.05.2008,2007,Hertha Berlin,Karlsruher SC,3,1,1.90,3.32,3.94
03.05.2008,2007,Schalke,Hannover,1,1,1.44,4.02,7.35
03.05.2008,2007,Stuttgart,Eintracht Frankfurt,4,1,1.59,3.65,5.67
03.05.2008,2007,Werder Bremen,Energie Cottbus,2,0,1.32,4.66,9.22
02.05.2008,2007,Dortmund,Nurnberg,0,0,2.21,3.28,3.11
27.04.2008,2007,Bayer Leverkusen,Wolfsburg,2,2,1.75,3.44,4.52
27.04.2008,2007,Bayern Munich,Stuttgart,4,1,1.72,3.46,4.74
26.04.2008,2007,Bochum,Duisburg,1,1,2.06,3.29,3.44
26.04.2008,2007,Energie Cottbus,Hansa Rostock,2,1,2.11,3.24,3.35
26.04.2008,2007,Hamburger SV,Schalke,0,1,2.56,3.23,2.82
26.04.2008,2007,Hannover,Hertha Berlin,2,2,2.10,3.25,3.35
26.04.2008,2007,Karlsruher SC,Werder Bremen,3,3,4.35,3.44,1.79
26.04.2008,2007,Nurnberg,Arminia Bielefeld,2,2,1.73,3.45,4.70
25.04.2008,2007,Eintracht Frankfurt,Dortmund,1,1,2.25,3.25,3.09
20.04.2008,2007,Nurnberg,Wolfsburg,1,0,2.11,3.25,3.31
16.04.2008,2007,Arminia Bielefeld,Bayer Leverkusen,1,0,3.23,3.26,2.13
16.04.2008,2007,Dortmund,Hannover,1,3,3.56,3.54,3.00
16.04.2008,2007,Duisburg,Karlsruher SC,0,1,2.03,3.30,3.53
16.04.2008,2007,Eintracht Frankfurt,Bayern Munich,1,3,3.97,3.30,1.92
16.04.2008,2007,Stuttgart,Nurnberg,3,0,1.81,3.36,4.43
15.04.2008,2007,Hansa Rostock,Werder Bremen,1,2,7.84,3.78,1.69
15.04.2008,2007,Hertha Berlin,Hamburger SV,0,0,2.77,3.20,2.50
15.04.2008,2007,Schalke,Energie Cottbus,5,0,1.43,4.09,7.48
15.04.2008,2007,Wolfsburg,Bochum,0,1,1.71,3.53,4.82
13.04.2008,2007,Bayer Leverkusen,Stuttgart,3,0,2.16,3.26,3.23
13.04.2008,2007,Bayern Munich,Dortmund,5,0,1.43,4.10,7.36
12.04.2008,2007,Bochum,Hertha Berlin,1,1,2.20,3.24,3.17
12.04.2008,2007,Energie Cottbus,Arminia Bielefeld,1,0,2.15,3.23,3.29
12.04.2008,2007,Hamburger SV,Duisburg,0,1,1.34,4.40,8.87
12.04.2008,2007,Hannover,Eintracht Frankfurt,2,1,2.54,3.09,3.41
12.04.2008,2007,Karlsruher SC,Hansa Rostock,1,2,1.92,3.28,3.90
12.04.2008,2007,Werder Bremen,Schalke,5,1,1.93,3.34,3.76
06.04.2008,2007,Bayern Munich,Bochum,3,1,1.25,5.23,10.91
06.04.2008,2007,Dortmund,Bayer Leverkusen,2,1,2.40,3.23,2.82
05.04.2008,2007,Arminia Bielefeld,Karlsruher SC,1,0,2.40,3.09,3.15
05.04.2008,2007,Eintracht Frankfurt,Nurnberg,1,3,8.63,4.21,3.28
05.04.2008,2007,Hertha Berlin,Werder Bremen,1,2,3.23,3.29,2.14
05.04.2008,2007,Schalke,Hansa Rostock,1,0,1.36,4.29,8.48
05.04.2008,2007,Stuttgart,Hamburger SV,1,0,2.24,3.21,3.09
05.04.2008,2007,Wolfsburg,Hannover,3,2,1.89,3.38,4.57
04.04.2008,2007,Duisburg,Energie Cottbus,0,1,2.14,3.23,3.36
30.03.2008,2007,Energie Cottbus,Hertha Berlin,2,1,2.46,3.19,2.75
30.03.2008,2007,Hannover,Stuttgart,0,0,2.94,3.25,2.30
