Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
23.05.2009,2008,FC Koln,Bochum,1,1
23.05.2009,2008,Arminia Bielefeld,Hannover,2,2
23.05.2009,2008,Bayern Munich,Stuttgart,2,1
23.05.2009,2008,B. Monchengladbach,Dortmund,1,1
23.05.2009,2008,Eintracht Frankfurt,Hamburger SV,2,3
23.05.2009,2008,Energie Cottbus,Bayer Leverkusen,3,0
23.05.2009,2008,Karlsruher SC,Hertha Berlin,4,0
23.05.2009,2008,Schalke,Hoffenheim,2,3
23.05.2009,2008,Wolfsburg,Werder Bremen,5,1
16.05.2009,2008,Bayer Leverkusen,B. Monchengladbach,5,0
16.05.2009,2008,Bochum,Eintracht Frankfurt,2,0
16.05.2009,2008,Dortmund,Arminia Bielefeld,6,0
16.05.2009,2008,Hamburger SV,FC Koln,0,1
16.05.2009,2008,Hannover,Wolfsburg,0,5
16.05.2009,2008,Hertha Berlin,Schalke,0,0
16.05.2009,2008,Hoffenheim,Bayern Munich,2,2
16.05.2009,2008,Stuttgart,Energie Cottbus,2,0
16.05.2009,2008,Werder Bremen,Karlsruher SC,1,3
13.05.2009,2008,Arminia Bielefeld,Hoffenheim,0,2
13.05.2009,2008,Eintracht Frankfurt,Werder Bremen,0,5
13.05.2009,2008,Energie Cottbus,B. Monchengladbach,0,1
13.05.2009,2008,Hamburger SV,Bochum,3,1
13.05.2009,2008,Schalke,Stuttgart,1,2
12.05.2009,2008,FC Koln,Hertha Berlin,1,2
12.05.2009,2008,Bayern Munich,Bayer Leverkusen,3,0
12.05.2009,2008,Karlsruher SC,Hannover,2,3
12.05.2009,2008,Wolfsburg,Dortmund,3,0
10.05.2009,2008,B. Monchengladbach,Schalke,1,0
10.05.2009,2008,Werder Bremen,Hamburger SV,2,0
09.05.2009,2008,Dortmund,Karlsruher SC,4,0
09.05.2009,2008,Energie Cottbus,Bayern Munich,1,3
09.05.2009,2008,Hannover,Eintracht Frankfurt,1,1
09.05.2009,2008,Hertha Berlin,Bochum,2,0
09.05.2009,2008,Hoffenheim,FC Koln,2,0
09.05.2009,2008,Stuttgart,Wolfsburg,4,1
08.05.2009,2008,Bayer Leverkusen,Arminia Bielefeld,2,2
03.05.2009,2008,FC Koln,Werder Bremen,1,0
03.05.2009,2008,Hamburger SV,Hertha Berlin,1,1
02.05.2009,2008,Arminia Bielefeld,Stuttgart,2,2
02.05.2009,2008,Bayern Munich,B. Monchengladbach,2,1
02.05.2009,2008,Eintracht Frankfurt,Dortmund,0,2
02.05.2009,2008,Karlsruher SC,Energie Cottbus,0,0
02.05.2009,2008,Schalke,Bayer Leverkusen,1,2
02.05.2009,2008,Wolfsburg,Hoffenheim,4,0
01.05.2009,2008,Bochum,Hannover,0,2
26.04.2009,2008,B. Monchengladbach,Arminia Bielefeld,1,1
26.04.2009,2008,Energie Cottbus,Wolfsburg,2,0
25.04.2009,2008,Bayer Leverkusen,Karlsruher SC,0,1
25.04.2009,2008,Bayern Munich,Schalke,0,1
25.04.2009,2008,Dortmund,Hamburger SV,2,0
25.04.2009,2008,Hannover,FC Koln,2,1
25.04.2009,2008,Stuttgart,Eintracht Frankfurt,2,0
25.04.2009,2008,Werder Bremen,Bochum,3,2
24.04.2009,2008,Hoffenheim,Hertha Berlin,0,1
19.04.2009,2008,Hamburger SV,Hannover,2,1
19.04.2009,2008,Hertha Berlin,Werder Bremen,2,1
18.04.2009,2008,FC Koln,Stuttgart,0,3
18.04.2009,2008,Arminia Bielefeld,Bayern Munich,0,1
18.04.2009,2008,Bochum,Dortmund,0,2
18.04.2009,2008,Eintracht Frankfurt,B. Monchengladbach,4,1
18.04.2009,2008,Karlsruher SC,Hoffenheim,2,2
18.04.2009,2008,Wolfsburg,Bayer Leverkusen,2,1
17.04.2009,2008,Schalke,Energie Cottbus,4,0
12.04.2009,2008,Bayer Leverkusen,Werder Bremen,1,1
12.04.2009,2008,Stuttgart,Hamburger SV,1,0
11.04.2009,2008,Bayern Munich,Eintracht Frankfurt,4,0
11.04.2009,2008,B. Monchengladbach,Wolfsburg,1,2
11.04.2009,2008,Dortmund,FC Koln,3,1
11.04.2009,2008,Energie Cottbus,Arminia Bielefeld,2,1
11.04.2009,2008,Hannover,Hertha Berlin,2,0
11.04.2009,2008,Hoffenheim,Bochum,0,3
11.04.2009,2008,Schalke,Karlsruher SC,2,0
05.04.2009,2008,FC Koln,Bayer Leverkusen,0,2
05.04.2009,2008,Karlsruher SC,B. Monchengladbach,0,0
05.04.2009,2008,Werder Bremen,Hannover,4,1
04.04.2009,2008,Bochum,Stuttgart,1,2
04.04.2009,2008,Eintracht Frankfurt,Energie Cottbus,2,1
04.04.2009,2008,Hamburger SV,Hoffenheim,1,0
04.04.2009,2008,Hertha Berlin,Dortmund,1,3
04.04.2009,2008,Wolfsburg,Bayern Munich,5,1
03.04.2009,2008,Arminia Bielefeld,Schalke,0,2
22.03.2009,2008,Schalke,Hamburger SV,1,2
21.03.2009,2008,Arminia Bielefeld,Wolfsburg,0,3
21.03.2009,2008,Bayer Leverkusen,Eintracht Frankfurt,1,1
21.03.2009,2008,Bayern Munich,Karlsruher SC,1,0
21.03.2009,2008,Dortmund,Werder Bremen,1,0
21.03.2009,2008,Energie Cottbus,FC Koln,0,2
21.03.2009,2008,Hoffenheim,Hannover,2,2
21.03.2009,2008,Stuttgart,Hertha Berlin,2,0
20.03.2009,2008,B. Monchengladbach,Bochum,0,1
15.03.2009,2008,Hamburger SV,Energie Cottbus,2,0
15.03.2009,2008,Werder Bremen,Stuttgart,4,0
14.03.2009,2008,FC Koln,B. Monchengladbach,2,4
14.03.2009,2008,Bochum,Bayern Munich,0,3
14.03.2009,2008,Eintracht Frankfurt,Hoffenheim,1,1
14.03.2009,2008,Hannover,Dortmund,4,4
14.03.2009,2008,Hertha Berlin,Bayer Leverkusen,1,0
14.03.2009,2008,Karlsruher SC,Arminia Bielefeld,0,1
13.03.2009,2008,Wolfsburg,Schalke,4,3
08.03.2009,2008,Arminia Bielefeld,Eintracht Frankfurt,0,0
08.03.2009,2008,Bayer Leverkusen,Bochum,1,1
07.03.2009,2008,Bayern Munich,Hannover,5,1
07.03.2009,2008,B. Monchengladbach,Hamburger SV,4,1
07.03.2009,2008,Energie Cottbus,Hertha Berlin,1,3
07.03.2009,2008,Hoffenheim,Werder Bremen,0,0
07.03.2009,2008,Stuttgart,Dortmund,2,1
07.03.2009,2008,Wolfsburg,Karlsruher SC,1,0
06.03.2009,2008,Schalke,FC Koln,1,0
01.03.2009,2008,Hamburger SV,Wolfsburg,1,3
01.03.2009,2008,Karlsruher SC,Stuttgart,0,2
01.03.2009,2008,Werder Bremen,Bayern Munich,0,0
28.02.2009,2008,Bochum,Energie Cottbus,3,2
28.02.2009,2008,Dortmund,Hoffenheim,0,0
28.02.2009,2008,Eintracht Frankfurt,Schalke,1,2
28.02.2009,2008,Hannover,Bayer Leverkusen,1,0
28.02.2009,2008,Hertha Berlin,B. Monchengladbach,2,1
27.02.2009,2008,FC Koln,Arminia Bielefeld,1,1
22.02.2009,2008,Bayer Leverkusen,Hamburger SV,1,2
21.02.2009,2008,Arminia Bielefeld,Bochum,1,1
21.02.2009,2008,Bayern Munich,FC Koln,1,2
21.02.2009,2008,B. Monchengladbach,Hannover,3,2
21.02.2009,2008,Energie Cottbus,Werder Bremen,2,1
21.02.2009,2008,Karlsruher SC,Eintracht Frankfurt,0,1
21.02.2009,2008,Stuttgart,Hoffenheim,3,3
21.02.2009,2008,Wolfsburg,Hertha Berlin,2,1
20.02.2009,2008,Schalke,Dortmund,1,1
15.02.2009,2008,Dortmund,Energie Cottbus,1,1
15.02.2009,2008,Hamburger SV,Arminia Bielefeld,2,0
14.02.2009,2008,FC Koln,Karlsruher SC,0,0
14.02.2009,2008,Bochum,Schalke,2,1
14.02.2009,2008,Eintracht Frankfurt,Wolfsburg,0,2
14.02.2009,2008,Hannover,Stuttgart,3,3
14.02.2009,2008,Hertha Berlin,Bayern Munich,2,1
14.02.2009,2008,Werder Bremen,B. Monchengladbach,1,1
13.02.2009,2008,Hoffenheim,Bayer Leverkusen,1,4
08.02.2009,2008,Bayern Munich,Dortmund,3,1
