Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
16.05.1998,1997,AS Roma,Sampdoria,2,0
16.05.1998,1997,Atalanta,Juventus,1,1
16.05.1998,1997,Bologna,Lazio,2,1
16.05.1998,1997,Fiorentina,AC Milan,2,0
16.05.1998,1997,Inter,Empoli,4,1
16.05.1998,1997,Lecce,Piacenza,1,3
16.05.1998,1997,L.R. Vicenza,Udinese,1,3
16.05.1998,1997,Napoli,Bari,2,2
16.05.1998,1997,Parma,Brescia,1,3
10.05.1998,1997,AC Milan,Parma,1,1
10.05.1998,1997,Bari,Inter,2,1
10.05.1998,1997,Brescia,Napoli,2,1
10.05.1998,1997,Empoli,L.R. Vicenza,3,2
10.05.1998,1997,Juventus,Bologna,3,2
10.05.1998,1997,Lazio,Fiorentina,1,4
10.05.1998,1997,Piacenza,AS Roma,3,3
10.05.1998,1997,Sampdoria,Lecce,1,1
10.05.1998,1997,Udinese,Atalanta,1,0
03.05.1998,1997,AS Roma,AC Milan,5,0
03.05.1998,1997,Atalanta,Bari,2,0
03.05.1998,1997,Bologna,Empoli,2,2
03.05.1998,1997,Fiorentina,Brescia,5,1
03.05.1998,1997,Inter,Piacenza,0,0
03.05.1998,1997,L.R. Vicenza,Juventus,0,0
03.05.1998,1997,Napoli,Udinese,1,3
03.05.1998,1997,Parma,Sampdoria,2,2
02.05.1998,1997,Lecce,Lazio,1,0
26.04.1998,1997,AC Milan,Napoli,0,0
26.04.1998,1997,Bari,L.R. Vicenza,0,0
26.04.1998,1997,Brescia,Bologna,1,3
26.04.1998,1997,Empoli,Lecce,5,1
26.04.1998,1997,Juventus,Inter,1,0
26.04.1998,1997,Lazio,Parma,1,2
26.04.1998,1997,Piacenza,Atalanta,3,0
26.04.1998,1997,Sampdoria,Fiorentina,2,0
26.04.1998,1997,Udinese,AS Roma,4,2
19.04.1998,1997,AS Roma,Brescia,5,0
19.04.1998,1997,Atalanta,Fiorentina,1,0
19.04.1998,1997,Bologna,AC Milan,3,0
19.04.1998,1997,Empoli,Juventus,0,1
19.04.1998,1997,Inter,Udinese,2,0
19.04.1998,1997,Lecce,Parma,0,2
19.04.1998,1997,L.R. Vicenza,Lazio,2,1
19.04.1998,1997,Napoli,Sampdoria,0,2
19.04.1998,1997,Piacenza,Bari,0,1
11.04.1998,1997,AC Milan,Atalanta,3,0
11.04.1998,1997,AS Roma,Inter,1,2
11.04.1998,1997,Brescia,Lazio,1,1
11.04.1998,1997,Fiorentina,L.R. Vicenza,1,1
11.04.1998,1997,Juventus,Piacenza,2,0
11.04.1998,1997,Lecce,Bologna,1,1
11.04.1998,1997,Parma,Napoli,3,1
11.04.1998,1997,Sampdoria,Empoli,3,0
11.04.1998,1997,Udinese,Bari,2,0
05.04.1998,1997,Atalanta,AS Roma,0,1
05.04.1998,1997,Bari,AC Milan,1,0
05.04.1998,1997,Bologna,Udinese,2,0
05.04.1998,1997,Empoli,Brescia,3,1
05.04.1998,1997,Inter,Sampdoria,3,0
05.04.1998,1997,Lazio,Juventus,0,1
05.04.1998,1997,Parma,Fiorentina,1,2
04.04.1998,1997,L.R. Vicenza,Lecce,1,3
04.04.1998,1997,Napoli,Piacenza,1,2
29.03.1998,1997,AS Roma,Parma,2,2
29.03.1998,1997,Brescia,Bari,1,1
29.03.1998,1997,Fiorentina,Napoli,4,0
29.03.1998,1997,Lecce,Atalanta,1,1
29.03.1998,1997,Piacenza,Empoli,0,0
29.03.1998,1997,Sampdoria,Bologna,2,3
28.03.1998,1997,Inter,L.R. Vicenza,2,1
28.03.1998,1997,Juventus,AC Milan,4,1
28.03.1998,1997,Udinese,Lazio,0,2
22.03.1998,1997,AC Milan,Inter,0,3
22.03.1998,1997,Atalanta,Empoli,1,0
22.03.1998,1997,Bari,Sampdoria,0,1
22.03.1998,1997,Fiorentina,Bologna,1,1
22.03.1998,1997,Lazio,Piacenza,0,0
22.03.1998,1997,L.R. Vicenza,AS Roma,1,1
22.03.1998,1997,Napoli,Lecce,2,4
22.03.1998,1997,Parma,Juventus,2,2
22.03.1998,1997,Udinese,Brescia,3,1
15.03.1998,1997,AS Roma,Bari,2,1
15.03.1998,1997,Brescia,AC Milan,2,2
15.03.1998,1997,Empoli,Parma,2,0
15.03.1998,1997,Lecce,Fiorentina,1,1
15.03.1998,1997,Piacenza,Udinese,0,2
14.03.1998,1997,Bologna,L.R. Vicenza,3,1
14.03.1998,1997,Inter,Atalanta,4,0
14.03.1998,1997,Juventus,Napoli,2,2
14.03.1998,1997,Sampdoria,Lazio,0,4
08.03.1998,1997,AC Milan,Sampdoria,1,0
08.03.1998,1997,Bari,Empoli,2,0
08.03.1998,1997,Brescia,Lecce,3,2
08.03.1998,1997,Fiorentina,Piacenza,1,1
08.03.1998,1997,Lazio,AS Roma,2,0
08.03.1998,1997,L.R. Vicenza,Atalanta,1,0
08.03.1998,1997,Napoli,Bologna,0,0
08.03.1998,1997,Parma,Inter,1,0
08.03.1998,1997,Udinese,Juventus,1,1
01.03.1998,1997,AS Roma,Fiorentina,4,1
01.03.1998,1997,Bologna,Parma,1,2
01.03.1998,1997,Empoli,Udinese,1,0
01.03.1998,1997,Lecce,AC Milan,0,0
01.03.1998,1997,L.R. Vicenza,Brescia,2,1
01.03.1998,1997,Piacenza,Sampdoria,1,0
28.02.1998,1997,Atalanta,Lazio,0,0
28.02.1998,1997,Inter,Napoli,2,0
28.02.1998,1997,Juventus,Bari,1,0
22.02.1998,1997,AC Milan,Empoli,3,1
22.02.1998,1997,Bari,Lecce,2,2
22.02.1998,1997,Bologna,Piacenza,3,0
22.02.1998,1997,Brescia,Atalanta,2,2
22.02.1998,1997,Fiorentina,Juventus,3,0
22.02.1998,1997,Lazio,Inter,3,0
22.02.1998,1997,Napoli,AS Roma,0,2
22.02.1998,1997,Parma,L.R. Vicenza,2,1
22.02.1998,1997,Sampdoria,Udinese,0,3
15.02.1998,1997,AS Roma,Bologna,2,1
15.02.1998,1997,Atalanta,Napoli,1,0
15.02.1998,1997,Bari,Lazio,0,2
15.02.1998,1997,Empoli,Fiorentina,1,1
15.02.1998,1997,Inter,Lecce,5,0
15.02.1998,1997,Juventus,Sampdoria,3,0
15.02.1998,1997,L.R. Vicenza,AC Milan,1,4
15.02.1998,1997,Piacenza,Brescia,0,0
15.02.1998,1997,Udinese,Parma,1,1
11.02.1998,1997,AC Milan,Udinese,0,0
11.02.1998,1997,Bologna,Bari,4,3
11.02.1998,1997,Brescia,Juventus,1,1
11.02.1998,1997,Fiorentina,Inter,1,1
11.02.1998,1997,Lazio,Empoli,3,1
11.02.1998,1997,Lecce,AS Roma,1,3
11.02.1998,1997,Napoli,L.R. Vicenza,2,0
11.02.1998,1997,Parma,Piacenza,1,1
11.02.1998,1997,Sampdoria,Atalanta,2,0
08.02.1998,1997,Atalanta,Parma,0,0
08.02.1998,1997,Bari,Fiorentina,0,1
08.02.1998,1997,Empoli,Napoli,5,0
08.02.1998,1997,Inter,Bologna,0,1
08.02.1998,1997,Juventus,AS Roma,3,1
08.02.1998,1997,Lazio,AC Milan,2,1
08.02.1998,1997,Piacenza,L.R. Vicenza,1,1
08.02.1998,1997,Sampdoria,Brescia,2,1
08.02.1998,1997,Udinese,Lecce,6,0
01.02.1998,1997,AC Milan,Piacenza,1,0
01.02.1998,1997,AS Roma,Empoli,4,3
01.02.1998,1997,Bologna,Atalanta,0,0
01.02.1998,1997,Brescia,Inter,0,1
01.02.1998,1997,Fiorentina,Udinese,1,0
01.02.1998,1997,Lecce,Juventus,0,2
01.02.1998,1997,L.R. Vicenza,Sampdoria,1,1
01.02.1998,1997,Napoli,Lazio,0,0
01.02.1998,1997,Parma,Bari,1,0
25.01.1998,1997,AC Milan,Fiorentina,0,2
25.01.1998,1997,Bari,Napoli,2,0
25.01.1998,1997,Brescia,Parma,2,1
25.01.1998,1997,Empoli,Inter,1,1
25.01.1998,1997,Juventus,Atalanta,3,1
25.01.1998,1997,Lazio,Bologna,1,0
25.01.1998,1997,Piacenza,Lecce,1,0
25.01.1998,1997,Sampdoria,AS Roma,1,1
25.01.1998,1997,Udinese,L.R. Vicenza,3,0
18.01.1998,1997,AS Roma,Piacenza,1,1
18.01.1998,1997,Atalanta,Udinese,1,1
18.01.1998,1997,Bologna,Juventus,1,3
18.01.1998,1997,Fiorentina,Lazio,1,3
18.01.1998,1997,Inter,Bari,0,1
18.01.1998,1997,Lecce,Sampdoria,1,3
18.01.1998,1997,L.R. Vicenza,Empoli,1,0
18.01.1998,1997,Napoli,Brescia,0,3
18.01.1998,1997,Parma,AC Milan,3,1
11.01.1998,1997,AC Milan,AS Roma,0,0
11.01.1998,1997,Bari,Atalanta,0,0
11.01.1998,1997,Brescia,Fiorentina,1,3
11.01.1998,1997,Empoli,Bologna,0,0
11.01.1998,1997,Juventus,L.R. Vicenza,2,0
11.01.1998,1997,Lazio,Lecce,4,0
11.01.1998,1997,Piacenza,Inter,0,1
11.01.1998,1997,Sampdoria,Parma,5,2
11.01.1998,1997,Udinese,Napoli,1,1
04.01.1998,1997,AS Roma,Udinese,1,2
04.01.1998,1997,Atalanta,Piacenza,2,2
04.01.1998,1997,Bologna,Brescia,2,1
04.01.1998,1997,Fiorentina,Sampdoria,1,1
04.01.1998,1997,Inter,Juventus,1,0
04.01.1998,1997,Lecce,Empoli,2,2
04.01.1998,1997,L.R. Vicenza,Bari,1,2
04.01.1998,1997,Napoli,AC Milan,1,2
04.01.1998,1997,Parma,Lazio,1,1
21.12.1997,1997,AC Milan,Bologna,0,0
21.12.1997,1997,Bari,Piacenza,0,0
21.12.1997,1997,Brescia,AS Roma,1,1
21.12.1997,1997,Fiorentina,Atalanta,5,0
21.12.1997,1997,Juventus,Empoli,5,2
21.12.1997,1997,Lazio,L.R. Vicenza,4,0
21.12.1997,1997,Parma,Lecce,2,1
21.12.1997,1997,Sampdoria,Napoli,6,3
21.12.1997,1997,Udinese,Inter,1,0
14.12.1997,1997,Atalanta,AC Milan,1,2
14.12.1997,1997,Bari,Udinese,0,0
14.12.1997,1997,Bologna,Lecce,2,0
14.12.1997,1997,Empoli,Sampdoria,4,1
14.12.1997,1997,Inter,AS Roma,3,0
14.12.1997,1997,Lazio,Brescia,1,0
14.12.1997,1997,L.R. Vicenza,Fiorentina,1,5
14.12.1997,1997,Napoli,Parma,0,4
14.12.1997,1997,Piacenza,Juventus,1,1
07.12.1997,1997,AC Milan,Bari,2,0
07.12.1997,1997,AS Roma,Atalanta,3,0
07.12.1997,1997,Brescia,Empoli,3,1
07.12.1997,1997,Fiorentina,Parma,1,1
07.12.1997,1997,Lecce,L.R. Vicenza,0,1
07.12.1997,1997,Piacenza,Napoli,1,0
07.12.1997,1997,Udinese,Bologna,4,3
06.12.1997,1997,Juventus,Lazio,2,1
06.12.1997,1997,Sampdoria,Inter,1,1
30.11.1997,1997,AC Milan,Juventus,1,1
30.11.1997,1997,Atalanta,Lecce,0,0
30.11.1997,1997,Bari,Brescia,2,1
30.11.1997,1997,Bologna,Sampdoria,2,2
30.11.1997,1997,Empoli,Piacenza,2,3
30.11.1997,1997,Lazio,Udinese,2,3
30.11.1997,1997,L.R. Vicenza,Inter,1,3
30.11.1997,1997,Napoli,Fiorentina,1,1
30.11.1997,1997,Parma,AS Roma,0,2
23.11.1997,1997,AS Roma,L.R. Vicenza,2,2
23.11.1997,1997,Bologna,Fiorentina,2,2
23.11.1997,1997,Brescia,Udinese,0,4
23.11.1997,1997,Empoli,Atalanta,1,0
23.11.1997,1997,Juventus,Parma,2,2
23.11.1997,1997,Lecce,Napoli,2,0
23.11.1997,1997,Sampdoria,Bari,1,0
22.11.1997,1997,Inter,AC Milan,2,2
22.11.1997,1997,Piacenza,Lazio,0,0
09.11.1997,1997,AC Milan,Brescia,2,1
09.11.1997,1997,Atalanta,Inter,1,2
09.11.1997,1997,Bari,AS Roma,1,3
09.11.1997,1997,Fiorentina,Lecce,5,0
09.11.1997,1997,Lazio,Sampdoria,3,0
09.11.1997,1997,L.R. Vicenza,Bologna,3,2
09.11.1997,1997,Napoli,Juventus,1,2
09.11.1997,1997,Parma,Empoli,2,0
09.11.1997,1997,Udinese,Piacenza,2,0
02.11.1997,1997,Atalanta,L.R. Vicenza,1,3
02.11.1997,1997,Bologna,Napoli,5,1
02.11.1997,1997,Empoli,Bari,2,3
02.11.1997,1997,Lecce,Brescia,2,0
02.11.1997,1997,Piacenza,Fiorentina,0,0
02.11.1997,1997,Sampdoria,AC Milan,0,3
01.11.1997,1997,AS Roma,Lazio,1,3
01.11.1997,1997,Inter,Parma,1,0
01.11.1997,1997,Juventus,Udinese,4,1
19.10.1997,1997,AC Milan,Lecce,1,2
19.10.1997,1997,Bari,Juventus,0,5
19.10.1997,1997,Brescia,L.R. Vicenza,4,0
19.10.1997,1997,Fiorentina,AS Roma,0,0
19.10.1997,1997,Parma,Bologna,2,0
19.10.1997,1997,Sampdoria,Piacenza,3,1
18.10.1997,1997,Lazio,Atalanta,0,2
18.10.1997,1997,Napoli,Inter,0,2
18.10.1997,1997,Udinese,Empoli,2,2
05.10.1997,1997,AS Roma,Napoli,6,2
05.10.1997,1997,Atalanta,Brescia,0,1
05.10.1997,1997,Empoli,AC Milan,0,1
05.10.1997,1997,Inter,Lazio,1,1
05.10.1997,1997,Juventus,Fiorentina,2,1
05.10.1997,1997,Lecce,Bari,0,1
05.10.1997,1997,L.R. Vicenza,Parma,0,0
05.10.1997,1997,Piacenza,Bologna,0,0
05.10.1997,1997,Udinese,Sampdoria,3,2
28.09.1997,1997,AC Milan,L.R. Vicenza,0,1
28.09.1997,1997,Bologna,AS Roma,0,0
28.09.1997,1997,Brescia,Piacenza,2,0
28.09.1997,1997,Fiorentina,Empoli,1,2
28.09.1997,1997,Napoli,Atalanta,0,1
27.09.1997,1997,Lazio,Bari,3,2
27.09.1997,1997,Lecce,Inter,1,5
27.09.1997,1997,Parma,Udinese,4,0
27.09.1997,1997,Sampdoria,Juventus,1,1
21.09.1997,1997,AS Roma,Lecce,3,1
21.09.1997,1997,Atalanta,Sampdoria,0,2
21.09.1997,1997,Bari,Bologna,0,0
21.09.1997,1997,Empoli,Lazio,1,0
21.09.1997,1997,Inter,Fiorentina,3,2
21.09.1997,1997,Juventus,Brescia,4,0
21.09.1997,1997,L.R. Vicenza,Napoli,1,1
21.09.1997,1997,Piacenza,Parma,1,3
21.09.1997,1997,Udinese,AC Milan,2,1
14.09.1997,1997,AS Roma,Juventus,0,0
14.09.1997,1997,Bologna,Inter,2,4
14.09.1997,1997,Fiorentina,Bari,3,1
14.09.1997,1997,L.R. Vicenza,Piacenza,3,2
14.09.1997,1997,Napoli,Empoli,2,1
14.09.1997,1997,Parma,Atalanta,2,2
13.09.1997,1997,AC Milan,Lazio,1,1
13.09.1997,1997,Brescia,Sampdoria,3,3
13.09.1997,1997,Lecce,Udinese,1,2
31.08.1997,1997,Atalanta,Bologna,4,2
31.08.1997,1997,Bari,Parma,0,2
31.08.1997,1997,Empoli,AS Roma,1,3
31.08.1997,1997,Inter,Brescia,2,1
31.08.1997,1997,Juventus,Lecce,2,0
31.08.1997,1997,Lazio,Napoli,2,0
31.08.1997,1997,Piacenza,AC Milan,1,1
31.08.1997,1997,Sampdoria,L.R. Vicenza,2,1
31.08.1997,1997,Udinese,Fiorentina,2,3
