Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
19.05.2013,2012,AS Roma,Napoli,2,1,2.52,3.48,2.65
19.05.2013,2012,Atalanta,Chievo,2,2,1.74,3.50,5.02
19.05.2013,2012,Bologna,Genoa,0,0,1.87,3.31,4.45
19.05.2013,2012,Cagliari,Lazio,1,0,5.43,3.70,1.65
19.05.2013,2012,Inter,Udinese,2,5,2.94,3.56,2.26
19.05.2013,2012,Palermo,Parma,1,3,2.48,3.26,2.85
19.05.2013,2012,Pescara,Fiorentina,1,5,14.70,6.86,1.18
19.05.2013,2012,Siena,AC Milan,1,2,13.24,6.53,1.20
19.05.2013,2012,Torino,Catania,2,2,2.22,3.14,3.46
18.05.2013,2012,Sampdoria,Juventus,3,2,4.33,3.41,1.86
12.05.2013,2012,AC Milan,AS Roma,0,0,1.59,4.05,5.34
12.05.2013,2012,Chievo,Torino,1,1,3.51,2.08,3.12
12.05.2013,2012,Fiorentina,Palermo,1,0,1.40,4.61,7.54
12.05.2013,2012,Genoa,Inter,0,0,1.78,3.59,4.52
12.05.2013,2012,Lazio,Sampdoria,2,0,1.32,5.15,9.30
12.05.2013,2012,Napoli,Siena,2,1,1.34,5.06,8.66
12.05.2013,2012,Parma,Bologna,0,2,1.62,3.77,5.60
12.05.2013,2012,Udinese,Atalanta,2,1,1.31,5.14,9.66
11.05.2013,2012,Catania,Pescara,1,0,1.28,5.49,10.45
11.05.2013,2012,Juventus,Cagliari,1,1,1.32,5.14,9.10
08.05.2013,2012,Atalanta,Juventus,0,1,3.48,3.19,2.16
08.05.2013,2012,Bologna,Napoli,0,3,5.04,3.82,1.67
08.05.2013,2012,Cagliari,Parma,0,1,2.98,2.47,2.90
08.05.2013,2012,Inter,Lazio,1,3,2.75,3.37,2.50
08.05.2013,2012,Palermo,Udinese,2,3,2.02,3.48,3.59
08.05.2013,2012,Pescara,AC Milan,0,4,16.03,7.19,1.16
08.05.2013,2012,Sampdoria,Catania,1,1,1.83,3.29,4.74
08.05.2013,2012,Siena,Fiorentina,0,1,4.57,3.59,1.77
