Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
04.12.2010,2010,Chiba,Tokushima,1,1
04.12.2010,2010,Kofu,Gifu,0,0
04.12.2010,2010,Kusatsu,Kashiwa,0,4
04.12.2010,2010,Oita,Yokohama,2,2
04.12.2010,2010,Okayama,Avispa Fukuoka,1,2
04.12.2010,2010,Sapporo,Kumamoto,4,0
04.12.2010,2010,Tochigi,Sagan Tosu,2,1
04.12.2010,2010,Toyama,Ehime,3,3
04.12.2010,2010,Verdy,Mito,3,1
28.11.2010,2010,Ehime,Chiba,0,1
28.11.2010,2010,Gifu,Tochigi,4,2
28.11.2010,2010,Kumamoto,Giravanz Kitakyushu,3,0
28.11.2010,2010,Mito,Kofu,2,2
28.11.2010,2010,Sagan Tosu,Oita,0,0
28.11.2010,2010,Tokushima,Toyama,1,0
28.11.2010,2010,Yokohama,Kusatsu,0,1
27.11.2010,2010,Avispa Fukuoka,Sapporo,0,0
27.11.2010,2010,Kashiwa,Okayama,1,1
23.11.2010,2010,Gifu,Avispa Fukuoka,0,2
23.11.2010,2010,Giravanz Kitakyushu,Sagan Tosu,0,1
23.11.2010,2010,Kashiwa,Yokohama,2,0
23.11.2010,2010,Kusatsu,Chiba,2,0
23.11.2010,2010,Oita,Kumamoto,1,1
23.11.2010,2010,Okayama,Toyama,1,2
23.11.2010,2010,Sapporo,Tokushima,1,0
23.11.2010,2010,Tochigi,Mito,0,1
23.11.2010,2010,Verdy,Ehime,1,0
20.11.2010,2010,Avispa Fukuoka,Verdy,3,2
20.11.2010,2010,Chiba,Giravanz Kitakyushu,2,1
20.11.2010,2010,Ehime,Oita,2,1
20.11.2010,2010,Kofu,Kusatsu,2,4
20.11.2010,2010,Kumamoto,Okayama,2,1
20.11.2010,2010,Mito,Tokushima,0,2
20.11.2010,2010,Sagan Tosu,Kashiwa,1,1
20.11.2010,2010,Toyama,Tochigi,0,3
20.11.2010,2010,Yokohama,Sapporo,1,0
14.11.2010,2010,Gifu,Sagan Tosu,0,1
14.11.2010,2010,Giravanz Kitakyushu,Ehime,0,3
14.11.2010,2010,Kumamoto,Toyama,1,1
14.11.2010,2010,Kusatsu,Okayama,2,1
14.11.2010,2010,Oita,Avispa Fukuoka,0,0
14.11.2010,2010,Tochigi,Kofu,0,2
14.11.2010,2010,Tokushima,Yokohama,1,0
14.11.2010,2010,Verdy,Chiba,1,2
14.11.2010,2010,Mito,Sapporo,1,1
07.11.2010,2010,Kashiwa,Gifu,3,0
07.11.2010,2010,Kofu,Giravanz Kitakyushu,6,0
07.11.2010,2010,Okayama,Oita,1,0
07.11.2010,2010,Sagan Tosu,Tokushima,1,0
07.11.2010,2010,Sapporo,Chiba,1,0
07.11.2010,2010,Toyama,Verdy,2,3
07.11.2010,2010,Yokohama,Mito,1,0
06.11.2010,2010,Avispa Fukuoka,Tochigi,2,3
06.11.2010,2010,Ehime,Kusatsu,1,0
31.10.2010,2010,Chiba,Kofu,1,2
31.10.2010,2010,Kumamoto,Sagan Tosu,2,0
31.10.2010,2010,Mito,Kashiwa,1,4
31.10.2010,2010,Sapporo,Kusatsu,0,1
31.10.2010,2010,Tochigi,Okayama,1,2
31.10.2010,2010,Tokushima,Avispa Fukuoka,2,3
31.10.2010,2010,Verdy,Oita,0,1
30.10.2010,2010,Giravanz Kitakyushu,Toyama,1,2
30.10.2010,2010,Gifu,Yokohama,0,1
24.10.2010,2010,Avispa Fukuoka,Giravanz Kitakyushu,2,0
24.10.2010,2010,Kofu,Ehime,1,1
24.10.2010,2010,Kusatsu,Mito,0,0
24.10.2010,2010,Sagan Tosu,Verdy,0,1
24.10.2010,2010,Toyama,Sapporo,0,2
23.10.2010,2010,Oita,Tokushima,1,0
23.10.2010,2010,Okayama,Gifu,2,2
23.10.2010,2010,Yokohama,Chiba,1,0
23.10.2010,2010,Kashiwa,Kumamoto,0,0
17.10.2010,2010,Avispa Fukuoka,Kusatsu,2,1
17.10.2010,2010,Chiba,Mito,1,0
17.10.2010,2010,Ehime,Gifu,0,0
17.10.2010,2010,Oita,Kashiwa,1,0
17.10.2010,2010,Sagan Tosu,Yokohama,4,4
17.10.2010,2010,Tochigi,Giravanz Kitakyushu,2,0
17.10.2010,2010,Tokushima,Kumamoto,1,0
16.10.2010,2010,Verdy,Okayama,1,0
16.10.2010,2010,Sapporo,Kofu,1,1
03.10.2010,2010,Gifu,Tokushima,2,1
03.10.2010,2010,Kofu,Yokohama,0,0
03.10.2010,2010,Kumamoto,Avispa Fukuoka,2,1
03.10.2010,2010,Kusatsu,Verdy,1,0
03.10.2010,2010,Mito,Ehime,1,1
03.10.2010,2010,Okayama,Sagan Tosu,2,1
03.10.2010,2010,Toyama,Chiba,0,1
02.10.2010,2010,Giravanz Kitakyushu,Oita,1,1
02.10.2010,2010,Kashiwa,Tochigi,1,1
26.09.2010,2010,Avispa Fukuoka,Kashiwa,0,2
26.09.2010,2010,Chiba,Tochigi,2,1
26.09.2010,2010,Ehime,Kumamoto,2,0
26.09.2010,2010,Kusatsu,Sagan Tosu,0,2
26.09.2010,2010,Oita,Mito,1,1
26.09.2010,2010,Okayama,Kofu,0,4
26.09.2010,2010,Verdy,Giravanz Kitakyushu,4,0
26.09.2010,2010,Yokohama,Toyama,4,1
26.09.2010,2010,Sapporo,Gifu,0,0
23.09.2010,2010,Gifu,Oita,2,0
23.09.2010,2010,Giravanz Kitakyushu,Kusatsu,0,1
23.09.2010,2010,Kashiwa,Sapporo,5,1
23.09.2010,2010,Kumamoto,Yokohama,0,2
23.09.2010,2010,Sagan Tosu,Avispa Fukuoka,0,1
23.09.2010,2010,Tochigi,Ehime,1,0
23.09.2010,2010,Tokushima,Verdy,2,3
23.09.2010,2010,Toyama,Kofu,0,3
23.09.2010,2010,Mito,Okayama,1,1
19.09.2010,2010,Chiba,Kashiwa,2,3
19.09.2010,2010,Ehime,Tokushima,1,0
19.09.2010,2010,Giravanz Kitakyushu,Okayama,2,2
19.09.2010,2010,Kofu,Kumamoto,3,3
19.09.2010,2010,Kusatsu,Gifu,2,1
19.09.2010,2010,Sapporo,Sagan Tosu,0,1
19.09.2010,2010,Yokohama,Avispa Fukuoka,1,3
18.09.2010,2010,Mito,Toyama,3,1
18.09.2010,2010,Verdy,Tochigi,0,0
12.09.2010,2010,Avispa Fukuoka,Chiba,2,1
12.09.2010,2010,Gifu,Giravanz Kitakyushu,1,0
12.09.2010,2010,Kumamoto,Mito,0,0
12.09.2010,2010,Okayama,Ehime,1,2
12.09.2010,2010,Sagan Tosu,Kofu,1,2
12.09.2010,2010,Tokushima,Tochigi,4,0
12.09.2010,2010,Yokohama,Verdy,3,2
11.09.2010,2010,Kashiwa,Toyama,2,1
11.09.2010,2010,Oita,Sapporo,1,2
01.09.2010,2010,Mito,Oita,2,1
29.08.2010,2010,Ehime,Sapporo,2,1
29.08.2010,2010,Kofu,Oita,3,3
29.08.2010,2010,Kusatsu,Tokushima,1,4
29.08.2010,2010,Mito,Sagan Tosu,0,0
29.08.2010,2010,Toyama,Avispa Fukuoka,1,2
29.08.2010,2010,Verdy,Gifu,2,0
28.08.2010,2010,Chiba,Okayama,4,0
28.08.2010,2010,Giravanz Kitakyushu,Kashiwa,0,2
28.08.2010,2010,Tochigi,Kumamoto,1,2
22.08.2010,2010,Gifu,Chiba,1,0
22.08.2010,2010,Kumamoto,Verdy,3,2
22.08.2010,2010,Sagan Tosu,Toyama,2,2
22.08.2010,2010,Tokushima,Giravanz Kitakyushu,4,4
22.08.2010,2010,Yokohama,Ehime,0,0
21.08.2010,2010,Avispa Fukuoka,Mito,5,0
21.08.2010,2010,Kashiwa,Kofu,2,2
21.08.2010,2010,Oita,Kusatsu,1,0
21.08.2010,2010,Sapporo,Tochigi,0,0
15.08.2010,2010,Ehime,Kashiwa,0,3
15.08.2010,2010,Giravanz Kitakyushu,Yokohama,1,4
15.08.2010,2010,Kofu,Avispa Fukuoka,2,2
15.08.2010,2010,Mito,Gifu,1,2
15.08.2010,2010,Toyama,Kusatsu,1,2
15.08.2010,2010,Verdy,Sapporo,2,1
14.08.2010,2010,Chiba,Kumamoto,2,0
14.08.2010,2010,Okayama,Tokushima,1,2
14.08.2010,2010,Tochigi,Oita,2,0
08.08.2010,2010,Avispa Fukuoka,Ehime,2,0
08.08.2010,2010,Gifu,Kumamoto,1,1
08.08.2010,2010,Kashiwa,Verdy,0,1
08.08.2010,2010,Kusatsu,Tochigi,2,1
08.08.2010,2010,Sagan Tosu,Chiba,1,1
08.08.2010,2010,Tokushima,Kofu,0,1
07.08.2010,2010,Oita,Toyama,1,0
07.08.2010,2010,Sapporo,Giravanz Kitakyushu,2,0
07.08.2010,2010,Yokohama,Okayama,2,0
01.08.2010,2010,Ehime,Sagan Tosu,1,1
01.08.2010,2010,Giravanz Kitakyushu,Mito,1,1
01.08.2010,2010,Kumamoto,Kusatsu,0,1
01.08.2010,2010,Tokushima,Kashiwa,1,1
01.08.2010,2010,Toyama,Gifu,3,2
31.07.2010,2010,Chiba,Oita,5,0
31.07.2010,2010,Kofu,Verdy,0,1
31.07.2010,2010,Tochigi,Yokohama,2,1
30.07.2010,2010,Okayama,Sapporo,1,0
25.07.2010,2010,Kashiwa,Chiba,2,2
25.07.2010,2010,Kofu,Tochigi,4,3
25.07.2010,2010,Sagan Tosu,Kusatsu,0,0
25.07.2010,2010,Sapporo,Yokohama,1,2
25.07.2010,2010,Verdy,Tokushima,1,1
24.07.2010,2010,Avispa Fukuoka,Okayama,0,0
24.07.2010,2010,Gifu,Ehime,1,1
24.07.2010,2010,Toyama,Kumamoto,0,2
19.07.2010,2010,Tokushima,Sagan Tosu,2,1
18.07.2010,2010,Chiba,Sapporo,0,3
18.07.2010,2010,Giravanz Kitakyushu,Kumamoto,2,2
18.07.2010,2010,Oita,Kofu,0,1
18.07.2010,2010,Okayama,Mito,2,1
18.07.2010,2010,Tochigi,Verdy,0,1
17.07.2010,2010,Ehime,Toyama,1,2
17.07.2010,2010,Kusatsu,Avispa Fukuoka,2,1
17.07.2010,2010,Yokohama,Kashiwa,2,2
13.06.2010,2010,Avispa Fukuoka,Oita,2,1
13.06.2010,2010,Kashiwa,Giravanz Kitakyushu,2,0
13.06.2010,2010,Mito,Kusatsu,1,1
13.06.2010,2010,Sapporo,Ehime,2,2
12.06.2010,2010,Gifu,Okayama,1,0
12.06.2010,2010,Kofu,Chiba,2,2
12.06.2010,2010,Kumamoto,Tokushima,2,1
12.06.2010,2010,Sagan Tosu,Tochigi,3,1
12.06.2010,2010,Verdy,Toyama,1,0
06.06.2010,2010,Chiba,Ehime,3,0
06.06.2010,2010,Giravanz Kitakyushu,Kofu,0,0
06.06.2010,2010,Oita,Verdy,1,1
06.06.2010,2010,Tochigi,Avispa Fukuoka,1,2
05.06.2010,2010,Kusatsu,Sapporo,1,1
05.06.2010,2010,Okayama,Kashiwa,0,2
05.06.2010,2010,Tokushima,Mito,3,1
05.06.2010,2010,Toyama,Sagan Tosu,2,1
05.06.2010,2010,Yokohama,Gifu,2,0
30.05.2010,2010,Kashiwa,Kusatsu,3,2
30.05.2010,2010,Sapporo,Toyama,3,1
30.05.2010,2010,Tochigi,Gifu,2,0
30.05.2010,2010,Verdy,Yokohama,1,1
29.05.2010,2010,Avispa Fukuoka,Tokushima,1,0
29.05.2010,2010,Ehime,Kofu,1,2
29.05.2010,2010,Kumamoto,Oita,0,0
29.05.2010,2010,Mito,Chiba,1,0
29.05.2010,2010,Sagan Tosu,Giravanz Kitakyushu,3,2
22.05.2010,2010,Chiba,Verdy,2,1
22.05.2010,2010,Gifu,Mito,1,0
22.05.2010,2010,Giravanz Kitakyushu,Avispa Fukuoka,0,1
22.05.2010,2010,Kofu,Okayama,1,0
22.05.2010,2010,Kumamoto,Tochigi,0,2
22.05.2010,2010,Oita,Ehime,0,2
22.05.2010,2010,Tokushima,Sapporo,0,0
22.05.2010,2010,Toyama,Kashiwa,1,2
22.05.2010,2010,Yokohama,Sagan Tosu,4,0
16.05.2010,2010,Avispa Fukuoka,Yokohama,2,1
16.05.2010,2010,Kashiwa,Tokushima,6,0
16.05.2010,2010,Okayama,Verdy,0,1
16.05.2010,2010,Sapporo,Oita,2,2
16.05.2010,2010,Tochigi,Toyama,1,0
15.05.2010,2010,Ehime,Giravanz Kitakyushu,1,1
15.05.2010,2010,Kusatsu,Kofu,1,4
15.05.2010,2010,Mito,Kumamoto,0,1
15.05.2010,2010,Sagan Tosu,Gifu,3,0
09.05.2010,2010,Chiba,Avispa Fukuoka,1,1
09.05.2010,2010,Gifu,Kashiwa,0,2
09.05.2010,2010,Giravanz Kitakyushu,Sapporo,0,1
09.05.2010,2010,Kofu,Tokushima,1,0
09.05.2010,2010,Oita,Sagan Tosu,3,4
09.05.2010,2010,Toyama,Okayama,4,0
09.05.2010,2010,Yokohama,Tochigi,0,2
08.05.2010,2010,Kumamoto,Ehime,1,0
08.05.2010,2010,Verdy,Kusatsu,2,0
05.05.2010,2010,Avispa Fukuoka,Kumamoto,6,1
05.05.2010,2010,Chiba,Toyama,2,1
05.05.2010,2010,Ehime,Tochigi,0,0
05.05.2010,2010,Kofu,Kashiwa,1,1
05.05.2010,2010,Kusatsu,Giravanz Kitakyushu,1,1
05.05.2010,2010,Mito,Yokohama,3,1
05.05.2010,2010,Sagan Tosu,Okayama,0,0
05.05.2010,2010,Sapporo,Verdy,0,0
05.05.2010,2010,Tokushima,Gifu,4,0
02.05.2010,2010,Gifu,Kusatsu,2,1
02.05.2010,2010,Kashiwa,Ehime,1,0
02.05.2010,2010,Kumamoto,Sapporo,0,0
02.05.2010,2010,Oita,Chiba,0,2
02.05.2010,2010,Okayama,Giravanz Kitakyushu,0,0
02.05.2010,2010,Tochigi,Tokushima,2,0
