Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
02.05.2010,2009,AZ Alkmaar,PSV,1,1,1.98,3.41,3.49
02.05.2010,2009,Breda,Twente,0,2,6.35,4.11,1.46
02.05.2010,2009,Feyenoord,Heerenveen,6,2,1.51,3.99,5.79
02.05.2010,2009,Groningen,Sparta Rotterdam,3,1,1.22,5.56,11.92
02.05.2010,2009,Heracles,Den Haag,4,2,1.45,4.17,6.49
02.05.2010,2009,Nijmegen,Ajax,1,4,16.16,7.04,1.13
02.05.2010,2009,Roda,Willem II,3,2,1.25,5.50,10.14
02.05.2010,2009,Utrecht,Vitesse,2,2,1.51,3.92,6.09
02.05.2010,2009,Waalwijk,Venlo,1,2,2.62,3.33,2.48
18.04.2010,2009,Ajax,Heracles,4,0,1.10,7.98,18.77
18.04.2010,2009,Den Haag,Waalwijk,4,0,1.40,4.34,7.46
18.04.2010,2009,Heerenveen,Breda,0,0,1.98,3.38,3.57
18.04.2010,2009,PSV,Groningen,3,1,1.33,4.67,8.60
18.04.2010,2009,Sparta Rotterdam,Utrecht,0,3,2.49,3.28,2.69
18.04.2010,2009,Twente,Feyenoord,2,0,1.47,4.01,6.58
18.04.2010,2009,Venlo,Nijmegen,2,0,2.12,3.37,3.26
18.04.2010,2009,Vitesse,Roda,2,5,2.34,3.27,2.86
18.04.2010,2009,Willem II,AZ Alkmaar,0,3,6.13,4.13,1.48
14.04.2010,2009,Den Haag,Nijmegen,2,3,2.06,3.28,3.44
14.04.2010,2009,Feyenoord,Sparta Rotterdam,3,0,1.32,4.79,8.80
14.04.2010,2009,Heerenveen,PSV,2,2,4.93,3.58,1.67
14.04.2010,2009,Roda,Venlo,4,2,1.57,3.82,5.50
14.04.2010,2009,Utrecht,Groningen,1,1,2.09,3.30,3.32
14.04.2010,2009,Willem II,Ajax,0,2,16.41,7.55,1.12
13.04.2010,2009,AZ Alkmaar,Twente,1,0,2.26,3.32,2.94
13.04.2010,2009,Heracles,Waalwijk,4,1,1.23,5.40,11.91
13.04.2010,2009,Vitesse,Breda,1,1,2.43,3.28,2.73
11.04.2010,2009,Ajax,Venlo,7,0,1.10,7.90,21.34
11.04.2010,2009,Groningen,Willem II,4,0,1.36,4.49,8.00
11.04.2010,2009,PSV,Feyenoord,0,0,1.47,3.99,6.64
11.04.2010,2009,Utrecht,Den Haag,0,2,1.49,3.88,6.52
10.04.2010,2009,Breda,Roda,1,0,2.07,3.31,3.37
10.04.2010,2009,Nijmegen,AZ Alkmaar,0,0,5.52,3.65,1.59
10.04.2010,2009,Sparta Rotterdam,Heracles,1,1,2.83,3.28,2.34
10.04.2010,2009,Twente,Heerenveen,2,0,1.24,5.43,11.35
09.04.2010,2009,Waalwijk,Vitesse,4,1,4.47,3.53,1.74
04.04.2010,2009,Den Haag,Ajax,0,1,13.61,6.08,1.19
04.04.2010,2009,Feyenoord,Breda,0,0,1.47,4.00,6.44
04.04.2010,2009,Heracles,Nijmegen,2,0,1.65,3.57,5.11
04.04.2010,2009,Willem II,PSV,0,1,9.80,5.00,1.28
03.04.2010,2009,AZ Alkmaar,Utrecht,2,0,1.48,3.94,6.56
03.04.2010,2009,Heerenveen,Sparta Rotterdam,4,1,1.43,4.18,7.00
03.04.2010,2009,Roda,Waalwijk,5,1,1.31,4.79,9.28
03.04.2010,2009,Venlo,Twente,0,2,6.71,3.93,1.47
03.04.2010,2009,Vitesse,Groningen,3,0,2.78,3.28,2.40
31.03.2010,2009,Feyenoord,Vitesse,2,1,1.47,3.65,7.95
28.03.2010,2009,Ajax,Groningen,3,0,1.19,5.96,12.97
28.03.2010,2009,Nijmegen,Feyenoord,0,0,3.29,3.36,2.07
28.03.2010,2009,Utrecht,Waalwijk,2,0,1.24,5.19,12.42
28.03.2010,2009,Venlo,PSV,2,4,6.48,3.90,1.49
27.03.2010,2009,AZ Alkmaar,Heracles,3,2,1.37,4.44,7.83
27.03.2010,2009,Roda,Heerenveen,4,2,2.30,3.27,2.90
27.03.2010,2009,Twente,Sparta Rotterdam,3,0,1.17,5.98,14.98
27.03.2010,2009,Vitesse,Willem II,2,1,1.72,3.49,4.64
26.03.2010,2009,Breda,Den Haag,3,0,1.63,3.72,5.00
21.03.2010,2009,Den Haag,Venlo,0,0,2.17,3.29,3.15
21.03.2010,2009,Groningen,Roda,1,0,1.62,3.72,5.03
21.03.2010,2009,Sparta Rotterdam,AZ Alkmaar,0,1,6.78,4.22,1.42
21.03.2010,2009,Waalwijk,Ajax,1,5,14.81,6.89,1.15
20.03.2010,2009,Heracles,Breda,3,0,1.92,3.40,3.68
20.03.2010,2009,PSV,Twente,1,1,1.86,3.41,3.95
20.03.2010,2009,Willem II,Utrecht,0,3,2.79,3.25,2.38
19.03.2010,2009,Heerenveen,Nijmegen,4,1,1.66,3.66,4.88
14.03.2010,2009,Ajax,PSV,4,1,1.87,3.43,3.94
14.03.2010,2009,Feyenoord,Heracles,1,1,1.50,3.81,6.64
14.03.2010,2009,Vitesse,Heerenveen,0,1,2.44,3.25,2.74
14.03.2010,2009,Willem II,Sparta Rotterdam,3,1,NA,2.08,3.33
13.03.2010,2009,AZ Alkmaar,Waalwijk,6,2,1.13,6.84,17.29
13.03.2010,2009,Breda,Groningen,0,3,2.31,3.22,2.94
13.03.2010,2009,Nijmegen,Roda,0,2,2.08,3.30,3.34
13.03.2010,2009,Venlo,Utrecht,0,1,2.29,3.26,2.94
12.03.2010,2009,Twente,Den Haag,3,1,1.22,5.62,12.22
07.03.2010,2009,Groningen,Venlo,1,0,1.51,3.85,6.08
07.03.2010,2009,Roda,Feyenoord,2,4,2.82,3.27,2.37
07.03.2010,2009,Sparta Rotterdam,Ajax,0,3,7.24,4.50,1.38
07.03.2010,2009,Utrecht,Nijmegen,1,0,1.90,3.35,3.88
07.03.2010,2009,Waalwijk,Twente,0,1,7.59,4.27,1.40
06.03.2010,2009,AZ Alkmaar,Heerenveen,4,1,1.43,4.24,6.77
06.03.2010,2009,Breda,PSV,2,1,5.68,3.76,1.56
06.03.2010,2009,Den Haag,Vitesse,1,1,2.23,3.33,3.00
06.03.2010,2009,Heracles,Willem II,3,2,1.51,3.89,6.18
28.02.2010,2009,Ajax,Utrecht,4,0,1.25,5.24,10.91
28.02.2010,2009,Groningen,Feyenoord,2,3,2.27,3.26,2.96
28.02.2010,2009,PSV,Waalwijk,5,1,1.11,7.34,21.64
28.02.2010,2009,Sparta Rotterdam,Breda,2,2,2.50,3.25,2.67
28.02.2010,2009,Twente,Nijmegen,2,1,1.41,4.11,7.67
27.02.2010,2009,Heerenveen,Heracles,1,2,1.70,3.58,4.63
27.02.2010,2009,Vitesse,AZ Alkmaar,0,3,3.91,3.43,1.87
27.02.2010,2009,Willem II,Venlo,2,1,2.54,3.26,2.60
26.02.2010,2009,Den Haag,Roda,1,2,2.31,3.30,2.88
21.02.2010,2009,Ajax,Vitesse,4,0,1.17,6.25,14.58
21.02.2010,2009,Feyenoord,Den Haag,2,2,1.30,4.79,9.75
21.02.2010,2009,PSV,Sparta Rotterdam,1,1,1.13,6.78,17.81
21.02.2010,2009,Twente,Willem II,1,0,1.19,5.93,14.11
20.02.2010,2009,Breda,Utrecht,0,2,2.01,3.32,3.52
20.02.2010,2009,Nijmegen,Groningen,0,2,2.33,3.28,2.85
20.02.2010,2009,Venlo,AZ Alkmaar,3,3,3.75,3.38,1.92
20.02.2010,2009,Waalwijk,Heerenveen,1,2,3.89,3.36,1.90
19.02.2010,2009,Roda,Heracles,2,1,1.95,3.39,3.64
17.02.2010,2009,Nijmegen,Willem II,2,1,1.53,3.76,6.15
14.02.2010,2009,Groningen,Waalwijk,2,1,1.38,4.39,7.82
14.02.2010,2009,Heracles,PSV,0,1,6.40,3.85,1.50
14.02.2010,2009,Sparta Rotterdam,Venlo,2,0,2.55,3.20,2.62
14.02.2010,2009,Utrecht,Feyenoord,0,0,2.62,3.24,2.56
13.02.2010,2009,AZ Alkmaar,Roda,2,0,1.45,4.04,6.99
13.02.2010,2009,Den Haag,Willem II,3,0,1.96,3.37,3.62
13.02.2010,2009,Heerenveen,Ajax,0,2,4.51,3.61,1.71
13.02.2010,2009,Vitesse,Twente,1,2,4.16,3.40,1.82
12.02.2010,2009,Nijmegen,Breda,4,2,2.32,3.30,2.87
07.02.2010,2009,Ajax,Twente,3,0,1.79,3.51,4.22
07.02.2010,2009,Feyenoord,AZ Alkmaar,1,2,2.21,3.29,3.07
07.02.2010,2009,Venlo,Vitesse,2,0,2.09,3.33,3.30
07.02.2010,2009,Waalwijk,Nijmegen,0,1,2.73,3.26,2.43
06.02.2010,2009,Heerenveen,Utrecht,2,0,2.07,3.31,3.39
06.02.2010,2009,Heracles,Groningen,4,3,2.32,3.29,2.89
06.02.2010,2009,PSV,Den Haag,2,0,1.13,7.04,18.36
06.02.2010,2009,Roda,Sparta Rotterdam,2,1,1.62,3.68,5.22
05.02.2010,2009,Willem II,Breda,1,2,2.77,3.30,2.38
04.02.2010,2009,Waalwijk,Feyenoord,0,1,5.40,3.65,1.60
03.02.2010,2009,Ajax,Roda,4,0,1.21,5.75,12.14
03.02.2010,2009,Groningen,Den Haag,2,0,1.46,4.06,6.73
03.02.2010,2009,PSV,Utrecht,2,1,1.33,4.58,9.30
03.02.2010,2009,Sparta Rotterdam,Vitesse,1,1,2.65,3.26,2.51
03.02.2010,2009,Twente,Heracles,2,0,1.34,4.47,8.58
02.02.2010,2009,Breda,AZ Alkmaar,1,1,3.18,3.28,2.16
02.02.2010,2009,Venlo,Heerenveen,3,1,2.43,3.25,2.74
31.01.2010,2009,Feyenoord,Ajax,1,1,3.08,3.32,2.19
