Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
29.04.2016,2015,Achilles 29,Venlo,1,3
29.04.2016,2015,Almere City,Jong PSV,7,0
29.04.2016,2015,FC Emmen,Sittard,1,2
29.04.2016,2015,G.A. Eagles,Breda,4,1
29.04.2016,2015,Jong Ajax,Den Bosch,3,1
29.04.2016,2015,Oss,FC Volendam,1,2
29.04.2016,2015,Sparta Rotterdam,Dordrecht,2,3
29.04.2016,2015,Telstar,Helmond,1,0
29.04.2016,2015,Waalwijk,Maastricht,1,3
22.04.2016,2015,Breda,Almere City,1,1
22.04.2016,2015,Den Bosch,Waalwijk,1,1
22.04.2016,2015,Dordrecht,Achilles 29,3,3
22.04.2016,2015,FC Volendam,Jong Ajax,1,1
22.04.2016,2015,Helmond,Oss,4,0
22.04.2016,2015,Jong PSV,Eindhoven FC,2,0
22.04.2016,2015,Maastricht,Sparta Rotterdam,1,3
22.04.2016,2015,Sittard,G.A. Eagles,0,1
22.04.2016,2015,Venlo,FC Emmen,1,0
15.04.2016,2015,Breda,Jong PSV,5,2
15.04.2016,2015,Den Bosch,Almere City,1,2
15.04.2016,2015,Eindhoven FC,Achilles 29,0,1
15.04.2016,2015,FC Volendam,Sparta Rotterdam,2,0
15.04.2016,2015,Helmond,G.A. Eagles,0,4
15.04.2016,2015,Jong Ajax,Waalwijk,0,0
15.04.2016,2015,Maastricht,FC Emmen,4,1
15.04.2016,2015,Oss,Telstar,3,3
15.04.2016,2015,Venlo,Sittard,4,1
11.04.2016,2015,Achilles 29,Helmond,1,2
11.04.2016,2015,Almere City,Dordrecht,3,0
11.04.2016,2015,FC Emmen,Eindhoven FC,4,2
11.04.2016,2015,G.A. Eagles,FC Volendam,3,2
11.04.2016,2015,Jong PSV,Den Bosch,2,1
11.04.2016,2015,Sittard,Maastricht,1,2
11.04.2016,2015,Sparta Rotterdam,Jong Ajax,3,1
11.04.2016,2015,Telstar,Breda,1,4
11.04.2016,2015,Waalwijk,Oss,3,2
08.04.2016,2015,Breda,Waalwijk,1,1
08.04.2016,2015,Den Bosch,Telstar,5,0
08.04.2016,2015,Dordrecht,Jong PSV,4,0
08.04.2016,2015,Eindhoven FC,G.A. Eagles,0,0
08.04.2016,2015,FC Volendam,Achilles 29,0,0
08.04.2016,2015,Helmond,Sparta Rotterdam,1,1
08.04.2016,2015,Jong Ajax,FC Emmen,2,0
08.04.2016,2015,Maastricht,Venlo,1,3
08.04.2016,2015,Oss,Almere City,1,2
04.04.2016,2015,Jong PSV,Oss,3,1
01.04.2016,2015,Achilles 29,Telstar,1,3
01.04.2016,2015,Almere City,G.A. Eagles,3,4
01.04.2016,2015,Dordrecht,Helmond,0,2
01.04.2016,2015,FC Emmen,FC Volendam,1,0
01.04.2016,2015,Sittard,Jong Ajax,1,2
01.04.2016,2015,Sparta Rotterdam,Breda,1,1
01.04.2016,2015,Venlo,Den Bosch,2,1
01.04.2016,2015,Waalwijk,Eindhoven FC,1,2
20.03.2016,2015,Achilles 29,Maastricht,1,2
18.03.2016,2015,Den Bosch,Breda,3,6
18.03.2016,2015,Eindhoven FC,Venlo,2,0
18.03.2016,2015,G.A. Eagles,Oss,5,0
18.03.2016,2015,Helmond,Almere City,0,2
18.03.2016,2015,Jong Ajax,Jong PSV,1,2
18.03.2016,2015,Sparta Rotterdam,Sittard,1,1
18.03.2016,2015,Telstar,Dordrecht,3,0
18.03.2016,2015,Waalwijk,FC Volendam,2,1
14.03.2016,2015,Almere City,Sparta Rotterdam,1,0
14.03.2016,2015,Dordrecht,G.A. Eagles,1,1
14.03.2016,2015,FC Emmen,Achilles 29,3,1
14.03.2016,2015,FC Volendam,Telstar,3,0
14.03.2016,2015,Jong PSV,Helmond,3,1
14.03.2016,2015,Maastricht,Jong Ajax,0,0
14.03.2016,2015,Oss,Den Bosch,3,1
14.03.2016,2015,Sittard,Eindhoven FC,2,1
14.03.2016,2015,Venlo,Waalwijk,4,3
11.03.2016,2015,Achilles 29,Almere City,1,3
11.03.2016,2015,Breda,Oss,5,0
11.03.2016,2015,Den Bosch,Dordrecht,2,0
11.03.2016,2015,Eindhoven FC,FC Volendam,1,0
11.03.2016,2015,G.A. Eagles,Maastricht,0,0
11.03.2016,2015,Jong Ajax,Venlo,2,2
11.03.2016,2015,Sparta Rotterdam,FC Emmen,3,2
11.03.2016,2015,Telstar,Jong PSV,1,1
11.03.2016,2015,Waalwijk,Sittard,1,1
07.03.2016,2015,Jong PSV,Sittard,0,1
06.03.2016,2015,FC Volendam,Maastricht,0,1
04.03.2016,2015,Almere City,Jong Ajax,2,1
04.03.2016,2015,Breda,Achilles 29,3,1
04.03.2016,2015,Dordrecht,Waalwijk,1,2
04.03.2016,2015,G.A. Eagles,FC Emmen,0,0
04.03.2016,2015,Helmond,Eindhoven FC,1,2
04.03.2016,2015,Oss,Sparta Rotterdam,1,2
04.03.2016,2015,Telstar,Venlo,2,2
29.02.2016,2015,Jong Ajax,Dordrecht,4,1
28.02.2016,2015,Maastricht,Den Bosch,1,0
28.02.2016,2015,Sparta Rotterdam,G.A. Eagles,3,1
26.02.2016,2015,Achilles 29,Jong PSV,3,2
26.02.2016,2015,Eindhoven FC,Telstar,2,1
26.02.2016,2015,FC Emmen,Almere City,5,6
26.02.2016,2015,Sittard,Oss,3,0
26.02.2016,2015,Venlo,Breda,4,3
26.02.2016,2015,Waalwijk,Helmond,2,2
19.02.2016,2015,Almere City,FC Volendam,2,2
19.02.2016,2015,Breda,Sittard,5,0
19.02.2016,2015,Den Bosch,Eindhoven FC,3,1
19.02.2016,2015,Dordrecht,Maastricht,1,0
19.02.2016,2015,G.A. Eagles,Waalwijk,1,0
19.02.2016,2015,Helmond,Venlo,1,4
19.02.2016,2015,Jong PSV,FC Emmen,0,0
19.02.2016,2015,Oss,Jong Ajax,1,2
19.02.2016,2015,Telstar,Sparta Rotterdam,1,3
15.02.2016,2015,Den Bosch,Achilles 29,1,2
15.02.2016,2015,Eindhoven FC,Oss,4,0
15.02.2016,2015,FC Emmen,Breda,1,0
15.02.2016,2015,FC Volendam,Helmond,2,1
15.02.2016,2015,Jong Ajax,G.A. Eagles,2,2
15.02.2016,2015,Maastricht,Almere City,0,0
15.02.2016,2015,Sittard,Telstar,0,3
15.02.2016,2015,Sparta Rotterdam,Jong PSV,1,0
15.02.2016,2015,Venlo,Dordrecht,3,0
12.02.2016,2015,Achilles 29,Sparta Rotterdam,0,3
12.02.2016,2015,Almere City,Eindhoven FC,1,2
12.02.2016,2015,Breda,Maastricht,1,1
12.02.2016,2015,Dordrecht,Sittard,1,3
12.02.2016,2015,G.A. Eagles,Venlo,0,3
12.02.2016,2015,Helmond,Den Bosch,0,0
12.02.2016,2015,Jong PSV,FC Volendam,2,2
12.02.2016,2015,Telstar,Jong Ajax,4,2
12.02.2016,2015,Waalwijk,FC Emmen,0,1
08.02.2016,2015,G.A. Eagles,Den Bosch,0,0
07.02.2016,2015,Sparta Rotterdam,Venlo,3,1
05.02.2016,2015,Almere City,Waalwijk,3,1
05.02.2016,2015,Dordrecht,Breda,0,2
05.02.2016,2015,Eindhoven FC,Jong Ajax,2,1
05.02.2016,2015,FC Volendam,Sittard,1,0
05.02.2016,2015,Helmond,FC Emmen,3,2
05.02.2016,2015,Oss,Achilles 29,1,1
05.02.2016,2015,Telstar,Maastricht,4,0
01.02.2016,2015,Jong PSV,Waalwijk,3,1
01.02.2016,2015,Sittard,Helmond,3,0
31.01.2016,2015,Achilles 29,G.A. Eagles,1,0
31.01.2016,2015,Den Bosch,Sparta Rotterdam,1,2
29.01.2016,2015,Breda,Helmond,1,0
29.01.2016,2015,FC Emmen,Telstar,1,0
29.01.2016,2015,Maastricht,Eindhoven FC,0,2
29.01.2016,2015,Oss,Dordrecht,2,3
29.01.2016,2015,Sittard,Almere City,0,2
29.01.2016,2015,Venlo,FC Volendam,3,0
25.01.2016,2015,Jong Ajax,Breda,2,1
25.01.2016,2015,Achilles 29,Sittard,3,0
22.01.2016,2015,Almere City,Telstar,0,2
22.01.2016,2015,Eindhoven FC,Sparta Rotterdam,1,1
22.01.2016,2015,FC Emmen,Den Bosch,1,0
22.01.2016,2015,FC Volendam,Dordrecht,2,2
22.01.2016,2015,Maastricht,Oss,4,2
22.01.2016,2015,Venlo,Jong PSV,1,2
22.01.2016,2015,Waalwijk,Achilles 29,1,1
18.01.2016,2015,Breda,Eindhoven FC,3,1
18.01.2016,2015,Den Bosch,FC Volendam,0,0
18.01.2016,2015,Dordrecht,FC Emmen,0,2
18.01.2016,2015,Helmond,Jong Ajax,2,3
18.01.2016,2015,Jong PSV,Maastricht,2,0
18.01.2016,2015,Oss,Venlo,2,1
18.01.2016,2015,Sparta Rotterdam,Waalwijk,5,2
18.01.2016,2015,Telstar,G.A. Eagles,1,2
15.01.2016,2015,Eindhoven FC,Dordrecht,1,1
15.01.2016,2015,FC Emmen,Oss,0,2
15.01.2016,2015,FC Volendam,Breda,1,2
15.01.2016,2015,G.A. Eagles,Jong PSV,1,2
15.01.2016,2015,Jong Ajax,Achilles 29,3,1
15.01.2016,2015,Maastricht,Helmond,1,4
15.01.2016,2015,Sittard,Den Bosch,1,1
15.01.2016,2015,Venlo,Almere City,4,0
15.01.2016,2015,Waalwijk,Telstar,2,1
21.12.2015,2015,Jong Ajax,FC Volendam,2,0
19.12.2015,2015,Achilles 29,Dordrecht,2,1
18.12.2015,2015,Almere City,Breda,0,1
18.12.2015,2015,Eindhoven FC,Jong PSV,2,0
18.12.2015,2015,FC Emmen,Venlo,1,4
18.12.2015,2015,G.A. Eagles,Sittard,0,2
18.12.2015,2015,Oss,Helmond,2,2
18.12.2015,2015,Sparta Rotterdam,Maastricht,6,0
18.12.2015,2015,Waalwijk,Den Bosch,1,1
