Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
19.07.,2019,Alaves,Barcelona,0,5
19.07.,2019,Atl. Madrid,Real Sociedad,1,1
19.07.,2019,Espanyol,Celta Vigo,0,0
19.07.,2019,Granada CF,Ath Bilbao,4,0
19.07.,2019,Leganes,Real Madrid,2,2
19.07.,2019,Levante,Getafe,1,0
19.07.,2019,Osasuna,Mallorca,2,2
19.07.,2019,Sevilla,Valencia,1,0
19.07.,2019,Valladolid,Betis,2,0
19.07.,2019,Villarreal,Eibar,4,0
16.07.,2019,Ath Bilbao,Leganes,0,2
16.07.,2019,Barcelona,Osasuna,1,2
16.07.,2019,Betis,Alaves,1,2
16.07.,2019,Celta Vigo,Levante,2,3
16.07.,2019,Eibar,Valladolid,3,1
16.07.,2019,Getafe,Atl. Madrid,0,2
16.07.,2019,Mallorca,Granada CF,1,2
16.07.,2019,Real Madrid,Villarreal,2,1
16.07.,2019,Real Sociedad,Sevilla,0,0
16.07.,2019,Valencia,Espanyol,1,0
13.07.,2019,Alaves,Getafe,0,0
13.07.,2019,Granada CF,Real Madrid,1,2
13.07.,2019,Villarreal,Real Sociedad,1,2
12.07.,2019,Espanyol,Eibar,0,2
12.07.,2019,Leganes,Valencia,1,0
12.07.,2019,Levante,Ath Bilbao,1,2
12.07.,2019,Sevilla,Mallorca,2,0
11.07.,2019,Atl. Madrid,Betis,1,0
11.07.,2019,Osasuna,Celta Vigo,2,1
11.07.,2019,Valladolid,Barcelona,0,1
10.07.,2019,Real Madrid,Alaves,2,0
10.07.,2019,Real Sociedad,Granada CF,2,3
09.07.,2019,Ath Bilbao,Sevilla,1,2
09.07.,2019,Eibar,Leganes,0,0
09.07.,2019,Mallorca,Levante,2,0
08.07.,2019,Barcelona,Espanyol,1,0
08.07.,2019,Betis,Osasuna,3,0
08.07.,2019,Getafe,Villarreal,1,3
07.07.,2019,Celta Vigo,Atl. Madrid,1,1
07.07.,2019,Valencia,Valladolid,2,1
06.07.,2019,Levante,Real Sociedad,1,1
06.07.,2019,Sevilla,Eibar,1,0
05.07.,2019,Ath Bilbao,Real Madrid,0,1
05.07.,2019,Espanyol,Leganes,0,1
05.07.,2019,Osasuna,Getafe,0,0
05.07.,2019,Villarreal,Barcelona,1,4
04.07.,2019,Celta Vigo,Betis,1,1
04.07.,2019,Granada CF,Valencia,2,2
04.07.,2019,Valladolid,Alaves,1,0
03.07.,2019,Atl. Madrid,Mallorca,3,0
02.07.,2019,Eibar,Osasuna,0,2
02.07.,2019,Real Madrid,Getafe,1,0
02.07.,2019,Real Sociedad,Espanyol,2,1
01.07.,2019,Alaves,Granada CF,0,2
01.07.,2019,Betis,Villarreal,0,2
01.07.,2019,Valencia,Ath Bilbao,0,2
01.07.,2019,Valladolid,Levante,0,0
30.06.,2019,Barcelona,Atl. Madrid,2,2
30.06.,2019,Leganes,Sevilla,0,3
30.06.,2019,Mallorca,Celta Vigo,5,1
29.06.,2019,Getafe,Real Sociedad,2,1
28.06.,2019,Espanyol,Real Madrid,0,1
28.06.,2019,Granada CF,Eibar,1,2
28.06.,2019,Levante,Betis,4,2
28.06.,2019,Villarreal,Valencia,2,0
27.06.,2019,Ath Bilbao,Mallorca,3,1
27.06.,2019,Atl. Madrid,Alaves,2,1
27.06.,2019,Celta Vigo,Barcelona,2,2
27.06.,2019,Osasuna,Leganes,2,1
26.06.,2019,Sevilla,Valladolid,1,1
25.06.,2019,Betis,Espanyol,1,0
25.06.,2019,Eibar,Valencia,1,0
24.06.,2019,Alaves,Osasuna,0,1
24.06.,2019,Real Madrid,Mallorca,2,0
