Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
22.05.,2021,Alaves,Cadiz CF,0,1,4.71,3.86,1.74
22.05.,2021,Barcelona,Villarreal,0,2,1.97,3.90,3.54
22.05.,2021,Elche,Getafe,3,1,3.12,2.93,2.58
22.05.,2021,Granada CF,Espanyol,0,0,1.44,4.73,7.03
22.05.,2021,Osasuna,Mallorca,0,2,3.00,3.26,2.47
22.05.,2021,Real Sociedad,Atl. Madrid,1,2,2.68,3.14,2.82
22.05.,2021,Sevilla,Ath Bilbao,1,0,2.82,3.15,2.67
21.05.,2021,Valencia,Celta Vigo,2,0,2.62,3.32,2.74
20.05.,2021,Rayo Vallecano,Levante,2,4,1.79,3.96,4.14
20.05.,2021,Real Madrid,Betis,0,0,1.54,4.85,5.24
15.05.,2021,Ath Bilbao,Osasuna,2,0,1.48,4.50,6.71
15.05.,2021,Atl. Madrid,Sevilla,1,1,1.97,3.05,4.65
15.05.,2021,Betis,Granada CF,2,0,1.55,4.51,5.58
15.05.,2021,Cadiz CF,Real Madrid,1,1,2.69,3.48,2.59
15.05.,2021,Celta Vigo,Elche,1,0,1.35,5.11,9.04
15.05.,2021,Getafe,Barcelona,0,0,3.65,3.34,2.11
15.05.,2021,Levante,Alaves,3,1,2.88,3.72,2.32
15.05.,2021,Mallorca,Rayo Vallecano,2,1,1.76,3.50,5.17
15.05.,2021,Villarreal,Real Sociedad,1,2,2.18,3.32,3.50
14.05.,2021,Espanyol,Valencia,1,1,2.78,3.33,2.59
12.05.,2021,Rayo Vallecano,Villarreal,1,5,4.22,3.66,1.87
12.05.,2021,Real Madrid,Levante,6,0,1.40,5.59,6.69
12.05.,2021,Real Sociedad,Cadiz CF,3,0,1.60,3.81,6.23
11.05.,2021,Alaves,Espanyol,2,1,2.12,3.37,3.62
11.05.,2021,Elche,Atl. Madrid,0,2,6.86,3.94,1.55
11.05.,2021,Osasuna,Getafe,1,1,2.55,2.86,3.30
11.05.,2021,Sevilla,Mallorca,0,0,1.58,3.90,6.35
10.05.,2021,Barcelona,Celta Vigo,3,1,1.41,5.05,7.11
10.05.,2021,Granada CF,Ath Bilbao,1,0,3.64,3.37,2.11
10.05.,2021,Valencia,Betis,0,3,3.40,3.35,2.20
08.05.,2021,Atl. Madrid,Real Madrid,1,0,1.81,3.73,4.43
08.05.,2021,Espanyol,Osasuna,1,1,2.36,3.28,3.15
08.05.,2021,Getafe,Rayo Vallecano,0,0,2.21,2.99,3.86
08.05.,2021,Villarreal,Sevilla,1,1,2.09,3.40,3.63
