Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
30.05.2009,2008,Antalyaspor,Ankaragucu,1,0
30.05.2009,2008,Basaksehir,Bursaspor,0,1
30.05.2009,2008,Denizlispor,Besiktas,1,2
30.05.2009,2008,Galatasaray,Sivasspor,2,1
30.05.2009,2008,Genclerbirligi,Kayserispor,0,4
30.05.2009,2008,Konyaspor,Ankaraspor,3,0
30.05.2009,2008,Trabzonspor,Fenerbahce,1,2
29.05.2009,2008,Gaziantepspor,Eskisehirspor,1,1
29.05.2009,2008,Hacettepe,Kocaelispor,0,4
24.05.2009,2008,Ankaragucu,Denizlispor,3,0
24.05.2009,2008,Ankaraspor,Antalyaspor,0,0
24.05.2009,2008,Besiktas,Galatasaray,2,1
24.05.2009,2008,Bursaspor,Gaziantepspor,2,2
24.05.2009,2008,Eskisehirspor,Trabzonspor,2,5
24.05.2009,2008,Fenerbahce,Konyaspor,4,2
24.05.2009,2008,Kocaelispor,Basaksehir,2,3
24.05.2009,2008,Sivasspor,Genclerbirligi,3,2
23.05.2009,2008,Kayserispor,Hacettepe,1,0
17.05.2009,2008,Ankaragucu,Besiktas,1,3
17.05.2009,2008,Antalyaspor,Fenerbahce,1,1
17.05.2009,2008,Basaksehir,Kayserispor,1,0
17.05.2009,2008,Denizlispor,Ankaraspor,2,0
17.05.2009,2008,Galatasaray,Genclerbirligi,2,1
17.05.2009,2008,Gaziantepspor,Kocaelispor,5,2
17.05.2009,2008,Konyaspor,Eskisehirspor,1,2
17.05.2009,2008,Trabzonspor,Bursaspor,1,0
16.05.2009,2008,Hacettepe,Sivasspor,1,2
10.05.2009,2008,Kayserispor,Gaziantepspor,3,0
09.05.2009,2008,Ankaraspor,Besiktas,1,4
09.05.2009,2008,Bursaspor,Konyaspor,3,0
09.05.2009,2008,Eskisehirspor,Antalyaspor,2,0
09.05.2009,2008,Fenerbahce,Denizlispor,1,0
09.05.2009,2008,Galatasaray,Ankaragucu,1,0
09.05.2009,2008,Genclerbirligi,Hacettepe,3,1
09.05.2009,2008,Kocaelispor,Trabzonspor,1,3
09.05.2009,2008,Sivasspor,Basaksehir,1,2
03.05.2009,2008,Ankaragucu,Ankaraspor,1,0
03.05.2009,2008,Antalyaspor,Bursaspor,2,3
03.05.2009,2008,Basaksehir,Genclerbirligi,3,1
03.05.2009,2008,Besiktas,Fenerbahce,1,2
03.05.2009,2008,Denizlispor,Eskisehirspor,3,2
03.05.2009,2008,Gaziantepspor,Sivasspor,2,1
03.05.2009,2008,Konyaspor,Kocaelispor,2,0
02.05.2009,2008,Trabzonspor,Kayserispor,4,1
01.05.2009,2008,Hacettepe,Galatasaray,2,0
26.04.2009,2008,Bursaspor,Denizlispor,2,0
26.04.2009,2008,Eskisehirspor,Besiktas,0,2
26.04.2009,2008,Galatasaray,Ankaraspor,1,1
26.04.2009,2008,Genclerbirligi,Gaziantepspor,1,0
26.04.2009,2008,Kayserispor,Konyaspor,1,1
26.04.2009,2008,Kocaelispor,Antalyaspor,1,0
25.04.2009,2008,Fenerbahce,Ankaragucu,1,2
25.04.2009,2008,Hacettepe,Basaksehir,2,1
25.04.2009,2008,Sivasspor,Trabzonspor,3,0
19.04.2009,2008,Ankaragucu,Eskisehirspor,3,2
19.04.2009,2008,Antalyaspor,Kayserispor,2,1
19.04.2009,2008,Basaksehir,Galatasaray,0,1
19.04.2009,2008,Besiktas,Bursaspor,0,0
19.04.2009,2008,Denizlispor,Kocaelispor,2,1
19.04.2009,2008,Gaziantepspor,Hacettepe,0,0
18.04.2009,2008,Ankaraspor,Fenerbahce,1,0
18.04.2009,2008,Konyaspor,Sivasspor,0,0
17.04.2009,2008,Trabzonspor,Genclerbirligi,2,0
12.04.2009,2008,Eskisehirspor,Ankaraspor,2,0
12.04.2009,2008,Galatasaray,Fenerbahce,0,0
12.04.2009,2008,Genclerbirligi,Konyaspor,1,0
12.04.2009,2008,Kayserispor,Denizlispor,2,0
11.04.2009,2008,Basaksehir,Gaziantepspor,1,1
11.04.2009,2008,Bursaspor,Ankaragucu,2,0
11.04.2009,2008,Hacettepe,Trabzonspor,1,4
11.04.2009,2008,Sivasspor,Antalyaspor,1,0
10.04.2009,2008,Kocaelispor,Besiktas,1,3
06.04.2009,2008,Gaziantepspor,Galatasaray,0,1
05.04.2009,2008,Ankaragucu,Kocaelispor,4,0
05.04.2009,2008,Antalyaspor,Genclerbirligi,4,2
05.04.2009,2008,Fenerbahce,Eskisehirspor,2,1
05.04.2009,2008,Trabzonspor,Basaksehir,0,0
04.04.2009,2008,Ankaraspor,Bursaspor,0,2
04.04.2009,2008,Besiktas,Kayserispor,1,0
04.04.2009,2008,Denizlispor,Sivasspor,0,2
04.04.2009,2008,Konyaspor,Hacettepe,2,0
