Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
26.05.2019,2018,Fenerbahce,Antalyaspor,3,1,1.34,5.40,7.43
26.05.2019,2018,Goztepe,Ankaragucu,2,1,1.32,5.15,8.28
26.05.2019,2018,Kayserispor,Erzurumspor,0,2,2.84,3.73,2.23
26.05.2019,2018,Yeni Malatyaspor,Bursaspor,1,2,2.66,3.40,2.50
25.05.2019,2018,Konyaspor,Akhisarspor,0,0,1.43,4.86,6.12
24.05.2019,2018,Basaksehir,Alanyaspor,1,1,1.65,4.18,4.47
24.05.2019,2018,Besiktas,Kasimpasa,3,2,1.27,6.30,8.43
24.05.2019,2018,Rizespor,Trabzonspor,2,3,2.70,3.85,2.28
24.05.2019,2018,Sivasspor,Galatasaray,4,3,1.99,3.92,3.23
20.05.2019,2018,Ankaragucu,Sivasspor,3,1,2.01,2.59,4.84
20.05.2019,2018,Erzurumspor,Fenerbahce,0,1,2.25,3.56,2.90
19.05.2019,2018,Akhisarspor,Kayserispor,2,2,2.27,3.61,2.85
19.05.2019,2018,Alanyaspor,Rizespor,1,1,1.88,3.83,3.66
19.05.2019,2018,Bursaspor,Goztepe,0,0,2.18,3.20,3.37
19.05.2019,2018,Galatasaray,Basaksehir,2,1,1.98,3.52,3.60
18.05.2019,2018,Antalyaspor,Yeni Malatyaspor,3,0,2.85,3.25,2.45
18.05.2019,2018,Trabzonspor,Besiktas,2,1,2.51,3.86,2.44
17.05.2019,2018,Kasimpasa,Konyaspor,1,1,2.33,3.40,2.89
13.05.2019,2018,Besiktas,Alanyaspor,2,1,1.54,4.50,5.02
12.05.2019,2018,Basaksehir,Ankaragucu,2,1,1.48,4.28,6.23
12.05.2019,2018,Kayserispor,Kasimpasa,2,1,2.15,3.28,3.34
12.05.2019,2018,Konyaspor,Trabzonspor,2,2,2.71,3.27,2.53
12.05.2019,2018,Yeni Malatyaspor,Erzurumspor,3,1,1.99,3.57,3.47
11.05.2019,2018,Fenerbahce,Akhisarspor,2,1,1.28,5.62,9.05
11.05.2019,2018,Goztepe,Sivasspor,3,3,1.92,3.48,3.86
11.05.2019,2018,Rizespor,Galatasaray,2,3,4.07,3.77,1.79
10.05.2019,2018,Antalyaspor,Bursaspor,0,1,3.39,3.47,2.05
06.05.2019,2018,Alanyaspor,Konyaspor,2,4,1.91,3.38,4.02
06.05.2019,2018,Trabzonspor,Kayserispor,4,2,1.54,4.16,5.56
05.05.2019,2018,Akhisarspor,Yeni Malatyaspor,0,2,1.96,3.54,3.65
05.05.2019,2018,Galatasaray,Besiktas,2,0,1.88,3.83,3.63
05.05.2019,2018,Goztepe,Antalyaspor,4,1,1.60,4.07,5.11
04.05.2019,2018,Ankaragucu,Rizespor,2,2,2.93,3.27,2.37
04.05.2019,2018,Erzurumspor,Bursaspor,2,0,2.63,2.99,2.84
04.05.2019,2018,Kasimpasa,Fenerbahce,1,3,3.44,3.81,1.94
03.05.2019,2018,Sivasspor,Basaksehir,0,0,4.56,3.72,1.72
29.04.2019,2018,Konyaspor,Galatasaray,0,0,5.04,3.80,1.65
29.04.2019,2018,Yeni Malatyaspor,Kasimpasa,2,1,2.25,3.38,3.04
28.04.2019,2018,Besiktas,Ankaragucu,4,1,1.26,5.93,9.48
28.04.2019,2018,Bursaspor,Akhisarspor,0,0,1.65,3.90,4.97
28.04.2019,2018,Kayserispor,Alanyaspor,1,1,3.47,3.39,2.06
27.04.2019,2018,Antalyaspor,Erzurumspor,1,1,2.33,3.41,2.89
27.04.2019,2018,Fenerbahce,Trabzonspor,1,1,1.86,3.75,3.80
27.04.2019,2018,Rizespor,Sivasspor,0,0,1.79,3.80,4.07
26.04.2019,2018,Basaksehir,Goztepe,0,2,1.38,4.55,8.01
22.04.2019,2018,Sivasspor,Besiktas,1,2,3.19,3.70,2.06
21.04.2019,2018,Alanyaspor,Fenerbahce,1,0,2.45,3.28,2.81
21.04.2019,2018,Ankaragucu,Konyaspor,0,0,2.70,2.81,2.92
21.04.2019,2018,Basaksehir,Rizespor,1,1,1.30,5.42,8.75
20.04.2019,2018,Akhisarspor,Antalyaspor,1,2,1.65,3.96,4.74
20.04.2019,2018,Galatasaray,Kayserispor,3,1,1.21,6.42,11.71
20.04.2019,2018,Goztepe,Erzurumspor,0,1,1.78,3.61,4.39
20.04.2019,2018,Trabzonspor,Yeni Malatyaspor,2,1,1.38,4.89,7.12
19.04.2019,2018,Kasimpasa,Bursaspor,1,1,2.64,3.41,2.52
15.04.2019,2018,Erzurumspor,Akhisarspor,2,1,1.91,3.60,3.76
14.04.2019,2018,Antalyaspor,Kasimpasa,1,0,2.59,3.47,2.54
14.04.2019,2018,Fenerbahce,Galatasaray,1,1,2.39,3.40,2.81
14.04.2019,2018,Kayserispor,Ankaragucu,0,2,1.75,3.57,4.63
14.04.2019,2018,Yeni Malatyaspor,Alanyaspor,1,1,2.69,3.28,2.55
