Date,League,Home_Team,Away_Team,URL,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5,Chosen_Option,Chosen_Odds,Chosen_Option_Empirical_Prob,N,Chosen_Option_Std,Kelly,Record_Time
2020-10-31,league-one,Gillingham,Sunderland,https://www.playnow.com/sports/sports/event/10230350/gillingham-fc-v-sunderland-afc,1.06,10,1.33,3.2,2,1.7,3.4,1.28,6.5,1.09,0,0,Under 0.5,10,0,2,0,4.2258064516129,2020-10-30 15:54:03
2020-10-31,league-one,Burton,Blackpool,https://www.playnow.com/sports/sports/event/10230345/burton-albion-v-blackpool,1.06,10,1.33,3,2.05,1.7,3.6,1.25,6.5,1.08,0,0,Under 0.5,10,0.333333333333333,3,0.272165526975909,3.1505376344086,2020-10-30 15:54:49
2020-10-31,league-one,Accrington,Plymouth,https://www.playnow.com/sports/sports/event/10230936/accrington-stanley-v-plymouth-argyle,1.06,10,1.33,3.2,2,1.7,3.4,1.28,6.5,1.08,0,0,Under 0.5,10,0,1,0,4.2258064516129,2020-10-30 15:54:23
2020-10-24,league-one,Wigan,Plymouth,https://www.playnow.com/sports/sports/event/10224654/wigan-athletic-v-plymouth-argyle,1.05,11,1.28,3.4,1.87,1.83,3,1.33,5.5,1.11,0,0,Over 4.5,5.5,0,2,0,19.3333333333333,2020-10-23 03:05:30
2020-10-24,league-one,Sunderland,Portsmouth,https://www.playnow.com/sports/sports/event/10224636/sunderland-afc-v-portsmouth-fc,1.06,9,1.33,3,2.05,1.67,3.5,1.25,6.5,1.08,0,0,Over 3.5,3.5,0,2,0,2.52173913043478,2020-10-23 03:05:10
2020-10-24,league-one,Shrewsbury,Rochdale,https://www.playnow.com/sports/sports/event/10224634/shrewsbury-town-v-rochdale-afc,1.06,10,1.33,3,2,1.7,3.5,1.25,6.5,1.08,0,0,Over 3.5,3.5,0.4,5,0.219089023002066,1.91304347826087,2020-10-23 03:04:50
2020-10-24,league-one,Oxford Utd,Swindon,https://www.playnow.com/sports/sports/event/10224656/oxford-united-v-swindon-town,1.04,12,1.25,3.6,1.8,1.9,2.9,1.36,5.25,1.12,0,0,Over 4.5,5.25,0,2,0,10.5454545454546,2020-10-23 03:04:31
2020-10-24,league-one,Northampton,Charlton,https://www.playnow.com/sports/sports/event/10224635/northampton-town-v-charlton-athletic,1.06,9,1.36,3,2.1,1.67,3.6,1.25,6.5,1.07,0,0,Over 3.5,3.6,0.5,2,0.353553390593274,1.81818181818182,2020-10-23 03:04:11
2020-10-24,league-one,Lincoln,Ipswich,https://www.playnow.com/sports/sports/event/10224633/lincoln-city-v-ipswich-town,1.05,10,1.3,3.2,1.95,1.75,3.4,1.28,6,1.09,0,0,Over 4.5,6,1,1,0,1,2020-10-23 03:03:51
2020-10-24,league-one,Hull,Peterborough,https://www.playnow.com/sports/sports/event/10224630/hull-city-v-peterborough-united,1.04,12,1.28,3.4,1.87,1.83,3,1.33,5.5,1.11,0,0,Over 4.5,5.5,0,1,0,19.3333333333333,2020-10-23 03:03:30
2020-10-24,league-one,Gillingham,Fleetwood,https://www.playnow.com/sports/sports/event/10224632/gillingham-fc-v-fleetwood-town,1.05,11,1.3,3.25,1.95,1.8,3.25,1.3,6,1.1,0,0,Under 1.5,3.25,0,4,0,2.27450980392157,2020-10-23 03:02:11
2020-10-24,league-one,Doncaster,Crewe,https://www.playnow.com/sports/sports/event/10224653/doncaster-rovers-v-crewe-alexandra,1.04,12,1.25,3.5,1.83,1.87,3,1.33,5.5,1.11,0,0,Over 4.5,5.5,0.25,4,0.21650635094611,14.75,2020-10-23 03:03:10
2020-10-24,league-one,Burton,AFC Wimbledon,https://www.playnow.com/sports/sports/event/10224631/burton-albion-v-afc-wimbledon,1.04,11,1.28,3.4,1.87,1.83,3.2,1.33,5.75,1.11,0,0,Over 4.5,5.75,0,2,0,116.000000000001,2020-10-23 03:02:50
2020-10-24,league-one,Blackpool,MK Dons,https://www.playnow.com/sports/sports/event/10224652/blackpool-v-milton-keynes-dons,1.05,11,1.28,3.25,1.9,1.8,3.2,1.3,6,1.1,0,0,Over 3.5,3.2,0.25,4,0.21650635094611,1.92307692307692,2020-10-23 03:02:31
2020-10-20,league-one,Wigan,Peterborough,https://www.playnow.com/sports/sports/event/10220905/wigan-athletic-v-peterborough-united,1.03,13,1.22,3.75,1.75,2,2.8,1.38,5,1.14,0,0,Over 4.5,5,0,5,0,1.625,2020-10-19 08:11:40
2020-10-20,league-one,Sunderland,Crewe,https://www.playnow.com/sports/sports/event/10220904/sunderland-afc-v-crewe-alexandra,1.04,12,1.25,3.5,1.83,1.87,3,1.33,5.5,1.12,0,0,Over 4.5,5.5,,0,,1.76271186440678,2020-10-19 08:11:19
2020-10-20,league-one,Shrewsbury,Bristol Rovers,https://www.playnow.com/sports/sports/event/10220899/shrewsbury-town-v-bristol-rovers,1.06,10,1.33,3,2,1.7,3.5,1.25,6.5,1.08,0,0,Under 0.5,10,0,4,0,7.42857142857143,2020-10-19 08:08:22
2020-10-20,league-one,Oxford Utd,MK Dons,https://www.playnow.com/sports/sports/event/10220902/oxford-united-v-milton-keynes-dons,1.05,10,1.3,3.2,1.95,1.75,3.25,1.28,6,1.09,0,0,Under 0.5,10,0,2,0,7.42857142857143,2020-10-19 08:10:59
2020-10-20,league-one,Northampton,Swindon,https://www.playnow.com/sports/sports/event/10220900/northampton-town-v-swindon-town,1.04,11,1.28,3.4,1.87,1.83,3.2,1.3,5.75,1.1,0,0,Under 0.5,11,0,6,0,25.9999999999999,2020-10-19 08:12:20
2020-10-20,league-one,Lincoln,Plymouth,https://www.playnow.com/sports/sports/event/10220895/lincoln-city-v-plymouth-argyle,1.04,13,1.22,3.75,1.75,1.95,2.8,1.38,5,1.14,0,0,Over 4.5,5,,0,,1.625,2020-10-19 08:10:39
2020-10-20,league-one,Hull,AFC Wimbledon,https://www.playnow.com/sports/sports/event/10220901/hull-city-v-afc-wimbledon,1.04,13,1.22,3.9,1.75,2,2.75,1.4,4.75,1.14,0,0,Over 4.5,4.75,,0,,1.56390977443609,2020-10-19 08:10:18
2020-10-20,league-one,Gillingham,Portsmouth,https://www.playnow.com/sports/sports/event/10220903/gillingham-fc-v-portsmouth-fc,1.04,12,1.28,3.4,1.87,1.87,3,1.33,5.5,1.11,0,0,Over 4.5,5.5,0,3,0,1.76271186440678,2020-10-19 08:08:56
2020-10-20,league-one,Doncaster,Ipswich,https://www.playnow.com/sports/sports/event/10220897/doncaster-rovers-v-ipswich-town,1.06,9,1.33,3,2.05,1.7,3.5,1.25,6.5,1.08,0,0,Under 0.5,9,,0,,4.33333333333333,2020-10-19 08:09:58
2020-10-20,league-one,Burton,Rochdale,https://www.playnow.com/sports/sports/event/10220906/burton-albion-v-rochdale-afc,1.04,13,1.22,3.75,1.75,1.95,2.8,1.38,5,1.13,0,0,Over 4.5,5,0,3,0,1.625,2020-10-19 08:12:00
2020-10-20,league-one,Blackpool,Charlton,https://www.playnow.com/sports/sports/event/10220898/blackpool-v-charlton-athletic,1.06,10,1.3,3.2,2,1.75,3.4,1.28,6,1.09,0,0,Under 0.5,10,0,2,0,7.42857142857143,2020-10-19 08:09:38
