Date,League,Home_Team,Away_Team,URL,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5,Chosen_Option,Chosen_Odds,Chosen_Option_Empirical_Prob,N,Chosen_Option_Std,Kelly,Record_Time
2020-11-01,premier-league,Tottenham,Brighton,https://www.playnow.com/sports/sports/event/10224910/tottenham-hotspur-fc-v-brighton-and-hove-albion-fc,1.03,15,1.2,4.25,1.67,2.15,2.6,1.44,4.75,1.18,0,0,Over 4.5,4.75,0,3,0,5.52380952380952,2020-10-31 13:35:18
2020-11-01,premier-league,Newcastle,Everton,https://www.playnow.com/sports/sports/event/10224909/newcastle-united-fc-v-everton-fc,1.04,12,1.25,3.6,1.83,1.9,3,1.36,5.5,1.12,0,0,Over 4.5,5.5,0.25,20,0.0968245836551854,14.75,2020-10-31 13:34:33
2020-11-01,premier-league,Manchester Utd,Arsenal,https://www.playnow.com/sports/sports/event/10224913/manchester-united-fc-v-arsenal-fc,1.03,14,1.22,4.25,1.7,2.05,2.7,1.44,4.75,1.16,0,0,Over 4.5,4.75,0.136363636363636,22,0.0731650049984536,4.90692640692641,2020-10-31 13:34:55
2020-11-01,premier-league,Aston Villa,Southampton,https://www.playnow.com/sports/sports/event/10225354/aston-villa-fc-v-southampton-fc,1.03,17,1.18,4.75,1.6,2.25,2.45,1.5,4.25,1.2,0,0,Under 1.5,4.75,0.5,12,0.144337567297406,3.26190476190476,2020-10-31 13:34:09
2020-10-31,premier-league,Sheffield Utd,Manchester City,https://www.playnow.com/sports/sports/event/10224908/sheffield-united-fc-v-manchester-city-fc,0,0,1.15,5.25,1.5,2.5,2.2,1.62,3.75,1.25,6.5,1.09,Over 4.5,3.75,0,2,0,2.82926829268293,2020-10-30 05:23:02
2020-10-31,premier-league,Liverpool,West Ham,https://www.playnow.com/sports/sports/event/10225355/liverpool-fc-v-west-ham-united-fc,0,0,1.11,6.5,1.38,2.9,1.95,1.8,3.2,1.33,5.25,1.13,Over 5.5,5.25,0,19,0,10.5454545454545,2020-10-30 05:23:54
2020-10-31,premier-league,Burnley,Chelsea,https://www.playnow.com/sports/sports/event/10224907/burnley-fc-v-chelsea-fc,1.03,16,1.2,4.25,1.62,2.15,2.55,1.47,4.5,1.18,0,0,Over 4.5,4.5,0.166666666666667,6,0.152145154862546,3.88461538461538,2020-10-30 05:23:31
2020-10-30,premier-league,Wolves,Crystal Palace,https://www.playnow.com/sports/sports/event/10224906/wolverhampton-wanderers-fc-v-crystal-palace-fc,1.09,7.5,1.47,2.55,2.45,1.5,4.5,1.18,8.5,1.05,0,0,Over 3.5,4.5,0,2,0,4.46153846153846,2020-10-29 05:21:00
2020-10-26,premier-league,Burnley,Tottenham,https://www.playnow.com/sports/sports/event/10214658/burnley-fc-v-tottenham-hotspur-fc,1.04,14,1.22,3.9,1.75,2,2.8,1.4,5,1.15,0,0,Over 4.5,5,0.166666666666667,6,0.152145154862546,6.20833333333334,2020-10-25 05:53:26
2020-10-26,premier-league,Brighton,West Brom,https://www.playnow.com/sports/sports/event/10214657/brighton-and-hove-albion-fc-v-west-bromwich-albion,1.03,14,1.22,4,1.7,2.05,2.75,1.4,5,1.15,0,0,Over 4.5,5,0,1,0,7.25,2020-10-25 05:52:58
2020-10-25,premier-league,Wolves,Newcastle,https://www.playnow.com/sports/sports/event/10214666/wolverhampton-wanderers-fc-v-newcastle-united-fc,1.07,9,1.38,2.9,2.15,1.62,3.9,1.22,7.5,1.07,0,0,Over 3.5,3.9,0,5,0,3.05263157894737,2020-10-24 06:49:00
2020-10-25,premier-league,Southampton,Everton,https://www.playnow.com/sports/sports/event/10214665/southampton-fc-v-everton-fc,1.04,14,1.22,4,1.75,2,2.75,1.4,5,1.15,0,0,Over 4.5,5,0.133333333333333,15,0.0877707451472511,6.41666666666667,2020-10-24 06:48:37
2020-10-25,premier-league,Arsenal,Leicester,https://www.playnow.com/sports/sports/event/10214667/arsenal-fc-v-leicester-city-fc,1.03,14,1.22,4.25,1.7,2.05,2.7,1.44,4.75,1.16,0,0,Over 4.5,4.75,0.272727272727273,11,0.134281626522908,4.29004329004329,2020-10-24 06:49:24
2020-10-24,premier-league,West Ham,Manchester City,https://www.playnow.com/sports/sports/event/10214655/west-ham-united-fc-v-manchester-city-fc,0,0,1.12,6.5,1.4,2.8,2,1.75,3.25,1.3,5.5,1.12,Over 5.5,5.5,0,16,0,19.3333333333333,2020-10-23 02:55:17
2020-10-24,premier-league,Manchester Utd,Chelsea,https://www.playnow.com/sports/sports/event/10214662/manchester-united-fc-v-chelsea-fc,1.02,17,1.18,4.75,1.57,2.3,2.4,1.53,4.25,1.2,0,0,Under 1.5,4.75,0.181818181818182,22,0.0822303667030264,4.7012987012987,2020-10-23 02:56:04
2020-10-24,premier-league,Liverpool,Sheffield Utd,https://www.playnow.com/sports/sports/event/10214661/liverpool-fc-v-sheffield-united-fc,0,0,1.14,5.5,1.47,2.55,2.15,1.67,3.6,1.28,6,1.1,Under 1.5,5.5,0,2,0,19.3333333333333,2020-10-23 02:56:29
2020-10-24,premier-league,Fulham,Crystal Palace,https://www.playnow.com/sports/sports/event/10214659/fulham-fc-v-crystal-palace-fc,1.08,8.5,1.4,2.8,2.2,1.62,4,1.22,7.5,1.06,0,0,Over 3.5,4,0.666666666666667,3,0.272165526975909,1.74074074074074,2020-10-23 02:55:41
2020-10-23,premier-league,Aston Villa,Leeds,https://www.playnow.com/sports/sports/event/10214656/aston-villa-fc-v-leeds-united,1.03,14,1.22,4,1.7,2.05,2.7,1.44,4.75,1.16,0,0,Over 4.5,4.75,0,6,0,5.52380952380953,2020-10-22 02:07:46
2020-10-19,premier-league,West Brom,Burnley,https://www.playnow.com/sports/sports/event/10209139/west-bromwich-albion-v-burnley-fc,1.06,10,1.33,3.2,2.05,1.7,3.5,1.28,6.5,1.09,0,0,Under 0.5,10,0,3,0,7.42857142857143,2020-10-18 00:22:42
2020-10-19,premier-league,Leeds,Wolves,https://www.playnow.com/sports/sports/event/10209142/leeds-united-v-wolverhampton-wanderers-fc,1.06,10,1.33,3.2,2.05,1.75,3.5,1.28,6.5,1.09,0,0,Under 0.5,10,0,1,0,7.42857142857143,2020-10-18 00:23:05
