Date,League,Home_Team,Away_Team,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5,Chosen_Option,Chosen_Odds,Chosen_Option_Empirical_Prob,N,Chosen_Option_Std,Kelly
2020-03-08,premier-league,Chelsea,Everton,1.01,10,1.14,4.3,1.62,2.1,2.65,1.4,4.9,1.1,9.5,1.02,Under 0.5,10,0.136363636363636,22,0.0731650049984536,0.0404040404040404
2020-03-08,premier-league,Manchester Utd,Manchester City,1.01,10,1.12,4.5,1.58,2.2,2.5,1.44,4.6,1.12,9.5,1.02,Over 5.5,9.5,0.157894736842105,19,0.0836546751830554,0.0588235294117648
2020-03-09,premier-league,Leicester,Aston Villa,1.01,12,1.08,5.5,1.44,2.5,2.15,1.58,3.8,1.18,7.25,1.04,Over 3.5,2.15,0.75,8,0.153093108923949,0.532608695652174
2020-06-19,premier-league,Norwich,Southampton,1.01,10,1.15,4.1,1.64,2.05,2.65,1.4,5,1.1,9.5,1.01,Under 1.5,4.1,0.6,5,0.219089023002066,0.470967741935484
2020-06-20,premier-league,Watford,Leicester,1.02,9.5,1.2,3.6,1.8,1.85,3.1,1.28,6,1.06,13,1.01,Under 3.5,1.28,1,6,0,1
2020-06-20,premier-league,Bournemouth,Crystal Palace,1.04,8,1.3,2.95,2.1,1.62,3.8,1.18,8,1.03,18,1,Under 0.5,8,0.2,5,0.178885438199983,0.0857142857142857
2020-06-20,premier-league,Brighton,Arsenal,1.02,9.5,1.2,3.6,1.8,1.85,3.15,1.28,6.25,1.06,13,1.01,Under 3.5,1.28,1,3,0,1
2020-06-21,premier-league,Newcastle,Sheffield Utd,1.08,6,1.4,2.65,2.4,1.5,4.6,1.12,10,1.01,20,1.001,Under 1.5,2.65,0.5,2,0.353553390593274,0.196969696969697
2020-06-21,premier-league,Aston Villa,Chelsea,1.01,10,1.12,4.5,1.54,2.2,2.45,1.44,4.5,1.12,9,1.02,Under 0.5,10,0.210526315789474,19,0.0935287701724883,0.12280701754386
2020-06-22,premier-league,Manchester City,Burnley,1.01,14,1.06,6.25,1.36,2.75,2,1.66,3.5,1.22,6.5,1.06,Over 4.5,3.5,0.5,6,0.204124145231932,0.3
