Date,League,Home_Team,Away_Team,URL,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5,Chosen_Option,Chosen_Odds,Chosen_Option_Empirical_Prob,N,Chosen_Option_Std,Kelly,Record_Time
2021-04-16,3-liga,Bayern II,Hansa Rostock,https://www.playnow.com/sports/sports/event/10355418/soccer/europe/german-3-liga/fc-bayern-munich-ii-v-fc-hansa-rostock,1.05,11,1.28,3.4,1.9,1.83,3.2,1.3,5.75,1.1,0,0,Over 4.5,5.75,0,2,0,116.000000000001,2021-04-15 00:59:54
2021-04-12,3-liga,Meppen,Wehen,https://www.playnow.com/sports/sports/event/10349709/soccer/europe/german-3-liga/sv-meppen-1912-v-sv-wehen-wiesbaden,1.03,15,1.2,4,1.67,2.1,2.6,1.44,4.5,1.16,0,0,Over 4.5,4.5,0,2,0,4.46153846153846,2021-04-11 02:14:20
2021-04-11,3-liga,Zwickau,Viktoria Koln,https://www.playnow.com/sports/sports/event/10349705/soccer/europe/german-3-liga/fsv-zwickau-v-fc-viktoria-koln,1.04,12,1.25,3.6,1.8,1.95,2.9,1.36,5.25,1.13,0,0,Over 4.5,5.25,0,1,0,10.5454545454546,2021-04-10 01:45:03
2021-04-11,3-liga,Unterhaching,SG Dynamo Dresden,https://www.playnow.com/sports/sports/event/10349708/soccer/europe/german-3-liga/spvgg-unterhaching-v-sg-dynamo-dresden,1.05,11,1.3,3.2,1.95,1.75,3.4,1.28,6,1.09,0,0,Over 3.5,3.4,0,4,0,2.41666666666667,2021-04-10 01:45:21
2021-04-10,3-liga,Saarbrucken,Turkgucu Munchen,https://www.playnow.com/sports/sports/event/10349698/soccer/europe/german-3-liga/1-fc-saarbrucken-v-turkgucu-munchen,1.03,15,1.18,4.25,1.62,2.15,2.5,1.47,4.5,1.18,0,0,"",,,,,,2021-04-09 01:07:44
2021-04-10,3-liga,Munich 1860,Verl,https://www.playnow.com/sports/sports/event/10349699/soccer/europe/german-3-liga/tsv-1860-munich-v-sc-verl,1.03,16,1.18,4.25,1.62,2.15,2.5,1.47,4.25,1.18,0,0,"",,,,,,2021-04-09 01:08:56
2021-04-10,3-liga,Lubeck,Kaiserslautern,https://www.playnow.com/sports/sports/event/10349704/soccer/europe/german-3-liga/vfb-lubeck-v-1-fc-kaiserslautern,1.05,10,1.3,3.2,2,1.75,3.4,1.28,6,1.09,0,0,"",,,,,,2021-04-09 01:09:13
2021-04-10,3-liga,Ingolstadt,Bayern II,https://www.playnow.com/sports/sports/event/10349696/soccer/europe/german-3-liga/fc-ingolstadt-04-v-fc-bayern-munich-ii,1.04,13,1.22,3.9,1.75,2,2.7,1.4,5,1.14,0,0,Over 4.5,5,0,1,0,7.25,2021-04-09 01:08:20
2021-04-10,3-liga,Hansa Rostock,Magdeburg,https://www.playnow.com/sports/sports/event/10349695/soccer/europe/german-3-liga/fc-hansa-rostock-v-1-fc-magdeburg,1.06,9,1.36,2.9,2.1,1.67,3.6,1.25,6.5,1.07,0,0,Over 3.5,3.6,0,3,0,2.63636363636364,2021-04-09 01:08:02
2021-04-10,3-liga,Duisburg,Mannheim,https://www.playnow.com/sports/sports/event/10349697/soccer/europe/german-3-liga/msv-duisburg-v-sv-waldhof-mannheim-07,1.05,11,1.25,3.5,1.87,1.83,3,1.33,5.5,1.11,0,0,Under 1.5,3.5,0,1,0,2.52173913043478,2021-04-09 01:08:38
2021-04-09,3-liga,Hallescher,Uerdingen,https://www.playnow.com/sports/sports/event/10349661/soccer/europe/german-3-liga/hallescher-fc-v-krefelder-fc-uerdingen-05,1.05,11,1.3,3.2,1.95,1.75,3.25,1.28,6,1.09,0,0,Under 1.5,3.2,0,2,0,2.23076923076923,2021-04-08 00:26:03
2021-04-07,3-liga,Kaiserslautern,Zwickau,https://www.playnow.com/sports/sports/event/10348983/soccer/europe/german-3-liga/1-fc-kaiserslautern-v-fsv-zwickau,1.05,11,1.28,3.4,1.9,1.8,3.2,1.3,5.75,1.1,0,0,Over 4.5,5.75,0,2,0,116.000000000001,2021-04-06 00:35:46
2021-04-05,3-liga,Viktoria Koln,Unterhaching,https://www.playnow.com/sports/sports/event/10338110/soccer/europe/german-3-liga/fc-viktoria-koln-v-spvgg-unterhaching,1.03,16,1.18,4.25,1.6,2.2,2.45,1.47,4.25,1.18,0,0,Under 1.5,4.25,0,1,0,3.74193548387097,2021-04-04 11:46:10
2021-04-04,3-liga,Turkgucu Munchen,Meppen,https://www.playnow.com/sports/sports/event/10338103/soccer/europe/german-3-liga/turkgucu-munchen-v-sv-meppen-1912,1.04,13,1.22,3.75,1.75,1.95,2.8,1.38,5,1.14,0,0,"",,,,,,2021-04-03 02:34:09
2021-04-04,3-liga,SG Dynamo Dresden,Hansa Rostock,https://www.playnow.com/sports/sports/event/10338109/soccer/europe/german-3-liga/sg-dynamo-dresden-v-fc-hansa-rostock,1.07,8.5,1.33,3,2.1,1.67,3.6,1.25,6.5,1.08,0,0,Under 1.5,3,0,3,0,2.07142857142857,2021-04-03 02:34:27
2021-04-03,3-liga,Wehen,Saarbrucken,https://www.playnow.com/sports/sports/event/10338102/soccer/europe/german-3-liga/sv-wehen-wiesbaden-v-1-fc-saarbrucken,1.03,15,1.2,4,1.67,2.05,2.6,1.44,4.5,1.16,0,0,Over 4.5,4.5,0.25,4,0.21650635094611,3.59615384615385,2021-04-02 01:57:02
2021-04-03,3-liga,Verl,Duisburg,https://www.playnow.com/sports/sports/event/10338105/soccer/europe/german-3-liga/sc-verl-v-msv-duisburg,1.03,16,1.18,4.25,1.62,2.15,2.5,1.47,4.25,1.18,0,0,"",,,,,,2021-04-02 01:56:27
2021-04-03,3-liga,Uerdingen,Munich 1860,https://www.playnow.com/sports/sports/event/10338106/soccer/europe/german-3-liga/krefelder-fc-uerdingen-05-v-tsv-1860-munich,1.06,9,1.36,3,2.1,1.67,3.6,1.25,6.5,1.07,0,0,Over 3.5,3.6,0,1,0,2.63636363636364,2021-04-02 01:56:08
2021-04-03,3-liga,Mannheim,Zwickau,https://www.playnow.com/sports/sports/event/10338108/soccer/europe/german-3-liga/sv-waldhof-mannheim-07-v-fsv-zwickau,1.05,11,1.25,3.5,1.87,1.83,3,1.33,5.5,1.11,0,0,"",,,,,,2021-04-02 01:56:44
2021-04-03,3-liga,Magdeburg,Ingolstadt,https://www.playnow.com/sports/sports/event/10338104/soccer/europe/german-3-liga/1-fc-magdeburg-v-fc-ingolstadt-04,1.06,9,1.33,3,2.05,1.7,3.5,1.25,6.5,1.08,0,0,Over 3.5,3.5,0,1,0,2.52173913043478,2021-04-02 01:55:32
2021-04-03,3-liga,Kaiserslautern,Hallescher,https://www.playnow.com/sports/sports/event/10338107/soccer/europe/german-3-liga/1-fc-kaiserslautern-v-hallescher-fc,1.05,10,1.3,3.2,1.95,1.75,3.25,1.28,6,1.09,0,0,Over 3.5,3.25,0,2,0,2.27450980392157,2021-04-02 01:55:15
2021-04-03,3-liga,Bayern II,Lubeck,https://www.playnow.com/sports/sports/event/10338111/soccer/europe/german-3-liga/fc-bayern-munich-ii-v-vfb-lubeck,1.04,13,1.22,3.75,1.75,1.95,2.8,1.38,5,1.13,0,0,"",,,,,,2021-04-02 01:55:50
2021-03-27,3-liga,Uerdingen,Zwickau,https://www.playnow.com/sports/sports/event/10337651/soccer/europe/german-3-liga/krefelder-fc-uerdingen-05-v-fsv-zwickau,1.05,10,1.3,3.2,1.95,1.75,3.25,1.28,6,1.09,0,0,Under 1.5,3.2,0,2,0,2.23076923076923,2021-03-26 10:13:48
2021-03-22,3-liga,Munich 1860,SG Dynamo Dresden,https://www.playnow.com/sports/sports/event/10333494/soccer/europe/german-3-liga/tsv-1860-munich-v-sg-dynamo-dresden,1.06,10,1.3,3.2,1.95,1.75,3.25,1.28,6,1.09,0,0,"",,,,,,2021-03-22 00:39:34
2021-03-20,3-liga,Unterhaching,Uerdingen,https://www.playnow.com/sports/sports/event/10333480/soccer/europe/german-3-liga/spvgg-unterhaching-v-krefelder-fc-uerdingen-05,1.05,10,1.33,3,2,1.7,3.5,1.25,6.5,1.08,0,0,Over 3.5,3.5,0.5,2,0.353553390593274,1.76086956521739,2021-03-19 00:31:56
2021-03-20,3-liga,Magdeburg,Kaiserslautern,https://www.playnow.com/sports/sports/event/10333483/soccer/europe/german-3-liga/1-fc-magdeburg-v-1-fc-kaiserslautern,1.06,9,1.36,3,2.1,1.67,3.6,1.25,7,1.07,0,0,"",,,,,,2021-03-19 00:30:44
2021-03-20,3-liga,Lubeck,Verl,https://www.playnow.com/sports/sports/event/10333490/soccer/europe/german-3-liga/vfb-lubeck-v-sc-verl,1.04,13,1.22,3.9,1.75,2,2.75,1.4,5,1.14,0,0,"",,,,,,2021-03-19 00:32:14
2021-03-20,3-liga,Ingolstadt,Mannheim,https://www.playnow.com/sports/sports/event/10333478/soccer/europe/german-3-liga/fc-ingolstadt-04-v-sv-waldhof-mannheim-07,1.05,10,1.3,3.2,1.95,1.75,3.25,1.28,6,1.09,0,0,"",,,,,,2021-03-19 00:31:20
2021-03-20,3-liga,Hansa Rostock,Hallescher,https://www.playnow.com/sports/sports/event/10333479/soccer/europe/german-3-liga/fc-hansa-rostock-v-hallescher-fc,1.05,10,1.3,3.2,1.95,1.75,3.25,1.28,6,1.09,0,0,Over 3.5,3.25,0.25,8,0.153093108923949,1.95588235294118,2021-03-19 00:31:02
2021-03-20,3-liga,Duisburg,Turkgucu Munchen,https://www.playnow.com/sports/sports/event/10333482/soccer/europe/german-3-liga/msv-duisburg-v-turkgucu-munchen,1.05,11,1.28,3.4,1.87,1.83,3.2,1.33,5.75,1.11,0,0,"",,,,,,2021-03-19 00:31:38
2021-03-19,3-liga,Saarbrucken,Viktoria Koln,https://www.playnow.com/sports/sports/event/10333234/soccer/europe/german-3-liga/1-fc-saarbrucken-v-fc-viktoria-koln,1.03,13,1.22,3.9,1.7,2,2.7,1.4,4.75,1.15,0,0,"",,,,,,2021-03-18 12:00:10
2021-03-17,3-liga,Verl,Ingolstadt,https://www.playnow.com/sports/sports/event/10328815/soccer/europe/german-3-liga/sc-verl-v-fc-ingolstadt-04,1.04,12,1.25,3.6,1.8,1.9,2.9,1.36,5.25,1.13,0,0,"",,,,,,2021-03-16 10:51:35
2021-03-17,3-liga,SG Dynamo Dresden,Wehen,https://www.playnow.com/sports/sports/event/10328813/soccer/europe/german-3-liga/sg-dynamo-dresden-v-sv-wehen-wiesbaden,1.05,10,1.28,3.4,1.9,1.8,3.2,1.3,5.75,1.1,0,0,Over 4.5,5.75,0,4,0,116.000000000001,2021-03-16 10:51:54
2021-03-17,3-liga,Meppen,Uerdingen,https://www.playnow.com/sports/sports/event/10328816/soccer/europe/german-3-liga/sv-meppen-1912-v-krefelder-fc-uerdingen-05,1.07,9,1.33,3,2.05,1.7,3.5,1.28,6.5,1.08,0,0,Over 3.5,3.5,0.5,2,0.353553390593274,1.76086956521739,2021-03-16 10:52:12
2021-03-17,3-liga,Lubeck,Munich 1860,https://www.playnow.com/sports/sports/event/10328817/soccer/europe/german-3-liga/vfb-lubeck-v-tsv-1860-munich,1.05,11,1.3,3.25,1.95,1.8,3.25,1.3,6,1.1,0,0,"",,,,,,2021-03-16 10:52:31
2021-03-16,3-liga,Hallescher,Duisburg,https://www.playnow.com/sports/sports/event/10328812/soccer/europe/german-3-liga/hallescher-fc-v-msv-duisburg,1.04,11,1.28,3.4,1.87,1.83,3,1.33,5.5,1.11,0,0,Over 4.5,5.5,0,4,0,19.3333333333333,2021-03-15 10:16:15
2021-03-15,3-liga,Turkgucu Munchen,Hansa Rostock,https://www.playnow.com/sports/sports/event/10326326/soccer/europe/german-3-liga/turkgucu-munchen-v-fc-hansa-rostock,1.1,7,1.47,2.5,2.45,1.47,4.5,1.16,8.5,1.04,0,0,"",,,,,,2021-03-15 10:15:57
