Date,League,Home_Team,Away_Team,URL,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5,Chosen_Option,Chosen_Odds,Chosen_Option_Empirical_Prob,N,Chosen_Option_Std,Kelly,Record_Time
2020-11-01,eerste-divisie,FC Volendam,Eindhoven FC,https://www.playnow.com/sports/sports/event/10230040/fc-volendam-v-fc-eindhoven,0,0,1.1,5.75,1.36,2.9,1.9,1.8,3,1.33,5,1.13,Under 1.5,5.75,0.105263157894737,19,0.070405900427362,1.61613614875512,2020-10-31 13:41:14
2020-10-31,eerste-divisie,Roda,Den Bosch,https://www.playnow.com/sports/sports/event/10230044/roda-jc-kerkrade-v-fc-den-bosch,0,0,1.16,4.5,1.53,2.35,2.3,1.53,3.9,1.22,7.5,1.07,Over 5.5,7.5,0.333333333333333,3,0.272165526975909,1.75757575757576,2020-10-30 16:01:56
2020-10-31,eerste-divisie,G.A. Eagles,Excelsior,https://www.playnow.com/sports/sports/event/10230047/go-ahead-eagles-v-sbv-excelsior,1.03,16,1.2,4.25,1.62,2.15,2.55,1.47,4.5,1.18,0,0,Over 4.5,4.5,0.272727272727273,11,0.134281626522908,1.34090909090909,2020-10-30 16:01:35
2020-10-23,eerste-divisie,Telstar,Helmond,https://www.playnow.com/sports/sports/event/10226810/sc-telstar-v-helmond-sport,0,0,1.13,5.25,1.44,2.55,2.1,1.67,3.4,1.28,6,1.1,Under 1.5,5.25,0.238095238095238,21,0.0929428640903365,8.27272727272728,2020-10-22 02:13:41
2020-10-23,eerste-divisie,Nijmegen,G.A. Eagles,https://www.playnow.com/sports/sports/event/10226811/nec-nijmegen-v-go-ahead-eagles,1.03,15,1.2,4,1.67,2.1,2.6,1.44,4.5,1.16,0,0,Under 1.5,4,0,3,0,3.22222222222222,2020-10-22 02:13:22
2020-10-23,eerste-divisie,Maastricht,Jong Ajax,https://www.playnow.com/sports/sports/event/10226812/mvv-maastricht-v-jong-ajax-amsterdam,0,0,1.12,5.5,1.4,2.7,2,1.7,3.25,1.3,5.5,1.11,Over 5.5,5.5,0,7,0,19.3333333333333,2020-10-22 02:13:02
2020-10-23,eerste-divisie,Jong Utrecht,Oss,https://www.playnow.com/sports/sports/event/10226809/jong-fc-utrecht-v-top-oss,1.02,17,1.18,4.5,1.57,2.25,2.4,1.53,4,1.2,0,0,Under 1.5,4.5,0,4,0,4.46153846153846,2020-10-22 02:12:41
2020-10-23,eerste-divisie,Graafschap,Jong PSV,https://www.playnow.com/sports/sports/event/10226816/de-graafschap-v-jong-psv-eindhoven,0,0,1.1,5.75,1.36,2.9,1.95,1.8,3,1.33,5,1.13,Under 1.5,5.75,0,5,0,116.000000000001,2020-10-22 02:14:21
2020-10-23,eerste-divisie,FC Volendam,Dordrecht,https://www.playnow.com/sports/sports/event/10226808/fc-volendam-v-fc-dordrecht,0,0,1.08,6.5,1.3,3.2,1.75,1.95,2.7,1.4,4.5,1.18,Over 5.5,4.5,0.210526315789474,19,0.0935287701724883,3.73279352226721,2020-10-22 02:12:21
2020-10-23,eerste-divisie,Eindhoven FC,Jong AZ,https://www.playnow.com/sports/sports/event/10226817/fc-eindhoven-v-jong-az-alkmaar,0,0,1.09,6.5,1.33,3,1.8,1.9,2.8,1.38,4.5,1.16,Over 5.5,4.5,0,3,0,4.46153846153846,2020-10-22 02:15:00
