Date,League,Home_Team,Away_Team,URL,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5,Chosen_Option,Chosen_Odds,Chosen_Option_Empirical_Prob,N,Chosen_Option_Std,Kelly,Record_Time
2020-11-01,laliga,Granada CF,Levante,https://www.playnow.com/sports/sports/event/10226096/granada-cf-v-levante-ud,1.07,9,1.36,2.9,2.15,1.67,3.75,1.25,7.5,1.07,0,0,Over 4.5,7.5,0.166666666666667,6,0.152145154862546,11.4166666666667,2020-10-31 13:37:52
2020-11-01,laliga,Celta Vigo,Real Sociedad,https://www.playnow.com/sports/sports/event/10224731/rc-celta-de-vigo-v-real-sociedad,1.08,8.5,1.38,2.9,2.2,1.62,4,1.22,7.5,1.07,0,0,Over 4.5,7.5,0.260869565217391,23,0.0915605371517001,10.2391304347826,2020-10-31 13:37:29
2020-11-01,laliga,Betis,Elche,https://www.playnow.com/sports/sports/event/10224728/real-betis-balompie-v-elche-cf,1.04,13,1.25,3.6,1.8,1.95,3,1.36,5.5,1.13,0,0,Over 4.5,5.5,0,1,0,3.11538461538461,2020-10-31 13:37:07
2020-10-31,laliga,Real Madrid,Huesca,https://www.playnow.com/sports/sports/event/10226095/real-madrid-v-sd-huesca,1.03,15,1.22,4.25,1.67,2.1,2.7,1.44,4.75,1.16,0,0,Under 1.5,4.25,0,1,0,2.1038961038961,2020-10-30 05:27:15
2020-10-31,laliga,Osasuna,Atl. Madrid,https://www.playnow.com/sports/sports/event/10224727/ca-osasuna-v-atletico-madrid,1.08,8,1.44,2.7,2.3,1.57,4.25,1.2,8,1.06,0,0,Under 0.5,8,0.0526315789473684,19,0.0512278171991882,76.7894736842095,2020-10-30 05:28:08
2020-10-31,laliga,Ath Bilbao,Sevilla,https://www.playnow.com/sports/sports/event/10224729/athletic-bilbao-v-sevilla-fc,1.11,6.5,1.5,2.45,2.6,1.47,5,1.16,9,1.04,0,0,Under 0.5,6.5,0.0357142857142857,28,0.0350707323593559,4.91741071428571,2020-10-30 05:27:44
2020-10-31,laliga,Alaves,Barcelona,https://www.playnow.com/sports/sports/event/10224730/deportivo-alaves-v-fc-barcelona,1.03,17,1.2,4.5,1.62,2.2,2.55,1.47,4.5,1.18,0,0,Under 1.5,4.5,0.3,10,0.144913767461894,1.875,2020-10-30 05:28:30
2020-10-30,laliga,Eibar,Cadiz CF,https://www.playnow.com/sports/sports/event/10224733/sd-eibar-v-cadiz-cf,1.13,5.75,1.62,2.2,2.9,1.38,5.75,1.12,11,1.02,0,0,"",,,,,,2020-10-29 05:25:12
2020-10-26,laliga,Levante,Celta Vigo,https://www.playnow.com/sports/sports/event/10215257/levante-ud-v-rc-celta-de-vigo,1.06,10,1.33,3.2,2,1.75,3.5,1.28,6.5,1.09,0,0,Over 3.5,3.5,0.125,8,0.116926793336686,2.33152173913043,2020-10-25 05:55:51
2020-10-25,laliga,Valladolid,Alaves,https://www.playnow.com/sports/sports/event/10215262/real-valladolid-v-deportivo-alaves,1.14,5.5,1.67,2.15,3,1.36,6,1.11,11,1.02,0,0,Under 0.5,5.5,0,7,0,19.3333333333333,2020-10-24 06:52:33
2020-10-25,laliga,Real Sociedad,Huesca,https://www.playnow.com/sports/sports/event/10215267/real-sociedad-v-sd-huesca,1.07,9,1.38,2.9,2.15,1.62,3.9,1.22,7.5,1.07,0,0,Over 3.5,3.9,0,1,0,3.05263157894737,2020-10-24 06:54:03
2020-10-25,laliga,Getafe,Granada CF,https://www.playnow.com/sports/sports/event/10215266/getafe-cf-v-granada-cf,1.14,5.5,1.67,2.15,3,1.36,6,1.11,11,1.02,0,0,Under 0.5,5.5,0,6,0,19.3333333333333,2020-10-24 06:53:22
2020-10-25,laliga,Cadiz CF,Villarreal,https://www.playnow.com/sports/sports/event/10215259/cadiz-cf-v-villarreal-cf,1.08,8,1.44,2.7,2.3,1.57,4.25,1.2,8,1.06,0,0,Over 3.5,4.25,0,1,0,3.74193548387097,2020-10-24 06:53:01
2020-10-24,laliga,Sevilla,Eibar,https://www.playnow.com/sports/sports/event/10215264/sevilla-fc-v-sd-eibar,1.06,10,1.33,3.2,2,1.75,3.5,1.28,6.5,1.09,0,0,Over 3.5,3.5,0.166666666666667,6,0.152145154862546,2.26811594202899,2020-10-23 03:12:00
2020-10-24,laliga,Osasuna,Ath Bilbao,https://www.playnow.com/sports/sports/event/10215261/ca-osasuna-v-athletic-bilbao,1.12,6.5,1.53,2.4,2.65,1.44,5,1.14,10,1.03,0,0,Over 3.5,5,0.142857142857143,21,0.0763603548321213,6.35714285714286,2020-10-23 03:11:38
2020-10-24,laliga,Barcelona,Real Madrid,https://www.playnow.com/sports/sports/event/10215260/fc-barcelona-v-real-madrid,1.03,16,1.2,4.5,1.62,2.2,2.55,1.47,4.5,1.18,0,0,Over 4.5,4.5,0.129032258064516,31,0.0602100984037021,4.01488833746898,2020-10-23 03:11:15
2020-10-24,laliga,Atl. Madrid,Betis,https://www.playnow.com/sports/sports/event/10215263/atletico-madrid-v-real-betis-balompie,1.06,10,1.33,3.2,2,1.75,3.5,1.28,6.5,1.09,0,0,Over 3.5,3.5,0.227272727272727,22,0.089346067398511,2.17588932806324,2020-10-23 03:12:27
2020-10-23,laliga,Elche,Valencia,https://www.playnow.com/sports/sports/event/10215258/elche-cf-v-valencia-cf,1.08,8.5,1.4,2.8,2.25,1.62,4,1.22,7.5,1.06,0,0,Over 3.5,4,0.5,2,0.353553390593274,2.11111111111111,2020-10-22 02:10:43
2020-10-18,laliga,Villarreal,Valencia,https://www.playnow.com/sports/sports/event/10213361/villarreal-cf-v-valencia-cf,1.03,15,1.22,4.25,1.67,2.1,2.65,1.44,4.75,1.16,0,0,Over 4.5,4.75,0.05,20,0.048733972,4.61,10/17/2020 3:48
2020-10-18,laliga,Huesca,Valladolid,https://www.playnow.com/sports/sports/event/10213360/sd-huesca-v-real-valladolid,1.12,6,1.57,2.3,2.75,1.4,5.5,1.13,10,1.03,0,0,Over 3.5,5.5,1,1,0,1,10/17/2020 3:49
2020-10-18,laliga,Eibar,Osasuna,https://www.playnow.com/sports/sports/event/10213359/sd-eibar-v-ca-osasuna,1.1,7,1.5,2.5,2.5,1.5,4.75,1.16,9,1.04,0,0,Over 3.5,4.75,0.5,2,0.353553391,2.9,10/17/2020 3:47
2020-10-18,laliga,Betis,Real Sociedad,https://www.playnow.com/sports/sports/event/10213356/real-betis-balompie-v-real-sociedad,1.04,13,1.25,3.75,1.8,1.95,2.9,1.38,5.25,1.13,0,0,Over 4.5,5.25,0.19047619,21,0.085689087,6.666666667,10/17/2020 3:49
2020-10-18,laliga,Ath Bilbao,Levante,https://www.playnow.com/sports/sports/event/10213355/athletic-bilbao-v-levante-ud,1.07,9,1.38,2.9,2.15,1.62,3.9,1.22,7.5,1.07,0,0,Over 3.5,3.9,0.333333333,12,0.136082763,2.238095238,10/17/2020 3:48
2020-10-18,laliga,Alaves,Elche,https://www.playnow.com/sports/sports/event/10213357/deportivo-alaves-v-elche-cf,1.11,7,1.53,2.4,2.6,1.47,5,1.15,9,1.04,0,0,"",,,,,,10/17/2020 3:49
2020-10-17,laliga,Real Madrid,Cadiz CF,https://www.playnow.com/sports/sports/event/10213353/real-madrid-v-cadiz-cf,1.02,18,1.18,4.75,1.57,2.3,2.45,1.53,4.25,1.2,0,0,Under 1.5,4.75,0,5,0,4.8,10/16/2020 1:54
2020-10-17,laliga,Granada CF,Sevilla,https://www.playnow.com/sports/sports/event/10213358/granada-cf-v-sevilla-fc,1.07,9,1.38,2.9,2.15,1.62,3.9,1.22,7.5,1.07,0,0,Over 3.5,3.9,0,7,0,2.857142857,10/16/2020 1:53
2020-10-17,laliga,Getafe,Barcelona,https://www.playnow.com/sports/sports/event/10213349/fe-cf-getafe-v-fc-barcelona,1.05,11,1.3,3.4,1.9,1.83,3.25,1.3,6,1.11,0,0,"",,,,,,10/17/2020 3:47
2020-10-17,laliga,Celta Vigo,Atl. Madrid,https://www.playnow.com/sports/sports/event/10213354/rc-celta-de-vigo-v-atletico-madrid,1.09,8,1.44,2.65,2.35,1.57,4.25,1.2,8.5,1.05,0,0,Over 3.5,4.25,0.238095238,21,0.092942864,2.850340136,10/16/2020 1:54
2020-10-04,laliga,Osasuna,Celta Vigo,https://www.playnow.com/sports/sports/event/10209829/ca-osasuna-v-rc-celta-de-vigo,1.09,7,1.44,2.65,2.35,1.53,4.25,1.2,8.5,1.05,0,0,"",,,,,,10/3/2020 2:04
2020-10-04,laliga,Levante,Real Madrid,https://www.playnow.com/sports/sports/event/10209831/levante-ud-v-real-madrid,0,0,1.15,5.25,1.5,2.5,2.2,1.62,3.75,1.25,6.5,1.09,Under 3.5,1.62,0.583333333,12,0.142318761,0.027763158,10/3/2020 2:05
2020-10-04,laliga,Cadiz CF,Granada CF,https://www.playnow.com/sports/sports/event/10209830/cadiz-cf-v-granada-cf,1.13,5.25,1.62,2.2,2.9,1.38,5.75,1.12,11,1.02,0,0,"",,,,,,10/3/2020 2:05
2020-10-04,laliga,Barcelona,Sevilla,https://www.playnow.com/sports/sports/event/10209832/fc-barcelona-v-sevilla-fc,0,0,1.16,5,1.53,2.35,2.3,1.57,4,1.22,7,1.08,Under 3.5,1.57,0.571428571,28,0.093521953,0.025647841,10/3/2020 2:06
2020-10-04,laliga,Alaves,Ath Bilbao,https://www.playnow.com/sports/sports/event/10209833/deportivo-alaves-v-athletic-bilbao,1.13,5.5,1.6,2.2,2.8,1.4,5.5,1.12,10,1.03,0,0,Over 1.5,1.6,0.7,10,0.144913767,0.022,10/3/2020 2:04
2020-10-03,laliga,Valladolid,Eibar,https://www.playnow.com/sports/sports/event/10209840/real-valladolid-v-sd-eibar,1.11,6,1.5,2.4,2.6,1.47,5,1.15,9,1.04,0,0,Under 0.5,6,0.5,2,0.353553391,0.0025,10/2/2020 22:56
2020-10-03,laliga,Valencia,Betis,https://www.playnow.com/sports/sports/event/10209842/valencia-cf-v-real-betis-balompie,1.05,10,1.28,3.4,1.9,1.83,3.2,1.33,6,1.11,0,0,"",,,,,,10/2/2020 22:57
2020-10-03,laliga,Real Sociedad,Getafe,https://www.playnow.com/sports/sports/event/10209841/real-sociedad-v-getafe-cf,1.1,6.5,1.5,2.5,2.5,1.5,4.75,1.16,9,1.04,0,0,"",,,,,,10/2/2020 22:57
2020-10-03,laliga,Elche,Huesca,https://www.playnow.com/sports/sports/event/10209843/elche-cf-v-sd-huesca,1.09,6.5,1.47,2.55,2.45,1.53,4.5,1.18,8.5,1.05,0,0,"",,,,,,10/2/2020 22:57
2020-10-03,laliga,Atl. Madrid,Villarreal,https://www.playnow.com/sports/sports/event/10209839/atletico-madrid-v-villarreal-cf,1.05,10,1.28,3.4,1.9,1.83,3.2,1.33,6,1.11,0,0,Over 2.5,1.9,0.5,18,0.11785113,0.105,10/2/2020 22:56
2020-10-01,laliga,Sevilla,Levante,https://www.playnow.com/sports/sports/event/10204254/sevilla-fc-v-levante-ud,1.03,15,1.2,4.25,1.62,2.2,2.55,1.47,4.5,1.18,0,0,Over 2.5,1.62,0.583333333,12,0.142318761,2.776315789,9/30/2020 9:46
2020-10-01,laliga,Celta Vigo,Barcelona,https://www.playnow.com/sports/sports/event/10204258/rc-celta-de-vigo-v-fc-barcelona,1.02,15,1.18,4.5,1.6,2.25,2.45,1.5,4.25,1.2,0,0,Over 2.5,1.6,0.652173913,23,0.099311346,2.391304348,9/30/2020 9:46
