Date,League,Home_Team,Away_Team,URL,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5,Chosen_Option,Chosen_Odds,Chosen_Option_Empirical_Prob,N,Chosen_Option_Std,Kelly,Record_Time
2020-11-01,super-lig,Rizespor,Kayserispor,https://www.playnow.com/sports/sports/event/10231958/caykur-rizespor-v-kayserispor,1.04,12,1.25,3.5,1.83,1.87,3,1.33,5.5,1.11,0,0,Under 0.5,12,0.333333333333333,9,0.157134840263677,3.5,2020-10-31 13:49:30
2020-11-01,super-lig,Konyaspor,Basaksehir,https://www.playnow.com/sports/sports/event/10231959/konyaspor-club-v-istanbul-basaksehir-fk,1.05,11,1.28,3.25,1.9,1.8,3.2,1.3,6,1.1,0,0,Under 0.5,11,0.222222222222222,9,0.13857990321385,3.03703703703704,2020-10-31 13:49:49
2020-11-01,super-lig,Besiktas,Yeni Malatyaspor,https://www.playnow.com/sports/sports/event/10231960/besiktas-jk-v-yeni-malatyaspor,1.04,13,1.25,3.75,1.75,1.95,2.8,1.38,5,1.13,0,0,Under 0.5,13,0,3,0,6.90909090909091,2020-10-31 13:50:09
2020-10-31,super-lig,Genclerbirligi,Gaziantep,https://www.playnow.com/sports/sports/event/10231954/genclerbirligi-sk-v-gaziantep-fk,1.04,12,1.25,3.6,1.8,1.9,2.9,1.36,5.25,1.12,0,0,Under 0.5,12,0,1,0,4.75,2020-10-30 16:06:58
2020-10-31,super-lig,Galatasaray,MKE Ankaragucu,https://www.playnow.com/sports/sports/event/10231957/galatasaray-sk-v-mke-ankaragucu,0,0,1.15,4.75,1.5,2.4,2.25,1.57,3.75,1.22,7,1.08,"",,,,,,2020-10-30 16:07:18
2020-10-26,super-lig,Sivasspor,Rizespor,https://www.playnow.com/sports/sports/event/10226687/sivasspor-v-caykur-rizespor,1.03,16,1.2,4.25,1.62,2.15,2.55,1.47,4.5,1.18,0,0,"",,,,,,10/25/2020 7:49
2020-10-26,super-lig,Denizlispor,Besiktas,https://www.playnow.com/sports/sports/event/10226688/denizlispor-v-besiktas-jk,1.04,13,1.25,3.6,1.8,1.9,2.9,1.36,5.25,1.13,0,0,"",,,,,,10/25/2020 7:49
2020-10-25,super-lig,Yeni Malatyaspor,Genclerbirligi SK,https://www.playnow.com/sports/sports/event/10226689/yeni-malatyaspor-v-genclerbirligi-sk,1.05,11,1.28,3.4,1.9,1.8,3.2,1.3,5.75,1.1,0,0,"",,,,,,10/24/2020 7:08
2020-10-25,super-lig,Fenerbahce,Trabzonspor,https://www.playnow.com/sports/sports/event/10226692/fenerbahce-v-trabzonspor,1.03,15,1.2,4,1.67,2.05,2.6,1.44,4.5,1.16,0,0,Over 4.5,4.5,0.136363636,22,0.073165005,3.98951049,10/24/2020 7:09
2020-10-25,super-lig,Alanyaspor,Fatih Karagumruk SK,https://www.playnow.com/sports/sports/event/10226697/alanyaspor-v-fatih-karagumruk-sk,1.03,14,1.22,3.75,1.75,2,2.8,1.38,5,1.14,0,0,"",,,,,,10/24/2020 7:08
2020-10-24,super-lig,Gaziantep,Konyaspor,https://www.playnow.com/sports/sports/event/10226690/gaziantep-fk-v-konyaspor-club,1.06,9,1.36,2.9,2.1,1.67,3.75,1.25,7,1.07,0,0,"",,,,,,10/23/2020 3:23
2020-10-24,super-lig,Erzurum BB,Galatasaray,https://www.playnow.com/sports/sports/event/10226691/buyuksehir-belediye-erzurumspor-v-galatasaray-sk,1.03,14,1.2,4,1.67,2.05,2.65,1.44,4.75,1.15,0,0,"",,,,,,10/23/2020 3:23
2020-10-24,super-lig,Basaksehir,Antalyaspor,https://www.playnow.com/sports/sports/event/10226700/istanbul-basaksehir-fk-v-antalyaspor-as,1.04,12,1.25,3.5,1.8,1.9,3,1.36,5.25,1.12,0,0,"",,,,,,10/23/2020 3:23
2020-10-23,super-lig,Kasimpasa,Goztepe,https://www.playnow.com/sports/sports/event/10226696/kasimpasa-v-goztepe-sk,1.03,15,1.2,4,1.67,2.05,2.65,1.44,4.75,1.15,0,0,"",,,,,,10/22/2020 2:20
