"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","implied.joint.prob","result.mat","predict.prob","kelly.criterion","bet.money"
"2012-08-18","Arsenal","Sunderland","Fulham","Norwich","H","A",1.42,4.53,6.4326,0.138662626560581,0,0.158628972515003,0.00476072477290286,47.6072477290286
"2012-08-18","Arsenal","Sunderland","West Brom","Liverpool","H","H",1.42,4.44,6.3048,0.141440606078826,0,0.160492468575133,0.00526508997662286,52.6508997662286
"2012-08-18","Fulham","Norwich","QPR","Swansea","H","A",1.79,3.98,7.1242,0.125380107763735,1,0.148868771303333,0.00261265426211182,26.1265426211182
"2012-08-18","Fulham","Norwich","West Brom","Liverpool","D","A",3.59,1.83,6.5697,0.135961000382261,0,0.15665079490444,0.00444220962808057,44.4220962808057
"2012-08-18","Fulham","Norwich","West Ham","Aston Villa","D","H",3.59,2.11,7.5749,0.117754022093548,0,0.142797826542047,0.00128436864512582,12.8436864512582
"2012-08-18","Newcastle","Tottenham","QPR","Swansea","D","H",3.28,1.95,6.396,0.139609626346674,0,0.159160722686156,0.00508955541901197,50.8955541901197
"2012-08-18","Newcastle","Tottenham","Reading","Stoke","H","H",2.69,2.37,6.3753,0.140028875708017,0,0.159462150864988,0.00513779226222057,51.3779226222057
"2012-08-18","Newcastle","Tottenham","West Ham","Aston Villa","D","H",3.28,2.11,6.9208,0.128841399329879,0,0.151682884389519,0.00296598020634981,29.6598020634981
"2012-08-18","QPR","Swansea","Reading","Stoke","H","D",1.95,3.24,6.318,0.141313559168597,0,0.160299120674919,0.00540244159477586,54.0244159477586
"2012-08-18","QPR","Swansea","West Brom","Liverpool","A","A",3.98,1.83,7.2834,0.12261116936144,0,0.146698563782348,0.00214698633722566,21.4698633722566
"2012-08-18","QPR","Swansea","West Ham","Aston Villa","D","H",3.4,2.11,7.174,0.124307000785979,0,0.148186854964599,0.0022421834993858,22.421834993858
"2012-08-18","Reading","Stoke","West Ham","Aston Villa","D","H",3.24,2.11,6.8364,0.13041390614682,1,0.152864302775378,0.00321448922370524,32.1448922370524
"2012-08-18","West Brom","Liverpool","West Ham","Aston Villa","D","H",3.49,2.11,7.3639,0.121100023135865,0,0.145611944642929,0.00174750926900977,17.4750926900977
"2012-08-25","Aston Villa","Everton","Norwich","QPR","D","H",3.27,2.32,7.5864,0.117829846254956,0,0.142645859694365,0.00154674046761992,15.3788788497678
"2012-08-25","Aston Villa","Everton","Southampton","Wigan","A","A",2.26,3.45,7.797,0.114573932864475,1,0.139888463770266,0.00101409354992743,10.0828950771961
