"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","implied.joint.prob","result.mat","predict.prob","kelly.criterion","bet.money"
"2014-06-13","Spain","Netherlands","Mexico","Cameroon","D","H",3.34,2.18,7.2812,0.125535571080028,0,0.138860991192621,0.00543662737295074,100
"2014-06-14","Uruguay","Costa Rica","Colombia","Greece","H","A",1.44,5.01,7.2144,0.12645904016267,0,0.140118748508883,0.00537607278668138,100
"2014-06-14","Uruguay","Costa Rica","Chile","Australia","H","D",1.44,4.39,6.3216,0.144024144475914,0,0.158542949870584,0.00861920656081588,100
"2014-06-14","Colombia","Greece","Chile","Australia","A","H",5.01,1.42,7.1142,0.12800636393998,0,0.142035586311112,0.00543550058780839,100
"2014-06-15","Switzerland","Ecuador","England","Italy","H","D",2.4,3,7.2,0.126881479223998,0,0.140391981791389,0.00561501800510886,100
"2014-06-15","Switzerland","Ecuador","Ivory Coast","Japan","H","H",2.4,2.7,6.48,0.140505680965186,1,0.155046088359619,0.00786766876845488,100
"2014-06-15","England","Italy","Ivory Coast","Japan","H","H",2.5,2.7,6.75,0.135244102390022,0,0.149317218600863,0.00713211755891404,100
"2014-06-16","Germany","Portugal","Iran","Nigeria","H","D",2.06,3.44,7.0864,0.128676645942138,1,0.142573897941893,0.00571952327648766,100
"2014-06-17","Belgium","Algeria","Brazil","Mexico","H","D",1.33,5.23,6.9559,0.130634401210004,1,0.145139113354564,0.00565192607522682,100
"2014-06-18","Russia","South Korea","Spain","Chile","A","H",4.59,1.57,7.2063,0.126661038179795,0,0.140272350183726,0.00547000230560071,100
"2014-06-18","Australia","Netherlands","Spain","Chile","A","A",1.23,5.51,6.7773,0.135181677240428,1,0.148753896703137,0.00757653614300364,100
"2014-06-19","Uruguay","England","Colombia","Ivory Coast","A","D",1.95,3.48,6.786,0.134270230897208,0,0.148574982421249,0.00669437338132303,100
"2014-06-20","Switzerland","France","Italy","Costa Rica","A","D",1.86,3.98,7.4028,0.123467038886869,0,0.136612076947375,0.00506144085462078,100
"2014-06-21","Germany","Ghana","Argentina","Iran","D","H",5.44,1.14,6.2016,0.147328147416613,1,0.161260520506347,0.00983591112543225,100
"2014-06-21","Argentina","Iran","Honduras","Ecuador","H","H",1.14,5.71,6.5094,0.140416018667673,0,0.154408223306969,0.00836329778213372,100
"2014-06-22","Belgium","Russia","South Korea","Algeria","H","A",2.2,2.92,6.424,0.141290915428246,1,0.156270707202086,0.00761889105530741,100
"2014-06-22","Belgium","Russia","Nigeria","Bosnia & Herzegovina","A","A",3.43,1.87,6.4141,0.14171857850775,0,0.156488522296193,0.00790691023125771,100
"2014-06-23","USA","Portugal","Australia","Spain","H","A",4.53,1.38,6.2514,0.146055769880641,0,0.16012550583536,0.00945529156868568,100
"2014-06-23","Netherlands","Chile","Croatia","Mexico","H","H",2.66,2.68,7.1288,0.127548534952142,0,0.141754011143615,0.00516447802140247,100
"2014-06-24","Costa Rica","England","Greece","Ivory Coast","A","H",1.78,3.91,6.9598,0.130872374729427,0,0.145061529870743,0.0059941274708033,100
"2014-06-24","Costa Rica","England","Japan","Colombia","A","D",1.78,3.68,6.5504,0.139210321561015,0,0.153524469439418,0.00780007509683225,100
"2014-06-24","Italy","Uruguay","Greece","Ivory Coast","D","A",3.43,1.95,6.6885,0.136095719603698,0,0.15059685522396,0.0069330851720162,100
"2014-06-24","Italy","Uruguay","Japan","Colombia","D","A",3.43,2.08,7.1344,0.127735101568889,0,0.141646216602473,0.00547325776547068,100
"2014-06-24","Greece","Ivory Coast","Japan","Colombia","A","D",1.95,3.68,7.176,0.126858709375364,0,0.140849035859436,0.00518350165175227,100
"2014-06-25","Nigeria","Argentina","Ecuador","France","D","A",4.15,1.61,6.6815,0.136182742768179,0,0.15074344119663,0.00689781315180229,100
"2014-06-25","Nigeria","Argentina","Honduras","Switzerland","A","D",1.43,4.41,6.3063,0.1446163572014,0,0.158886137096662,0.00897681534665185,100
"2014-06-25","Ecuador","France","Honduras","Switzerland","A","D",1.61,4.41,7.1001,0.128456180422995,0,0.142308260048961,0.00570525866456783,100
"2014-06-26","Algeria","Russia","South Korea","Belgium","A","D",2.02,3.54,7.1508,0.12753847755319,0,0.141331191120946,0.00552953835102891,100
"2014-06-26","Algeria","Russia","Portugal","Ghana","D","H",3.64,1.77,6.4428,0.141681791571377,1,0.155858171858843,0.00846048896558105,100
"2014-06-26","South Korea","Belgium","Portugal","Ghana","A","A",1.84,3.7,6.808,0.134188916324886,0,0.148123858337133,0.00701337524452232,100
"2014-06-29","Costa Rica","Greece","Netherlands","Mexico","D","H",3.08,2.12,6.5296,0.139483811122471,1,0.153971972441784,0.00769684272049703,100
"2014-07-01","Argentina","Switzerland","Belgium","USA","H","A",1.56,3.98,6.2088,0.146701817484481,0,0.161095785740211,0.00926814551638444,100
"2014-07-05","Argentina","Belgium","Netherlands","Costa Rica","A","H",4.12,1.52,6.2624,0.145850285552162,0,0.159876184517416,0.00945693564671998,100
