"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat"
2006-06-09,"Germany","Costa Rica","Poland","Ecuador","D","H","5.04","1.93",9.7272,0
2006-06-09,"Germany","Costa Rica","Poland","Ecuador","A","H","12.03","1.93",23.2179,0
2006-06-09,"Germany","Costa Rica","Poland","Ecuador","D","D","5.04","3.25",16.38,0
2006-06-09,"Germany","Costa Rica","Poland","Ecuador","A","D","12.03","3.25",39.0975,0
2006-06-09,"Germany","Costa Rica","Poland","Ecuador","D","A","5.04","4.05",20.412,0
2006-06-09,"Germany","Costa Rica","Poland","Ecuador","A","A","12.03","4.05",48.7215,0
2006-06-10,"Argentina","Ivory Coast","England","Paraguay","A","H","6.75","1.61",10.8675,0
2006-06-10,"Argentina","Ivory Coast","England","Paraguay","D","D","3.6","3.38",12.168,0
2006-06-10,"Argentina","Ivory Coast","England","Paraguay","A","D","6.75","3.38",22.815,0
2006-06-10,"Argentina","Ivory Coast","England","Paraguay","H","A","1.6","6.2",9.92,0
2006-06-10,"Argentina","Ivory Coast","England","Paraguay","D","A","3.6","6.2",22.32,0
2006-06-10,"Argentina","Ivory Coast","England","Paraguay","A","A","6.75","6.2",41.85,0
2006-06-10,"Argentina","Ivory Coast","Trinidad & Tobago","Sweden","H","H","1.6","16",25.6,1
2006-06-10,"Argentina","Ivory Coast","Trinidad & Tobago","Sweden","D","H","3.6","16",57.6,0
2006-06-10,"Argentina","Ivory Coast","Trinidad & Tobago","Sweden","A","H","6.75","16",108,0
2006-06-10,"Argentina","Ivory Coast","Trinidad & Tobago","Sweden","H","D","1.6","5.65",9.04,0
2006-06-10,"Argentina","Ivory Coast","Trinidad & Tobago","Sweden","D","D","3.6","5.65",20.34,0
2006-06-10,"Argentina","Ivory Coast","Trinidad & Tobago","Sweden","A","D","6.75","5.65",38.1375,0
2006-06-10,"Argentina","Ivory Coast","Trinidad & Tobago","Sweden","A","A","6.75","1.23",8.3025,0
2006-06-10,"England","Paraguay","Trinidad & Tobago","Sweden","H","H","1.61","16",25.76,1
2006-06-10,"England","Paraguay","Trinidad & Tobago","Sweden","D","H","3.38","16",54.08,0
2006-06-10,"England","Paraguay","Trinidad & Tobago","Sweden","A","H","6.2","16",99.2,0
2006-06-10,"England","Paraguay","Trinidad & Tobago","Sweden","H","D","1.61","5.65",9.0965,0
2006-06-10,"England","Paraguay","Trinidad & Tobago","Sweden","D","D","3.38","5.65",19.097,0
2006-06-10,"England","Paraguay","Trinidad & Tobago","Sweden","A","D","6.2","5.65",35.03,0
2006-06-11,"Angola","Portugal","Serbia and Montenegro","Netherlands","H","H","9","4.19",37.71,0
2006-06-11,"Angola","Portugal","Serbia and Montenegro","Netherlands","D","H","3.75","4.19",15.7125,0
2006-06-11,"Angola","Portugal","Serbia and Montenegro","Netherlands","H","D","9","3.12",28.08,0
2006-06-11,"Angola","Portugal","Serbia and Montenegro","Netherlands","D","D","3.75","3.12",11.7,0
2006-06-11,"Angola","Portugal","Serbia and Montenegro","Netherlands","H","A","9","1.88",16.92,0
2006-06-12,"Australia","Japan","Italy","Ghana","H","D","2.48","3.4",8.432,0
2006-06-12,"Australia","Japan","Italy","Ghana","D","D","3.13","3.4",10.642,0
2006-06-12,"Australia","Japan","Italy","Ghana","A","D","2.88","3.4",9.792,0
2006-06-12,"Australia","Japan","Italy","Ghana","H","A","2.48","6.75",16.74,0
2006-06-12,"Australia","Japan","Italy","Ghana","D","A","3.13","6.75",21.1275,0
2006-06-12,"Australia","Japan","Italy","Ghana","A","A","2.88","6.75",19.44,0
2006-06-12,"Australia","Japan","USA","Czech Republic","H","H","2.48","4.1",10.168,1
2006-06-12,"Australia","Japan","USA","Czech Republic","D","H","3.13","4.1",12.833,0
2006-06-12,"Australia","Japan","USA","Czech Republic","A","H","2.88","4.1",11.808,0
2006-06-12,"Australia","Japan","USA","Czech Republic","D","D","3.13","3.25",10.1725,0
2006-06-12,"Australia","Japan","USA","Czech Republic","A","D","2.88","3.25",9.36,0
2006-06-12,"Italy","Ghana","USA","Czech Republic","D","H","3.4","4.1",13.94,0
2006-06-12,"Italy","Ghana","USA","Czech Republic","A","H","6.75","4.1",27.675,0
2006-06-12,"Italy","Ghana","USA","Czech Republic","D","D","3.4","3.25",11.05,0
2006-06-12,"Italy","Ghana","USA","Czech Republic","A","D","6.75","3.25",21.9375,0
2006-06-12,"Italy","Ghana","USA","Czech Republic","A","A","6.75","1.88",12.69,0
2006-06-13,"France","Switzerland","South Korea","Togo","A","H","5.4","1.97",10.638,0
2006-06-13,"France","Switzerland","South Korea","Togo","D","D","3.25","3.09",10.0425,0
2006-06-13,"France","Switzerland","South Korea","Togo","A","D","5.4","3.09",16.686,0
2006-06-13,"France","Switzerland","South Korea","Togo","D","A","3.25","3.63",11.7975,0
2006-06-13,"France","Switzerland","South Korea","Togo","A","A","5.4","3.63",19.602,0
2006-06-13,"France","Switzerland","Brazil","Croatia","D","D","3.25","3.5",11.375,0
2006-06-13,"France","Switzerland","Brazil","Croatia","A","D","5.4","3.5",18.9,0
2006-06-13,"France","Switzerland","Brazil","Croatia","H","A","1.66","8",13.28,0
2006-06-13,"France","Switzerland","Brazil","Croatia","D","A","3.25","8",26,0
2006-06-13,"France","Switzerland","Brazil","Croatia","A","A","5.4","8",43.2,0
2006-06-13,"South Korea","Togo","Brazil","Croatia","D","D","3.09","3.5",10.815,0
2006-06-13,"South Korea","Togo","Brazil","Croatia","A","D","3.63","3.5",12.705,0
2006-06-13,"South Korea","Togo","Brazil","Croatia","H","A","1.97","8",15.76,0
2006-06-13,"South Korea","Togo","Brazil","Croatia","D","A","3.09","8",24.72,0
2006-06-13,"South Korea","Togo","Brazil","Croatia","A","A","3.63","8",29.04,0
2006-06-15,"England","Trinidad & Tobago","Sweden","Paraguay","D","H","6.38","1.93",12.3134,0
2006-06-15,"England","Trinidad & Tobago","Sweden","Paraguay","A","H","22","1.93",42.46,0
2006-06-15,"England","Trinidad & Tobago","Sweden","Paraguay","D","D","6.38","3.18",20.2884,0
2006-06-15,"England","Trinidad & Tobago","Sweden","Paraguay","A","D","22","3.18",69.96,0
2006-06-15,"England","Trinidad & Tobago","Sweden","Paraguay","D","A","6.38","3.97",25.3286,0
2006-06-15,"England","Trinidad & Tobago","Sweden","Paraguay","A","A","22","3.97",87.34,0
2006-06-15,"England","Trinidad & Tobago","Ecuador","Costa Rica","D","H","6.38","1.93",12.3134,0
2006-06-15,"England","Trinidad & Tobago","Ecuador","Costa Rica","A","H","22","1.93",42.46,0
2006-06-15,"England","Trinidad & Tobago","Ecuador","Costa Rica","D","D","6.38","3.18",20.2884,0
2006-06-15,"England","Trinidad & Tobago","Ecuador","Costa Rica","A","D","22","3.18",69.96,0
2006-06-15,"England","Trinidad & Tobago","Ecuador","Costa Rica","D","A","6.38","3.97",25.3286,0
2006-06-15,"England","Trinidad & Tobago","Ecuador","Costa Rica","A","A","22","3.97",87.34,0
2006-06-15,"Sweden","Paraguay","Ecuador","Costa Rica","D","D","3.18","3.18",10.1124,0
2006-06-15,"Sweden","Paraguay","Ecuador","Costa Rica","A","D","3.97","3.18",12.6246,0
2006-06-15,"Sweden","Paraguay","Ecuador","Costa Rica","D","A","3.18","3.97",12.6246,0
2006-06-15,"Sweden","Paraguay","Ecuador","Costa Rica","A","A","3.97","3.97",15.7609,0
2006-06-16,"Mexico","Angola","Netherlands","Ivory Coast","A","H","8","1.93",15.44,0
2006-06-16,"Mexico","Angola","Netherlands","Ivory Coast","D","D","3.5","3.2",11.2,0
2006-06-16,"Mexico","Angola","Netherlands","Ivory Coast","A","D","8","3.2",25.6,0
2006-06-16,"Mexico","Angola","Netherlands","Ivory Coast","D","A","3.5","3.93",13.755,0
2006-06-16,"Mexico","Angola","Netherlands","Ivory Coast","A","A","8","3.93",31.44,0
2006-06-17,"Czech Republic","Ghana","Portugal","Iran","D","D","3.3","4",13.2,0
2006-06-17,"Czech Republic","Ghana","Portugal","Iran","A","D","5","4",20,0
2006-06-17,"Czech Republic","Ghana","Portugal","Iran","H","A","1.61","9.5",15.295,0
2006-06-17,"Czech Republic","Ghana","Portugal","Iran","D","A","3.3","9.5",31.35,0
2006-06-17,"Czech Republic","Ghana","Portugal","Iran","A","A","5","9.5",47.5,0
2006-06-18,"France","South Korea","Brazil","Australia","A","H","7","1.2",8.4,0
2006-06-18,"France","South Korea","Brazil","Australia","D","D","3.5","5",17.5,0
2006-06-18,"France","South Korea","Brazil","Australia","A","D","7","5",35,0
2006-06-18,"France","South Korea","Brazil","Australia","H","A","1.44","11",15.84,0
2006-06-18,"France","South Korea","Brazil","Australia","D","A","3.5","11",38.5,0
2006-06-18,"France","South Korea","Brazil","Australia","A","A","7","11",77,0
2006-06-18,"France","South Korea","Japan","Croatia","D","H","3.5","5",17.5,1
2006-06-18,"France","South Korea","Japan","Croatia","A","H","7","5",35,0
2006-06-18,"France","South Korea","Japan","Croatia","D","D","3.5","3.3",11.55,0
2006-06-18,"France","South Korea","Japan","Croatia","A","D","7","3.3",23.1,0
2006-06-18,"France","South Korea","Japan","Croatia","A","A","7","1.61",11.27,0
2006-06-18,"Brazil","Australia","Japan","Croatia","D","H","5","5",25,1
2006-06-18,"Brazil","Australia","Japan","Croatia","A","H","11","5",55,0
2006-06-18,"Brazil","Australia","Japan","Croatia","D","D","5","3.3",16.5,0
2006-06-18,"Brazil","Australia","Japan","Croatia","A","D","11","3.3",36.3,0
2006-06-18,"Brazil","Australia","Japan","Croatia","A","A","11","1.61",17.71,0
2006-06-19,"Saudi Arabia","Ukraine","Spain","Tunisia","H","H","7","1.3",9.1,0
2006-06-19,"Saudi Arabia","Ukraine","Spain","Tunisia","H","D","7","4",28,0
2006-06-19,"Saudi Arabia","Ukraine","Spain","Tunisia","D","D","3.75","4",15,0
2006-06-19,"Saudi Arabia","Ukraine","Spain","Tunisia","H","A","7","9.5",66.5,0
2006-06-19,"Saudi Arabia","Ukraine","Spain","Tunisia","D","A","3.75","9.5",35.625,0
2006-06-19,"Saudi Arabia","Ukraine","Spain","Tunisia","A","A","1.4","9.5",13.3,0
2006-06-19,"Saudi Arabia","Ukraine","Togo","Switzerland","H","H","7","6.5",45.5,0
2006-06-19,"Saudi Arabia","Ukraine","Togo","Switzerland","D","H","3.75","6.5",24.375,0
2006-06-19,"Saudi Arabia","Ukraine","Togo","Switzerland","A","H","1.4","6.5",9.1,1
2006-06-19,"Saudi Arabia","Ukraine","Togo","Switzerland","H","D","7","3.6",25.2,0
2006-06-19,"Saudi Arabia","Ukraine","Togo","Switzerland","D","D","3.75","3.6",13.5,0
2006-06-19,"Saudi Arabia","Ukraine","Togo","Switzerland","H","A","7","1.44",10.08,0
2006-06-19,"Spain","Tunisia","Togo","Switzerland","H","H","1.3","6.5",8.45,0
2006-06-19,"Spain","Tunisia","Togo","Switzerland","D","H","4","6.5",26,0
2006-06-19,"Spain","Tunisia","Togo","Switzerland","A","H","9.5","6.5",61.75,1
2006-06-19,"Spain","Tunisia","Togo","Switzerland","D","D","4","3.6",14.4,0
2006-06-19,"Spain","Tunisia","Togo","Switzerland","A","D","9.5","3.6",34.2,0
2006-06-19,"Spain","Tunisia","Togo","Switzerland","A","A","9.5","1.44",13.68,0
2006-06-20,"Paraguay","Trinidad & Tobago","Sweden","England","D","H","3.75","3.1",11.625,0
2006-06-20,"Paraguay","Trinidad & Tobago","Sweden","England","A","H","3.3","3.1",10.23,0
2006-06-20,"Paraguay","Trinidad & Tobago","Sweden","England","D","D","3.75","2.62",9.825,0
2006-06-20,"Paraguay","Trinidad & Tobago","Sweden","England","A","D","3.3","2.62",8.646,0
2006-06-20,"Paraguay","Trinidad & Tobago","Sweden","England","D","A","3.75","2.37",8.8875,0
2006-06-20,"Paraguay","Trinidad & Tobago","Costa Rica","Poland","H","H","1.8","4.75",8.55,0
2006-06-20,"Paraguay","Trinidad & Tobago","Costa Rica","Poland","D","H","3.75","4.75",17.8125,0
2006-06-20,"Paraguay","Trinidad & Tobago","Costa Rica","Poland","A","H","3.3","4.75",15.675,0
2006-06-20,"Paraguay","Trinidad & Tobago","Costa Rica","Poland","D","D","3.75","3.45",12.9375,0
2006-06-20,"Paraguay","Trinidad & Tobago","Costa Rica","Poland","A","D","3.3","3.45",11.385,0
2006-06-20,"Sweden","England","Costa Rica","Poland","H","H","3.1","4.75",14.725,0
2006-06-20,"Sweden","England","Costa Rica","Poland","D","H","2.62","4.75",12.445,0
2006-06-20,"Sweden","England","Costa Rica","Poland","A","H","2.37","4.75",11.2575,0
2006-06-20,"Sweden","England","Costa Rica","Poland","H","D","3.1","3.45",10.695,1
2006-06-20,"Sweden","England","Costa Rica","Poland","D","D","2.62","3.45",9.039,0
2006-06-20,"Sweden","England","Costa Rica","Poland","A","D","2.37","3.45",8.1765,0
2006-06-21,"Iran","Angola","Portugal","Mexico","D","D","3.1","2.62",8.122,0
2006-06-21,"Iran","Angola","Portugal","Mexico","H","A","2.4","3.5",8.4,0
2006-06-21,"Iran","Angola","Portugal","Mexico","D","A","3.1","3.5",10.85,0
2006-06-21,"Iran","Angola","Portugal","Mexico","A","A","2.6","3.5",9.1,0
2006-06-21,"Iran","Angola","Ivory Coast","Serbia and Montenegro","D","D","3.1","3.2",9.92,0
2006-06-21,"Iran","Angola","Ivory Coast","Serbia and Montenegro","A","D","2.6","3.2",8.32,0
2006-06-21,"Iran","Angola","Ivory Coast","Serbia and Montenegro","D","A","3.1","3",9.3,0
2006-06-21,"Iran","Angola","Netherlands","Argentina","H","H","2.4","3.4",8.16,0
2006-06-21,"Iran","Angola","Netherlands","Argentina","D","H","3.1","3.4",10.54,1
2006-06-21,"Iran","Angola","Netherlands","Argentina","A","H","2.6","3.4",8.84,0
2006-06-21,"Iran","Angola","Netherlands","Argentina","D","D","3.1","3",9.3,0
2006-06-21,"Portugal","Mexico","Ivory Coast","Serbia and Montenegro","D","D","2.62","3.2",8.384,0
2006-06-21,"Portugal","Mexico","Ivory Coast","Serbia and Montenegro","A","D","3.5","3.2",11.2,0
2006-06-21,"Portugal","Mexico","Ivory Coast","Serbia and Montenegro","A","A","3.5","3",10.5,0
2006-06-21,"Portugal","Mexico","Netherlands","Argentina","D","H","2.62","3.4",8.908,1
2006-06-21,"Portugal","Mexico","Netherlands","Argentina","A","H","3.5","3.4",11.9,0
2006-06-21,"Portugal","Mexico","Netherlands","Argentina","A","D","3.5","3",10.5,0
2006-06-21,"Ivory Coast","Serbia and Montenegro","Netherlands","Argentina","D","H","3.2","3.4",10.88,1
2006-06-21,"Ivory Coast","Serbia and Montenegro","Netherlands","Argentina","A","H","3","3.4",10.2,0
2006-06-21,"Ivory Coast","Serbia and Montenegro","Netherlands","Argentina","D","D","3.2","3",9.6,0
2006-06-21,"Ivory Coast","Serbia and Montenegro","Netherlands","Argentina","A","D","3","3",9,0
2006-06-22,"Croatia","Australia","Japan","Brazil","H","H","2.22","12",26.64,0
2006-06-22,"Croatia","Australia","Japan","Brazil","D","H","3.22","12",38.64,0
2006-06-22,"Croatia","Australia","Japan","Brazil","A","H","3","12",36,0
2006-06-22,"Croatia","Australia","Japan","Brazil","H","D","2.22","5.25",11.655,0
2006-06-22,"Croatia","Australia","Japan","Brazil","D","D","3.22","5.25",16.905,0
2006-06-22,"Croatia","Australia","Japan","Brazil","A","D","3","5.25",15.75,0
2006-06-22,"Croatia","Australia","Czech Republic","Italy","H","H","2.22","3.95",8.769,0
2006-06-22,"Croatia","Australia","Czech Republic","Italy","D","H","3.22","3.95",12.719,0
2006-06-22,"Croatia","Australia","Czech Republic","Italy","A","H","3","3.95",11.85,0
2006-06-22,"Croatia","Australia","Czech Republic","Italy","D","D","3.22","3.15",10.143,0
2006-06-22,"Croatia","Australia","Czech Republic","Italy","A","D","3","3.15",9.45,0
2006-06-22,"Croatia","Australia","Ghana","USA","D","D","3.22","3.25",10.465,0
2006-06-22,"Croatia","Australia","Ghana","USA","A","D","3","3.25",9.75,0
2006-06-22,"Croatia","Australia","Ghana","USA","D","A","3.22","2.75",8.855,1
2006-06-22,"Croatia","Australia","Ghana","USA","A","A","3","2.75",8.25,0
2006-06-22,"Japan","Brazil","Czech Republic","Italy","H","H","12","3.95",47.4,0
2006-06-22,"Japan","Brazil","Czech Republic","Italy","D","H","5.25","3.95",20.7375,0
2006-06-22,"Japan","Brazil","Czech Republic","Italy","H","D","12","3.15",37.8,0
2006-06-22,"Japan","Brazil","Czech Republic","Italy","D","D","5.25","3.15",16.5375,0
2006-06-22,"Japan","Brazil","Czech Republic","Italy","H","A","12","1.95",23.4,0
2006-06-22,"Japan","Brazil","Czech Republic","Italy","D","A","5.25","1.95",10.2375,1
2006-06-22,"Japan","Brazil","Ghana","USA","H","H","12","2.2",26.4,0
2006-06-22,"Japan","Brazil","Ghana","USA","D","H","5.25","2.2",11.55,0
2006-06-22,"Japan","Brazil","Ghana","USA","H","D","12","3.25",39,0
2006-06-22,"Japan","Brazil","Ghana","USA","D","D","5.25","3.25",17.0625,0
2006-06-22,"Japan","Brazil","Ghana","USA","H","A","12","2.75",33,0
2006-06-22,"Japan","Brazil","Ghana","USA","D","A","5.25","2.75",14.4375,1
2006-06-22,"Czech Republic","Italy","Ghana","USA","H","H","3.95","2.2",8.69,0
2006-06-22,"Czech Republic","Italy","Ghana","USA","H","D","3.95","3.25",12.8375,0
2006-06-22,"Czech Republic","Italy","Ghana","USA","D","D","3.15","3.25",10.2375,0
2006-06-22,"Czech Republic","Italy","Ghana","USA","H","A","3.95","2.75",10.8625,0
2006-06-22,"Czech Republic","Italy","Ghana","USA","D","A","3.15","2.75",8.6625,1
2006-06-23,"Saudi Arabia","Spain","Ukraine","Tunisia","H","H","16.24","1.61",26.1464,0
2006-06-23,"Saudi Arabia","Spain","Ukraine","Tunisia","D","H","6.69","1.61",10.7709,0
2006-06-23,"Saudi Arabia","Spain","Ukraine","Tunisia","H","D","16.24","3.55",57.652,0
2006-06-23,"Saudi Arabia","Spain","Ukraine","Tunisia","D","D","6.69","3.55",23.7495,0
2006-06-23,"Saudi Arabia","Spain","Ukraine","Tunisia","H","A","16.24","6.1",99.064,0
2006-06-23,"Saudi Arabia","Spain","Ukraine","Tunisia","D","A","6.69","6.1",40.809,0
2006-06-23,"Saudi Arabia","Spain","Switzerland","South Korea","H","H","16.24","2.02",32.8048,0
2006-06-23,"Saudi Arabia","Spain","Switzerland","South Korea","D","H","6.69","2.02",13.5138,0
2006-06-23,"Saudi Arabia","Spain","Switzerland","South Korea","H","D","16.24","2.89",46.9336,0
2006-06-23,"Saudi Arabia","Spain","Switzerland","South Korea","D","D","6.69","2.89",19.3341,0
2006-06-23,"Saudi Arabia","Spain","Switzerland","South Korea","H","A","16.24","4.3",69.832,0
2006-06-23,"Saudi Arabia","Spain","Switzerland","South Korea","D","A","6.69","4.3",28.767,0
2006-06-23,"Saudi Arabia","Spain","Togo","France","D","H","6.69","16.05",107.3745,0
2006-06-23,"Saudi Arabia","Spain","Togo","France","A","H","1.15","16.05",18.4575,1
2006-06-23,"Saudi Arabia","Spain","Togo","France","H","D","16.24","7.2",116.928,0
2006-06-23,"Saudi Arabia","Spain","Togo","France","D","D","6.69","7.2",48.168,0
2006-06-23,"Saudi Arabia","Spain","Togo","France","A","D","1.15","7.2",8.28,0
2006-06-23,"Saudi Arabia","Spain","Togo","France","H","A","16.24","1.14",18.5136,0
2006-06-23,"Ukraine","Tunisia","Switzerland","South Korea","A","H","6.1","2.02",12.322,1
2006-06-23,"Ukraine","Tunisia","Switzerland","South Korea","D","D","3.55","2.89",10.2595,0
2006-06-23,"Ukraine","Tunisia","Switzerland","South Korea","A","D","6.1","2.89",17.629,0
2006-06-23,"Ukraine","Tunisia","Switzerland","South Korea","D","A","3.55","4.3",15.265,0
2006-06-23,"Ukraine","Tunisia","Switzerland","South Korea","A","A","6.1","4.3",26.23,0
2006-06-23,"Ukraine","Tunisia","Togo","France","H","H","1.61","16.05",25.8405,0
2006-06-23,"Ukraine","Tunisia","Togo","France","D","H","3.55","16.05",56.9775,0
2006-06-23,"Ukraine","Tunisia","Togo","France","A","H","6.1","16.05",97.905,1
2006-06-23,"Ukraine","Tunisia","Togo","France","H","D","1.61","7.2",11.592,0
2006-06-23,"Ukraine","Tunisia","Togo","France","D","D","3.55","7.2",25.56,0
2006-06-23,"Ukraine","Tunisia","Togo","France","A","D","6.1","7.2",43.92,0
2006-06-23,"Switzerland","South Korea","Togo","France","H","H","2.02","16.05",32.421,0
2006-06-23,"Switzerland","South Korea","Togo","France","D","H","2.89","16.05",46.3845,0
2006-06-23,"Switzerland","South Korea","Togo","France","A","H","4.3","16.05",69.015,1
2006-06-23,"Switzerland","South Korea","Togo","France","H","D","2.02","7.2",14.544,0
2006-06-23,"Switzerland","South Korea","Togo","France","D","D","2.89","7.2",20.808,0
2006-06-23,"Switzerland","South Korea","Togo","France","A","D","4.3","7.2",30.96,0
2006-06-24,"Argentina","Mexico","Germany","Sweden","A","H","10.15","1.63",16.5445,0
2006-06-24,"Argentina","Mexico","Germany","Sweden","D","D","4.22","3.51",14.8122,0
2006-06-24,"Argentina","Mexico","Germany","Sweden","A","D","10.15","3.51",35.6265,0
2006-06-24,"Argentina","Mexico","Germany","Sweden","D","A","4.22","5.73",24.1806,0
2006-06-24,"Argentina","Mexico","Germany","Sweden","A","A","10.15","5.73",58.1595,0
2006-06-25,"England","Ecuador","Portugal","Netherlands","D","H","3.78","3.11",11.7558,0
2006-06-25,"England","Ecuador","Portugal","Netherlands","A","H","6.99","3.11",21.7389,0
2006-06-25,"England","Ecuador","Portugal","Netherlands","D","D","3.78","3.05",11.529,0
2006-06-25,"England","Ecuador","Portugal","Netherlands","A","D","6.99","3.05",21.3195,0
2006-06-25,"England","Ecuador","Portugal","Netherlands","D","A","3.78","2.38",8.9964,0
2006-06-25,"England","Ecuador","Portugal","Netherlands","A","A","6.99","2.38",16.6362,0
2006-06-26,"Italy","Australia","Switzerland","Ukraine","D","H","3.72","2.4",8.928,0
2006-06-26,"Italy","Australia","Switzerland","Ukraine","A","H","6.94","2.4",16.656,0
2006-06-26,"Italy","Australia","Switzerland","Ukraine","D","D","3.72","3.01",11.1972,0
2006-06-26,"Italy","Australia","Switzerland","Ukraine","A","D","6.94","3.01",20.8894,0
2006-06-26,"Italy","Australia","Switzerland","Ukraine","D","A","3.72","3.14",11.6808,0
2006-06-26,"Italy","Australia","Switzerland","Ukraine","A","A","6.94","3.14",21.7916,0
2006-06-27,"Brazil","Ghana","Spain","France","D","H","5.27","2.33",12.2791,0
2006-06-27,"Brazil","Ghana","Spain","France","A","H","11.11","2.33",25.8863,0
2006-06-27,"Brazil","Ghana","Spain","France","D","D","5.27","3",15.81,0
2006-06-27,"Brazil","Ghana","Spain","France","A","D","11.11","3",33.33,0
2006-06-27,"Brazil","Ghana","Spain","France","D","A","5.27","3.19",16.8113,0
2006-06-27,"Brazil","Ghana","Spain","France","A","A","11.11","3.19",35.4409,0
2006-06-30,"Germany","Argentina","Italy","Ukraine","H","D","2.55","3.4",8.67,0
2006-06-30,"Germany","Argentina","Italy","Ukraine","D","D","3","3.4",10.2,0
2006-06-30,"Germany","Argentina","Italy","Ukraine","A","D","2.89","3.4",9.826,0
2006-06-30,"Germany","Argentina","Italy","Ukraine","H","A","2.55","6.86",17.493,0
2006-06-30,"Germany","Argentina","Italy","Ukraine","D","A","3","6.86",20.58,0
2006-06-30,"Germany","Argentina","Italy","Ukraine","A","A","2.89","6.86",19.8254,0
2006-07-01,"Brazil","France","England","Portugal","A","H","5.06","2.11",10.6766,0
