Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
11.05.2008,Birmingham,Blackburn,4:01,H,2.36,3.26,3.03
11.05.2008,Chelsea,Bolton,1:01,D,1.14,7.01,16.65
11.05.2008,Derby,Reading,0:04,A,5.1,3.74,1.62
11.05.2008,Everton,Newcastle,3:01,H,1.76,3.37,4.69
11.05.2008,Middlesbrough,Manchester City,8:01,H,2.01,3.24,3.68
11.05.2008,Portsmouth,Fulham,0:01,A,2.9,3.37,2.36
11.05.2008,Sunderland,Arsenal,0:01,A,3.98,3.38,1.88
11.05.2008,Tottenham,Liverpool,0:02,A,2.52,3.21,2.71
11.05.2008,West Ham,Aston Villa,2:02,D,3.09,3.35,2.2
11.05.2008,Wigan,Manchester United,0:02,A,12.15,5.78,1.22
05.05.2008,Newcastle,Chelsea,0:02,A,6,3.85,1.54
04.05.2008,Arsenal,Everton,1:00,H,1.61,3.56,5.88
04.05.2008,Liverpool,Manchester City,1:00,H,1.66,3.6,5.98
03.05.2008,Aston Villa,Wigan,0:02,A,1.5,3.8,6.94
03.05.2008,Blackburn,Derby,3:01,H,1.24,5.25,12.28
03.05.2008,Bolton,Sunderland,2:00,H,1.67,3.51,5.25
03.05.2008,Fulham,Birmingham,2:00,H,2.02,3.44,6.04
03.05.2008,Manchester United,West Ham,4:01,H,1.17,6.35,15.8
03.05.2008,Middlesbrough,Portsmouth,2:00,H,1.86,3.36,4.22
03.05.2008,Reading,Tottenham,0:01,A,2.32,3.27,2.96
28.04.2008,Derby,Arsenal,2:06,A,10.99,5.12,1.27
27.04.2008,Everton,Aston Villa,2:02,D,2.34,3.2,2.99
27.04.2008,Portsmouth,Blackburn,0:01,A,2.28,3.13,3.31
26.04.2008,Birmingham,Liverpool,2:02,D,3.37,2.92,2.73
26.04.2008,Chelsea,Manchester United,2:01,H,2.41,3.08,2.97
26.04.2008,Manchester City,Fulham,2:03,A,2.08,3.1,4.66
26.04.2008,Sunderland,Middlesbrough,3:02,H,2.27,3.1,3.19
26.04.2008,Tottenham,Bolton,1:01,D,1.75,3.52,4.53
26.04.2008,West Ham,Newcastle,2:02,D,2.51,3.23,2.73
26.04.2008,Wigan,Reading,0:00,D,2.01,3.26,3.72
20.04.2008,Aston Villa,Birmingham,5:01,H,1.73,3.41,4.95
20.04.2008,Manchester City,Portsmouth,3:01,H,2.35,3.2,2.98
20.04.2008,Newcastle,Sunderland,2:00,H,1.84,3.34,4.29
19.04.2008,Arsenal,Reading,2:00,H,1.29,4.94,10.19
19.04.2008,Blackburn,Manchester United,1:01,D,5.93,3.69,1.57
19.04.2008,Fulham,Liverpool,0:02,A,3.3,3.25,2.18
19.04.2008,Middlesbrough,Bolton,0:01,A,2.04,3.28,3.57
19.04.2008,West Ham,Derby,2:01,H,1.4,4.25,8.3
19.04.2008,Wigan,Tottenham,1:01,D,2.52,3.25,2.71
17.04.2008,Everton,Chelsea,0:01,A,3.52,3.25,2.07
14.04.2008,Chelsea,Wigan,1:01,D,1.21,5.58,13.52
13.04.2008,Liverpool,Blackburn,3:01,H,1.49,3.79,7.11
13.04.2008,Manchester United,Arsenal,2:01,H,1.78,3.42,4.52
12.04.2008,Birmingham,Everton,1:01,D,2.89,3.22,2.39
12.04.2008,Bolton,West Ham,1:00,H,2.06,3.29,3.51
12.04.2008,Derby,Aston Villa,0:06,A,5.87,3.68,1.58
12.04.2008,Portsmouth,Newcastle,0:00,D,2.11,3.27,3.4
12.04.2008,Reading,Fulham,0:02,A,1.88,3.35,4.12
12.04.2008,Sunderland,Manchester City,1:02,A,2.19,3.16,3.44
12.04.2008,Tottenham,Middlesbrough,1:01,D,1.68,3.53,5.11
08.04.2008,West Ham,Portsmouth,0:01,A,2.26,3.25,3.07
06.04.2008,Everton,Derby,1:00,H,1.24,5.41,12.03
06.04.2008,Middlesbrough,Manchester United,2:02,D,7.48,4.15,1.42
05.04.2008,Arsenal,Liverpool,1:01,D,1.88,3.24,4.37
05.04.2008,Aston Villa,Bolton,4:00,H,1.72,3.45,4.89
05.04.2008,Blackburn,Tottenham,1:01,D,2.36,3.25,2.91
05.04.2008,Fulham,Sunderland,1:03,A,2.54,3.24,3.01
05.04.2008,Manchester City,Chelsea,0:02,A,4.86,3.45,1.72
05.04.2008,Newcastle,Reading,3:00,H,1.76,3.46,4.61
05.04.2008,Wigan,Birmingham,2:00,H,1.99,3.49,5.26
30.03.2008,Chelsea,Middlesbrough,1:00,H,1.27,5.06,11.38
30.03.2008,Liverpool,Everton,1:00,H,1.77,3.36,4.85
30.03.2008,Tottenham,Newcastle,1:04,A,1.59,3.73,5.74
29.03.2008,Birmingham,Manchester City,3:01,H,2.38,3.19,2.95
29.03.2008,Bolton,Arsenal,2:03,A,5.07,3.45,1.72
29.03.2008,Derby,Fulham,2:02,D,2.97,3.23,2.35
29.03.2008,Manchester United,Aston Villa,4:00,H,1.31,4.72,10.2
29.03.2008,Portsmouth,Wigan,2:00,H,1.78,3.38,4.66
29.03.2008,Reading,Blackburn,0:00,D,2.37,3.23,2.94
29.03.2008,Sunderland,West Ham,2:01,H,2.22,3.1,3.41
23.03.2008,Chelsea,Arsenal,2:01,H,2.2,3.15,3.34
23.03.2008,Manchester United,Liverpool,3:00,H,1.79,3.91,10.04
22.03.2008,Aston Villa,Sunderland,0:01,A,1.61,3.51,6.26
22.03.2008,Blackburn,Wigan,3:01,H,1.84,3.28,4.53
22.03.2008,Bolton,Manchester City,0:00,D,2.44,3.03,3.06
22.03.2008,Everton,West Ham,1:01,D,1.59,3.8,6.97
22.03.2008,Middlesbrough,Derby,1:00,H,1.43,4.07,8.41
22.03.2008,Newcastle,Fulham,2:00,H,1.81,3.35,4.54
22.03.2008,Reading,Birmingham,2:01,H,2.03,3.25,3.64
22.03.2008,Tottenham,Portsmouth,2:00,H,1.8,3.27,4.76
19.03.2008,Manchester United,Bolton,2:00,H,1.13,8.61,26.64
19.03.2008,Tottenham,Chelsea,4:04,D,4.46,3.42,1.95
17.03.2008,Birmingham,Newcastle,1:01,D,2.24,3.23,3.11
16.03.2008,Fulham,Everton,1:00,H,3.38,3.21,2.16
16.03.2008,Manchester City,Tottenham,2:01,H,3.9,3.31,2.28
16.03.2008,Wigan,Bolton,1:00,H,2.33,3.16,3.18
15.03.2008,Arsenal,Middlesbrough,1:01,D,2.68,4.49,10.29
15.03.2008,Derby,Manchester United,0:01,A,23.76,6.82,1.15
15.03.2008,Liverpool,Reading,2:01,H,1.22,5.82,22.11
15.03.2008,Portsmouth,Aston Villa,2:00,H,2.16,4.24,8.34
15.03.2008,Sunderland,Chelsea,0:01,A,22.25,4.7,1.38
15.03.2008,West Ham,Blackburn,2:01,H,2.66,3.03,3.06
12.03.2008,Aston Villa,Middlesbrough,1:01,D,2.19,3.08,6.92
12.03.2008,Chelsea,Derby,6:01,H,1.09,13.83,55.37
12.03.2008,Portsmouth,Birmingham,4:02,H,1.68,4.04,14.19
09.03.2008,Sunderland,Everton,0:01,A,3.26,3.11,2.27
09.03.2008,Tottenham,West Ham,4:00,H,1.7,4.8,12.25
09.03.2008,Wigan,Arsenal,0:00,D,6.33,3.67,1.55
08.03.2008,Blackburn,Fulham,1:01,D,1.6,3.53,6.18
08.03.2008,Liverpool,Newcastle,3:00,H,1.34,5.01,14.36
08.03.2008,Reading,Manchester City,2:00,H,2.47,3.03,2.95
05.03.2008,Liverpool,West Ham,4:00,H,1.33,4.87,12.27
02.03.2008,Bolton,Liverpool,1:03,A,5.51,3.58,1.72
02.03.2008,Everton,Portsmouth,3:01,H,1.89,3.24,4.29
01.03.2008,Arsenal,Aston Villa,1:01,D,1.93,3.46,5.43
01.03.2008,Birmingham,Tottenham,4:01,H,3.26,3.27,2.54
01.03.2008,Derby,Sunderland,0:00,D,3.21,3.14,2.27
01.03.2008,Fulham,Manchester United,0:03,A,18.32,5.61,1.28
01.03.2008,Manchester City,Wigan,0:00,D,1.89,3.13,4.56
01.03.2008,Middlesbrough,Reading,0:01,A,1.87,3.32,4.26
01.03.2008,Newcastle,Blackburn,0:01,A,2.49,3.11,2.9
01.03.2008,West Ham,Chelsea,0:04,A,4.53,3.27,1.84
25.02.2008,Manchester City,Everton,0:02,A,2.5,3.05,2.87
24.02.2008,Blackburn,Bolton,4:01,H,1.79,3.47,5.44
24.02.2008,Reading,Aston Villa,1:02,A,4.37,3.41,2.15
23.02.2008,Birmingham,Arsenal,2:02,D,6.75,3.71,1.53
23.02.2008,Fulham,West Ham,0:01,A,2.61,3.17,2.68
23.02.2008,Liverpool,Middlesbrough,3:02,H,1.38,4.23,8.79
23.02.2008,Newcastle,Manchester United,1:05,A,13.32,5.01,1.41
23.02.2008,Portsmouth,Sunderland,1:00,H,1.63,3.5,5.85
23.02.2008,Wigan,Derby,2:00,H,1.63,3.44,6.07
11.02.2008,Arsenal,Blackburn,2:00,H,2.25,5.21,20.5
10.02.2008,Chelsea,Liverpool,0:00,D,1.92,3.13,4.31
10.02.2008,Manchester United,Manchester City,1:02,A,1.29,4.88,11.26
09.02.2008,Aston Villa,Newcastle,4:01,H,2.24,3.32,4.02
09.02.2008,Bolton,Portsmouth,0:01,A,2.43,3.13,2.93
09.02.2008,Derby,Tottenham,0:03,A,6.5,3.84,1.52
09.02.2008,Everton,Reading,1:00,H,1.56,3.65,6.24
09.02.2008,Middlesbrough,Fulham,1:00,H,1.9,3.27,4.16
09.02.2008,Sunderland,Wigan,2:00,H,2.13,3.23,3.44
09.02.2008,West Ham,Birmingham,1:01,D,1.74,3.42,4.93
03.02.2008,Fulham,Aston Villa,2:01,H,3.28,3.13,2.25
03.02.2008,Newcastle,Middlesbrough,1:01,D,1.99,3.23,3.84
02.02.2008,Birmingham,Derby,1:01,D,1.63,3.49,5.78
02.02.2008,Blackburn,Everton,0:00,D,2.36,3.15,3.02
02.02.2008,Liverpool,Sunderland,3:00,H,1.28,4.85,11.13
02.02.2008,Manchester City,Arsenal,1:03,A,4.62,3.4,1.78
02.02.2008,Portsmouth,Chelsea,1:01,D,5.03,3.44,1.72
02.02.2008,Reading,Bolton,0:02,A,2.18,3.25,3.47
02.02.2008,Tottenham,Manchester United,1:01,D,4.26,3.41,1.85
02.02.2008,Wigan,West Ham,1:00,H,2.59,3.2,2.82
30.01.2008,Chelsea,Reading,1:00,H,1.23,5.39,12.94
30.01.2008,Derby,Manchester City,1:01,D,4.69,3.47,1.75
30.01.2008,Everton,Tottenham,0:00,D,2.38,3.2,2.93
30.01.2008,Manchester United,Portsmouth,2:00,H,1.23,5.42,13.62
30.01.2008,West Ham,Liverpool,1:00,H,3.84,3.31,1.95
29.01.2008,Arsenal,Newcastle,3:00,H,1.3,4.7,10.48
29.01.2008,Bolton,Fulham,0:00,D,1.88,3.3,4.13
29.01.2008,Middlesbrough,Wigan,1:00,H,1.94,3.26,3.92
29.01.2008,Sunderland,Birmingham,2:00,H,2.21,3.22,3.18
26.01.2008,Aston Villa,Blackburn,1:01,D,1.98,3.12,4.04
21.01.2008,Liverpool,Aston Villa,2:02,D,1.55,3.7,6.31
20.01.2008,Manchester City,West Ham,1:01,D,1.98,3.38,7.39
20.01.2008,Wigan,Everton,1:02,A,3.07,3.2,2.29
19.01.2008,Birmingham,Chelsea,0:01,A,6.23,3.51,1.59
