Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
26.06.2014,Algeria,Russia,1:1,D,3.6,3.64,2.02
26.06.2014,South Korea,Belgium,0:1,A,4.53,3.54,1.84
26.06.2014,Portugal,Ghana,2:1,H,1.77,4.75,3.7
26.06.2014,USA,Germany,0:1,A,8.07,3.05,1.67
25.06.2014,Bosnia & Herzegovina,Iran,3:1,H,2.2,3.51,3.25
25.06.2014,Nigeria,Argentina,2:3,A,9.25,4.15,1.43
25.06.2014,Ecuador,France,0:0,D,5.51,4.07,1.61
25.06.2014,Honduras,Switzerland,0:3,A,6.97,4.41,1.48
24.06.2014,Costa Rica,England,0:0,D,4.36,3.91,1.78
24.06.2014,Italy,Uruguay,0:1,A,2.54,3.43,2.76
24.06.2014,Greece,Ivory Coast,2:1,H,3.91,3.57,1.95
24.06.2014,Japan,Colombia,1:4,A,3.39,3.68,2.08
23.06.2014,USA,Portugal,2:2,D,4.53,4.02,1.73
23.06.2014,Australia,Spain,0:3,A,7.8,5.19,1.38
23.06.2014,Netherlands,Chile,2:0,H,2.66,3.47,2.6
23.06.2014,Cameroon,Brazil,1:4,A,21.37,9.28,1.12
23.06.2014,Croatia,Mexico,1:3,A,2.68,3.42,2.61
22.06.2014,Belgium,Russia,1:0,H,2.2,3.3,3.43
22.06.2014,South Korea,Algeria,2:4,A,2.5,3.25,2.92
22.06.2014,Nigeria,Bosnia & Herzegovina,1:0,H,4.25,3.59,1.87
21.06.2014,Germany,Ghana,2:2,D,1.33,5.44,8.97
21.06.2014,Argentina,Iran,1:0,H,1.14,8.35,20.74
21.06.2014,Honduras,Ecuador,1:2,A,5.71,4.12,1.59
20.06.2014,Switzerland,France,2:5,A,4.54,3.47,1.86
20.06.2014,Italy,Costa Rica,0:1,A,1.56,3.98,6.51
20.06.2014,Japan,Greece,0:0,D,2.38,3.33,3.06
19.06.2014,Uruguay,England,2:1,H,3.76,3.73,1.95
19.06.2014,Colombia,Ivory Coast,2:1,H,2.02,3.48,3.76
19.06.2014,Cameroon,Croatia,0:4,A,5.46,3.9,1.64
18.06.2014,Russia,South Korea,1:1,D,1.82,3.56,4.59
18.06.2014,Australia,Netherlands,2:3,A,12.91,6.5,1.23
18.06.2014,Spain,Chile,0:2,A,1.57,4.41,5.51
17.06.2014,Belgium,Algeria,2:1,H,1.33,5.14,9.69
17.06.2014,Ghana,USA,1:2,A,2.41,3.38,2.98
17.06.2014,Brazil,Mexico,0:0,D,1.34,5.23,9.01
16.06.2014,Germany,Portugal,4:0,H,2.06,3.5,3.64
16.06.2014,Argentina,Bosnia & Herzegovina,2:1,H,1.31,5.53,10.1
16.06.2014,Iran,Nigeria,0:0,D,4.73,3.44,1.83
15.06.2014,France,Honduras,3:0,H,1.26,5.9,12.14
15.06.2014,Switzerland,Ecuador,2:1,H,2.4,3.2,3.14
15.06.2014,England,Italy,1:2,A,2.5,3,3.21
15.06.2014,Ivory Coast,Japan,2:1,H,2.7,3.28,2.68
14.06.2014,Uruguay,Costa Rica,1:3,A,1.44,4.16,8.91
14.06.2014,Colombia,Greece,3:0,H,1.86,3.23,5.01
14.06.2014,Chile,Australia,3:1,H,1.42,4.39,8.55
13.06.2014,Spain,Netherlands,1:5,A,1.84,3.34,4.95
13.06.2014,Mexico,Cameroon,1:0,H,2.18,3.13,3.72
12.06.2014,Brazil,Croatia,3:1,H,1.31,5.08,11.71
13.07.2014,Germany,Argentina,1:0,D,2.33,3.24,3.32
12.07.2014,Brazil,Netherlands,0:3,A,2.16,3.65,3.27
09.07.2014,Netherlands,Argentina,0:1,D,3.01,3.2,2.51
08.07.2014,Brazil,Germany,1:7,A,2.64,3.14,2.89
05.07.2014,Argentina,Belgium,1:0,H,1.99,3.32,4.12
05.07.2014,Netherlands,Costa Rica,1:0,D,1.52,4.08,6.98
04.07.2014,Brazil,Colombia,2:1,H,1.77,3.72,4.78
04.07.2014,France,Germany,0:1,A,2.79,3.11,2.74
01.07.2014,Argentina,Switzerland,1:0,D,1.56,4.07,6.25
01.07.2014,Belgium,USA,2:1,D,2,3.36,3.98
30.06.2014,France,Nigeria,2:0,H,1.41,4.6,8.44
30.06.2014,Germany,Algeria,2:1,D,1.31,5.52,9.94
29.06.2014,Costa Rica,Greece,2:1,D,2.64,3.08,2.9
29.06.2014,Netherlands,Mexico,2:1,H,2.12,3.29,3.68
28.06.2014,Brazil,Chile,2:1,D,1.52,4.4,6.21
28.06.2014,Colombia,Uruguay,2:0,H,2.13,3.32,3.62
