Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds,,,,,,,
26.06.1998,Argentina,Croatia,1:00,H,1.95,2.7,4.09,,,,,,,
26.06.1998,Japan,Jamaica,1:02,A,1.95,3,3.6,,,,,,,
26.06.1998,Colombia,England,0:02,A,6,3.8,1.45,,,,,,,
26.06.1998,Romania,Tunisia,1:01,D,1.4,4,6,,,,,,,
25.06.1998,Germany,Iran,2:00,H,1.14,6.5,9.99,,,,,,,
25.06.1998,USA,Serbia and Montenegro,0:01,A,9,4.8,1.25,,,,,,,
25.06.1998,Belgium,South Korea,1:01,D,1.27,4.8,9.5,,,,,,,
25.06.1998,Netherlands,Mexico,2:02,D,1.6,3.15,6.5,,,,,,,
24.06.1998,Nigeria,Paraguay,1:03,A,2.25,3.1,2.95,,,,,,,
24.06.1998,Spain,Bulgaria,6:01,H,1.45,4.25,5,,,,,,,
24.06.1998,France,Denmark,2:01,H,1.55,2.85,7.6,,,,,,,
24.06.1998,South Africa,Saudi Arabia,2:02,D,1.55,3.6,6,,,,,,,
23.06.1998,Chile,Cameroon,1:01,D,1.77,3.45,4.5,,,,,,,
23.06.1998,Italy,Austria,2:01,H,1.27,4.59,9.99,,,,,,,
23.06.1998,Brazil,Norway,1:02,A,1.4,4.5,6,,,,,,,
23.06.1998,Scotland,Morocco,0:03,A,1.85,3.35,4,,,,,,,
22.06.1998,Colombia,Tunisia,1:00,H,1.7,3.1,4.84,,,,,,,
22.06.1998,Romania,England,2:01,H,4.59,2.7,1.95,,,,,,,
21.06.1998,Argentina,Jamaica,5:00,H,1.17,6.25,9.99,,,,,,,
21.06.1998,Germany,Serbia and Montenegro,2:02,D,1.75,2.7,5.5,,,,,,,
21.06.1998,USA,Iran,1:02,A,2.1,2.95,3.95,,,,,,,
20.06.1998,Japan,Croatia,0:01,A,9.5,4.4,1.26,,,,,,,
20.06.1998,Belgium,Mexico,2:02,D,2.45,2.65,3.5,,,,,,,
20.06.1998,Netherlands,South Korea,5:00,H,1.17,6.25,9.99,,,,,,,
19.06.1998,Nigeria,Bulgaria,1:00,H,1.8,2.95,4.2,,,,,,,
19.06.1998,Spain,Paraguay,0:00,D,1.3,4.5,9,,,,,,,
18.06.1998,France,Saudi Arabia,4:00,H,1.12,7.6,9.99,,,,,,,
18.06.1998,South Africa,Denmark,1:01,D,3.75,2.95,2,,,,,,,
17.06.1998,Chile,Austria,1:01,D,1.65,3.2,5.25,,,,,,,
17.06.1998,Italy,Cameroon,3:00,H,1.31,4.3,8.5,,,,,,,
16.06.1998,Brazil,Morocco,3:00,H,1.15,5.5,9.99,,,,,,,
16.06.1998,Scotland,Norway,1:01,D,3.6,3,2.1,,,,,,,
15.06.1998,England,Tunisia,2:00,H,1.33,4.59,8.5,,,,,,,
15.06.1998,Romania,Colombia,1:00,H,2.45,2.75,3,,,,,,,
14.06.1998,Argentina,Japan,1:00,H,1.2,4.84,9.99,,,,,,,
14.06.1998,Jamaica,Croatia,1:03,A,9,4.5,1.27,,,,,,,
14.06.1998,Serbia and Montenegro,Iran,1:00,H,1.15,5.5,9.99,,,,,,,
13.06.1998,Netherlands,Belgium,0:00,D,1.67,3.1,5.25,,,,,,,
13.06.1998,South Korea,Mexico,1:03,A,3.75,3,2.1,,,,,,,
13.06.1998,Spain,Nigeria,2:03,A,1.6,3.3,5.5,,,,,,,
12.06.1998,Paraguay,Bulgaria,0:00,D,3.5,3,2,,,,,,,
12.06.1998,France,South Africa,3:00,H,1.23,4.84,9.99,,,,,,,
12.06.1998,Saudi Arabia,Denmark,0:01,A,7,3.9,1.45,,,,,,,
11.06.1998,Cameroon,Austria,1:01,D,2.45,2.85,2.85,,,,,,,
11.06.1998,Italy,Chile,2:02,D,1.41,3.8,7,,,,,,,
10.06.1998,Brazil,Scotland,2:01,H,1.2,4.59,9.99,,,,,,,
10.06.1998,Morocco,Norway,2:02,D,7.5,4,1.36,,,,,,,
12.07.1998,Brazil,France,0:03,A,2.35,2.7,3.2,,,,,,,
11.07.1998,Netherlands,Croatia,1:02,A,1.9,3.3,3.5,,,,,,,
08.07.1998,France,Croatia,2:01,H,1.85,3,4.3,,,,,,,
07.07.1998,Brazil,Netherlands,2:01,D,2.1,2.85,3.5,,,,,,,
04.07.1998,Germany,Croatia,0:03,A,1.8,3,4.3,,,,,,,
04.07.1998,Netherlands,Argentina,2:01,H,2.5,2.7,2.9,,,,,,,
03.07.1998,Brazil,Denmark,3:02,H,1.33,4.09,9,,,,,,,
03.07.1998,Italy,France,0:01,D,3,2.9,2.54,,,,,,,
28.06.1998,France,Paraguay,1:00,D,1.27,4.8,9.5,,,,,,,
28.06.1998,Nigeria,Denmark,1:04,A,2,2.9,3.7,,,,,,,
27.06.1998,Brazil,Chile,4:01,H,1.28,4.59,9.5,,,,,,,
27.06.1998,Italy,Norway,1:00,H,1.75,3,4.7,,,,,,,
