Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
25.06.2010,Chile,Spain,1:02,A,6.79,4.08,1.5
25.06.2010,Switzerland,Honduras,0:00,D,1.55,3.91,6.44
25.06.2010,North Korea,Ivory Coast,0:03,A,9.12,4.9,1.35
25.06.2010,Portugal,Brazil,0:00,D,3.5,2.9,2.36
24.06.2010,Paraguay,New Zealand,0:00,D,1.39,4.35,9.3
24.06.2010,Slovakia,Italy,3:02,H,6.83,3.79,1.55
24.06.2010,Cameroon,Netherlands,1:02,A,5.31,3.69,1.67
24.06.2010,Denmark,Japan,1:03,A,2.25,3.19,3.33
23.06.2010,Australia,Serbia,2:01,H,4.29,3.53,1.85
23.06.2010,Ghana,Germany,0:01,A,7.69,4.25,1.44
23.06.2010,Slovenia,England,0:01,A,7.89,4.24,1.44
23.06.2010,USA,Algeria,1:00,H,1.85,3.56,4.21
22.06.2010,Greece,Argentina,0:02,A,7.38,4.1,1.47
22.06.2010,Nigeria,South Korea,2:02,D,2.91,3.31,2.42
22.06.2010,France,South Africa,1:02,A,2.09,3.42,3.47
22.06.2010,Mexico,Uruguay,0:01,A,3.69,1.95,3.63
21.06.2010,Chile,Switzerland,1:00,H,2.15,3.15,3.64
21.06.2010,Spain,Honduras,2:00,H,1.11,8.5,23.01
21.06.2010,Portugal,North Korea,7:00,H,1.36,4.46,10.04
20.06.2010,Brazil,Ivory Coast,3:01,H,1.74,3.44,5.29
20.06.2010,Italy,New Zealand,1:01,D,1.21,5.9,16.45
20.06.2010,Slovakia,Paraguay,0:02,A,3.79,3.19,2.07
19.06.2010,Cameroon,Denmark,1:02,A,2.85,3.2,2.53
19.06.2010,Netherlands,Japan,1:00,H,1.43,4.13,8.65
19.06.2010,Ghana,Australia,1:01,D,2.29,3.16,3.29
18.06.2010,Germany,Serbia,0:01,A,1.63,3.73,5.75
18.06.2010,England,Algeria,0:00,D,1.23,5.88,14.32
18.06.2010,Slovenia,USA,2:02,D,3.68,3.18,2.12
17.06.2010,Argentina,South Korea,4:01,H,1.5,3.86,7.66
17.06.2010,Greece,Nigeria,2:01,H,3.8,3.17,2.08
17.06.2010,France,Mexico,0:02,A,2.1,3.12,3.82
16.06.2010,Honduras,Chile,0:01,A,5.75,3.42,1.69
16.06.2010,Spain,Switzerland,0:01,A,1.26,5.21,13.72
16.06.2010,South Africa,Uruguay,0:03,A,3.26,3.03,2.38
15.06.2010,Brazil,North Korea,2:01,H,1.09,9.42,29.89
15.06.2010,Ivory Coast,Portugal,0:00,D,3.75,3.17,2.1
15.06.2010,New Zealand,Slovakia,1:01,D,7.49,3.85,1.5
14.06.2010,Italy,Paraguay,1:01,D,2.13,3.01,3.82
14.06.2010,Japan,Cameroon,1:00,H,3.64,3.12,2.16
14.06.2010,Netherlands,Denmark,2:00,H,1.51,3.96,6.94
13.06.2010,Germany,Australia,4:00,H,1.52,3.84,7.1
13.06.2010,Serbia,Ghana,0:01,A,2.03,3.21,3.98
13.06.2010,Algeria,Slovenia,0:01,A,3.66,3.15,2.14
12.06.2010,England,USA,1:01,D,1.51,4.02,6.86
12.06.2010,Argentina,Nigeria,1:00,H,1.4,4.38,8.68
12.06.2010,South Korea,Greece,2:00,H,2.7,2.98,2.84
11.06.2010,South Africa,Mexico,1:01,D,2.93,3.1,2.54
11.06.2010,Uruguay,France,0:00,D,3.52,3.15,2.19
11.07.2010,Netherlands,Spain,0:01,D,3.79,3.35,2.04
10.07.2010,Uruguay,Germany,2:03,A,3.87,3.61,1.92
07.07.2010,Germany,Spain,0:01,A,2.77,3.32,2.55
06.07.2010,Uruguay,Netherlands,2:03,A,5.49,3.48,1.7
03.07.2010,Argentina,Germany,0:04,A,2.31,3.24,3.17
03.07.2010,Paraguay,Spain,0:01,A,8.9,4.27,1.41
02.07.2010,Netherlands,Brazil,2:01,H,4.06,3.26,2
02.07.2010,Uruguay,Ghana,2:01,D,1.88,3.27,4.5
29.06.2010,Paraguay,Japan,1:00,D,2.19,3.1,3.61
29.06.2010,Spain,Portugal,1:00,H,1.99,3.19,4.14
28.06.2010,Brazil,Chile,3:00,H,1.52,3.93,6.83
28.06.2010,Netherlands,Slovakia,2:01,H,1.39,4.41,9.13
27.06.2010,Argentina,Mexico,3:01,H,1.61,3.67,6.08
27.06.2010,Germany,England,4:01,H,2.98,3,2.6
26.06.2010,Uruguay,South Korea,2:01,H,1.83,3.3,4.82
26.06.2010,USA,Ghana,1:02,D,2.41,3.07,3.17
