Date,HomeTeam,AwayTeam,Full time result,Bet365 home odds,Bet365 draw odds,Bet365 away odds,Bet&Win home odds,Bet&Win draw odds,Bet&Win away odds,gamebookers home odds,gamebookers draw odds,gamebookers away odds,Interwetten home odds,Interwetten draw odds,Interwetten away odds,Ladbrokes home odds,Ladbrokes draw odds,Ladbrokes away odds,Sportingbet home odds,Sportingbet draw odds,Sportingbet away odds,Will Hill home odds,Will Hill draw odds,Will Hill away odds,Stan James home odds,Stan James draw odds,Stan James away odds,VC Bet home odds,VC Bet draw odds,VC Bet away odds,Betbrain 1X2 bookies,Betbrain max home odds,Betbrain average home odds,Betbrain max draw odds,Betbrain average draw odds,Betbrain max away odds,Betbrain average draw odds,Betbrain over/under bookies,Betbrain max >2.5,Betbrain average >2.5,Betbrain max <2.5,Betbrain average <2.5,Betbrain Asian bookies,Betbrain Asian home handicap,Betbrain max Asian home odds,Betbrain average Asian home odds,Betbrain max Asian away odds,Betbrain average Asian away odds
13/08/05,Aston Villa,Bolton,D,2.3,3.25,3,3.600464912,3.25,3.15,2.25,3.2,3.1,2.1,3,3.1,2.1,3,3.2,2.2,3.2,3.2,2.2,3.2,2.8,2,3.25,3.4,2.2,3.25,3.1,56,2.4,2.2,3.3,3.16,3.4,3.05,36,2.2,2.01,1.87,1.7,22,-0.25,2.1,2.01,1.92,1.84
13/08/05,Everton,Man United,A,5,3.4,1.72,26,3.35,1.75,4.25,3.4,1.83,3.8,3.1,1.8,3.75,3.2,1.83,4.33,3.6,1.75,4.33,3.2,1.72,4,3.25,1.83,4.5,3.3,1.8,56,5.65,4.69,3.7,3.36,1.8,1.69,36,2.1,1.93,1.87,1.79,23,0.75,2.05,2,1.93,1.86
13/08/05,Fulham,Birmingham,D,2.37,3.25,2.87,2.3,3.2,2.8,2.3,3.3,2.95,2.2,3,2.9,2.25,3,2.88,2.3,3.2,3,2.3,3.2,2.62,2.2,3.2,3,2.35,3.25,2.8,56,2.6,2.31,3.3,3.16,3.05,2.87,36,2.24,2.04,1.77,1.69,21,0,1.85,1.81,2.11,2.05
13/08/05,Man City,West Brom,D,1.72,3.4,5,1.65,3.45,4.8,1.73,3.45,4.75,1.7,3.2,4.2,1.67,3.25,4.5,1.7,3.4,5,1.7,3.3,4.33,1.67,3.25,5,1.75,3.25,5,55,1.8,1.69,3.63,3.38,5.6,4.79,36,2.1,1.94,1.9,1.77,23,-0.75,2.19,2.1,1.83,1.76
13/08/05,Middlesboro,Liverpool,D,2.87,3.2,2.4,2.9,3.35,2.2,2.7,3.3,2.45,2.5,3,2.5,2.75,3.1,2.3,2.7,3.2,2.5,2.75,3.1,2.3,2.75,3.2,2.38,2.8,3.25,2.35,56,3.3,2.81,3.35,3.17,2.5,2.35,36,2.23,2.02,1.8,1.71,21,0.25,1.89,1.86,2.04,2
13/08/05,Portsmouth,Tottenham,A,2.75,3.2,2.5,2.65,3.25,2.4,2.55,3.3,2.6,2.5,3,2.5,2.75,3.2,2.25,2.7,3.2,2.5,2.62,3.2,2.3,2.6,3.2,2.5,2.75,3.25,2.4,56,3.25,2.79,3.3,3.18,2.5,2.35,36,2.1,1.96,1.84,1.75,21,0.25,1.95,1.87,2.03,1.99
13/08/05,Sunderland,Charlton,A,2.37,3.2,2.9,2.25,3.25,2.85,2.4,3.35,2.75,2.2,3,2.9,2.38,3,2.75,2.4,3.25,2.8,2.3,3.2,2.62,2.25,3.25,2.88,2.4,3.25,2.75,55,2.6,2.33,3.35,3.17,3.05,2.82,35,2.12,1.98,1.82,1.74,21,-0.25,2.07,2.03,1.86,1.83
13/08/05,West Ham,Blackburn,H,2.5,3.2,2.75,2.2,3.3,2.9,2.4,3.3,2.75,2.3,3,2.7,2.38,3,2.75,2.5,3.2,2.7,2.3,3.2,2.62,2.38,3.2,2.75,2.4,3.25,2.75,55,2.6,2.4,3.35,3.16,2.9,2.74,35,2.25,2.02,1.8,1.71,20,0,1.86,1.82,2.08,2.04
14/08/05,Arsenal,Newcastle,H,1.4,4.2,8,1.35,4,9,1.44,4,7.5,1.45,3.8,5.4,1.4,3.75,7,1.4,4.33,7.5,1.4,3.75,7,1.4,4,7.5,1.45,3.8,7.5,54,1.5,1.42,4.45,3.91,8.73,7.36,36,1.8,1.7,2.25,2.01,22,-1.25,2.08,2.03,1.89,1.83
14/08/05,Wigan,Chelsea,A,10,4.5,1.33,9,4.6,1.3,9,4.25,1.36,6,3.9,1.4,8,4,1.33,9.5,4.8,1.3,8,4.5,1.28,8,4.5,1.33,11,4.5,1.3,54,12.5,9.05,5,4.32,1.4,1.32,34,1.88,1.76,2.11,1.95,20,1.5,2,1.92,2,1.91
