Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
11.05.2002,Arsenal,Everton,4:03,H,1.34,4.91,7.77
11.05.2002,Blackburn,Fulham,3:00,H,2.09,3.31,3.57
11.05.2002,Chelsea,Aston Villa,1:03,A,1.55,3.89,6.03
11.05.2002,Leeds,Middlesbrough,1:00,H,1.56,3.87,5.98
11.05.2002,Leicester,Tottenham,2:01,H,3.1,3.23,2.32
11.05.2002,Liverpool,Ipswich,5:00,H,1.33,5.16,8.33
11.05.2002,Manchester United,Charlton,0:00,D,1.3,5.28,8.68
11.05.2002,Southampton,Newcastle,3:01,H,3.14,3.31,2.27
11.05.2002,Sunderland,Derby,1:01,D,1.55,3.76,6.29
11.05.2002,West Ham,Bolton,2:01,H,1.7,3.66,4.94
08.05.2002,Liverpool,Blackburn,4:03,H,1.37,4.74,8.23
08.05.2002,Manchester United,Arsenal,0:01,A,2.1,3.28,3.61
29.04.2002,Bolton,Arsenal,0:02,A,6.3,4.3,1.44
28.04.2002,Everton,Blackburn,1:02,A,2.19,3.13,3.18
27.04.2002,Aston Villa,Southampton,2:01,H,1.93,3.33,3.68
27.04.2002,Charlton,Sunderland,2:02,D,2.2,3.23,2.89
27.04.2002,Derby,Leeds,0:01,A,3.98,3.53,1.81
27.04.2002,Fulham,Leicester,0:00,D,1.5,3.78,6.08
27.04.2002,Ipswich,Manchester United,0:01,A,5.58,4.3,1.49
27.04.2002,Middlesbrough,Chelsea,0:02,A,2.86,3.28,2.3
27.04.2002,Newcastle,West Ham,3:01,H,1.57,3.78,5.55
27.04.2002,Tottenham,Liverpool,1:00,H,3.9,3.55,1.79
24.04.2002,Arsenal,West Ham,2:00,H,1.28,5.1,9.15
24.04.2002,Ipswich,Middlesbrough,1:00,H,1.86,3.44,3.48
23.04.2002,Blackburn,Newcastle,2:02,D,2.58,3.15,2.48
23.04.2002,Fulham,Bolton,3:00,H,2,3.13,3.63
21.04.2002,Arsenal,Ipswich,2:00,H,1.21,6,9.99
20.04.2002,Bolton,Tottenham,1:01,D,2.45,3.05,2.86
20.04.2002,Chelsea,Manchester United,0:03,A,2.9,3.04,2.41
20.04.2002,Leeds,Fulham,0:01,A,1.46,3.97,6.9
20.04.2002,Leicester,Aston Villa,2:02,D,3.04,3.13,2.29
20.04.2002,Liverpool,Derby,2:00,H,1.21,6.03,9.99
20.04.2002,Middlesbrough,Blackburn,1:03,A,2.04,3.23,3.5
20.04.2002,Newcastle,Charlton,3:00,H,1.46,4.02,7.03
20.04.2002,Southampton,Everton,0:01,A,2.04,3.2,3.55
20.04.2002,West Ham,Sunderland,3:00,H,1.81,3.38,4.33
13.04.2002,Aston Villa,Leeds,0:01,A,2.74,3,2.6
13.04.2002,Charlton,Southampton,1:01,D,2.06,3.2,3.64
13.04.2002,Derby,Newcastle,2:03,A,3.55,3.3,2.01
13.04.2002,Everton,Leicester,2:02,D,1.49,3.95,6.31
13.04.2002,Sunderland,Liverpool,0:01,A,4.4,3.48,1.78
13.04.2002,Tottenham,West Ham,1:01,D,2.06,3.21,3.54
10.04.2002,Blackburn,Chelsea,0:00,D,3.04,3.08,2.34
08.04.2002,Newcastle,Fulham,1:01,D,1.46,4.01,6.99
07.04.2002,Leeds,Sunderland,2:00,H,1.48,4.05,6.98
06.04.2002,Arsenal,Tottenham,2:01,H,1.42,4.27,7.6
06.04.2002,Bolton,Ipswich,4:01,H,2.12,3.24,3.44
06.04.2002,Chelsea,Everton,3:00,H,1.49,4.07,6.95
06.04.2002,Leicester,Manchester United,0:01,A,8.48,4.75,1.33
06.04.2002,Middlesbrough,Aston Villa,2:01,H,2.3,3.13,3.08
06.04.2002,Southampton,Derby,2:00,H,1.87,3.34,4.18
06.04.2002,West Ham,Charlton,2:00,H,2.1,3.21,3.48
02.04.2002,Aston Villa,Newcastle,1:01,D,2.66,2.99,2.62
01.04.2002,Blackburn,Southampton,2:00,H,2.13,3.23,3.43
01.04.2002,Charlton,Arsenal,0:03,A,4.78,3.5,1.71
01.04.2002,Derby,Middlesbrough,0:01,A,2.35,3.08,3.05
01.04.2002,Everton,Bolton,3:01,H,1.96,3.27,3.83
01.04.2002,Fulham,West Ham,0:01,A,2.3,3.17,3.17
01.04.2002,Ipswich,Chelsea,0:00,D,3.4,3.2,2.17
01.04.2002,Sunderland,Leicester,2:01,H,1.55,3.87,5.73
01.04.2002,Tottenham,Leeds,2:01,H,2.68,3.03,2.6
30.03.2002,Arsenal,Sunderland,3:00,H,1.31,4.85,8.38
30.03.2002,Bolton,Aston Villa,3:02,H,2.58,3,2.7
30.03.2002,Chelsea,Derby,2:01,H,1.39,4.49,7.4
30.03.2002,Leeds,Manchester United,3:04,A,2.93,3.08,2.43
30.03.2002,Leicester,Blackburn,2:01,H,3.05,3.09,2.33
30.03.2002,Liverpool,Charlton,2:00,H,1.37,4.5,7.48
30.03.2002,Middlesbrough,Tottenham,1:01,D,2.31,3.15,3.06
30.03.2002,Southampton,Fulham,1:01,D,2.14,3.23,3.44
30.03.2002,West Ham,Ipswich,3:01,H,1.86,3.36,4.02
29.03.2002,Newcastle,Everton,6:02,H,1.58,3.68,5.88
24.03.2002,Fulham,Tottenham,0:02,A,2.39,3.08,2.96
24.03.2002,Liverpool,Chelsea,1:00,H,1.83,3.39,4.28
23.03.2002,Charlton,Bolton,1:02,A,1.82,3.4,4.37
23.03.2002,Derby,Everton,3:04,A,2.24,3.15,3.15
23.03.2002,Ipswich,Aston Villa,0:00,D,2.51,3.05,2.75
23.03.2002,Leicester,Leeds,0:02,A,4.65,3.53,1.75
23.03.2002,Manchester United,Middlesbrough,0:01,A,1.25,5.28,9.99
23.03.2002,Sunderland,Southampton,1:01,D,2.06,3.24,3.5
18.03.2002,Tottenham,Charlton,0:01,A,1.97,3.23,3.71
17.03.2002,Aston Villa,Arsenal,1:02,A,3.19,3.16,2.21
17.03.2002,Leeds,Blackburn,3:01,H,1.56,3.74,5.98
16.03.2002,Bolton,Derby,1:03,A,2.1,3.24,3.41
16.03.2002,Chelsea,Sunderland,4:00,H,1.53,3.78,6.23
16.03.2002,Everton,Fulham,2:01,H,2.29,3.1,3.13
16.03.2002,Middlesbrough,Liverpool,1:02,A,3.64,3.24,2.01
16.03.2002,Newcastle,Ipswich,2:02,D,1.48,4.15,6.43
16.03.2002,Southampton,Leicester,2:02,D,1.65,3.63,5.34
16.03.2002,West Ham,Manchester United,3:05,A,4.6,3.58,1.74
13.03.2002,Blackburn,Ipswich,2:01,H,1.96,3.29,3.78
13.03.2002,Chelsea,Tottenham,4:00,H,1.76,3.48,4.47
09.03.2002,Leicester,Charlton,1:01,D,2.81,3.08,2.41
06.03.2002,Chelsea,Fulham,3:02,H,1.63,3.48,5.45
06.03.2002,Leeds,Ipswich,2:00,H,1.53,3.7,6.2
06.03.2002,Liverpool,Newcastle,3:00,H,1.83,3.33,4.43
06.03.2002,Manchester United,Tottenham,4:00,H,1.39,4.26,7.8
06.03.2002,Southampton,Middlesbrough,1:01,D,2.01,3.23,3.61
06.03.2002,West Ham,Everton,1:00,H,1.86,3.33,4.28
05.03.2002,Arsenal,Derby,1:00,H,1.27,5.02,9.27
05.03.2002,Blackburn,Aston Villa,3:00,H,2.64,3.08,2.58
05.03.2002,Sunderland,Bolton,1:00,H,1.96,3.25,3.88
03.03.2002,Derby,Manchester United,2:02,D,6.1,4.34,1.43
03.03.2002,Everton,Leeds,0:00,D,2.89,3.09,2.41
02.03.2002,Aston Villa,West Ham,2:01,H,1.78,3.4,4.34
02.03.2002,Bolton,Blackburn,1:01,D,2.24,3.09,3.18
02.03.2002,Charlton,Chelsea,2:01,H,2.99,3.13,2.32
02.03.2002,Fulham,Liverpool,0:02,A,3.05,3.14,2.26
02.03.2002,Ipswich,Southampton,1:03,A,2.09,3.16,3.45
02.03.2002,Middlesbrough,Leicester,1:00,H,1.72,3.48,4.68
02.03.2002,Newcastle,Arsenal,0:02,A,2.53,3.04,2.69
02.03.2002,Tottenham,Sunderland,2:01,H,1.78,3.43,4.39
24.02.2002,Leeds,Charlton,0:00,D,1.5,3.83,6.38
24.02.2002,Sunderland,Newcastle,0:01,A,2.98,3.04,2.41
23.02.2002,Arsenal,Fulham,4:01,H,1.47,3.9,6.91
23.02.2002,Leicester,Derby,0:03,A,2.2,3.13,3.28
23.02.2002,Liverpool,Everton,1:01,D,1.54,3.75,6.08
23.02.2002,Manchester United,Aston Villa,1:00,H,1.42,4.05,7.31
23.02.2002,Southampton,Bolton,0:00,D,1.96,3.33,3.84
23.02.2002,West Ham,Middlesbrough,1:00,H,1.92,3.3,4
19.02.2002,Middlesbrough,Fulham,2:01,H,2.39,3.08,2.93
10.02.2002,Charlton,Manchester United,0:02,A,5.63,3.6,1.64
10.02.2002,Everton,Arsenal,0:01,A,3.9,3.28,1.96
09.02.2002,Aston Villa,Chelsea,1:01,D,2.61,2.95,2.73
09.02.2002,Bolton,West Ham,1:00,H,2.44,3.11,2.89
09.02.2002,Derby,Sunderland,0:01,A,2.47,3.06,2.83
09.02.2002,Fulham,Blackburn,2:00,H,1.9,3.33,4.13
09.02.2002,Ipswich,Liverpool,0:06,A,3.73,3.25,2.01
