Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
24.05.2015,Arsenal,West Brom,4:01,H,1.33,5.5,8.63
24.05.2015,Aston Villa,Burnley,0:01,A,2.2,3.42,3.32
24.05.2015,Chelsea,Sunderland,3:01,H,1.29,5.7,10.47
24.05.2015,Crystal Palace,Swansea,1:00,H,1.81,3.76,4.4
24.05.2015,Everton,Tottenham,0:01,A,2.31,3.49,3.03
24.05.2015,Hull City,Manchester United,0:00,D,3.1,3.58,2.25
24.05.2015,Leicester,QPR,5:01,H,1.49,4.56,6.26
24.05.2015,Manchester City,Southampton,2:00,H,1.61,4.19,5.34
24.05.2015,Newcastle,West Ham,2:00,H,1.74,3.88,4.62
24.05.2015,Stoke,Liverpool,6:01,H,3.35,3.44,2.18
20.05.2015,Arsenal,Sunderland,0:00,D,1.28,5.81,10.85
18.05.2015,West Brom,Chelsea,3:00,H,5.19,3.69,1.71
17.05.2015,Manchester United,Arsenal,1:01,D,2.55,3.3,2.85
17.05.2015,Swansea,Manchester City,2:04,A,4.66,3.97,1.73
16.05.2015,Burnley,Stoke,0:00,D,2.55,3.24,2.88
16.05.2015,Liverpool,Crystal Palace,1:03,A,1.45,4.54,7.36
16.05.2015,QPR,Newcastle,2:01,H,3.11,3.44,2.3
16.05.2015,Southampton,Aston Villa,6:01,H,1.75,3.72,4.77
16.05.2015,Sunderland,Leicester,0:00,D,2.94,3.2,2.53
16.05.2015,Tottenham,Hull City,2:00,H,1.83,3.71,4.33
16.05.2015,West Ham,Everton,1:02,A,2.49,3.37,2.84
11.05.2015,Arsenal,Swansea,0:01,A,1.32,5.44,9.7
10.05.2015,Chelsea,Liverpool,1:01,D,2.12,3.36,3.6
10.05.2015,Manchester City,QPR,6:00,H,1.18,7.58,14.44
09.05.2015,Aston Villa,West Ham,1:00,H,1.79,3.71,4.55
09.05.2015,Crystal Palace,Manchester United,1:02,A,4.57,3.51,1.84
09.05.2015,Everton,Sunderland,0:02,A,1.69,3.71,5.37
09.05.2015,Hull City,Burnley,0:01,A,1.88,3.45,4.41
09.05.2015,Leicester,Southampton,2:00,H,2.69,3.27,2.69
09.05.2015,Newcastle,West Brom,1:01,D,2.19,3.3,3.47
09.05.2015,Stoke,Tottenham,3:00,H,3.17,3.34,2.31
04.05.2015,Hull City,Arsenal,1:03,A,5.11,3.69,1.72
03.05.2015,Chelsea,Crystal Palace,1:00,H,1.32,5.19,10.68
03.05.2015,Tottenham,Manchester City,0:01,A,3.32,3.53,2.16
02.05.2015,Aston Villa,Everton,3:02,H,2.6,3.22,2.82
02.05.2015,Leicester,Newcastle,3:00,H,1.85,3.57,4.44
02.05.2015,Liverpool,QPR,2:01,H,1.35,5.18,8.83
02.05.2015,Manchester United,West Brom,0:01,A,1.36,4.9,9.28
02.05.2015,Sunderland,Southampton,2:01,H,3.95,3.31,2.02
02.05.2015,Swansea,Stoke,2:00,H,2.25,3.25,3.39
02.05.2015,West Ham,Burnley,1:00,H,2.29,3.31,3.22
29.04.2015,Leicester,Chelsea,1:03,A,4.91,3.62,1.76
28.04.2015,Hull City,Liverpool,1:00,H,3.9,3.31,2.05
26.04.2015,Arsenal,Chelsea,0:00,D,2.45,3.18,3.1
26.04.2015,Everton,Manchester United,3:00,H,4.01,3.33,2.01
25.04.2015,Burnley,Leicester,0:01,A,2.73,3.23,2.68
25.04.2015,Crystal Palace,Hull City,0:02,A,2,3.3,4.06
25.04.2015,Manchester City,Aston Villa,3:02,H,1.26,6.11,11.58
25.04.2015,Newcastle,Swansea,2:03,A,2.34,3.24,3.23
25.04.2015,QPR,West Ham,0:00,D,2.25,3.38,3.27
25.04.2015,Southampton,Tottenham,2:02,D,2.03,3.42,3.79
25.04.2015,Stoke,Sunderland,1:01,D,1.82,3.42,4.89
25.04.2015,West Brom,Liverpool,0:00,D,4.26,3.49,1.91
19.04.2015,Manchester City,West Ham,2:00,H,1.25,6.29,11.47
19.04.2015,Newcastle,Tottenham,1:03,A,2.96,3.34,2.44
18.04.2015,Chelsea,Manchester United,1:00,H,1.94,3.44,4.2
18.04.2015,Crystal Palace,West Brom,0:02,A,2.01,3.29,4.06
18.04.2015,Everton,Burnley,1:00,H,1.81,3.53,4.71
18.04.2015,Leicester,Swansea,2:00,H,2.02,3.43,3.81
18.04.2015,Stoke,Southampton,2:01,H,3.23,3.19,2.35
13.04.2015,Liverpool,Newcastle,2:00,H,1.35,5.09,9.11
12.04.2015,Manchester United,Manchester City,4:02,H,2.69,3.21,2.75
12.04.2015,QPR,Chelsea,0:01,A,8.12,4.7,1.41
11.04.2015,Burnley,Arsenal,0:01,A,6.09,4.01,1.58
11.04.2015,Southampton,Hull City,2:00,H,1.56,3.87,6.7
11.04.2015,Sunderland,Crystal Palace,1:04,A,2.71,3.14,2.79
11.04.2015,Swansea,Everton,1:01,D,2.49,3.23,2.97
11.04.2015,Tottenham,Aston Villa,0:01,A,1.61,4.02,5.62
11.04.2015,West Brom,Leicester,2:03,A,2.3,3.28,3.26
11.04.2015,West Ham,Stoke,1:01,D,2.16,3.34,3.54
07.04.2015,Aston Villa,QPR,3:03,D,2.08,3.32,3.78
06.04.2015,Crystal Palace,Manchester City,2:01,H,5.41,4,1.64
05.04.2015,Burnley,Tottenham,0:00,D,3.24,3.42,2.25
05.04.2015,Sunderland,Newcastle,1:00,H,2.66,3.1,2.87
04.04.2015,Arsenal,Liverpool,4:01,H,1.84,3.67,4.34
04.04.2015,Chelsea,Stoke,2:01,H,1.3,5.32,11.75
04.04.2015,Everton,Southampton,1:00,H,2.77,3.14,2.72
04.04.2015,Leicester,West Ham,2:01,H,2.16,3.45,3.39
04.04.2015,Manchester United,Aston Villa,3:01,H,1.34,5,10
04.04.2015,Swansea,Hull City,3:01,H,1.99,3.29,4.14
04.04.2015,West Brom,QPR,1:04,A,1.81,3.52,4.77
22.03.2015,Hull City,Chelsea,2:03,A,7.74,3.97,1.5
22.03.2015,Liverpool,Manchester United,1:02,A,2.28,3.22,3.38
22.03.2015,QPR,Everton,1:02,A,3.4,3.37,2.19
