Date,Exact_Date,HomeTeam,AwayTeam,Full time result,H,D,A,H.Implied.P,D.Implied.P,A.Implied.P,H.Adjusted.P,D.Adjusted.P,A.Adjusted.P,H.criterion,D.criterion,A.criterion,Max,Match,Index,Logic,Count,Accuracy,True.Draw,Select.Draw,Match?,Draw Accuracy
1004,21.05.2017,Arsenal,Everton,H,1.36,5.62,7.92,0.735294118,0.177935943,0.126262626,0.707358625,0.171175753,0.121465622,0.304939154,0.023698129,-0.095589489,0.304939154,1,H,TRUE,1585,42%,FALSE,FALSE,FALSE,75.00%
1004,21.05.2017,Burnley,West Ham,A,2.31,3.44,3.12,0.432900433,0.290697674,0.320512821,0.416453563,0.27965341,0.308335811,-0.072334578,0.070250331,-0.12286166,0.070250331,2,D,FALSE,3800,,FALSE,TRUE,FALSE,
1004,21.05.2017,Chelsea,Sunderland,H,1.1,10.59,25.89,0.909090909,0.094428706,0.038624952,0.874552482,0.090841145,0.037157502,0.681004512,0.004990451,-0.035754538,0.681004512,1,H,TRUE,,,FALSE,FALSE,FALSE,
1004,21.05.2017,Hull City,Tottenham,A,9.39,6.13,1.3,0.106496273,0.163132137,0.769230769,0.102450237,0.156934377,0.740005946,-0.084675136,0.01940328,0.369239917,0.369239917,3,A,TRUE,,,FALSE,FALSE,FALSE,
1004,21.05.2017,Leicester,Bournemouth,D,1.69,4.22,4.66,0.591715976,0.236966825,0.214592275,0.569235343,0.227963917,0.206439427,0.081935317,0.045016978,-0.125991662,0.081935317,1,H,FALSE,,,TRUE,FALSE,FALSE,
1004,21.05.2017,Liverpool,Middlesbrough,H,1.13,9.13,21.61,0.884955752,0.109529025,0.046274873,0.851334274,0.105367769,0.044516785,0.621830574,0.007379573,-0.042154856,0.621830574,1,H,TRUE,,,FALSE,FALSE,FALSE,
1004,21.05.2017,Manchester United,Crystal Palace,H,2.29,3.36,3.23,0.436681223,0.297619048,0.309597523,0.420090712,0.286311824,0.29783521,-0.069789771,0.073904629,-0.125179436,0.073904629,2,D,FALSE,,,FALSE,TRUE,FALSE,
1004,21.05.2017,Southampton,Stoke,A,1.63,4.16,5.24,0.613496933,0.240384615,0.190839695,0.590188791,0.231251858,0.183589261,0.110661094,0.046456632,-0.120767457,0.110661094,1,H,FALSE,,,FALSE,FALSE,FALSE,
1004,21.05.2017,Swansea,West Brom,H,2.27,3.38,3.27,0.440528634,0.295857988,0.305810398,0.423791951,0.284617672,0.294191966,-0.067143655,0.072966095,-0.125876473,0.072966095,2,D,FALSE,,,FALSE,TRUE,FALSE,
1004,21.05.2017,Watford,Manchester City,A,17.54,8.7,1.15,0.057012543,0.114942529,0.869565217,0.054846507,0.110575601,0.836528461,-0.050758665,0.008342912,0.585266888,0.585266888,3,A,TRUE,,,FALSE,FALSE,FALSE,
1003,18.05.2017,Leicester,Tottenham,A,4.06,3.82,1.87,0.246305419,0.261780105,0.534759358,0.236947717,0.251834484,0.514442636,-0.129582406,0.055979637,0.01544667,0.055979637,2,D,FALSE,,,FALSE,TRUE,FALSE,
1002,17.05.2017,Southampton,Manchester United,D,2.35,3.26,3.22,0.425531915,0.306748466,0.310559006,0.409364991,0.295094396,0.298760165,-0.077136178,0.078865683,-0.124993687,0.078865683,2,D,TRUE,,,TRUE,TRUE,TRUE,
1001,16.05.2017,Arsenal,Sunderland,H,1.11,10.54,22.81,0.900900901,0.09487666,0.043840421,0.866673631,0.091272081,0.042174824,0.660673208,0.00505501,-0.040142497,0.660673208,1,H,TRUE,,,FALSE,FALSE,FALSE,
1001,16.05.2017,Manchester City,West Brom,H,1.15,8.49,18.62,0.869565217,0.11778563,0.053705693,0.836528461,0.113310687,0.051665292,0.585266888,0.008871427,-0.048156252,0.585266888,1,H,TRUE,,,FALSE,FALSE,FALSE,
1000,15.05.2017,Chelsea,Watford,H,1.27,6.11,10.89,0.787401575,0.163666121,0.091827365,0.757486401,0.157448074,0.088338635,0.405490396,0.019550868,-0.075603557,0.405490396,1,H,TRUE,,,FALSE,FALSE,FALSE,
999,14.05.2017,Crystal Palace,Hull City,H,1.93,3.59,4.1,0.518134715,0.278551532,0.243902439,0.498449601,0.267968727,0.234636032,-0.001606631,0.064060294,-0.129445838,0.064060294,2,D,FALSE,,,FALSE,TRUE,FALSE,
999,14.05.2017,Tottenham,Manchester United,H,1.65,3.91,5.66,0.606060606,0.255754476,0.176678445,0.583034988,0.246037783,0.16996603,0.10064847,0.053208571,-0.116619777,0.10064847,1,H,TRUE,,,FALSE,FALSE,FALSE,
999,14.05.2017,West Ham,Liverpool,A,5.8,4.04,1.61,0.172413793,0.247524752,0.621118012,0.165863402,0.238120725,0.597520329,-0.115219517,0.049536746,0.121143266,0.121143266,3,A,TRUE,,,FALSE,FALSE,FALSE,
998,13.05.2017,Bournemouth,Burnley,H,1.82,3.79,4.32,0.549450549,0.263852243,0.231481481,0.528575676,0.253827897,0.222686975,0.031401841,0.056948714,-0.12838566,0.056948714,2,D,FALSE,,,FALSE,TRUE,FALSE,
998,13.05.2017,Manchester City,Leicester,H,1.22,7.13,12.13,0.819672131,0.140252454,0.082440231,0.788530926,0.134923945,0.079308139,0.473001518,0.013594905,-0.069363868,0.473001518,1,H,TRUE,,,FALSE,FALSE,FALSE,
998,13.05.2017,Middlesbrough,Southampton,A,3.79,3.43,2.05,0.263852243,0.29154519,0.487804878,0.253827897,0.280468726,0.469272063,-0.129906123,0.070692844,-0.029978475,0.070692844,2,D,FALSE,,,FALSE,TRUE,FALSE,
