"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat"
2010-08-14,"Aston Villa","West Ham","Chelsea","West Brom","H","A","1.92","18",34.56,0
2010-08-14,"Aston Villa","West Ham","Chelsea","West Brom","D","A","3.34","18",60.12,0
2010-08-14,"Aston Villa","West Ham","Chelsea","West Brom","A","A","4.14","18",74.52,0
2010-08-14,"Blackburn","Everton","Chelsea","West Brom","H","A","2.92","18",52.56,0
2010-08-14,"Blackburn","Everton","Chelsea","West Brom","D","A","3.24","18",58.32,0
2010-08-14,"Blackburn","Everton","Chelsea","West Brom","A","A","2.42","18",43.56,0
2010-08-14,"Bolton","Fulham","Chelsea","West Brom","H","A","2.19","18",39.42,0
2010-08-14,"Bolton","Fulham","Chelsea","West Brom","D","A","3.26","18",58.68,0
2010-08-14,"Bolton","Fulham","Chelsea","West Brom","A","A","3.36","18",60.48,0
2010-08-14,"Chelsea","West Brom","Sunderland","Birmingham","A","H","18","2.11",37.98,0
2010-08-14,"Chelsea","West Brom","Sunderland","Birmingham","A","D","18","3.27",58.86,0
2010-08-14,"Chelsea","West Brom","Sunderland","Birmingham","A","A","18","3.54",63.72,0
2010-08-14,"Chelsea","West Brom","Tottenham","Manchester City","A","H","18","2.23",40.14,0
2010-08-14,"Chelsea","West Brom","Tottenham","Manchester City","A","D","18","3.28",59.04,0
2010-08-14,"Chelsea","West Brom","Tottenham","Manchester City","A","A","18","3.24",58.32,0
2010-08-14,"Chelsea","West Brom","Wigan","Blackpool","A","H","18","1.74",31.32,0
2010-08-14,"Chelsea","West Brom","Wigan","Blackpool","A","D","18","3.57",64.26,0
2010-08-14,"Chelsea","West Brom","Wigan","Blackpool","D","A","7.11","4.8",34.128,0
2010-08-14,"Chelsea","West Brom","Wigan","Blackpool","A","A","18","4.8",86.4,0
2010-08-14,"Chelsea","West Brom","Wolves","Stoke","A","H","18","2.38",42.84,0
2010-08-14,"Chelsea","West Brom","Wolves","Stoke","A","D","18","3.19",57.42,0
2010-08-14,"Chelsea","West Brom","Wolves","Stoke","A","A","18","3.03",54.54,0
2010-08-21,"Arsenal","Blackpool","Birmingham","Blackburn","A","H","17.59","2.29",40.2811,0
2010-08-21,"Arsenal","Blackpool","Birmingham","Blackburn","A","D","17.59","3.16",55.5844,0
2010-08-21,"Arsenal","Blackpool","Birmingham","Blackburn","A","A","17.59","3.22",56.6398,0
2010-08-21,"Arsenal","Blackpool","Everton","Wolves","A","D","17.59","4.03",70.8877,0
2010-08-21,"Arsenal","Blackpool","Everton","Wolves","D","A","7.38","7.37",54.3906,0
2010-08-21,"Arsenal","Blackpool","Stoke","Tottenham","A","H","17.59","3.15",55.4085,0
2010-08-21,"Arsenal","Blackpool","Stoke","Tottenham","A","D","17.59","3.24",56.9916,0
2010-08-21,"Arsenal","Blackpool","Stoke","Tottenham","A","A","17.59","2.28",40.1052,0
2010-08-21,"Arsenal","Blackpool","West Brom","Sunderland","A","H","17.59","2.11",37.1149,0
2010-08-21,"Arsenal","Blackpool","West Brom","Sunderland","A","D","17.59","3.3",58.047,0
2010-08-21,"Arsenal","Blackpool","West Brom","Sunderland","A","A","17.59","3.48",61.2132,0
2010-08-21,"Arsenal","Blackpool","West Ham","Bolton","A","H","17.59","2.23",39.2257,0
2010-08-21,"Arsenal","Blackpool","West Ham","Bolton","A","D","17.59","3.25",57.1675,0
2010-08-21,"Arsenal","Blackpool","West Ham","Bolton","A","A","17.59","3.24",56.9916,0
2010-08-21,"Arsenal","Blackpool","Wigan","Chelsea","D","H","7.38","12.94",95.4972,0
2010-08-21,"Arsenal","Blackpool","Wigan","Chelsea","D","D","7.38","5.67",41.8446,0
2010-08-21,"Arsenal","Blackpool","Wigan","Chelsea","A","D","17.59","5.67",99.7353,0
2010-08-21,"Birmingham","Blackburn","Wigan","Chelsea","D","H","3.16","12.94",40.8904,0
2010-08-21,"Birmingham","Blackburn","Wigan","Chelsea","A","H","3.22","12.94",41.6668,0
2010-08-21,"Everton","Wolves","Wigan","Chelsea","D","H","4.03","12.94",52.1482,0
2010-08-21,"Everton","Wolves","Wigan","Chelsea","A","H","7.37","12.94",95.3678,0
2010-08-21,"Everton","Wolves","Wigan","Chelsea","A","D","7.37","5.67",41.7879,0
2010-08-21,"Stoke","Tottenham","Wigan","Chelsea","H","H","3.15","12.94",40.761,1
2010-08-21,"Stoke","Tottenham","Wigan","Chelsea","D","H","3.24","12.94",41.9256,0
2010-08-21,"West Brom","Sunderland","Wigan","Chelsea","D","H","3.3","12.94",42.702,0
2010-08-21,"West Brom","Sunderland","Wigan","Chelsea","A","H","3.48","12.94",45.0312,0
2010-08-21,"West Ham","Bolton","Wigan","Chelsea","D","H","3.25","12.94",42.055,0
2010-08-21,"West Ham","Bolton","Wigan","Chelsea","A","H","3.24","12.94",41.9256,0
2010-08-28,"Blackburn","Arsenal","Chelsea","Stoke","H","D","4.93","8.33",41.0669,0
2010-08-28,"Blackburn","Arsenal","Chelsea","Stoke","D","A","3.58","23.45",83.951,0
2010-08-28,"Blackburn","Arsenal","Chelsea","Stoke","A","A","1.73","23.45",40.5685,0
2010-08-28,"Blackburn","Arsenal","Manchester United","West Ham","H","D","4.93","7.52",37.0736,0
2010-08-28,"Blackburn","Arsenal","Manchester United","West Ham","H","A","4.93","21.02",103.6286,0
2010-08-28,"Blackburn","Arsenal","Manchester United","West Ham","D","A","3.58","21.02",75.2516,0
2010-08-28,"Blackburn","Arsenal","Manchester United","West Ham","A","A","1.73","21.02",36.3646,0
2010-08-28,"Blackburn","Arsenal","Tottenham","Wigan","H","A","4.93","11.96",58.9628,0
2010-08-28,"Blackburn","Arsenal","Tottenham","Wigan","D","A","3.58","11.96",42.8168,0
2010-08-28,"Blackpool","Fulham","Chelsea","Stoke","H","A","3.03","23.45",71.0535,0
2010-08-28,"Blackpool","Fulham","Chelsea","Stoke","D","A","3.28","23.45",76.916,0
2010-08-28,"Blackpool","Fulham","Chelsea","Stoke","A","A","2.33","23.45",54.6385,0
2010-08-28,"Blackpool","Fulham","Manchester United","West Ham","H","A","3.03","21.02",63.6906,0
2010-08-28,"Blackpool","Fulham","Manchester United","West Ham","D","A","3.28","21.02",68.9456,0
2010-08-28,"Blackpool","Fulham","Manchester United","West Ham","A","A","2.33","21.02",48.9766,0
2010-08-28,"Blackpool","Fulham","Tottenham","Wigan","H","A","3.03","11.96",36.2388,0
2010-08-28,"Blackpool","Fulham","Tottenham","Wigan","D","A","3.28","11.96",39.2288,0
2010-08-28,"Chelsea","Stoke","Manchester United","West Ham","D","D","8.33","7.52",62.6416,0
2010-08-28,"Chelsea","Stoke","Tottenham","Wigan","D","D","8.33","5.59",46.5647,0
2010-08-28,"Chelsea","Stoke","Tottenham","Wigan","D","A","8.33","11.96",99.6268,0
2010-08-28,"Chelsea","Stoke","Wolves","Newcastle","A","H","23.45","2.44",57.218,0
2010-08-28,"Chelsea","Stoke","Wolves","Newcastle","A","D","23.45","3.25",76.2125,1
2010-08-28,"Chelsea","Stoke","Wolves","Newcastle","A","A","23.45","2.87",67.3015,0
2010-08-28,"Manchester United","West Ham","Tottenham","Wigan","D","D","7.52","5.59",42.0368,0
2010-08-28,"Manchester United","West Ham","Tottenham","Wigan","D","A","7.52","11.96",89.9392,0
2010-08-28,"Manchester United","West Ham","Wolves","Newcastle","A","H","21.02","2.44",51.2888,0
2010-08-28,"Manchester United","West Ham","Wolves","Newcastle","A","D","21.02","3.25",68.315,1
2010-08-28,"Manchester United","West Ham","Wolves","Newcastle","A","A","21.02","2.87",60.3274,0
2010-08-28,"Tottenham","Wigan","Wolves","Newcastle","A","D","11.96","3.25",38.87,1
2010-08-28,"Tottenham","Wigan","Wolves","Newcastle","A","A","11.96","2.87",34.3252,0
2010-08-29,"Aston Villa","Everton","Liverpool","West Brom","D","A","3.23","11.05",35.6915,0
2010-08-29,"Bolton","Birmingham","Liverpool","West Brom","D","A","3.27","11.05",36.1335,0
2010-08-29,"Bolton","Birmingham","Liverpool","West Brom","A","A","3.6","11.05",39.78,0
2010-08-29,"Liverpool","West Brom","Sunderland","Manchester City","A","H","11.05","4.8",53.04,0
2010-08-29,"Liverpool","West Brom","Sunderland","Manchester City","A","D","11.05","3.6",39.78,0
2010-09-11,"Arsenal","Bolton","Everton","Manchester United","A","H","12.95","3.94",51.023,0
2010-09-11,"Arsenal","Bolton","Everton","Manchester United","A","D","12.95","3.29",42.6055,0
2010-09-11,"Arsenal","Bolton","Fulham","Wolves","A","D","12.95","3.45",44.6775,0
2010-09-11,"Arsenal","Bolton","Fulham","Wolves","A","A","12.95","4.59",59.4405,0
2010-09-11,"Arsenal","Bolton","Manchester City","Blackburn","A","D","12.95","4.15",53.7425,0
2010-09-11,"Arsenal","Bolton","Manchester City","Blackburn","D","A","5.76","7.27",41.8752,0
2010-09-11,"Arsenal","Bolton","Manchester City","Blackburn","A","A","12.95","7.27",94.1465,0
