"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat"
2014-06-13,"Spain","Netherlands","Mexico","Cameroon","A","H","4.95","2.18",10.791,1
2014-06-13,"Spain","Netherlands","Mexico","Cameroon","D","D","3.34","3.13",10.4542,0
2014-06-13,"Spain","Netherlands","Mexico","Cameroon","A","D","4.95","3.13",15.4935,0
2014-06-13,"Spain","Netherlands","Mexico","Cameroon","D","A","3.34","3.72",12.4248,0
2014-06-13,"Spain","Netherlands","Mexico","Cameroon","A","A","4.95","3.72",18.414,0
2014-06-14,"Uruguay","Costa Rica","Colombia","Greece","A","H","8.91","1.86",16.5726,1
2014-06-14,"Uruguay","Costa Rica","Colombia","Greece","D","D","4.16","3.23",13.4368,0
2014-06-14,"Uruguay","Costa Rica","Colombia","Greece","A","D","8.91","3.23",28.7793,0
2014-06-14,"Uruguay","Costa Rica","Colombia","Greece","D","A","4.16","5.01",20.8416,0
2014-06-14,"Uruguay","Costa Rica","Colombia","Greece","A","A","8.91","5.01",44.6391,0
2014-06-14,"Uruguay","Costa Rica","Chile","Australia","A","H","8.91","1.42",12.6522,1
2014-06-14,"Uruguay","Costa Rica","Chile","Australia","D","D","4.16","4.39",18.2624,0
2014-06-14,"Uruguay","Costa Rica","Chile","Australia","A","D","8.91","4.39",39.1149,0
2014-06-14,"Uruguay","Costa Rica","Chile","Australia","H","A","1.44","8.55",12.312,0
2014-06-14,"Uruguay","Costa Rica","Chile","Australia","D","A","4.16","8.55",35.568,0
2014-06-14,"Uruguay","Costa Rica","Chile","Australia","A","A","8.91","8.55",76.1805,0
2014-06-14,"Colombia","Greece","Chile","Australia","H","D","1.86","4.39",8.1654,0
2014-06-14,"Colombia","Greece","Chile","Australia","D","D","3.23","4.39",14.1797,0
2014-06-14,"Colombia","Greece","Chile","Australia","A","D","5.01","4.39",21.9939,0
2014-06-14,"Colombia","Greece","Chile","Australia","H","A","1.86","8.55",15.903,0
2014-06-14,"Colombia","Greece","Chile","Australia","D","A","3.23","8.55",27.6165,0
2014-06-14,"Colombia","Greece","Chile","Australia","A","A","5.01","8.55",42.8355,0
2014-06-15,"France","Honduras","Switzerland","Ecuador","D","H","5.9","2.4",14.16,0
2014-06-15,"France","Honduras","Switzerland","Ecuador","A","H","12.14","2.4",29.136,0
2014-06-15,"France","Honduras","Switzerland","Ecuador","D","D","5.9","3.2",18.88,0
2014-06-15,"France","Honduras","Switzerland","Ecuador","A","D","12.14","3.2",38.848,0
2014-06-15,"France","Honduras","Switzerland","Ecuador","D","A","5.9","3.14",18.526,0
2014-06-15,"France","Honduras","Switzerland","Ecuador","A","A","12.14","3.14",38.1196,0
2014-06-15,"France","Honduras","England","Italy","D","H","5.9","2.5",14.75,0
2014-06-15,"France","Honduras","England","Italy","A","H","12.14","2.5",30.35,0
2014-06-15,"France","Honduras","England","Italy","D","D","5.9","3",17.7,0
2014-06-15,"France","Honduras","England","Italy","A","D","12.14","3",36.42,0
2014-06-15,"France","Honduras","England","Italy","D","A","5.9","3.21",18.939,0
2014-06-15,"France","Honduras","England","Italy","A","A","12.14","3.21",38.9694,0
2014-06-15,"France","Honduras","Ivory Coast","Japan","D","H","5.9","2.7",15.93,0
2014-06-15,"France","Honduras","Ivory Coast","Japan","A","H","12.14","2.7",32.778,0
2014-06-15,"France","Honduras","Ivory Coast","Japan","D","D","5.9","3.28",19.352,0
2014-06-15,"France","Honduras","Ivory Coast","Japan","A","D","12.14","3.28",39.8192,0
2014-06-15,"France","Honduras","Ivory Coast","Japan","D","A","5.9","2.68",15.812,0
2014-06-15,"France","Honduras","Ivory Coast","Japan","A","A","12.14","2.68",32.5352,0
2014-06-15,"Switzerland","Ecuador","England","Italy","D","H","3.2","2.5",8,0
2014-06-15,"Switzerland","Ecuador","England","Italy","D","D","3.2","3",9.6,0
2014-06-15,"Switzerland","Ecuador","England","Italy","A","D","3.14","3",9.42,0
2014-06-15,"Switzerland","Ecuador","England","Italy","D","A","3.2","3.21",10.272,0
2014-06-15,"Switzerland","Ecuador","England","Italy","A","A","3.14","3.21",10.0794,0
2014-06-15,"Switzerland","Ecuador","Ivory Coast","Japan","D","H","3.2","2.7",8.64,0
2014-06-15,"Switzerland","Ecuador","Ivory Coast","Japan","A","H","3.14","2.7",8.478,0
2014-06-15,"Switzerland","Ecuador","Ivory Coast","Japan","D","D","3.2","3.28",10.496,0
