"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat"
2008-08-16,"Arsenal","West Brom","Bolton","Stoke","A","D","13.23","3.33",44.0559,0
2008-08-16,"Arsenal","West Brom","Bolton","Stoke","A","A","13.23","4.43",58.6089,0
2008-08-16,"Arsenal","West Brom","Everton","Blackburn","A","D","13.23","3.26",43.1298,0
2008-08-16,"Arsenal","West Brom","Everton","Blackburn","A","A","13.23","3.83",50.6709,0
2008-08-16,"Arsenal","West Brom","Hull City","Fulham","A","D","13.23","3.21",42.4683,0
2008-08-16,"Arsenal","West Brom","Middlesbrough","Tottenham","A","H","13.23","3.08",40.7484,0
2008-08-16,"Arsenal","West Brom","Middlesbrough","Tottenham","A","D","13.23","3.27",43.2621,0
2008-08-16,"Arsenal","West Brom","Sunderland","Liverpool","A","H","13.23","5.23",69.1929,0
2008-08-16,"Arsenal","West Brom","Sunderland","Liverpool","A","D","13.23","3.45",45.6435,0
2008-08-16,"Arsenal","West Brom","West Ham","Wigan","A","D","13.23","3.28",43.3944,0
2008-08-16,"Arsenal","West Brom","West Ham","Wigan","A","A","13.23","3.86",51.0678,0
2008-08-17,"Aston Villa","Manchester City","Chelsea","Portsmouth","A","A","4.53","9.32",42.2196,0
2008-08-17,"Aston Villa","Manchester City","Manchester United","Newcastle","A","A","4.53","10.02",45.3906,0
2008-08-17,"Chelsea","Portsmouth","Manchester United","Newcastle","A","D","9.32","4.85",45.202,0
2008-08-17,"Chelsea","Portsmouth","Manchester United","Newcastle","D","A","4.61","10.02",46.1922,0
2008-08-23,"Blackburn","Hull City","Liverpool","Middlesbrough","A","A","6.09","8.56",52.1304,0
2008-08-23,"Blackburn","Hull City","Tottenham","Sunderland","A","A","6.09","6.87",41.8383,0
2008-08-23,"Fulham","Arsenal","Liverpool","Middlesbrough","H","A","6.15","8.56",52.644,0
2008-08-23,"Fulham","Arsenal","Tottenham","Sunderland","H","A","6.15","6.87",42.2505,0
2008-08-23,"Liverpool","Middlesbrough","Stoke","Aston Villa","A","H","8.56","4.79",41.0024,0
2008-08-23,"Liverpool","Middlesbrough","Tottenham","Sunderland","A","A","8.56","6.87",58.8072,0
2008-08-30,"Arsenal","Newcastle","Middlesbrough","Stoke","A","A","8.6","6.35",54.61,0
2008-09-20,"Blackburn","Fulham","Liverpool","Stoke","D","A","3.27","14.45",47.2515,0
2008-09-20,"Blackburn","Fulham","Liverpool","Stoke","A","A","3.54","14.45",51.153,0
2008-09-20,"Bolton","Arsenal","Liverpool","Stoke","D","A","3.61","14.45",52.1645,0
2008-09-20,"Liverpool","Stoke","Sunderland","Middlesbrough","A","D","14.45","3.2",46.24,0
2008-09-20,"Liverpool","Stoke","Sunderland","Middlesbrough","A","A","14.45","3.02",43.639,0
2008-09-20,"Liverpool","Stoke","West Ham","Newcastle","A","D","14.45","3.38",48.841,0
2008-09-20,"Liverpool","Stoke","West Ham","Newcastle","A","A","14.45","3.94",56.933,0
2008-09-27,"Arsenal","Hull City","Aston Villa","Sunderland","A","D","18","3.67",66.06,0
2008-09-27,"Arsenal","Hull City","Everton","Liverpool","A","H","18","3.7",66.6,1
2008-09-27,"Arsenal","Hull City","Everton","Liverpool","A","D","18","3.22",57.96,0
2008-09-27,"Arsenal","Hull City","Fulham","West Ham","A","H","18","2.23",40.14,1
2008-09-27,"Arsenal","Hull City","Fulham","West Ham","A","D","18","3.25",58.5,0
2008-09-27,"Arsenal","Hull City","Fulham","West Ham","A","A","18","3.15",56.7,0
2008-09-27,"Arsenal","Hull City","Middlesbrough","West Brom","A","D","18","3.39",61.02,0
2008-09-27,"Arsenal","Hull City","Newcastle","Blackburn","A","H","18","2.53",45.54,1
2008-09-27,"Arsenal","Hull City","Newcastle","Blackburn","A","D","18","3.24",58.32,0
2008-09-27,"Arsenal","Hull City","Newcastle","Blackburn","A","A","18","2.73",49.14,0
2008-09-27,"Arsenal","Hull City","Stoke","Chelsea","D","H","6.23","9.53",59.3719,0
2008-09-27,"Aston Villa","Sunderland","Manchester United","Bolton","D","A","3.67","16.4",60.188,0
2008-09-27,"Aston Villa","Sunderland","Stoke","Chelsea","A","H","6.19","9.53",58.9907,1
2008-09-27,"Everton","Liverpool","Manchester United","Bolton","H","A","3.7","16.4",60.68,0
2008-09-27,"Everton","Liverpool","Manchester United","Bolton","D","A","3.22","16.4",52.808,0
2008-09-27,"Fulham","West Ham","Manchester United","Bolton","D","A","3.25","16.4",53.3,0
2008-09-27,"Fulham","West Ham","Manchester United","Bolton","A","A","3.15","16.4",51.66,0
2008-09-27,"Manchester United","Bolton","Middlesbrough","West Brom","A","D","16.4","3.39",55.596,0
2008-09-27,"Manchester United","Bolton","Newcastle","Blackburn","A","H","16.4","2.53",41.492,1
2008-09-27,"Manchester United","Bolton","Newcastle","Blackburn","A","D","16.4","3.24",53.136,0
2008-09-27,"Manchester United","Bolton","Newcastle","Blackburn","A","A","16.4","2.73",44.772,0
2008-09-27,"Manchester United","Bolton","Stoke","Chelsea","D","H","5.89","9.53",56.1317,0
2008-09-27,"Manchester United","Bolton","Stoke","Chelsea","A","D","16.4","4.51",73.964,0
2008-09-27,"Middlesbrough","West Brom","Stoke","Chelsea","A","H","4.86","9.53",46.3158,1
2008-10-04,"Blackburn","Manchester United","Sunderland","Arsenal","H","H","6.42","6.28",40.3176,0
2008-10-18,"Arsenal","Everton","Aston Villa","Portsmouth","A","A","9.04","4.71",42.5784,0
2008-10-18,"Arsenal","Everton","Liverpool","Wigan","A","A","9.04","8.33",75.3032,0
2008-10-18,"Arsenal","Everton","Manchester United","West Brom","A","D","9.04","6.3",56.952,0
2008-10-18,"Arsenal","Everton","Manchester United","West Brom","D","A","4.52","16.33",73.8116,0
2008-10-18,"Arsenal","Everton","Middlesbrough","Chelsea","A","H","9.04","5.98",54.0592,0
